# Table 2. Microarray results of genes whose mRNA accumulation is affected at least 1.8-fold (P<0.05, corrected z test) in deps-1 germ lines.
gene,deps-1/wt,log2FC,Input,Suggested Match,History
C04C3.5,2.3,1.20163386116965,C04C3.5,WBGene00001119,"Sequence name for WBGene00001119(dyf-3). History: N.A.. Public name for Dead gene WBGene00015415. History of WBGene00015415: Merged into ""WBGene00001119"" on 2005-08-19"
ZC15.3,2.2,1.13750352374994,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
K08D10.5,2.1,1.0703893278914,K08D10.5,WBGene00019529,Public name for WBGene00019529. History: N.A.
C33H5.4,2.0,1.0,C33H5.4,WBGene00002221,Sequence name for WBGene00002221(klp-10). History: N.A.
D2045.2,2.0,1.0,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
T24B8.7,2.0,1.0,T24B8.7,WBGene00011980,Public name for WBGene00011980. History: N.A.
H04D03.3,1.9,0.925999418556223,H04D03.3,WBGene00010364,Sequence name for WBGene00010364(ecps-2). History: N.A.
R03G8.2,1.9,0.925999418556223,R03G8.2,,Sequence name for Suppressed gene WBGene00010997. Molecular name for Suppressed gene WBGene00010997. Public name for Suppressed gene WBGene00010997. History of WBGene00010997: Killed on 2005-11-30; Suppressed on 2012-11-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y39A3CL.6,1.9,0.925999418556223,Y39A3CL.6,WBGene00004249,Sequence name for WBGene00004249(pvf-1). History: N.A.
C13B9.1,1.8,0.84799690655495,C13B9.1,,Sequence name for Suppressed gene WBGene00015732. Molecular name for Suppressed gene WBGene00015732. Public name for Suppressed gene WBGene00015732. History of WBGene00015732: Killed on 2009-04-15; Suppressed on 2013-03-14. Remark: converted to a Transposon CDS...This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C04F12.9,1.8,0.84799690655495,C04F12.9,WBGene00007303,Sequence name for WBGene00007303(rnh-1.3). History: N.A.
F30B5.4,1.8,0.84799690655495,F30B5.4,WBGene00017934,Public name for WBGene00017934. History: N.A.
Y55H10B.1,1.8,0.84799690655495,Y55H10B.1,,Sequence name for Suppressed gene WBGene00021954. Molecular name for Suppressed gene WBGene00021954. Public name for Suppressed gene WBGene00021954. History of WBGene00021954: Suppressed on 2007-01-05. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F57G4.3,1.8,0.84799690655495,F57G4.3,,Sequence name for Suppressed gene WBGene00010208. Molecular name for Suppressed gene WBGene00010208. Public name for Suppressed gene WBGene00010208. History of WBGene00010208: Killed on 2006-10-31; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T03D3.5,1.8,0.84799690655495,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
B0511.11,1.8,0.84799690655495,B0511.11,WBGene00015236,Public name for WBGene00015236. History: N.A.
