Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00017672,3.171285217,6.91e-26,WBGene00017672,WBGene00017672,History: N.A.
WBGene00004084,3.164898125,4.11e-22,WBGene00004084,WBGene00004084,History: N.A.
WBGene00012402,3.164481916,1.68e-09,WBGene00012402,WBGene00012402,History: N.A.
WBGene00019929,3.161240991,6.46e-23,WBGene00019929,WBGene00019929,History: N.A.
WBGene00015331,3.15582022,2.5600000000000004e-32,WBGene00015331,WBGene00015331,History: N.A.
WBGene00018428,3.153663103,4.47e-09,WBGene00018428,WBGene00018428,History: N.A.
WBGene00008651,3.147238978,5.22e-17,WBGene00008651,WBGene00008651,History: N.A.
WBGene00009185,3.136195167,1.2e-27,WBGene00009185,WBGene00009185,History: N.A.
WBGene00010719,3.129722358,2.46e-16,WBGene00010719,WBGene00010719,History: N.A.
WBGene00020840,3.126062096,7.019999999999999e-23,WBGene00020840,WBGene00020840,History: N.A.
WBGene00020962,3.124660375,1.89e-25,WBGene00020962,WBGene00020962,History: N.A.
WBGene00008137,3.122130042,3.39e-22,WBGene00008137,WBGene00008137,History: N.A.
WBGene00016730,3.117311282,3.45e-17,WBGene00016730,WBGene00016730,History: N.A.
WBGene00008659,3.116543621,1.11e-25,WBGene00008659,WBGene00008659,History: N.A.
WBGene00002212,3.11360109,1.59e-22,WBGene00002212,WBGene00002212,History: N.A.
WBGene00015630,3.11036716,1.51e-30,WBGene00015630,WBGene00015630,History: N.A.
WBGene00011748,3.109786143,1.11e-28,WBGene00011748,WBGene00011748,History: N.A.
WBGene00007777,3.107511491,1.39e-25,WBGene00007777,WBGene00007777,History: N.A.
WBGene00006053,3.105211233,4.84e-17,WBGene00006053,WBGene00006053,History: N.A.
WBGene00021007,3.104926887,3.2900000000000003e-35,WBGene00021007,WBGene00021007,History: N.A.
WBGene00012647,3.100845137,5.52e-19,WBGene00012647,WBGene00012647,History: N.A.
WBGene00009401,3.098656442,1.52e-18,WBGene00009401,WBGene00009401,History: N.A.
WBGene00020223,3.098520043,1.31e-26,WBGene00020223,WBGene00020223,History: N.A.
WBGene00012011,3.098255516,6.55e-17,WBGene00012011,WBGene00012011,History: N.A.
WBGene00016890,3.094496097,2.2400000000000003e-21,WBGene00016890,WBGene00016890,History: N.A.
WBGene00010682,3.091198387,2.2200000000000002e-21,WBGene00010682,WBGene00010682,"History: Split into K08F8.15(WBGene00303068). History of WBGene00010682: Split into ""WBGene00303068"" on 2018-03-02"
WBGene00019255,3.088890836,3.76e-16,WBGene00019255,WBGene00019255,History: N.A.
WBGene00012008,3.088342041,9.31e-18,WBGene00012008,WBGene00012008,History: N.A.
WBGene00014062,3.08823483,1.29e-19,WBGene00014062,WBGene00014062,History: N.A.
WBGene00007244,3.083741453,4.59e-17,WBGene00007244,WBGene00007244,History: N.A.
WBGene00009683,3.083211665,3.6e-17,WBGene00009683,WBGene00009683,History: N.A.
WBGene00009708,3.083146695,9.83e-25,WBGene00009708,WBGene00009708,History: N.A.
WBGene00007597,3.083020026,5.41e-12,WBGene00007597,WBGene00007597,History: N.A.
WBGene00018124,3.082363753,9.71e-33,WBGene00018124,WBGene00018124,History: N.A.
WBGene00008019,3.078198932,2.6899999999999994e-24,WBGene00008019,WBGene00008019,History: N.A.
WBGene00016742,3.068802282,2.85e-24,WBGene00016742,WBGene00016742,History: N.A.
WBGene00044358,3.067273825,8.82e-21,WBGene00044358,WBGene00044358,History: N.A.
WBGene00013700,3.060542809,5.79e-19,WBGene00013700,WBGene00013700,History: N.A.
WBGene00016212,3.054365981,1.43e-26,WBGene00016212,WBGene00016212,History: N.A.
WBGene00007793,3.054233678,5.62e-12,WBGene00007793,WBGene00007793,History: N.A.
WBGene00016398,3.050361438,4.899999999999999e-24,WBGene00016398,WBGene00016398,History: N.A.
WBGene00007478,3.0474025,1.46e-10,WBGene00007478,WBGene00007478,History: N.A.
WBGene00008259,3.046811334,4.9400000000000004e-21,WBGene00008259,WBGene00008259,History: N.A.
WBGene00015629,3.043137514,6.43e-19,WBGene00015629,WBGene00015629,History: N.A.
WBGene00019562,3.042235677,4.76e-17,WBGene00019562,WBGene00019562,History: N.A.
WBGene00008312,3.041999733,2.9e-28,WBGene00008312,WBGene00008312,History: N.A.
WBGene00013654,3.037844071,2.6899999999999994e-24,WBGene00013654,WBGene00013654,History: N.A.
WBGene00008272,3.035717574,3.16e-20,WBGene00008272,WBGene00008272,History: N.A.
WBGene00017872,3.024791145,9.8e-13,WBGene00017872,WBGene00017872,History: N.A.
WBGene00007457,3.01981164,5.26e-22,WBGene00007457,WBGene00007457,History: N.A.
WBGene00009458,3.015650889,9.71e-14,WBGene00009458,WBGene00009458,History: N.A.
WBGene00007610,3.013372255,3.69e-22,WBGene00007610,WBGene00007610,History: N.A.
WBGene00012514,3.012244874,4.04e-25,WBGene00012514,WBGene00012514,History: N.A.
WBGene00044155,2.997569631,1.76e-12,WBGene00044155,WBGene00044155,History: N.A.
WBGene00022617,2.994762629,2.2e-21,WBGene00022617,WBGene00022617,History: N.A.
WBGene00006056,2.989909303,5.18e-24,WBGene00006056,WBGene00006056,History: N.A.
WBGene00044810,2.984237499,7.72e-09,WBGene00044810,WBGene00044810,History: N.A.
WBGene00014678,2.98043809,9.1e-16,WBGene00014678,WBGene00014678,History: N.A.
WBGene00018548,2.979615575,2.72e-32,WBGene00018548,WBGene00018548,History: N.A.
WBGene00018525,2.979013163,4.13e-25,WBGene00018525,WBGene00018525,History: N.A.
WBGene00017902,2.977411314,4.42e-16,WBGene00017902,WBGene00017902,History: N.A.
WBGene00015287,2.977042551,2.18e-15,WBGene00015287,WBGene00015287,History: N.A.
WBGene00016946,2.975785013,1.22e-11,WBGene00016946,WBGene00016946,History: N.A.
WBGene00008192,2.973798201,4.25e-14,WBGene00008192,WBGene00008192,History: N.A.
WBGene00021109,2.973156528,1.35e-17,WBGene00021109,WBGene00021109,History: N.A.
WBGene00019997,2.972366622,8.06e-27,WBGene00019997,WBGene00019997,History: N.A.
WBGene00011191,2.972208426,3.63e-21,WBGene00011191,WBGene00011191,History: N.A.
WBGene00009473,2.967905975,1.37e-10,WBGene00009473,WBGene00009473,"History: Split into F36D3.16(WBGene00219326). History of WBGene00009473: Split into ""WBGene00219326"" on 2012-01-09"
WBGene00013657,2.967541937,1.96e-13,WBGene00013657,WBGene00013657,History: N.A.
WBGene00008508,2.96172606,1.8999999999999998e-24,WBGene00008508,WBGene00008508,History: N.A.
WBGene00010323,2.955723724,2.4300000000000007e-21,WBGene00010323,WBGene00010323,History: N.A.
WBGene00014116,2.954263091,9.11e-11,WBGene00014116,WBGene00014116,History: N.A.
WBGene00016800,2.952264507,7.24e-32,WBGene00016800,WBGene00016800,History: N.A.
WBGene00007190,2.950071603,3.28e-15,WBGene00007190,WBGene00007190,History: N.A.
WBGene00007778,2.947416689,1.13e-18,WBGene00007778,WBGene00007778,History: N.A.
WBGene00016356,2.946876552,5.08e-28,WBGene00016356,WBGene00016356,History: N.A.
WBGene00011405,2.946545348,1.64e-11,WBGene00011405,WBGene00011405,History: N.A.
WBGene00015467,2.945776157,1.89e-22,WBGene00015467,WBGene00015467,History: N.A.
WBGene00017325,2.945373297,2.07e-11,WBGene00017325,WBGene00017325,History: N.A.
WBGene00008230,2.944935707,1.1400000000000001e-29,WBGene00008230,WBGene00008230,History: Renamed on 2014-03-03
WBGene00010991,2.943201086,3.81e-15,WBGene00010991,WBGene00010991,History: N.A.
WBGene00011214,2.943149285,2.9e-20,WBGene00011214,WBGene00011214,History: N.A.
WBGene00008556,2.93875369,3.660000000000001e-21,WBGene00008556,WBGene00008556,History: N.A.
WBGene00015246,2.93339649,2e-10,WBGene00015246,WBGene00015246,History: N.A.
WBGene00019561,2.933280306,2.5200000000000004e-21,WBGene00019561,WBGene00019561,History: N.A.
WBGene00004909,2.932175777,6.68e-17,WBGene00004909,WBGene00004909,History: N.A.
WBGene00018235,2.926834977,1.07e-18,WBGene00018235,WBGene00018235,History: N.A.
WBGene00004959,2.924843266,1.09e-23,WBGene00004959,WBGene00004959,History: Renamed on 2012-04-24
WBGene00016239,2.922178119,6.63e-12,WBGene00016239,WBGene00016239,History: N.A.
WBGene00006409,2.920372643,8.92e-22,WBGene00006409,WBGene00006409,History: N.A.
WBGene00018530,2.919302918,8.72e-25,WBGene00018530,WBGene00018530,History: N.A.
WBGene00021151,2.915441118,4.14e-15,WBGene00021151,WBGene00021151,History: N.A.
WBGene00022003,2.910313768,3.03e-18,WBGene00022003,WBGene00022003,History: N.A.
WBGene00021358,2.909012836,7.42e-15,WBGene00021358,WBGene00021358,History: N.A.
WBGene00001245,2.908430703,4.23e-25,WBGene00001245,WBGene00001245,History: N.A.
WBGene00007248,2.904058506,6.89e-26,WBGene00007248,WBGene00007248,History: N.A.
WBGene00010869,2.903922016,8.83e-24,WBGene00010869,WBGene00010869,History: N.A.
WBGene00004903,2.903215784,1.23e-12,WBGene00004903,WBGene00004903,History: N.A.
WBGene00002208,2.898361228,1.27e-17,WBGene00002208,WBGene00002208,History: N.A.
WBGene00016980,2.89650415,3.33e-29,WBGene00016980,WBGene00016980,History: N.A.
WBGene00008854,2.893872078,6.67e-18,WBGene00008854,WBGene00008854,History: N.A.
WBGene00019912,2.891695424,2.74e-28,WBGene00019912,WBGene00019912,History: N.A.
WBGene00006050,2.886843644,5.64e-20,WBGene00006050,WBGene00006050,History: N.A.
WBGene00013310,2.880884126,1.47e-15,WBGene00013310,WBGene00013310,History: N.A.
WBGene00001839,2.879989617,1.64e-17,WBGene00001839,WBGene00001839,History: N.A.
WBGene00013476,2.879656586,5.8e-17,WBGene00013476,WBGene00013476,History: N.A.
WBGene00005013,2.878768959,7.73e-20,WBGene00005013,WBGene00005013,History: N.A.
WBGene00010770,2.878493636,2.18e-23,WBGene00010770,WBGene00010770,History: N.A.
WBGene00021471,2.876838122,9.59e-20,WBGene00021471,WBGene00021471,"History: Split into Y39G10AR.32(WBGene00219275). History of WBGene00021471: Split into ""WBGene00219275"" on 2011-10-03"
WBGene00015970,2.872443825,6.15e-17,WBGene00015970,WBGene00015970,History: N.A.
WBGene00014085,2.872309092,5.82e-19,WBGene00014085,WBGene00014085,History: N.A.
WBGene00021579,2.86999372,1.49e-31,WBGene00021579,WBGene00021579,History: N.A.
WBGene00009685,2.869954982,6.83e-25,WBGene00009685,WBGene00009685,History: N.A.
WBGene00012859,2.869593937,4.4e-17,WBGene00012859,WBGene00012859,History: N.A.
WBGene00015089,2.868933977,3.61e-18,WBGene00015089,WBGene00015089,"History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
WBGene00010920,2.861723395,1.44e-24,WBGene00010920,WBGene00010920,History: N.A.
WBGene00020117,2.859709947,1.47e-16,WBGene00020117,WBGene00020117,History: N.A.
WBGene00009501,2.857672811,6.47e-18,WBGene00009501,WBGene00009501,History: N.A.
WBGene00013085,2.856812117,3.56e-15,WBGene00013085,WBGene00013085,History: N.A.
WBGene00015689,2.850168087,4.67e-20,WBGene00015689,WBGene00015689,History: N.A.
WBGene00020707,2.846978625,2.31e-24,WBGene00020707,WBGene00020707,History: N.A.
WBGene00010679,2.845089911,4.85e-16,WBGene00010679,WBGene00010679,History: N.A.
WBGene00022628,2.84430924,2.15e-19,WBGene00022628,WBGene00022628,History: N.A.
WBGene00017112,2.841720228,1.52e-19,WBGene00017112,WBGene00017112,History: N.A.
WBGene00017373,2.839089582,1.11e-25,WBGene00017373,WBGene00017373,History: N.A.
WBGene00019951,2.83825625,3.08e-13,WBGene00019951,WBGene00019951,History: N.A.
WBGene00013979,2.836469539,3.11e-21,WBGene00013979,WBGene00013979,History: N.A.
WBGene00013049,2.83599005,3.06e-10,WBGene00013049,WBGene00013049,History: N.A.
WBGene00000172,2.832677865,3.7e-18,WBGene00000172,WBGene00000172,History: N.A.
WBGene00009079,2.830510051,2.46e-19,WBGene00009079,WBGene00009079,History: N.A.
WBGene00021113,2.830382627,2.35e-18,WBGene00021113,WBGene00021113,History: N.A.
WBGene00010992,2.827819001,5.08e-19,WBGene00010992,WBGene00010992,History: N.A.
WBGene00017673,2.827424281,1.31e-13,WBGene00017673,WBGene00017673,History: Renamed on 2015-04-29
WBGene00045247,2.826373163,3.97e-14,WBGene00045247,WBGene00045247,History: N.A.
WBGene00013513,2.82628529,3.11e-19,WBGene00013513,WBGene00013513,History: N.A.
WBGene00013388,2.825725577,1.73e-18,WBGene00013388,WBGene00013388,History: N.A.
WBGene00022753,2.825133715,9.63e-23,WBGene00022753,WBGene00022753,History: N.A.
WBGene00015929,2.82270802,3.0700000000000002e-21,WBGene00015929,WBGene00015929,History: N.A.
WBGene00001243,2.821442452,2.47e-31,WBGene00001243,WBGene00001243,History: N.A.
WBGene00020372,2.821137336,4.43e-12,WBGene00020372,WBGene00020372,History: N.A.
WBGene00009705,2.816515454,1.23e-10,WBGene00009705,WBGene00009705,History: N.A.
WBGene00008079,2.81510856,3.71e-19,WBGene00008079,WBGene00008079,History: N.A.
WBGene00015084,2.812395825,1.17e-11,WBGene00015084,WBGene00015084,History: N.A.
WBGene00008994,2.810332479,2.03e-14,WBGene00008994,WBGene00008994,History: N.A.
WBGene00020353,2.806513237,1.48e-22,WBGene00020353,WBGene00020353,History: N.A.
WBGene00018980,2.804101938,1.51e-10,WBGene00018980,WBGene00018980,History: N.A.
WBGene00010289,2.799268831,4.09e-20,WBGene00010289,WBGene00010289,History: N.A.
WBGene00009129,2.7967076,2.08e-15,WBGene00009129,WBGene00009129,History: N.A.
WBGene00015500,2.796126628,1.64e-17,WBGene00015500,WBGene00015500,History: N.A.
WBGene00010876,2.792149569,1.06e-16,WBGene00010876,WBGene00010876,History: N.A.
WBGene00020370,2.79127664,1.9e-08,WBGene00020370,WBGene00020370,History: N.A.
WBGene00012120,2.790485443,4.29e-16,WBGene00012120,WBGene00012120,History: N.A.
WBGene00011088,2.789766499,9.74e-18,WBGene00011088,WBGene00011088,History: N.A.
WBGene00010265,2.78962172,2.79e-20,WBGene00010265,WBGene00010265,History: N.A.
WBGene00012207,2.787155762,2.5200000000000004e-21,WBGene00012207,WBGene00012207,History: N.A.
WBGene00010046,2.785617502,9.49e-13,WBGene00010046,WBGene00010046,History: N.A.
WBGene00022705,2.783702523,1.8000000000000001e-22,WBGene00022705,WBGene00022705,History: N.A.
WBGene00020904,2.78244698,1.54e-12,WBGene00020904,WBGene00020904,History: N.A.
WBGene00011478,2.780344578,7.81e-11,WBGene00011478,WBGene00011478,History: N.A.
WBGene00010874,2.780164318,3.56e-12,WBGene00010874,WBGene00010874,History: N.A.
WBGene00009101,2.778801047,2.35e-20,WBGene00009101,WBGene00009101,History: N.A.
WBGene00001603,2.777722331,6.490000000000001e-21,WBGene00001603,WBGene00001603,History: N.A.
WBGene00020003,2.776003109,3.3799999999999993e-28,WBGene00020003,WBGene00020003,History: N.A.
WBGene00020974,2.769921494,8.92e-08,WBGene00020974,WBGene00020974,History: N.A.
WBGene00013475,2.768371932,2.95e-14,WBGene00013475,WBGene00013475,History: N.A.
WBGene00019096,2.759539825,8.66e-14,WBGene00019096,WBGene00019096,History: N.A.
WBGene00015627,2.759233135,2.19e-15,WBGene00015627,WBGene00015627,History: N.A.
WBGene00022032,2.756465594,5.17e-14,WBGene00022032,WBGene00022032,History: N.A.
WBGene00044434,2.756175677,1.8e-17,WBGene00044434,WBGene00044434,History: N.A.
WBGene00013710,2.755077626,4.88e-14,WBGene00013710,WBGene00013710,History: N.A.
WBGene00016576,2.755018009,2.55e-09,WBGene00016576,WBGene00016576,History: N.A.
WBGene00009681,2.753480187,5.5999999999999996e-24,WBGene00009681,WBGene00009681,History: N.A.
WBGene00016943,2.752906643,1.91e-33,WBGene00016943,WBGene00016943,History: Renamed on 2004-08-25
WBGene00010373,2.751400761,4.25e-09,WBGene00010373,WBGene00010373,History: N.A.
WBGene00022632,2.746784489,1.88e-13,WBGene00022632,WBGene00022632,History: N.A.
WBGene00050915,2.74482489,4.25e-14,WBGene00050915,WBGene00050915,History: N.A.
WBGene00012925,2.744515105,1.38e-11,WBGene00012925,WBGene00012925,History: N.A.
WBGene00021858,2.743479902,1.06e-23,WBGene00021858,WBGene00021858,"History: Split into Y54F10BM.22(WBGene00306013), Y54F10BM.21(WBGene00306012). History of WBGene00021858: Split into ""WBGene00306013"" on 2020-01-20; Split into ""WBGene00306012"" on 2020-01-21"
WBGene00013194,2.743478214,1.28e-16,WBGene00013194,WBGene00013194,History: N.A.
WBGene00002056,2.742982499,2.0000000000000002e-29,WBGene00002056,WBGene00002056,History: Renamed on 2021-03-09
WBGene00014032,2.738183412,2.22e-13,WBGene00014032,WBGene00014032,History: N.A.
WBGene00022005,2.73774642,1.68e-13,WBGene00022005,WBGene00022005,History: N.A.
WBGene00012592,2.736525587,1.89e-25,WBGene00012592,WBGene00012592,History: N.A.
WBGene00016507,2.736361332,1.67e-16,WBGene00016507,WBGene00016507,History: Renamed on 2015-07-17
WBGene00020289,2.731269061,1.28e-14,WBGene00020289,WBGene00020289,History: N.A.
WBGene00021650,2.730894373,3.63e-21,WBGene00021650,WBGene00021650,History: N.A.
WBGene00005650,2.730393704,1.56e-07,WBGene00005650,WBGene00005650,History: N.A.
WBGene00016388,2.729899931,2.45e-16,WBGene00016388,WBGene00016388,History: N.A.
WBGene00015917,2.729042674,1.86e-15,WBGene00015917,WBGene00015917,History: N.A.
WBGene00023490,2.727991669,1.66e-17,WBGene00023490,WBGene00023490,History: N.A.
WBGene00018563,2.727360489,6.44e-13,WBGene00018563,WBGene00018563,History: N.A.
WBGene00020435,2.726919464,5.7e-18,WBGene00020435,WBGene00020435,History: N.A.
WBGene00009605,2.72608261,2.45e-18,WBGene00009605,WBGene00009605,History: N.A.
WBGene00022155,2.72433752,3.13e-14,WBGene00022155,WBGene00022155,History: N.A.
WBGene00010900,2.71951988,1.03e-18,WBGene00010900,WBGene00010900,History: N.A.
WBGene00011039,2.716794157,2.32e-13,WBGene00011039,WBGene00011039,History: N.A.
WBGene00013785,2.716670727,9.67e-13,WBGene00013785,WBGene00013785,History: N.A.
WBGene00013811,2.713088496,1.77e-19,WBGene00013811,WBGene00013811,History: N.A.
WBGene00007631,2.712402824,5.72e-11,WBGene00007631,WBGene00007631,History: N.A.
WBGene00006553,2.709162133,1.45e-13,WBGene00006553,WBGene00006553,History: N.A.
WBGene00016942,2.707731905,1.4e-20,WBGene00016942,WBGene00016942,History: N.A.
WBGene00007415,2.703987692,2.27e-14,WBGene00007415,WBGene00007415,"History: Split into emc-5(WBGene00195248). History of WBGene00007415: Split into ""WBGene00195248"" on 2010-08-24"
WBGene00014223,2.703797292,2.15e-15,WBGene00014223,WBGene00014223,History: N.A.
WBGene00020966,2.703770292,1.51e-24,WBGene00020966,WBGene00020966,History: N.A.
WBGene00007489,2.703305947,2.31e-24,WBGene00007489,WBGene00007489,History: N.A.
WBGene00235383,2.700458168,3.79e-19,WBGene00235383,WBGene00235383,History: N.A.
WBGene00044229,2.699034486,8.05e-11,WBGene00044229,WBGene00044229,History: N.A.
WBGene00018143,2.690926836,2.38e-15,WBGene00018143,WBGene00018143,History: N.A.
WBGene00017550,2.689690068,2.5200000000000004e-21,WBGene00017550,WBGene00017550,History: N.A.
WBGene00019020,2.687921432,8.58e-17,WBGene00019020,WBGene00019020,History: N.A.
WBGene00005651,2.687201075,1.84e-09,WBGene00005651,WBGene00005651,History: N.A.
WBGene00020914,2.686338442,3.0200000000000002e-22,WBGene00020914,WBGene00020914,History: N.A.
WBGene00015422,2.685650916,1.64e-17,WBGene00015422,WBGene00015422,History: N.A.
WBGene00009149,2.683850891,2.06e-20,WBGene00009149,WBGene00009149,History: N.A.
WBGene00016581,2.677787564,7.55e-10,WBGene00016581,WBGene00016581,History: N.A.
WBGene00013590,2.676873975,8.49e-16,WBGene00013590,WBGene00013590,History: N.A.
WBGene00020531,2.674141614,2.7e-13,WBGene00020531,WBGene00020531,History: N.A.
