# 204 genes,
WORMBASE_GENE_ID,Name,Input,Suggested Match,History
WBGene00010124,hypothetical protein(F55G11.4),WBGene00010124,WBGene00010124,History: N.A.
WBGene00019179,SCP-Like extracellular protein(scl-13),WBGene00019179,WBGene00019179,History: N.A.
WBGene00005586,"Serpentine Receptor, class I(sri-74)",WBGene00005586,WBGene00005586,History: N.A.
WBGene00007232,hypothetical protein(C01G10.5),WBGene00007232,WBGene00007232,"History: Split into C01G10.18(WBGene00077583). History of WBGene00007232: Split into ""WBGene00077583"" on 2008-02-06"
WBGene00006175,Seven TM Receptor(str-124),WBGene00006175,WBGene00006175,History: N.A.
WBGene00003734,Sodium/hydrogen exchanger(nhx-6),WBGene00003734,WBGene00003734,History: N.A.
WBGene00008631,hypothetical protein(F10A3.1),WBGene00008631,WBGene00008631,History: N.A.
WBGene00018600,hypothetical protein(F48C1.8),WBGene00018600,WBGene00018600,"History: Split into F48C1.11(WBGene00195179). History of WBGene00018600: Split into ""WBGene00195179"" on 2010-06-23"
WBGene00000622,COLlagen(col-45),WBGene00000622,WBGene00000622,History: N.A.
WBGene00044113,hypothetical protein(C54F6.15),WBGene00044113,WBGene00044113,History: N.A.
WBGene00001728,GRound-Like (grd related)(grl-19),WBGene00001728,WBGene00001728,History: N.A.
WBGene00044379,hypothetical protein(F40H7.12),WBGene00044379,WBGene00044379,History: N.A.
WBGene00003096,LYSozyme(lys-7),WBGene00003096,WBGene00003096,History: N.A.
WBGene00000015,AntiBacterial Factor related(abf-4),WBGene00000015,WBGene00000015,History: N.A.
WBGene00008862,hypothetical protein(F15D4.5),WBGene00008862,WBGene00008862,History: N.A.
WBGene00000697,COLlagen(col-123),WBGene00000697,WBGene00000697,History: N.A.
WBGene00021081,hypothetical protein(W08A12.4),WBGene00021081,WBGene00021081,History: N.A.
WBGene00015338,Cation transporting ATPase(catp-2),WBGene00015338,WBGene00015338,History: N.A.
WBGene00014173,hypothetical protein(ZK970.7),WBGene00014173,WBGene00014173,History: N.A.
WBGene00016425,hypothetical protein(C34H4.2),WBGene00016425,WBGene00016425,History: N.A.
WBGene00000612,COLlagen(col-35),WBGene00000612,WBGene00000612,History: N.A.
WBGene00017396,hypothetical protein(F12A10.7),WBGene00017396,WBGene00017396,History: N.A.
WBGene00044441,hypothetical protein(Y119C1B.11),WBGene00044441,WBGene00044441,History: N.A.
WBGene00044212,hypothetical protein(Y68A4A.13),WBGene00044212,WBGene00044212,History: N.A.
WBGene00008577,hypothetical protein(F08G2.5),WBGene00008577,WBGene00008577,History: N.A.
WBGene00012757,hypothetical protein(Y41C4A.11),WBGene00012757,WBGene00012757,"History: Split into Y41C4A.32(WBGene00270321). History of WBGene00012757: Split into ""WBGene00270321"" on 2016-08-31"
WBGene00001734,GRound-Like (grd related)(grl-25),WBGene00001734,WBGene00001734,History: N.A.
WBGene00011172,hypothetical protein(R09E10.2),WBGene00011172,WBGene00011172,History: N.A.
WBGene00014045,C-type LECtin(clec-59),WBGene00014045,WBGene00014045,History: N.A.
WBGene00001437,Putative forkhead-related transcription factor fkh-5(fkh-5),WBGene00001437,WBGene00001437,History: N.A.
WBGene00009486,hypothetical protein(F36G9.7),WBGene00009486,WBGene00009486,History: N.A.
WBGene00018850,Glutathione PeroXidase(gpx-8),WBGene00018850,WBGene00018850,History: N.A.
WBGene00010451,hypothetical protein(K01A11.3),WBGene00010451,WBGene00010451,History: N.A.
WBGene00003434,Major sperm protein 38(msp-38),WBGene00003434,WBGene00003434,History: N.A.
WBGene00001387,Fatty Acid/Retinol binding protein(far-3),WBGene00001387,WBGene00001387,History: N.A.
WBGene00000593,Cuticle collagen 2(col-2),WBGene00000593,WBGene00000593,History: N.A.
WBGene00019858,hypothetical protein(R03H10.6),WBGene00019858,WBGene00019858,History: N.A.
WBGene00001772,Glutathione S-Transferase(gst-24),WBGene00001772,WBGene00001772,History: N.A.
WBGene00007660,hypothetical protein(C17H1.7),WBGene00007660,WBGene00007660,History: N.A.
WBGene00000660,COLlagen(col-85),WBGene00000660,WBGene00000660,History: N.A.
WBGene00012961,hypothetical protein(Y47H10A.5),WBGene00012961,WBGene00012961,History: N.A.
WBGene00044687,hypothetical protein(B0563.9),WBGene00044687,WBGene00044687,History: N.A.
WBGene00015537,hypothetical protein(C06E4.8),WBGene00015537,WBGene00015537,History: N.A.
WBGene00001729,GRound-Like (grd related)(grl-20),WBGene00001729,WBGene00001729,History: N.A.
WBGene00000676,COLlagen(col-102),WBGene00000676,WBGene00000676,History: N.A.
WBGene00000556,CaeNaCin (Caenorhabditis bacteriocin)(cnc-2),WBGene00000556,WBGene00000556,History: N.A.
WBGene00016662,hypothetical protein(C45B2.8),WBGene00016662,WBGene00016662,History: N.A.
WBGene00013837,F-box A protein(fbxa-30),WBGene00013837,WBGene00013837,History: N.A.
WBGene00021727,BTB and MATH domain containing(bath-23),WBGene00021727,WBGene00021727,History: N.A.
WBGene00019550,hypothetical protein(K09C4.5),WBGene00019550,WBGene00019550,History: N.A.
WBGene00017509,hypothetical protein(F16B4.7),WBGene00017509,WBGene00017509,History: N.A.
WBGene00000620,COLlagen(col-43),WBGene00000620,WBGene00000620,History: N.A.
WBGene00018601,hypothetical protein(F48C1.9),WBGene00018601,WBGene00018601,History: N.A.
WBGene00013050,Lipase(lipl-8),WBGene00013050,WBGene00013050,History: N.A.
WBGene00019134,hypothetical protein(F59H6.3),WBGene00019134,WBGene00019134,History: N.A.
WBGene00018353,F-box A protein(fbxa-182),WBGene00018353,WBGene00018353,History: N.A.
WBGene00043065,hypothetical protein(C55C3.7),WBGene00043065,WBGene00043065,History: N.A.
WBGene00022546,Major sperm protein(ZC196.2),WBGene00022546,WBGene00022546,History: N.A.
WBGene00000682,COLlagen(col-108),WBGene00000682,WBGene00000682,History: N.A.
WBGene00010119,hypothetical protein(F55G7.1),WBGene00010119,WBGene00010119,History: N.A.
WBGene00021654,hypothetical protein(Y47G7B.2),WBGene00021654,WBGene00021654,History: N.A.
WBGene00000736,COLlagen(col-163),WBGene00000736,WBGene00000736,History: N.A.
WBGene00000731,COLlagen(col-158),WBGene00000731,WBGene00000731,History: N.A.
WBGene00022096,hypothetical protein(Y69A2AR.25),WBGene00022096,WBGene00022096,History: N.A.
WBGene00044783,hypothetical protein(T26H5.10),WBGene00044783,WBGene00044783,History: N.A.
WBGene00015223,hypothetical protein(B0507.6),WBGene00015223,WBGene00015223,"History: Split into B0507.15(WBGene00202499). History of WBGene00015223: Split into ""WBGene00202499"" on 2010-10-29"
WBGene00022083,hypothetical protein(Y69A2AR.12),WBGene00022083,WBGene00022083,History: N.A.
WBGene00008038,hypothetical protein(C40H1.2),WBGene00008038,WBGene00008038,History: N.A.
WBGene00044659,F-box A protein(fbxa-142),WBGene00044659,WBGene00044659,History: N.A.
WBGene00000659,COLlagen(col-84),WBGene00000659,WBGene00000659,History: N.A.
WBGene00014192,Nuclear Hormone Receptor family(nhr-246),WBGene00014192,WBGene00014192,"History: Split into nhr-291(WBGene00045515). History of WBGene00014192: Split into ""WBGene00045515"" on 2007-07-26"
WBGene00044293,hypothetical protein(K08D12.7),WBGene00044293,WBGene00044293,History: N.A.
WBGene00007682,hypothetical protein(C18D11.6),WBGene00007682,WBGene00007682,History: N.A.
WBGene00022644,Downstream Of DAF-16 (regulated by DAF-16)(dod-19),WBGene00022644,WBGene00022644,History: N.A.
WBGene00022497,hypothetical protein(Y119D3B.21),WBGene00022497,WBGene00022497,History: N.A.
WBGene00015598,F-box A protein(fbxa-163),WBGene00015598,WBGene00015598,History: N.A.
WBGene00016551,hypothetical protein(C40A11.8),WBGene00016551,WBGene00016551,History: N.A.
WBGene00000688,COLlagen(col-114),WBGene00000688,WBGene00000688,History: N.A.
WBGene00019178,SCP-Like extracellular protein(scl-12),WBGene00019178,WBGene00019178,History: N.A.
WBGene00016528,hypothetical protein(C39B5.10),WBGene00016528,WBGene00016528,History: N.A.
WBGene00000851,Cuticlin-1(cut-1),WBGene00000851,WBGene00000851,History: N.A.
WBGene00000614,COLlagen(col-37),WBGene00000614,WBGene00000614,History: N.A.
WBGene00016063,DEgenerin Linked to Mechanosensation(delm-2),WBGene00016063,WBGene00016063,History: N.A.
WBGene00019565,CYtochrome P450 family(cyp-35A3),WBGene00019565,WBGene00019565,History: N.A.
WBGene00001397,Delta(9)-fatty-acid desaturase fat-5(fat-5),WBGene00001397,WBGene00001397,History: N.A.
WBGene00005832,"Serpentine Receptor, class W(srw-85)",WBGene00005832,WBGene00005832,History: N.A.
WBGene00021964,hypothetical protein(Y57E12B.4),WBGene00021964,WBGene00021964,History: N.A.
WBGene00009426,hypothetical protein(F35E12.2),WBGene00009426,WBGene00009426,History: N.A.
WBGene00009429,hypothetical protein(F35E12.5),WBGene00009429,WBGene00009429,History: N.A.
WBGene00007140,CYtochrome P450 family(cyp-29A4),WBGene00007140,WBGene00007140,History: N.A.
WBGene00018050,C-type LECtin(clec-139),WBGene00018050,WBGene00018050,History: N.A.
WBGene00015152,hypothetical protein(B0348.2),WBGene00015152,WBGene00015152,History: N.A.
WBGene00006237,Seven TM Receptor(str-204),WBGene00006237,WBGene00006237,History: N.A.
WBGene00017335,hypothetical protein(F10D2.10),WBGene00017335,WBGene00017335,History: N.A.
WBGene00001399,Delta(9)-fatty-acid desaturase fat-7(fat-7),WBGene00001399,WBGene00001399,History: N.A.
WBGene00044238,hypothetical protein(C30H6.12),WBGene00044238,WBGene00044238,History: N.A.
WBGene00001726,GRound-Like (grd related)(grl-17),WBGene00001726,WBGene00001726,History: N.A.
WBGene00012811,hypothetical protein(Y43F8A.5),WBGene00012811,WBGene00012811,History: N.A.
WBGene00007946,UDP-GlucuronosylTransferase(ugt-33),WBGene00007946,WBGene00007946,History: N.A.
WBGene00009339,hypothetical protein(F32G8.3),WBGene00009339,WBGene00009339,History: N.A.
WBGene00019659,hypothetical protein(K11H12.3),WBGene00019659,WBGene00019659,History: N.A.
WBGene00004103,Prion-like-(Q/N-rich)-domain-bearing protein(pqn-11),WBGene00004103,WBGene00004103,History: N.A.
WBGene00000648,COLlagen(col-72),WBGene00000648,WBGene00000648,History: N.A.
WBGene00009630,hypothetical protein(F42E8.1),WBGene00009630,WBGene00009630,History: N.A.
WBGene00001718,GRound-Like (grd related)(grl-9),WBGene00001718,WBGene00001718,History: N.A.
WBGene00000621,COLlagen(col-44),WBGene00000621,WBGene00000621,History: N.A.
WBGene00000613,COLlagen(col-36),WBGene00000613,WBGene00000613,History: N.A.
WBGene00007454,hypothetical protein(C08F11.7),WBGene00007454,WBGene00007454,History: N.A.
WBGene00044589,hypothetical protein(C29F5.8),WBGene00044589,WBGene00044589,History: N.A.
WBGene00022653,hypothetical protein(ZK105.1),WBGene00022653,WBGene00022653,History: N.A.
WBGene00013586,hypothetical protein(Y80D3A.8),WBGene00013586,WBGene00013586,History: N.A.
WBGene00021193,MATH (meprin-associated Traf homology) domain containing(math-44),WBGene00021193,WBGene00021193,"History: Split into Y16E11A.4(WBGene00305158). History of WBGene00021193: Split into ""WBGene00305158"" on 2019-11-21"
WBGene00012294,"Nematode Specific Peptide family, group A(nspa-8)",WBGene00012294,WBGene00012294,History: N.A.
WBGene00050906,hypothetical protein(F20E11.17),WBGene00050906,WBGene00050906,History: N.A.
WBGene00015080,Putative G-protein coupled receptor B0244.5(B0244.5),WBGene00015080,WBGene00015080,History: N.A.
WBGene00000628,COLlagen(col-51),WBGene00000628,WBGene00000628,History: N.A.
WBGene00000627,COLlagen(col-50),WBGene00000627,WBGene00000627,History: N.A.
WBGene00015602,F-box A protein(fbxa-158),WBGene00015602,WBGene00015602,History: N.A.
WBGene00006419,O-ACyltransferase homolog(oac-39),WBGene00006419,WBGene00006419,History: Renamed on 2008-07-18
WBGene00008111,hypothetical protein(C46C2.3),WBGene00008111,WBGene00008111,History: N.A.
WBGene00015600,F-box A protein(fbxa-165),WBGene00015600,WBGene00015600,History: N.A.
WBGene00022645,hypothetical protein(ZK6.11),WBGene00022645,WBGene00022645,History: N.A.
WBGene00013637,hypothetical protein(Y105C5A.13),WBGene00013637,WBGene00013637,History: N.A.
WBGene00003529,Metalloendopeptidase(nas-10),WBGene00003529,WBGene00003529,History: N.A.
WBGene00022572,hypothetical protein(ZC239.14),WBGene00022572,WBGene00022572,History: N.A.
WBGene00017586,hypothetical protein(F19B10.4),WBGene00017586,WBGene00017586,"History: Split into F19B10.13(WBGene00194713). History of WBGene00017586: Split into ""WBGene00194713"" on 2009-08-11"
WBGene00016673,hypothetical protein(C45G9.1),WBGene00016673,WBGene00016673,History: N.A.
WBGene00016669,Invertebrate LYSozyme(ilys-2),WBGene00016669,WBGene00016669,History: N.A.
WBGene00022561,BTB (Broad/complex/Tramtrack/Bric a brac) domain protein(btb-13),WBGene00022561,WBGene00022561,History: N.A.
WBGene00008097,UDP-glucuronosyltransferase(ugt-15),WBGene00008097,WBGene00008097,History: N.A.
WBGene00020472,LIPaSe related(lips-11),WBGene00020472,WBGene00020472,History: N.A.
WBGene00010821,hypothetical protein(M01G12.7),WBGene00010821,WBGene00010821,History: N.A.
WBGene00018711,hypothetical protein(F52G3.3),WBGene00018711,WBGene00018711,History: N.A.
WBGene00021703,Carnitine Palmitoyl Transferase(cpt-3),WBGene00021703,WBGene00021703,History: N.A.
WBGene00018712,hypothetical protein(F52G3.4),WBGene00018712,WBGene00018712,History: N.A.
WBGene00044402,hypothetical protein(Y82E9BL.18),WBGene00044402,WBGene00044402,"History: Split into Y82E9BL.19(WBGene00194735). History of WBGene00044402: Split into ""WBGene00194735"" on 2009-08-21"
WBGene00000986,"DeHydrogenases, Short chain(dhs-23)",WBGene00000986,WBGene00000986,History: N.A.
WBGene00003540,Zinc metalloproteinase nas-21(nas-21),WBGene00003540,WBGene00003540,History: N.A.
WBGene00045416,hypothetical protein(Y37H2A.14),WBGene00045416,WBGene00045416,History: N.A.
WBGene00017095,hypothetical protein(E02C12.10),WBGene00017095,WBGene00017095,"History: Split into E02C12.19(WBGene00271797). History of WBGene00017095: Split into ""WBGene00271797"" on 2017-09-21"
WBGene00010899,hypothetical protein(M28.8),WBGene00010899,WBGene00010899,History: N.A.
WBGene00017097,hypothetical protein(E02C12.12),WBGene00017097,WBGene00017097,History: N.A.
WBGene00007765,hypothetical protein(C27B7.9),WBGene00007765,WBGene00007765,History: N.A.
WBGene00045415,hypothetical protein(Y43F8B.15),WBGene00045415,WBGene00045415,History: N.A.
WBGene00018696,intestinal acid PHOsphatase(pho-6),WBGene00018696,WBGene00018696,History: N.A.
WBGene00009824,Glycerol-3-phosphate dehydrogenase [NAD(+)](gpdh-1),WBGene00009824,WBGene00009824,History: N.A.
WBGene00001732,GRound-Like (grd related)(grl-23),WBGene00001732,WBGene00001732,History: N.A.
WBGene00004002,P-GlycoProtein related(pgp-8),WBGene00004002,WBGene00004002,History: N.A.
WBGene00006894,Protein ver-1(ver-1),WBGene00006894,WBGene00006894,History: N.A.
WBGene00007181,,WBGene00007181,WBGene00007181,History: N.A.
WBGene00017849,,WBGene00017849,WBGene00017849,History: N.A.
WBGene00018225,,WBGene00018225,WBGene00018225,History: N.A.
WBGene00009104,,WBGene00009104,WBGene00009104,History: N.A.
WBGene00013065,,WBGene00013065,WBGene00007440,"History: Merged into ""WBGene00007440"" on 2008-07-18"
WBGene00021520,,WBGene00021520,WBGene00021520,History: N.A.
WBGene00015077,,WBGene00015077,WBGene00015077,History: N.A.
