# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≤ -3,Unnamed: 1,Input,Suggested Match,History
WBGene00013021,,WBGene00013021,WBGene00013021,History: N.A.
WBGene00007709,,WBGene00007709,WBGene00007709,History: Renamed on 2006-06-15
WBGene00000465,,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00011320,,WBGene00011320,WBGene00011320,History: N.A.
WBGene00015102,,WBGene00015102,WBGene00015102,History: N.A.
WBGene00009285,,WBGene00009285,WBGene00009285,History: N.A.
WBGene00009587,,WBGene00009587,WBGene00009587,History: N.A.
WBGene00004179,,WBGene00004179,WBGene00004179,History: Renamed on 2007-11-05
WBGene00006988,,WBGene00006988,WBGene00006988,History: N.A.
WBGene00004239,,WBGene00004239,WBGene00004239,History: N.A.
WBGene00009035,,WBGene00009035,WBGene00009035,History: N.A.
WBGene00010351,,WBGene00010351,WBGene00010351,History: N.A.
WBGene00004374,,WBGene00004374,WBGene00004374,History: N.A.
WBGene00020035,,WBGene00020035,WBGene00020035,History: N.A.
WBGene00020652,,WBGene00020652,WBGene00020652,History: N.A.
WBGene00002368,,WBGene00002368,WBGene00002368,History: N.A.
WBGene00044789,,WBGene00044789,WBGene00044789,History: N.A.
WBGene00002225,,WBGene00002225,WBGene00002225,History: N.A.
WBGene00002226,,WBGene00002226,WBGene00002226,History: N.A.
WBGene00020859,,WBGene00020859,WBGene00020859,"History: Split into T27C10.9(WBGene00269435). History of WBGene00020859: Split into ""WBGene00269435"" on 2016-04-19"
WBGene00007275,,WBGene00007275,WBGene00007275,History: N.A.
WBGene00016825,,WBGene00016825,WBGene00016825,History: N.A.
WBGene00000652,,WBGene00000652,WBGene00000652,History: N.A.
WBGene00017741,,WBGene00017741,WBGene00017741,History: N.A.
WBGene00010813,,WBGene00010813,WBGene00010813,History: N.A.
WBGene00000140,,WBGene00000140,WBGene00000140,History: N.A.
WBGene00008901,,WBGene00008901,WBGene00008901,History: N.A.
WBGene00017921,,WBGene00017921,WBGene00017921,History: N.A.
WBGene00005529,,WBGene00005529,WBGene00005529,History: N.A.
WBGene00008997,,WBGene00008997,WBGene00008997,History: N.A.
WBGene00005528,,WBGene00005528,WBGene00005528,History: N.A.
WBGene00010768,,WBGene00010768,WBGene00010768,History: N.A.
WBGene00016354,,WBGene00016354,WBGene00016354,History: Renamed on 2005-10-06
WBGene00001394,,WBGene00001394,WBGene00001394,History: N.A.
WBGene00004192,,WBGene00004192,WBGene00004192,History: N.A.
WBGene00013567,,WBGene00013567,WBGene00013567,History: N.A.
WBGene00010836,,WBGene00010836,WBGene00010836,History: N.A.
WBGene00018735,,WBGene00018735,WBGene00018735,History: N.A.
WBGene00001757,,WBGene00001757,WBGene00001757,History: N.A.
WBGene00012293,,WBGene00012293,WBGene00012293,History: N.A.
WBGene00077761,,WBGene00077761,WBGene00077761,"History: Split into F17C11.26(WBGene00303011). History of WBGene00077761: Split into ""WBGene00303011"" on 2018-03-06"
WBGene00007488,,WBGene00007488,WBGene00007488,History: N.A.
WBGene00008944,,WBGene00008944,WBGene00008944,History: N.A.
WBGene00022501,,WBGene00022501,WBGene00022501,History: N.A.
WBGene00010269,,WBGene00010269,WBGene00010269,History: N.A.
WBGene00012141,,WBGene00012141,WBGene00012139,"History: Merged into ""WBGene00012139"" on 2017-03-03"
WBGene00021751,,WBGene00021751,WBGene00021751,History: N.A.
WBGene00017717,,WBGene00017717,WBGene00017717,"History: Split into F22F4.9(WBGene00271606). History of WBGene00017717: Split into ""WBGene00271606"" on 2017-03-02"
WBGene00008583,,WBGene00008583,WBGene00008583,"History: Split into clec-184(WBGene00023502). History of WBGene00008583: Split into ""WBGene00023502"" on 2004-08-26"
WBGene00007997,,WBGene00007997,WBGene00007997,History: N.A.
WBGene00007744,,WBGene00007744,WBGene00007744,History: N.A.
WBGene00002184,,WBGene00002184,WBGene00002184,History: N.A.
WBGene00000512,,WBGene00000512,WBGene00000512,History: N.A.
WBGene00016427,,WBGene00016427,WBGene00016427,History: N.A.
WBGene00007131,,WBGene00007131,WBGene00007131,History: N.A.
WBGene00012763,,WBGene00012763,WBGene00012763,History: N.A.
WBGene00010965,,WBGene00010965,WBGene00010965,History: N.A.
WBGene00000829,,WBGene00000829,WBGene00000829,History: N.A.
WBGene00010962,,WBGene00010962,WBGene00010962,History: N.A.
WBGene00010964,,WBGene00010964,WBGene00010964,History: N.A.
