target_name,gene,description,KOG,remarks,Mountain,fL3s446,eL3s82,FC,fL3s364,eL3s125,FC.1,fL4s660,eL4s408,FC.2,fL4s1165,eL4s377,FC.3,fADs1711,eADs213,FC.4,fADs547,eADs598,FC.5,fL3m1612,eL3m951,FC.6,fL3m4134,eL3m1037,FC.7,fL4m1857,eL4m1318,FC.8,fL4m3713,eL4m3494,FC.9,fADm2498,eADm2449,FC.10,fADm2040,eADm2527,FC.11,fADm981,eADm599,FC.12,fADm631,eADm765,FC.13,Input,Suggested Match,History
B0280.5,cpg-2,"cpg-2 encodes a protein with six chitin-binding peritrophin-A domains and three mucin-like regions; CPG-2 is individually dispensable for normal embryonic development; however, CPG-2 and CPG-1 are jointly required for osmotic integrity of early embryos, error-free chromosomal segregation during meiosis, polar body extrusion, association of the sperm pronucleus/centrosome complex (SPCC) with the early embryonic cortex, localization of PAR-2 in early embryos, posterior localization of P granules or PIE-1, and pseudocleavage; CPG-2, like CPG-1, is covalently linked to chondroitin, which itself is required for vulval morphogenesis, polar-body extrusion, and separation of the eggshell from the embryonic plasma membrane; cpg-2 mRNA, like that of cpg-1, is expressed specifically in the adult hermaphrodite germ line and is bound by GLD-1; CPG-2 has 34 potential chondroitin attachment sites, four of them verified by mass spectrometry, and transgenic CPG-2 synthesized in mammalian cells carries chondroitin sulfate chains; CPG-2's multiple peritrophin-A domains may enable mechanical cross-linking of chitin. ",Unnamed protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 7,8,5,0.33,14,2,1.9,37,3,6.0,81,1,13.79,47,1,29.81,56,2,20.68,13,16,0.49,30,14,0.53,330,128,1.83,422,1404,0.28,18052,8682,2.04,14954,9086,2.03,6199,4900,0.78,3258,4901,0.8,B0280.5,WBGene00015102,Sequence name for WBGene00015102(cpg-2). History: N.A.
B0280.9,B0280.9,,WD40 repeat protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain ,21,0,4.9,24,4,1.9,60,2,12.83,57,2,6.5,160,0,199.95,19,0,21.77,22,11,1.14,77,39,0.5,35,31,0.8,101,118,0.81,81,172,0.46,86,218,0.49,34,50,0.42,26,23,1.36,B0280.9,WBGene00015104,Public name for WBGene00015104. History: N.A.
B0285.1,B0285.1,,Cdc2-related protein kinase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,20,0,4.67,23,3,2.28,40,2,8.62,87,1,14.79,89,8,12.42,26,0,29.39,16,5,1.69,116,47,0.62,70,53,0.94,160,72,2.08,95,157,0.6,78,164,0.59,33,25,0.81,49,42,1.4,B0285.1,WBGene00007135,Sequence name for WBGene00007135(cdk-12). History: N.A.
B0334.5,B0334.5,,Predicted membrane protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,38,4,1.74,27,4,2.13,39,6,3.61,75,6,3.65,91,11,9.52,45,6,7.15,15,14,0.64,70,35,0.5,24,21,0.81,118,66,1.67,70,75,0.92,49,94,0.65,20,16,0.76,18,26,0.85,B0334.5,WBGene00007145,Public name for WBGene00007145. History: N.A.
B0336.1,wrm-1,"wrm-1 encodes, along with bar-1 and hmp-2, one of three C. elegans beta-catenin-like proteins; during development, wrm-1 functions in noncanonical Wnt signaling pathways that specify cell fates in the early embryo, the somatic gonad, and postembryonic hypodermal lineages. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,72,3,4.06,66,20,1.21,115,22,3.18,244,14,5.49,267,34,9.51,144,11,13.15,11,6,1.02,39,22,0.44,38,41,0.66,85,112,0.72,198,528,0.37,174,566,0.38,73,149,0.31,54,155,0.43,B0336.1,WBGene00006943,Sequence name for WBGene00006943(wrm-1). History: N.A.
B0336.3,B0336.3,,Proteins containing the RNA recognition motif ,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 5,51,0,11.57,81,5,5.19,156,11,8.26,233,11,6.56,259,10,29.36,98,5,17.96,89,94,0.56,466,141,0.84,148,173,0.61,500,556,0.85,649,1374,0.46,496,1444,0.43,240,230,0.65,160,357,0.54,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
B0361.10,B0361.10,,"SNARE protein YKT6, synaptobrevin/VAMP syperfamily ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 10,27,0,6.23,14,0,5.7,27,1,8.83,46,1,7.9,109,2,45.54,11,0,13.06,45,0,27.39,382,36,2.64,49,66,0.53,153,85,1.69,148,305,0.48,137,319,0.53,161,66,1.5,65,119,0.66,B0361.10,WBGene00015164,Sequence name for WBGene00015164(ykt-6). History: N.A.
B0365.3,eat-6,"eat-6 encodes an ortholog of the alpha subunit of a sodium/potassium ATPase, which in turn affects Na+,K(+)-ATPase activity of membranes by affecting the level of the phosphorylated intermediate of the Na+,K(+)-ATPase; EAT-6 affects relaxation of the pharyngeal muscles, fertility (and thus affects feeding); EAT-6 also affects body length, life span, and ASE, ASI and ASJ axonal outgrowth. ","Na+/K+ ATPase, alpha subunit ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain ,27,8,0.69,17,7,0.85,64,9,4.1,114,1,19.33,158,6,28.21,65,2,23.94,892,429,1.24,2546,1083,0.6,732,842,0.62,2710,1526,1.67,1071,1379,0.76,974,1424,0.85,284,237,0.74,261,278,1.13,B0365.3,WBGene00001137,Sequence name for WBGene00001137(eat-6). History: N.A.
B0379.3a,mut-16,"mut-16 encodes a glutamine/asparagine (Q/N)-rich domain-containing protein that lacks obvious homologs outside of other nematode species; MUT-16 activity is required for RNA-mediated interference (RNAi), transgene silencing in germ-line and somatic tissues, and for maintaining low levels of transposon mobilization; MUT-16 is thus predicted to play a role in chromatin organizataion and/or regulation of gene expression. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,47,1,5.34,53,5,3.42,103,11,5.47,189,3,15.97,198,2,82.38,55,1,30.47,17,26,0.4,54,44,0.31,34,57,0.43,239,152,1.48,298,363,0.81,242,406,0.74,107,59,1.11,58,89,0.79,B0379.3a,WBGene00003508,Molecule name for WBGene00003508(mut-16). History: Renamed on 2013-10-16
B0412.3,B0412.3,,Uncharacterized conserved protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,19,3,1.11,26,5,1.71,38,3,6.15,51,1,8.74,106,5,22.15,16,0,18.5,164,79,1.23,221,76,0.73,144,94,1.09,251,268,0.88,418,263,1.56,334,247,1.67,123,42,1.78,96,63,1.83,B0412.3,WBGene00015173,Sequence name for WBGene00015173(trpp-11). History: N.A.
B0414.5,cpb-3,"cpb-3 encodes a CPEB orthologous to Drosophila ORB, zebrafish ZORBA, and human CPEB1, and paralogous to FOG-1 and CPB-1/2; CPB-3 inhibits physiological apoptosis in oocytes, keeping it down to a normal level of ~50% in hermaphrodite gonads; independently of apoptosis, CPB-3 is also required for normal oogenesis, sperm/oocyte switching (upstream of FEM-3), and the transistion from mitosis to meiosis by oocytes (in parallel with GLD-3); cpb-3(RNAi) results in elevated (though not 100%) physiological germ cell apoptosis, independent of CEP-1; in cpb-3(RNAi) animals, excess physiological apoptosis actually promotes fertility, since cpb-3(RNAi) hermaphrodites have larger brood sizes than those with apoptosis suppressed by ced-3(n717), and aging ced-3(n717);cpb-3(RNAi) animals have abnormal oocytes that fail to exit pachytene and proceed through diakinesis; CPB-3 is mainly cytoplasmic, and strongly expressed in pachytene oocytes; cpb-3(bt17);daz-1(tj3) hermaphrodites have a synthetic phenotype of total sterility and masculinization; CPB-3 colocalizes with DAZ-1 in vivo, coimmunoprecipitates with DAZ-1, and binds DAZ-1 in two-hybrid assays. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,89,5,3.34,76,7,3.66,192,9,12.18,276,4,18.63,434,3,135.06,115,6,18.04,4,11,0.25,2,7,0.1,121,50,1.71,224,189,1.11,365,613,0.58,319,672,0.59,149,140,0.66,91,227,0.49,B0414.5,WBGene00000772,Sequence name for WBGene00000772(cpb-3). History: N.A.
B0414.6,glh-3,"glh-3 encodes a predicted DEAD-like RNA helicase; GLH-3 interacts with itself and with CSN-5, KGB-1, ZYX-1, and GLH-1 in vitro, and is expressed in association with P granules throughout development. ",ATP-dependent RNA helicase ,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 7,49,0,11.13,37,2,4.81,48,2,10.31,71,1,12.1,129,4,32.29,53,1,29.39,0,12,0.05,13,3,0.89,22,27,0.59,70,69,0.95,116,372,0.31,77,402,0.24,33,57,0.36,29,92,0.39,B0414.6,WBGene00001600,Sequence name for WBGene00001600(glh-3). History: N.A.
B0464.1,drs-1,drs-1 encodes a putative aspartyl(D) tRNA synthetase ,Aspartyl-tRNA synthetase ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 20,19,14,0.3,22,4,1.75,35,4,4.54,87,6,4.23,49,8,6.9,10,0,11.97,183,97,1.12,607,152,1.01,182,178,0.73,773,580,1.25,687,503,1.34,538,571,1.16,367,134,1.69,177,156,1.37,B0464.1,WBGene00001094,Sequence name for WBGene00001094(dars-1). History: Renamed on 2010-01-29
B0464.2,B0464.2,,TPR-containing nuclear phosphoprotein that regulates K(+) uptake ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 20,35,0,8.01,24,2,3.16,47,5,5.05,48,1,8.24,104,5,21.73,17,3,4.9,258,66,2.3,721,128,1.43,260,190,0.97,729,743,0.92,848,598,1.39,794,640,1.53,636,237,1.66,245,329,0.9,B0464.2,WBGene00007184,Sequence name for WBGene00007184(ctr-9). History: Renamed on 2014-11-12
B0464.5c,spk-1,"spk-1 encodes a serine/threonine kinase orthologous to the highly conserved serine/arginine-rich protein kinases (SRPKs) that phosphorylate SR proteins, essential components of the pre-mRNA splicing machinery; SPK-1, required for embryogenesis and germline development, can directly bind and phosphorylate RSP-3 (CeSF2/ASF), an SR splicing factor homolog; SPK-1 is expressed predominantly in the adult germline; SPK-1 is homologous to human RSK2, which when mutated leads to Coffin-Lowry syndrome (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=303600"">OMIM:303600</a>). ",Serine/threonine protein kinase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,73,1,8.24,75,10,2.62,65,3,10.41,243,12,6.31,257,18,16.86,60,3,16.6,532,171,1.85,1289,262,1.25,573,300,1.36,974,965,0.95,1107,1356,0.8,738,1254,0.73,599,359,1.03,321,658,0.59,B0464.5c,WBGene00004980,Molecule name for WBGene00004980(spk-1). History: N.A.
B0464.6,B0464.6,,Uncharacterized conserved membrane protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 11,16,0,3.78,12,12,0.38,36,3,5.84,83,1,14.12,48,1,30.43,35,0,39.18,49,1,14.89,153,31,1.23,53,51,0.74,257,167,1.45,472,432,1.07,430,416,1.28,242,77,1.93,133,149,1.08,B0464.6,WBGene00007186,Public name for WBGene00007186. History: N.A.
B0511.10,eif-3.E,"eif-3.E encodes the C. elegans ortholog of the translation initiation factor 3 subunit e (eIF3e/Int-6); by homology, EIF-3.E is predicted to be a component of three different protein complexes, the eIF3 translation initiation factor, the 26S proteasome, and the COP9 signalosome; such association suggests that EIF-3.E may serve as a regulatory factor that coordinates the translational and degradative activities of these various complexes; in C. elegans, large-scale RNAi screens indicate that eif-3.E is required for embryonic, larval, and germline development, as well as proper vulval morphogenesis. ","Translation initiation factor 3, subunit e (eIF-3e) ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 5,30,7,0.86,21,8,0.93,87,4,11.11,225,3,19.0,164,3,51.23,83,1,45.71,254,103,1.46,597,208,0.73,337,200,1.2,616,532,1.09,434,326,1.3,313,335,1.16,199,60,2.03,144,112,1.55,B0511.10,WBGene00001228,Sequence name for WBGene00001228(eif-3.E). History: N.A.
B0511.8,tag-264,,Mitochondrial 28S ribosomal protein S30 ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 2,24,0,5.56,19,4,1.52,45,3,7.26,38,1,6.56,53,2,22.36,21,0,23.94,415,55,4.42,507,111,1.16,133,81,1.17,249,354,0.66,198,260,0.75,144,295,0.61,78,53,0.9,77,81,1.15,B0511.8,WBGene00044321,"Sequence name for WBGene00044321(mrps-30). History: Renamed on 2011-06-10. Public name for Dead gene WBGene00015234. History of WBGene00015234: Merged into ""WBGene00044321"" on 2006-06-29"
B0546.2,B0546.2,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,18,0,4.23,11,1,2.28,25,1,8.2,42,1,7.23,38,1,24.22,24,0,27.21,4,0,2.98,21,13,0.4,17,11,1.07,52,36,1.35,76,113,0.66,61,104,0.73,32,32,0.62,32,38,1.02,B0546.2,WBGene00015249,Sequence name for WBGene00015249(otub-4). History: N.A.
C01B10.9,C01B10.9,,Type I phosphodiesterase/nucleotide pyrophosphatase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,42,0,9.57,43,6,2.39,31,3,5.05,43,1,7.4,91,4,22.85,16,0,18.5,36,42,0.51,148,28,1.31,50,32,1.1,162,71,2.13,114,145,0.77,109,193,0.7,108,31,2.11,61,54,1.36,C01B10.9,WBGene00015283,Public name for WBGene00015283. History: N.A.
C01B7.6,rpm-1,"rpm-1 encodes an E3 ubiquitin ligase that contains an N-terminal RCC1 (regulator of chromosome condensation)-like guanine nucleotide exchange factor (GEF) domain and that is orthologous to Drosophila highwire and murine Phr1; RPM-1 functions autonomously within several different types of neurons to regulate presynaptic differentiation; in regulating axon termination, RPM-1 acts through the GLO-4 guanine nucleotide exchange factor that positively regulates vesicular trafficking through GLO-1/Rab; in regulating synaptogenesis, RPM-1 functions as part of an SCF-like ubiquitin ligase complex that negatively regulates signaling through the DLK-1 MAP kinase cascade; RPM-1 is expressed in most, if not all, neurons from the comma stage of embryogenesis through adulthood; RPM-1 expression is also seen in the pharynx, coelomocytes, and distal tip cells; in neurons, RPM-1 localizes to presynaptic terminals. ",Inhibitor of type V adenylyl cyclases/Neuronal presynaptic protein Highwire/PAM/RPM-1 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 1,104,6,3.34,88,11,2.82,187,24,4.75,210,14,4.73,344,33,12.6,109,7,14.96,130,9,7.8,290,71,1.03,99,54,1.3,212,144,1.38,35,27,1.26,24,31,0.97,6,8,0.48,5,10,0.66,C01B7.6,WBGene00004457,Sequence name for WBGene00004457(rpm-1). History: N.A.
C01G10.8,C01G10.8,,Uncharacterized conserved protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 20,16,4,0.76,21,1,4.18,80,1,25.56,136,0,46.07,148,2,61.68,36,0,40.27,413,60,4.04,1219,192,1.61,444,294,1.08,639,898,0.67,1052,707,1.46,913,707,1.6,429,143,1.85,277,232,1.44,C01G10.8,WBGene00007235,Sequence name for WBGene00007235(ahsa-1). History: N.A.
C01H6.5b,nhr-23,"The nhr-23 gene encodes a nuclear hormone receptor homolog that is required in all larval molts; NHR-23 is highly similar to Drosophila DHR3, an ecdysone-inducible gene product involved in metamorphosis; NHR-23 is required for hypodermal expression of acn-1 and, probably, of dpy-7. ",Steroid hormone nuclear receptor ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain ,91,4,4.1,82,14,2.1,76,14,3.24,151,16,3.01,517,42,14.96,235,12,19.76,29,3,4.47,236,80,0.75,31,55,0.41,153,62,2.3,45,212,0.21,47,205,0.29,10,42,0.16,26,43,0.74,C01H6.5b,WBGene00003622,Molecule name for WBGene00003622(nhr-23). History: Renamed on 2015-03-05
C01H6.9,C01H6.9,"C01H6.9 encodes a homolog of haploid germ cell-specific nuclear protein kinase (haspin) that specifically binds GOA-1 in yeast two-hybrid assays; C01H6.9 is expressed in PHB sensory neurons and PVT interneurons in the tail, several unidentified neurons in the head (with projections to the nose and nerve ring), and intestinal cells, with mainly nuclear localization; C01H6.9 has no obvious function or phenotype in RNAi assays, either alone or with inactivation of a close paralog (F22H10.5). ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,,33,0,7.57,31,8,1.35,73,9,4.67,71,0,24.21,212,4,52.91,75,0,82.72,15,0,9.53,60,15,0.97,37,25,1.04,141,146,0.91,89,505,0.17,77,508,0.19,63,90,0.43,45,152,0.36,C01H6.9,WBGene00007258,Sequence name for WBGene00007258(hasp-1). History: N.A.
C02B10.4,C02B10.4,,RRM motif-containing protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 11,21,23,0.2,22,4,1.75,81,5,8.62,127,6,6.15,119,3,37.26,63,0,69.65,63,13,2.72,156,37,1.05,138,53,1.84,181,210,0.81,425,322,1.29,344,273,1.56,201,86,1.44,126,144,1.06,C02B10.4,WBGene00015329,Public name for WBGene00015329. History: N.A.
C02F5.1,knl-1,"knl-1 encodes a novel acidic protein with a coiled-coil region at its C-terminus; KNL-1 is an essential kinetochore component that is required for proper spindle elongation and chromosome separation, and in the kinetochore assembly pathway, plays a key role in linking the initiation of kinetochore formation with the construction of a functional microtubule-binding interface; in the assembly pathway, KNL-1 functions downstream of the DNA-proximal kinetochore components CeCENP-A/HCP-3 and CeCENP-B/HCP-4 and upstream of the outer kinetochore components HIM-10/Nuf2p, NDC-80/HEC1, CeBUB-1, HCP-1, and CeCLASP2/CLS-2; in expression studies in the one-cell embryo, KNL-1 localizes to kinetochores throughout mitosis. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,68,2,5.12,67,7,3.23,123,11,6.52,269,5,15.13,251,4,62.59,112,0,122.98,120,17,4.0,170,54,0.79,150,130,0.82,339,500,0.64,774,1237,0.61,582,1237,0.58,208,242,0.53,135,434,0.38,C02F5.1,WBGene00002231,Sequence name for WBGene00002231(knl-1). History: N.A.
C04D8.1,pac-1,"pac-1 encodes a RhoGAP (Rho guanosine triphosphatase (GTPase) activating protein); in the embryo, PAC-1 is essential for establishment of radial (inner-outer) asymmetry and specifically, for differential localization of PAR-6, PAR-3, and PKC-3 to outer somatic cell surfaces devoid of cell-cell contacts; in regulating PAR protein localization, PAC-1 appears to act by spatially regulating activity of the CDC-42 Rho GTPase which can bind PAR-6 and is required, genetically, for PAR-6 localization to the outer cell surface; a PAC-1::GFP fusion protein expressed in the early embryo and in cultured embryos localizes to points of cell-cell contact. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,64,13,1.03,63,13,1.74,67,13,3.07,198,16,3.94,265,51,6.35,122,3,33.47,102,123,0.49,355,92,0.98,94,87,0.77,347,206,1.58,196,339,0.57,154,366,0.52,78,95,0.51,46,74,0.76,C04D8.1,WBGene00015418,Sequence name for WBGene00015418(pac-1). History: N.A.
