# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Embryo Targets 50–150 RPM (670),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000796,,,,WBGene00000796,WBGene00000796,History: Renamed on 2007-06-04
WBGene00000804,,,,WBGene00000804,WBGene00000804,History: N.A.
WBGene00000817,,,,WBGene00000817,WBGene00000817,History: N.A.
WBGene00000833,,,,WBGene00000833,WBGene00000833,History: N.A.
WBGene00000838,,,,WBGene00000838,WBGene00000838,History: N.A.
WBGene00000839,,,,WBGene00000839,WBGene00000839,History: N.A.
WBGene00000840,,,,WBGene00000840,WBGene00000840,History: N.A.
WBGene00000866,,,,WBGene00000866,WBGene00000866,History: N.A.
WBGene00000867,,,,WBGene00000867,WBGene00000867,History: N.A.
WBGene00000869,,,,WBGene00000869,WBGene00000869,History: N.A.
WBGene00000877,,,,WBGene00000877,WBGene00000877,History: N.A.
WBGene00000879,,,,WBGene00000879,WBGene00000879,History: N.A.
WBGene00000891,,,,WBGene00000891,WBGene00000891,History: N.A.
WBGene00000894,,,,WBGene00000894,WBGene00000894,History: N.A.
WBGene00000935,,,,WBGene00000935,WBGene00000935,History: N.A.
WBGene00000995,,,,WBGene00000995,WBGene00000995,History: N.A.
WBGene00001028,,,,WBGene00001028,WBGene00001028,History: N.A.
WBGene00001037,,,,WBGene00001037,WBGene00001037,History: Renamed on 2005-12-16
WBGene00001060,,,,WBGene00001060,WBGene00001060,History: N.A.
WBGene00001061,,,,WBGene00001061,WBGene00001061,History: N.A.
WBGene00001090,,,,WBGene00001090,WBGene00001090,History: N.A.
WBGene00001094,,,,WBGene00001094,WBGene00001094,History: Renamed on 2010-01-29
WBGene00001102,,,,WBGene00001102,WBGene00001102,History: N.A.
WBGene00001130,,,,WBGene00001130,WBGene00001130,History: N.A.
WBGene00001160,,,,WBGene00001160,WBGene00001160,History: N.A.
WBGene00001173,,,,WBGene00001173,WBGene00001173,History: Renamed on 2005-11-22; Renamed on 2010-12-07; Renamed on 2011-07-12; Renamed on 2012-06-20
WBGene00001209,,,,WBGene00001209,WBGene00001209,History: N.A.
WBGene00001227,,,,WBGene00001227,WBGene00001227,History: N.A.
WBGene00001228,,,,WBGene00001228,WBGene00001228,History: N.A.
WBGene00001231,,,,WBGene00001231,WBGene00001231,History: N.A.
WBGene00001303,,,,WBGene00001303,WBGene00001303,History: Renamed on 2019-05-20
WBGene00001324,,,,WBGene00001324,WBGene00001324,History: N.A.
WBGene00001332,,,,WBGene00001332,WBGene00001332,History: N.A.
WBGene00001336,,,,WBGene00001336,WBGene00001336,History: Renamed on 2010-01-29
WBGene00001337,,,,WBGene00001337,WBGene00001337,History: Renamed on 2010-01-29
WBGene00001372,,,,WBGene00001372,WBGene00001372,History: N.A.
WBGene00001404,,,,WBGene00001404,WBGene00001404,History: N.A.
WBGene00001412,,,,WBGene00001412,WBGene00001412,History: N.A.
WBGene00001498,,,,WBGene00001498,WBGene00001498,History: Renamed on 2010-01-29
WBGene00001503,,,,WBGene00001503,WBGene00001503,History: N.A.
WBGene00001511,,,,WBGene00001511,WBGene00001511,History: Renamed on 2017-02-17
WBGene00001514,,,,WBGene00001514,WBGene00001514,History: Renamed on 2008-09-15
WBGene00001569,,,,WBGene00001569,WBGene00001569,History: Renamed on 2014-08-15
WBGene00001574,,,,WBGene00001574,WBGene00001574,History: N.A.
WBGene00001584,,,,WBGene00001584,WBGene00001584,History: Renamed on 2011-05-17
WBGene00001595,,,,WBGene00001595,WBGene00001595,History: N.A.
WBGene00001596,,,,WBGene00001596,WBGene00001596,History: N.A.
WBGene00001597,,,,WBGene00001597,WBGene00001597,History: N.A.
WBGene00001600,,,,WBGene00001600,WBGene00001600,History: N.A.
WBGene00001606,,,,WBGene00001606,WBGene00001606,History: N.A.
WBGene00001607,,,,WBGene00001607,WBGene00001607,History: N.A.
WBGene00001647,,,,WBGene00001647,WBGene00001647,History: N.A.
WBGene00001653,,,,WBGene00001653,WBGene00001653,History: N.A.
WBGene00001679,,,,WBGene00001679,WBGene00001679,"History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
WBGene00001683,,,,WBGene00001683,WBGene00001683,History: N.A.
WBGene00001686,,,,WBGene00001686,WBGene00001686,History: N.A.
WBGene00001747,,,,WBGene00001747,WBGene00001747,History: N.A.
WBGene00001748,,,,WBGene00001748,WBGene00001748,History: N.A.
WBGene00001749,,,,WBGene00001749,WBGene00001749,History: N.A.
WBGene00001793,,,,WBGene00001793,WBGene00001793,History: N.A.
WBGene00001827,,,,WBGene00001827,WBGene00001827,History: N.A.
WBGene00001834,,,,WBGene00001834,WBGene00001834,History: N.A.
WBGene00001862,,,,WBGene00001862,WBGene00001862,History: N.A.
WBGene00001974,,,,WBGene00001974,WBGene00001974,History: N.A.
WBGene00001997,,,,WBGene00001997,WBGene00001997,History: N.A.
WBGene00002000,,,,WBGene00002000,WBGene00002000,History: Renamed on 2019-11-21
WBGene00002007,,,,WBGene00002007,WBGene00002007,History: N.A.
WBGene00002008,,,,WBGene00002008,WBGene00002008,History: N.A.
WBGene00002027,,,,WBGene00002027,WBGene00002027,History: N.A.
WBGene00002061,,,,WBGene00002061,WBGene00002061,History: N.A.
WBGene00002066,,,,WBGene00002066,WBGene00002066,History: N.A.
WBGene00002074,,,,WBGene00002074,WBGene00002074,History: N.A.
WBGene00002079,,,,WBGene00002079,WBGene00002079,History: Renamed on 2008-01-30
WBGene00002144,,,,WBGene00002144,WBGene00002144,History: N.A.
WBGene00002148,,,,WBGene00002148,WBGene00002148,History: Renamed on 2006-03-22
WBGene00002201,,,,WBGene00002201,WBGene00002201,History: N.A.
WBGene00002202,,,,WBGene00002202,WBGene00002202,History: N.A.
WBGene00002238,,,,WBGene00002238,WBGene00002238,History: Renamed on 2010-01-29
WBGene00002244,,,,WBGene00002244,WBGene00002244,History: N.A.
WBGene00002344,,,,WBGene00002344,WBGene00002344,History: N.A.
WBGene00002957,,,,WBGene00002957,WBGene00002957,History: N.A.
WBGene00002985,,,,WBGene00002985,WBGene00002985,History: N.A.
WBGene00002986,,,,WBGene00002986,WBGene00002986,History: N.A.
WBGene00003030,,,,WBGene00003030,WBGene00003030,History: N.A.
WBGene00003043,,,,WBGene00003043,WBGene00003043,History: N.A.
WBGene00003048,,,,WBGene00003048,WBGene00003048,History: N.A.
WBGene00003073,,,,WBGene00003073,WBGene00003073,History: Renamed on 2010-01-29
WBGene00003076,,,,WBGene00003076,WBGene00003076,History: N.A.
WBGene00003086,,,,WBGene00003086,WBGene00003086,History: N.A.
WBGene00003144,,,,WBGene00003144,WBGene00003144,History: Renamed on 2006-12-04
WBGene00003196,,,,WBGene00003196,WBGene00003196,History: N.A.
WBGene00003220,,,,WBGene00003220,WBGene00003220,History: N.A.
WBGene00003222,,,,WBGene00003222,WBGene00003222,History: N.A.
WBGene00003228,,,,WBGene00003228,WBGene00003228,History: N.A.
WBGene00003230,,,,WBGene00003230,WBGene00003230,History: N.A.
WBGene00003253,,,,WBGene00003253,WBGene00003253,History: N.A.
WBGene00003378,,,,WBGene00003378,WBGene00003378,History: N.A.
WBGene00003391,,,,WBGene00003391,WBGene00003391,History: N.A.
WBGene00003405,,,,WBGene00003405,WBGene00003405,History: N.A.
WBGene00003406,,,,WBGene00003406,WBGene00003406,History: N.A.
WBGene00003413,,,,WBGene00003413,WBGene00003413,History: N.A.
WBGene00003422,,,,WBGene00003422,WBGene00003422,History: N.A.
WBGene00003476,,,,WBGene00003476,WBGene00003476,History: N.A.
WBGene00003478,,,,WBGene00003478,WBGene00003478,History: N.A.
WBGene00003479,,,,WBGene00003479,WBGene00003479,History: N.A.
WBGene00003508,,,,WBGene00003508,WBGene00003508,History: Renamed on 2013-10-16
WBGene00003576,,,,WBGene00003576,WBGene00003576,History: Renamed on 2006-01-16
WBGene00003587,,,,WBGene00003587,WBGene00003587,History: N.A.
WBGene00003815,,,,WBGene00003815,WBGene00003815,History: Renamed on 2010-01-29; Renamed on 2015-03-05
WBGene00003825,,,,WBGene00003825,WBGene00003825,History: N.A.
WBGene00003831,,,,WBGene00003831,WBGene00003831,History: N.A.
WBGene00003864,,,,WBGene00003864,WBGene00003864,History: N.A.
WBGene00003865,,,,WBGene00003865,WBGene00003865,History: N.A.
WBGene00003901,,,,WBGene00003901,WBGene00003901,History: N.A.
WBGene00003916,,,,WBGene00003916,WBGene00003916,History: N.A.
WBGene00003923,,,,WBGene00003923,WBGene00003923,History: N.A.
WBGene00003924,,,,WBGene00003924,WBGene00003924,History: N.A.
WBGene00003926,,,,WBGene00003926,WBGene00003926,History: Renamed on 2009-01-09
WBGene00003964,,,,WBGene00003964,WBGene00003964,History: N.A.
WBGene00004014,,,,WBGene00004014,WBGene00004014,History: N.A.
WBGene00004027,,,,WBGene00004027,WBGene00004027,History: N.A.
WBGene00004028,,,,WBGene00004028,WBGene00004028,History: N.A.
WBGene00004049,,,,WBGene00004049,WBGene00004049,History: Renamed on 2014-11-18
WBGene00004051,,,,WBGene00004051,WBGene00004051,History: Renamed on 2014-11-18
WBGene00004076,,,,WBGene00004076,WBGene00004076,History: N.A.
WBGene00004090,,,,WBGene00004090,WBGene00004090,History: Renamed on 2018-07-02
WBGene00004101,,,,WBGene00004101,WBGene00004101,History: Renamed on 2008-01-18
WBGene00004109,,,,WBGene00004109,WBGene00004109,History: N.A.
WBGene00004125,,,,WBGene00004125,WBGene00004125,History: Renamed on 2010-04-23
WBGene00004167,,,,WBGene00004167,WBGene00004167,History: N.A.
WBGene00004180,,,,WBGene00004180,WBGene00004180,History: N.A.
WBGene00004189,,,,WBGene00004189,WBGene00004189,History: Renamed on 2010-01-29
WBGene00004204,,,,WBGene00004204,WBGene00004204,History: Renamed on 2011-02-11
WBGene00004209,,,,WBGene00004209,WBGene00004209,History: N.A.
WBGene00004258,,,,WBGene00004258,WBGene00004258,History: N.A.
WBGene00004259,,,,WBGene00004259,WBGene00004259,History: N.A.
WBGene00004268,,,,WBGene00004268,WBGene00004268,History: N.A.
WBGene00004271,,,,WBGene00004271,WBGene00004271,History: N.A.
WBGene00004296,,,,WBGene00004296,WBGene00004296,History: N.A.
WBGene00004304,,,,WBGene00004304,WBGene00004304,History: N.A.
WBGene00004319,,,,WBGene00004319,WBGene00004319,History: N.A.
WBGene00004324,,,,WBGene00004324,WBGene00004324,History: N.A.
WBGene00004333,,,,WBGene00004333,WBGene00004333,History: N.A.
WBGene00004336,,,,WBGene00004336,WBGene00004336,History: N.A.
WBGene00004357,,,,WBGene00004357,WBGene00004357,History: N.A.
WBGene00004373,,,,WBGene00004373,WBGene00004373,History: N.A.
WBGene00004391,,,,WBGene00004391,WBGene00004391,History: N.A.
WBGene00004392,,,,WBGene00004392,WBGene00004392,History: N.A.
WBGene00004462,,,,WBGene00004462,WBGene00004462,History: N.A.
WBGene00004463,,,,WBGene00004463,WBGene00004463,History: N.A.
WBGene00004464,,,,WBGene00004464,WBGene00004464,History: N.A.
WBGene00004465,,,,WBGene00004465,WBGene00004465,History: N.A.
WBGene00004501,,,,WBGene00004501,WBGene00004501,History: N.A.
WBGene00004504,,,,WBGene00004504,WBGene00004504,History: N.A.
WBGene00004505,,,,WBGene00004505,WBGene00004505,History: N.A.
WBGene00004506,,,,WBGene00004506,WBGene00004506,History: N.A.
WBGene00004510,,,,WBGene00004510,WBGene00004510,History: Renamed on 2016-06-06
WBGene00004684,,,,WBGene00004684,WBGene00004684,History: N.A.
WBGene00004704,,,,WBGene00004704,WBGene00004704,History: N.A.
WBGene00004706,,,,WBGene00004706,WBGene00004706,History: N.A.
WBGene00004736,,,,WBGene00004736,WBGene00004736,History: N.A.
WBGene00004754,,,,WBGene00004754,WBGene00004754,History: N.A.
WBGene00004768,,,,WBGene00004768,WBGene00004768,History: Renamed on 2008-11-05
WBGene00004882,,,,WBGene00004882,WBGene00004882,History: N.A.
WBGene00004914,,,,WBGene00004914,WBGene00004914,History: N.A.
WBGene00004919,,,,WBGene00004919,WBGene00004919,History: N.A.
WBGene00004946,,,,WBGene00004946,WBGene00004946,History: N.A.
WBGene00004953,,,,WBGene00004953,WBGene00004953,History: N.A.
WBGene00005006,,,,WBGene00005006,WBGene00005006,History: Renamed on 2007-02-07
WBGene00005010,,,,WBGene00005010,WBGene00005010,History: N.A.
WBGene00005019,,,,WBGene00005019,WBGene00005019,History: N.A.
WBGene00005022,,,,WBGene00005022,WBGene00005022,History: N.A.
WBGene00006307,,,,WBGene00006307,WBGene00006307,History: N.A.
WBGene00006352,,,,WBGene00006352,WBGene00006352,History: N.A.
WBGene00006373,,,,WBGene00006373,WBGene00006373,History: Renamed on 2010-04-16
WBGene00006381,,,,WBGene00006381,WBGene00006381,History: N.A.
WBGene00006392,,,,WBGene00006392,WBGene00006392,History: N.A.
WBGene00006406,,,,WBGene00006406,WBGene00006406,History: N.A.
WBGene00006434,,,,WBGene00006434,WBGene00006434,History: N.A.
WBGene00006437,,,,WBGene00006437,WBGene00006437,History: Renamed on 2008-07-18
WBGene00006446,,,,WBGene00006446,WBGene00006446,History: N.A.
WBGene00006460,,,,WBGene00006460,WBGene00006460,History: Renamed on 2011-06-10; Renamed on 2018-05-24
WBGene00006481,,,,WBGene00006481,WBGene00006481,History: Renamed on 2005-03-17; Renamed on 2012-04-13
WBGene00006492,,,,WBGene00006492,WBGene00006492,History: Renamed on 2015-03-03
WBGene00006496,,,,WBGene00006496,WBGene00006496,History: Renamed on 2008-07-18
WBGene00006499,,,,WBGene00006499,WBGene00006499,History: N.A.
WBGene00006562,,,,WBGene00006562,WBGene00006562,History: N.A.
WBGene00006565,,,,WBGene00006565,WBGene00006565,History: N.A.
WBGene00006577,,,,WBGene00006577,WBGene00006577,History: N.A.
WBGene00006601,,,,WBGene00006601,WBGene00006601,History: N.A.
WBGene00006613,,,,WBGene00006613,WBGene00006613,History: N.A.
WBGene00006619,,,,WBGene00006619,WBGene00006619,History: N.A.
WBGene00006703,,,,WBGene00006703,WBGene00006703,History: N.A.
WBGene00006707,,,,WBGene00006707,WBGene00006707,History: N.A.
WBGene00006708,,,,WBGene00006708,WBGene00006708,History: N.A.
WBGene00006720,,,,WBGene00006720,WBGene00006720,History: N.A.
WBGene00006755,,,,WBGene00006755,WBGene00006755,History: N.A.
WBGene00006773,,,,WBGene00006773,WBGene00006773,History: N.A.
WBGene00006796,,,,WBGene00006796,WBGene00006796,History: N.A.
WBGene00006829,,,,WBGene00006829,WBGene00006829,History: N.A.
WBGene00006833,,,,WBGene00006833,WBGene00006833,History: Renamed on 2008-11-18
WBGene00006868,,,,WBGene00006868,WBGene00006868,History: N.A.
WBGene00006910,,,,WBGene00006910,WBGene00006910,History: Renamed on 2005-11-29; Renamed on 2006-01-12
WBGene00006916,,,,WBGene00006916,WBGene00006916,History: N.A.
WBGene00006917,,,,WBGene00006917,WBGene00006917,History: N.A.
WBGene00006933,,,,WBGene00006933,WBGene00006933,History: N.A.
WBGene00006934,,,,WBGene00006934,WBGene00006934,History: N.A.
WBGene00006936,,,,WBGene00006936,WBGene00006936,History: Renamed on 2010-01-29; Renamed on 2015-10-07
WBGene00006957,,,,WBGene00006957,WBGene00006957,History: N.A.
WBGene00006974,,,,WBGene00006974,WBGene00006974,History: N.A.
WBGene00006977,,,,WBGene00006977,WBGene00006977,History: N.A.
WBGene00007008,,,,WBGene00007008,WBGene00007008,History: N.A.
WBGene00007010,,,,WBGene00007010,WBGene00007010,History: N.A.
WBGene00007024,,,,WBGene00007024,WBGene00007024,History: N.A.
WBGene00007029,,,,WBGene00007029,WBGene00007029,History: N.A.
WBGene00007042,,,,WBGene00007042,WBGene00007042,History: Renamed on 2007-08-01
WBGene00007050,,,,WBGene00007050,WBGene00007050,History: Renamed on 2016-02-19
WBGene00007087,,,,WBGene00007087,WBGene00007087,History: N.A.
WBGene00007100,,,,WBGene00007100,WBGene00007100,History: N.A.
WBGene00007101,,,,WBGene00007101,WBGene00007101,History: N.A.
WBGene00007111,,,,WBGene00007111,WBGene00007111,History: N.A.
WBGene00007118,,,,WBGene00007118,WBGene00007118,History: Renamed on 2008-01-28
WBGene00007135,,,,WBGene00007135,WBGene00007135,History: N.A.
WBGene00007144,,,,WBGene00007144,WBGene00007144,History: N.A.
WBGene00007186,,,,WBGene00007186,WBGene00007186,History: N.A.
WBGene00007256,,,,WBGene00007256,WBGene00007256,History: Renamed on 2012-08-29
WBGene00007258,,,,WBGene00007258,WBGene00007258,History: N.A.
WBGene00007385,,,,WBGene00007385,WBGene00007385,History: N.A.
WBGene00007412,,,,WBGene00007412,WBGene00007412,History: N.A.
WBGene00007413,,,,WBGene00007413,WBGene00007413,History: N.A.
WBGene00007463,,,,WBGene00007463,WBGene00007463,History: N.A.
WBGene00007500,,,,WBGene00007500,WBGene00007500,History: N.A.
WBGene00007534,,,,WBGene00007534,WBGene00007534,History: Renamed on 2017-12-07
WBGene00007561,,,,WBGene00007561,WBGene00007561,History: N.A.
WBGene00007564,,,,WBGene00007564,WBGene00007564,History: N.A.
WBGene00007587,,,,WBGene00007587,WBGene00007587,History: N.A.
WBGene00007588,,,,WBGene00007588,WBGene00007588,History: N.A.
WBGene00007616,,,,WBGene00007616,WBGene00007616,History: N.A.
WBGene00007617,,,,WBGene00007617,WBGene00007617,History: N.A.
WBGene00007622,,,,WBGene00007622,WBGene00007622,History: N.A.
WBGene00007630,,,,WBGene00007630,WBGene00007630,History: N.A.
WBGene00007643,,,,WBGene00007643,WBGene00007643,History: N.A.
WBGene00007646,,,,WBGene00007646,WBGene00007646,History: N.A.
WBGene00007703,,,,WBGene00007703,WBGene00007703,History: Renamed on 2005-03-17
WBGene00007786,,,,WBGene00007786,WBGene00007786,History: N.A.
WBGene00007797,,,,WBGene00007797,WBGene00007797,History: N.A.
WBGene00007965,,,,WBGene00007965,WBGene00007965,History: N.A.
WBGene00007971,,,,WBGene00007971,WBGene00007971,"History: Split into C36B1.14(WBGene00044614), B0252.8(WBGene00044615). History of WBGene00007971: Split into ""WBGene00044615"" on 2005-08-22"
WBGene00008052,,,,WBGene00008052,WBGene00008052,History: Renamed on 2017-02-17
WBGene00008081,,,,WBGene00008081,WBGene00008081,History: N.A.
WBGene00008140,,,,WBGene00008140,WBGene00008140,History: Renamed on 2013-10-11; Renamed on 2015-07-01
WBGene00008183,,,,WBGene00008183,WBGene00008183,History: Renamed on 2012-09-25
WBGene00008218,,,,WBGene00008218,WBGene00008218,History: N.A.
WBGene00008219,,,,WBGene00008219,WBGene00008219,History: N.A.
WBGene00008345,,,,WBGene00008345,WBGene00008345,History: N.A.
WBGene00008363,,,,WBGene00008363,WBGene00008363,History: N.A.
WBGene00008400,,,,WBGene00008400,WBGene00008400,History: Renamed on 2005-11-22
WBGene00008412,,,,WBGene00008412,WBGene00008412,History: N.A.
WBGene00008480,,,,WBGene00008480,WBGene00008480,History: N.A.
WBGene00008505,,,,WBGene00008505,WBGene00008505,History: N.A.
WBGene00008514,,,,WBGene00008514,WBGene00008514,"History: Split into mccc-2(WBGene00303021). History of WBGene00008514: Split into ""WBGene00303021"" on 2018-03-06"
WBGene00008532,,,,WBGene00008532,WBGene00008532,History: N.A.
WBGene00008549,,,,WBGene00008549,WBGene00008549,History: N.A.
WBGene00008670,,,,WBGene00008670,WBGene00008670,History: N.A.
WBGene00008684,,,,WBGene00008684,WBGene00008684,History: N.A.
WBGene00008722,,,,WBGene00008722,WBGene00008722,History: N.A.
WBGene00008780,,,,WBGene00008780,WBGene00008780,History: N.A.
WBGene00008789,,,,WBGene00008789,WBGene00008789,History: N.A.
WBGene00008882,,,,WBGene00008882,WBGene00008882,History: N.A.
WBGene00009006,,,,WBGene00009006,WBGene00009006,History: N.A.
WBGene00009050,,,,WBGene00009050,WBGene00009050,History: N.A.
WBGene00009064,,,,WBGene00009064,WBGene00009064,History: N.A.
WBGene00009082,,,,WBGene00009082,WBGene00009082,History: N.A.
WBGene00009084,,,,WBGene00009084,WBGene00009084,History: N.A.
WBGene00009098,,,,WBGene00009098,WBGene00009098,History: N.A.
WBGene00009163,,,,WBGene00009163,WBGene00009163,History: N.A.
WBGene00009174,,,,WBGene00009174,WBGene00009174,History: N.A.
WBGene00009186,,,,WBGene00009186,WBGene00009186,History: N.A.
WBGene00009188,,,,WBGene00009188,WBGene00009188,"History: Split into F27D4.12(WBGene00303056). History of WBGene00009188: Split into ""WBGene00303056"" on 2018-03-02"
WBGene00009245,,,,WBGene00009245,WBGene00009245,History: Renamed on 2009-04-22
WBGene00009254,,,,WBGene00009254,WBGene00009254,History: N.A.
WBGene00009264,,,,WBGene00009264,WBGene00009264,History: N.A.
WBGene00009284,,,,WBGene00009284,WBGene00009284,History: N.A.
WBGene00009286,,,,WBGene00009286,WBGene00009286,History: N.A.
WBGene00009319,,,,WBGene00009319,WBGene00009319,History: N.A.
WBGene00009322,,,,WBGene00009322,WBGene00009322,History: N.A.
WBGene00009366,,,,WBGene00009366,WBGene00009366,History: N.A.
WBGene00009367,,,,WBGene00009367,WBGene00009367,History: N.A.
WBGene00009372,,,,WBGene00009372,WBGene00009372,"History: Split into F34D10.9(WBGene00045484). History of WBGene00009372: Split into ""WBGene00045484"" on 2007-07-16; Renamed on 2012-08-30"
WBGene00009439,,,,WBGene00009439,WBGene00009439,History: N.A.
WBGene00009477,,,,WBGene00009477,WBGene00009477,History: Renamed on 2013-04-05
WBGene00009594,,,,WBGene00009594,WBGene00009594,History: N.A.
WBGene00009661,,,,WBGene00009661,WBGene00009661,History: N.A.
WBGene00009772,,,,WBGene00009772,WBGene00009772,History: N.A.
WBGene00009793,,,,WBGene00009793,WBGene00009793,History: N.A.
WBGene00009882,,,,WBGene00009882,WBGene00009882,History: N.A.
WBGene00009946,,,,WBGene00009946,WBGene00009946,History: N.A.
WBGene00009974,,,,WBGene00009974,WBGene00009974,History: N.A.
WBGene00009994,,,,WBGene00009994,WBGene00009994,History: N.A.
WBGene00010006,,,,WBGene00010006,WBGene00010006,History: N.A.
WBGene00010015,,,,WBGene00010015,WBGene00010015,History: N.A.
WBGene00010038,,,,WBGene00010038,WBGene00010038,History: N.A.
WBGene00010053,,,,WBGene00010053,WBGene00010053,History: N.A.
WBGene00010080,,,,WBGene00010080,WBGene00010080,History: N.A.
WBGene00010139,,,,WBGene00010139,WBGene00010139,History: N.A.
WBGene00010198,,,,WBGene00010198,WBGene00010198,History: N.A.
WBGene00010232,,,,WBGene00010232,WBGene00010232,History: N.A.
WBGene00010283,,,,WBGene00010283,WBGene00010283,History: N.A.
WBGene00010303,,,,WBGene00010303,WBGene00010303,History: N.A.
WBGene00010317,,,,WBGene00010317,WBGene00010317,History: N.A.
WBGene00010325,,,,WBGene00010325,WBGene00010325,History: N.A.
WBGene00010354,,,,WBGene00010354,WBGene00010354,History: N.A.
WBGene00010363,,,,WBGene00010363,WBGene00010363,"History: Split into H04D03.6(WBGene00194861). History of WBGene00010363: Split into ""WBGene00194861"" on 2009-11-16"
WBGene00010405,,,,WBGene00010405,WBGene00010405,History: N.A.
WBGene00010409,,,,WBGene00010409,WBGene00010409,History: N.A.
WBGene00010465,,,,WBGene00010465,WBGene00010465,"History: Split into ""WBGene00303067"" on 2018-03-02"
WBGene00010476,,,,WBGene00010476,WBGene00010476,History: Renamed on 2008-08-22
WBGene00010478,,,,WBGene00010478,WBGene00010478,History: N.A.
WBGene00010480,,,,WBGene00010480,WBGene00010480,History: N.A.
WBGene00010492,,,,WBGene00010492,WBGene00010492,History: N.A.
WBGene00010551,,,,WBGene00010551,WBGene00010551,History: N.A.
WBGene00010616,,,,WBGene00010616,WBGene00010616,History: N.A.
WBGene00010629,,,,WBGene00010629,WBGene00010629,History: N.A.
WBGene00010638,,,,WBGene00010638,WBGene00010638,History: N.A.
WBGene00010663,,,,WBGene00010663,WBGene00010663,"History: Split into mlc-7(WBGene00023451). History of WBGene00010663: Split into ""WBGene00023451"" on 2004-07-22"
WBGene00010665,,,,WBGene00010665,WBGene00010665,History: N.A.
