# GenomeVersion=C_elegans_May_2008, TotalTreatObs=4186549, TotalCtrlObs=1836221
Name,Chr,Strand,Start,Stop,pVal [10*Log10(p)] ,Bonferroni  pvalue [10*Log10(p)] ,Storey's qValFDR [10*Log10(q)] ,Fold Change (WT+1)/(K39A+1),WT actual antisense reads,WT normalized antisense read count,K39A antisense reads,WT mean read length,K39A mean read length,Input,Suggested Match,History
T07A9.14,chrIV,+,386699,387893,-169.2,-135.8,-157.0,2.8,116,264,95,20.0,21.0,T07A9.14,WBGene00044789,Public name for WBGene00044789. History: N.A.
Y77E11A.3,chrIV,+,1446403,1448315,-157.7,-124.3,-146.0,3.2,90,205,63,19.0,19.0,Y77E11A.3,WBGene00022308,Public name for WBGene00022308. History: N.A.
K11D9.1b,chrIII,+,10805812,10810881,-153.9,-120.5,-142.6,2.0,175,399,200,20.0,21.0,K11D9.1b,WBGene00002219,Molecule name for WBGene00002219(klp-7). History: N.A.
F15D4.5,chrII,+,13245339,13247553,-151.0,-117.6,-140.2,2.4,128,292,123,20.0,21.0,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
F39E9.7,chrII,-,3306027,3307113,-145.5,-112.2,-130.3,25.4,33,75,2,21.0,21.0,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
F13D12.5,chrII,+,11726734,11728348,-140.3,-106.9,-129.8,2.9,89,203,69,19.0,20.0,F13D12.5,WBGene00008740,Public name for WBGene00008740. History: N.A.
E01G4.5,chrII,+,13472340,13473832,-136.3,-102.9,-126.1,55.7,24,55,0,21.0,,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
K08A2.1,chrII,+,2997016,3000648,-122.1,-88.8,-112.3,4.9,47,107,21,20.0,20.0,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
F58D5.3,chrI,+,12069796,12072868,-115.6,-82.2,-106.1,3.9,53,121,30,18.0,19.0,F58D5.3,WBGene00010243,Public name for WBGene00010243. History: N.A.
Y17D7B.4.2,chrV,-,18776168,18780182,-113.5,-80.1,-99.2,51.2,22,50,0,20.0,,,,
Y63D3A.5,chrI,+,14101264,14104571,-108.7,-75.4,-99.5,3.0,66,150,50,20.0,20.0,Y63D3A.5,WBGene00006565,Sequence name for WBGene00006565(tfg-1). History: N.A.
Y48E1B.13c,chrII,+,13601113,13604966,-107.2,-73.8,-98.2,2.0,120,274,138,19.0,20.0,Y48E1B.13c,WBGene00000819,Molecule name for WBGene00000819(csp-1). History: N.A.
F15B9.4,chrV,+,13002323,13006966,-103.5,-70.1,-94.8,1.9,128,292,155,21.0,21.0,F15B9.4,WBGene00008848,Sequence name for WBGene00008848(inft-2). History: N.A.
Y43F8B.9,chrV,+,19479168,19480372,-102.2,-68.8,-93.9,42.0,18,41,0,21.0,,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
F02C12.3,chrX,+,13396949,13397634,-102.2,-68.8,-93.9,2.1,100,228,107,20.0,21.0,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
Y39G10AR.7,chrI,+,2316308,2318286,-100.0,-66.6,-91.9,2.0,109,249,124,21.0,21.0,Y39G10AR.7,WBGene00021465,Sequence name for WBGene00021465(ekl-7). History: N.A.
Y71A12B.17,chrI,+,13984295,13989575,-98.9,-65.5,-91.0,3.5,50,114,32,20.0,21.0,Y71A12B.17,WBGene00045058,Sequence name for WBGene00045058(gadr-5). History: N.A.
R11A8.1,chrIV,-,10355095,10357134,-94.0,-60.7,-80.5,2.2,128,292,134,19.0,20.0,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
Y57G11C.51,chrIV,-,14773562,14774525,-92.3,-58.9,-79.5,3.7,55,125,33,21.0,21.0,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
C41G7.2,chrI,+,9512443,9514746,-90.8,-57.4,-83.2,2.3,77,176,76,21.0,21.0,C41G7.2,WBGene00002226,Sequence name for WBGene00002226(klp-16). History: N.A.
H09G03.1,chrIII,+,3226341,3230641,-90.7,-57.3,-83.2,21.0,18,41,1,19.0,18.0,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
R107.6,chrIII,+,9054962,9058792,-90.1,-56.8,-83.0,1.7,138,315,185,20.0,21.0,R107.6,WBGene00000549,Sequence name for WBGene00000549(cls-2). History: N.A.
R06A10.2,chrI,+,1068593,1075012,-90.1,-56.8,-83.0,3.2,49,112,34,19.0,21.0,R06A10.2,WBGene00001745,Sequence name for WBGene00001745(gsa-1). History: N.A.
Y6B3A.1a,chrI,-,13603890,13626213,-86.7,-53.4,-74.5,8.1,28,64,7,32.0,26.0,Y6B3A.1a,WBGene00012386,Molecule name for WBGene00012386(agef-1). History: N.A.
K12H4.8,chrIII,-,8071842,8080200,-83.6,-50.2,-71.9,8.6,26,59,6,19.0,21.0,K12H4.8,WBGene00000939,Sequence name for WBGene00000939(dcr-1). History: N.A.
M01E11.6,chrI,-,5577058,5579302,-82.3,-48.9,-71.0,2.5,86,196,79,20.0,21.0,M01E11.6,WBGene00002225,Sequence name for WBGene00002225(klp-15). History: N.A.
W04B5.1,chrIII,+,2428212,2429351,-79.5,-46.1,-72.5,32.9,14,32,0,23.0,,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
Y22D7AL.5b,chrIII,+,1619731,1625790,-78.5,-45.2,-71.9,3.5,39,89,25,20.0,21.0,Y22D7AL.5b,WBGene00002025,Molecule name for WBGene00002025(hsp-60). History: N.A.
C05H8.1a,chrIII,+,5635433,5654510,-78.5,-45.1,-71.9,2.3,67,153,67,20.0,21.0,C05H8.1a,WBGene00000518,Molecule name for WBGene00000518(ckk-1). History: N.A.
K08F11.1,chrIV,+,4724853,4725304,-77.5,-44.2,-71.0,8.1,21,48,5,19.0,22.0,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
F43E2.6b,chrII,-,7367355,7368784,-77.0,-43.6,-66.1,2.0,117,267,130,22.0,23.0,F43E2.6b,WBGene00018394,Molecule name for WBGene00018394(F43E2.6). History: N.A.
R06C7.8,chrI,+,7251939,7255223,-76.5,-43.1,-70.1,2.5,55,125,49,21.0,21.0,R06C7.8,WBGene00000275,Sequence name for WBGene00000275(bub-1). History: N.A.
C28C12.2,chrIV,+,8499301,8500063,-74.5,-41.1,-68.3,2.0,79,180,90,20.0,21.0,C28C12.2,WBGene00016178,Sequence name for WBGene00016178(mesp-1). History: N.A.
Y105E8A.28,chrI,-,14497482,14498278,-72.7,-39.4,-62.3,3.4,47,107,31,19.0,19.0,Y105E8A.28,WBGene00013685,Public name for WBGene00013685. History: N.A.
Y116A8B.1,chrIV,+,17216255,17217323,-71.6,-38.2,-65.5,12.5,16,36,2,22.0,22.0,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
F29C12.5,chrII,+,13122947,13124698,-71.1,-37.8,-65.2,2.6,48,109,41,19.0,20.0,F29C12.5,WBGene00009247,Sequence name for WBGene00009247(bath-45). History: N.A.
F52D2.6,chrX,+,1974908,1980932,-68.7,-35.3,-63.0,8.4,18,41,4,22.0,23.0,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
K09H11.3,chrV,+,5717889,5722064,-68.7,-35.3,-63.0,2.1,68,155,75,20.0,21.0,K09H11.3,WBGene00019600,Sequence name for WBGene00019600(rga-3). History: N.A.
ZC53.6,chrX,+,1917464,1919704,-67.8,-34.4,-62.2,2.4,52,119,49,20.0,21.0,ZC53.6,WBGene00022512,Sequence name for WBGene00022512(dot-1.5). History: N.A.
Y48B6A.3,chrII,+,14155672,14165922,-67.5,-34.1,-62.0,3.0,38,87,28,21.0,21.0,Y48B6A.3,WBGene00006964,Sequence name for WBGene00006964(xrn-2). History: N.A.
Y34D9A.4,chrI,-,1030635,1033438,-66.5,-33.1,-56.4,2.4,69,157,64,20.0,21.0,Y34D9A.4,WBGene00004952,"Sequence name for WBGene00004952(spd-1). History: N.A.. Public name for Dead gene WBGene00021330. History of WBGene00021330: Merged into ""WBGene00004952"" on 2004-12-02"
Y82E9BR.10,chrIII,+,1374142,1376532,-66.4,-33.0,-61.0,11.7,15,34,2,23.0,23.0,Y82E9BR.10,WBGene00022343,Public name for WBGene00022343. History: N.A.
F33E11.1,chrV,+,320358,323629,-65.1,-31.8,-59.9,2.0,66,150,74,21.0,22.0,F33E11.1,WBGene00003614,Sequence name for WBGene00003614(nhr-15). History: N.A.
M110.4a,chrII,+,8217163,8222216,-63.4,-30.0,-58.3,3.4,31,71,20,20.0,22.0,M110.4a,WBGene00002066,Molecule name for WBGene00002066(ifg-1). History: N.A.
F55C9.3,chrV,-,19286974,19287577,-61.9,-28.5,-52.1,16.5,14,32,1,21.0,19.0,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
F34D10.4,chrIII,+,3736579,3739731,-60.3,-27.0,-55.3,1.7,88,201,118,20.0,21.0,F34D10.4,WBGene00009374,Public name for WBGene00009374. History: N.A.
W05F2.5,chrI,+,3371770,3373833,-59.8,-26.5,-54.9,3.3,30,68,20,19.0,19.0,W05F2.5,WBGene00021037,Sequence name for WBGene00021037(fbxa-203). History: N.A.
F01G10.1,chrIV,+,10243562,10245723,-58.9,-25.5,-54.1,1.9,64,146,75,21.0,21.0,F01G10.1,WBGene00008506,Sequence name for WBGene00008506(tkt-1). History: N.A.
Y49E10.17,chrIII,+,12436432,12440936,-58.5,-25.1,-53.7,1.6,100,228,143,20.0,21.0,Y49E10.17,WBGene00013036,Sequence name for WBGene00013036(fbxa-218). History: N.A.
Y111B2A.3,chrIII,+,12495966,12499224,-58.4,-25.0,-53.7,2.1,54,123,58,20.0,21.0,Y111B2A.3,WBGene00013729,Public name for WBGene00013729. History: N.A.
C36A4.11,chrIII,+,3840574,3841129,-58.2,-24.9,-53.7,14.2,12,27,1,21.0,22.0,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
W04A8.6,chrI,+,13853066,13859538,-57.9,-24.5,-53.5,2.5,41,93,37,19.0,20.0,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
C52B11.2,chrX,+,1300145,1308131,-57.9,-24.5,-53.5,2.5,41,93,37,20.0,20.0,C52B11.2,WBGene00016871,Sequence name for WBGene00016871(inso-1). History: Renamed on 2013-04-16
T22F3.3b,chrV,+,3579044,3585036,-56.8,-23.5,-52.6,2.5,40,91,36,20.0,21.0,T22F3.3b,WBGene00020696,Molecule name for WBGene00020696(pygl-1). History: N.A.
Y18D10A.25,chrI,+,12916430,12918052,-55.7,-22.3,-51.5,2.0,57,130,65,19.0,21.0,Y18D10A.25,WBGene00001433,Sequence name for WBGene00001433(fkb-8). History: N.A.
C41A3.2b,chrX,+,5413777,5441885,-53.9,-20.5,-49.8,2.4,39,89,36,19.0,20.0,C41A3.2b,WBGene00016559,Molecule name for WBGene00016559(C41A3.2). History: N.A.
C50C3.1,chrIII,+,8191739,8193767,-53.6,-20.2,-49.5,3.3,26,59,17,19.0,20.0,C50C3.1,WBGene00016799,Public name for WBGene00016799. History: N.A.
Y47H10A.5,chrI,-,12095786,12097929,-53.3,-19.9,-43.8,3.0,38,87,28,19.0,21.0,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
ZC308.1d,chrI,+,6369967,6386145,-52.9,-19.5,-48.9,3.1,28,64,20,20.0,22.0,,,
T01C8.5,chrX,-,16791293,16793043,-51.1,-17.7,-41.9,2.1,68,155,73,19.0,20.0,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
T01A4.3,chrI,+,4463855,4466904,-49.8,-16.4,-45.9,2.0,50,114,57,19.0,20.0,T01A4.3,WBGene00016561,"Public name for Dead gene WBGene00020133. History of WBGene00020133: Merged into ""WBGene00016561"" on 2009-05-07"
F36A4.7,chrIV,+,4248063,4258156,-48.9,-15.5,-45.1,1.6,76,173,106,21.0,21.0,F36A4.7,WBGene00000123,Sequence name for WBGene00000123(ama-1). History: Renamed on 2007-10-04
W05H12.2,chrI,-,13411785,13412867,-48.3,-14.9,-39.3,8.2,14,32,3,22.0,22.0,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
C02B10.5,chrIV,+,5083293,5086877,-48.2,-14.8,-44.5,2.3,37,84,36,20.0,21.0,C02B10.5,WBGene00015330,Public name for WBGene00015330. History: N.A.
W05F2.4b,chrI,-,3374791,3402865,-47.2,-13.8,-38.7,2.7,38,87,31,21.0,20.0,W05F2.4b,WBGene00021036,"Molecule name for WBGene00021036(W05F2.4). History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
F55A3.6,chrI,-,10783989,10784780,-47.2,-13.8,-38.7,3.1,32,73,23,20.0,20.0,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
K12D12.1,chrII,+,11875074,11880505,-47.0,-13.6,-43.4,1.7,62,141,81,20.0,21.0,K12D12.1,WBGene00010785,Sequence name for WBGene00010785(top-2). History: Renamed on 2015-07-16
F28D1.10,chrIV,+,12404398,12408655,-47.0,-13.6,-43.4,4.2,18,41,9,20.0,22.0,F28D1.10,WBGene00001580,Sequence name for WBGene00001580(gex-3). History: N.A.
T10B5.6,chrV,+,1869214,1870550,-46.6,-13.3,-43.1,2.1,43,98,47,21.0,21.0,T10B5.6,WBGene00020392,Sequence name for WBGene00020392(knl-3). History: N.A.
Y56A3A.5,chrIII,-,11886397,11892853,-46.4,-13.0,-38.1,5.3,18,41,7,19.0,20.0,Y56A3A.5,WBGene00013226,"Sequence name for WBGene00013226(faah-5). History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
K02F3.4,chrIII,+,833619,835800,-46.1,-12.8,-42.7,1.6,71,162,99,20.0,21.0,K02F3.4,WBGene00019327,Sequence name for WBGene00019327(zip-2). History: N.A.
K08B4.5,chrIV,-,6086333,6089387,-45.4,-12.1,-37.4,2.2,55,125,57,19.0,20.0,K08B4.5,WBGene00019517,Public name for WBGene00019517. History: N.A.
F09C8.2,chrX,-,16140432,16146942,-43.6,-10.2,-35.8,3.0,30,68,22,19.0,19.0,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
F54F2.2a,chrIII,+,8792754,8806181,-42.8,-9.5,-39.5,1.9,46,105,55,19.0,21.0,F54F2.2a,WBGene00006975,Molecule name for WBGene00006975(zfp-1). History: N.A.
F28D9.1,chrI,-,11177835,11182055,-42.6,-9.2,-34.9,5.4,16,36,6,19.0,20.0,F28D9.1,WBGene00004706,Sequence name for WBGene00004706(rsr-1). History: N.A.
C04G2.10,chrIV,+,10115362,10118055,-41.6,-8.2,-38.3,2.2,34,78,35,21.0,21.0,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
F27D4.2a,chrI,-,7704567,7707051,-41.3,-7.9,0.0,19.2,8,18,0,20.0,,F27D4.2a,WBGene00009188,"Molecule name for WBGene00009188(lsy-22). History: Split into F27D4.12(WBGene00303056). History of WBGene00009188: Split into ""WBGene00303056"" on 2018-03-02"
C46C2.3,chrIV,+,9225693,9227759,-41.3,-7.9,-38.1,2.4,29,66,27,19.0,19.0,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
C44C10.5,chrX,+,11691032,11692379,-40.8,-7.4,-37.7,2.6,25,57,21,19.0,21.0,C44C10.5,WBGene00008086,Public name for WBGene00008086. History: N.A.
Y45G5AM.2,chrV,+,4175873,4181646,-40.6,-7.2,-37.5,2.3,30,68,29,21.0,21.0,Y45G5AM.2,WBGene00021555,Sequence name for WBGene00021555(pid-5). History: N.A.
R02D5.1,chrV,+,14508232,14509621,-40.5,-7.1,-37.5,2.2,33,75,34,20.0,21.0,R02D5.1,WBGene00010976,Public name for WBGene00010976. History: N.A.
Y92C3A.3,chrIII,+,1152032,1180880,-40.4,-7.0,-37.4,1.5,74,169,111,20.0,21.0,Y92C3A.3,WBGene00022356,Sequence name for WBGene00022356(eak-3). History: N.A.
T26A5.5b,chrIII,+,6454425,6459952,-40.2,-6.8,-37.3,2.4,28,64,26,20.0,21.0,T26A5.5b,WBGene00020821,Molecule name for WBGene00020821(jhdm-1). History: N.A.
F10G7.4,chrII,+,4698709,4700978,-40.0,-6.6,-37.2,1.7,56,128,76,20.0,21.0,F10G7.4,WBGene00004737,Sequence name for WBGene00004737(scc-1). History: N.A.
C07D10.5,chrII,+,7381499,7383414,-40.0,-6.6,-37.2,3.6,17,39,10,20.0,20.0,C07D10.5,WBGene00015569,Public name for WBGene00015569. History: N.A.
F01G4.4,chrIV,+,11143316,11145894,-39.8,-6.4,-37.1,2.8,22,50,17,20.0,22.0,F01G4.4,WBGene00008503,Public name for WBGene00008503. History: N.A.
T12E12.3,chrIV,+,5541620,5544720,-39.5,-6.1,-36.9,1.5,73,166,110,21.0,21.0,T12E12.3,WBGene00020464,Sequence name for WBGene00020464(tebp-2). History: Renamed on 2021-04-19
C01A2.1,chrI,-,13408785,13411439,-39.4,-6.0,-31.9,4.2,18,41,9,20.0,22.0,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
F18E2.4,chrV,+,12769248,12770825,-39.1,-5.8,-36.5,3.2,19,43,13,19.0,20.0,F18E2.4,WBGene00008937,Sequence name for WBGene00008937(srt-43). History: N.A.
F58A4.3,chrIII,-,9615213,9616367,-38.6,-5.2,-31.4,2.2,46,105,48,20.0,21.0,F58A4.3,WBGene00001831,Sequence name for WBGene00001831(hcp-3). History: N.A.
B0047.1b,chrII,-,2040369,2041616,-38.5,-5.1,-31.4,3.4,22,50,14,19.0,20.0,,,
C50B8.4,chrV,+,13572101,13573326,-38.4,-5.0,-35.8,3.9,15,34,8,19.0,20.0,C50B8.4,WBGene00008226,Public name for WBGene00008226. History: N.A.
W02B12.3c,chrII,+,11453897,11455724,-38.2,-4.8,-35.7,3.2,18,41,12,21.0,21.0,W02B12.3c,WBGene00004698,Molecule name for WBGene00004698(rsp-1). History: N.A.
ZK637.8f,chrIII,+,8905525,8911657,-37.7,-4.3,-35.4,2.5,24,55,21,21.0,21.0,ZK637.8f,WBGene00006768,Molecule name for WBGene00006768(unc-32). History: N.A.
ZK355.2a,chrII,+,2923913,2926518,-37.7,-4.3,-35.4,2.9,20,46,15,20.0,21.0,ZK355.2a,WBGene00022712,Molecule name for WBGene00022712(ZK355.2). History: N.A.
Y110A2AL.1,chrII,+,2875104,2876616,-37.6,-4.3,-35.4,4.1,14,32,7,19.0,21.0,Y110A2AL.1,WBGene00022438,Public name for WBGene00022438. History: N.A.
F28H1.3,chrI,+,3983173,3986917,-37.6,-4.2,-35.4,1.9,41,93,50,21.0,22.0,F28H1.3,WBGene00000197,Sequence name for WBGene00000197(aars-2). History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
W08E12.7,chrIV,+,3295131,3297020,-37.6,-4.2,-35.4,2.7,22,50,18,20.0,21.0,W08E12.7,WBGene00021088,Public name for WBGene00021088. History: N.A.
Y60A3A.12,chrV,-,19904500,19911362,-37.4,-4.0,-30.4,3.6,20,46,12,19.0,21.0,Y60A3A.12,WBGene00000499,Sequence name for WBGene00000499(chk-2). History: N.A.
Y75B8A.18,chrIII,+,12226548,12231998,-37.2,-3.8,-35.1,3.3,17,39,11,22.0,24.0,Y75B8A.18,WBGene00013553,Public name for WBGene00013553. History: N.A.
T12E12.4a,chrIV,+,5538477,5541352,-37.0,-3.6,-34.9,4.4,13,30,6,20.0,21.0,T12E12.4a,WBGene00001093,Molecule name for WBGene00001093(drp-1). History: N.A.
F44B9.3b,chrIII,+,8010707,8013642,-36.6,-3.2,-34.6,1.7,47,107,62,21.0,21.0,F44B9.3b,WBGene00000508,Molecule name for WBGene00000508(cit-1.2). History: N.A.
Y39E4B.8,chrIII,+,13119700,13133756,-36.4,-3.0,-34.4,4.7,12,27,5,18.0,19.0,Y39E4B.8,WBGene00006985,Sequence name for WBGene00006985(zig-8). History: N.A.
C27D9.1,chrII,+,4753443,4755580,-36.3,-2.9,-34.4,1.9,36,82,42,21.0,21.0,C27D9.1,WBGene00016163,Public name for WBGene00016163. History: N.A.
Y55F3BR.2,chrIV,+,858930,874529,-36.3,-2.9,-34.4,2.1,32,73,35,20.0,22.0,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
T21G5.3,chrI,+,6854687,6857528,-36.2,-2.8,-34.4,1.7,51,116,70,21.0,22.0,T21G5.3,WBGene00001598,Sequence name for WBGene00001598(glh-1). History: N.A.
ZK402.3,chrX,+,1402213,1402856,-36.0,-2.7,-34.3,5.2,11,25,4,24.0,23.0,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
Y111B2A.11,chrIII,-,12599184,12608347,-35.9,-2.6,-29.3,4.0,17,39,9,20.0,21.0,Y111B2A.11,WBGene00007030,Sequence name for WBGene00007030(epc-1). History: N.A.
C55B7.6,chrI,-,6474185,6488984,-35.9,-2.6,-29.3,4.0,17,39,9,20.0,19.0,C55B7.6,WBGene00016945,Sequence name for WBGene00016945(sulp-1). History: N.A.
T05F1.13,chrI,+,9650557,9652804,-35.9,-2.5,-34.1,5.9,10,23,3,19.0,20.0,T05F1.13,WBGene00011497,Public name for WBGene00011497. History: N.A.
Y82E9BR.2,chrIII,+,1439086,1443180,-35.7,-2.3,-34.0,3.0,18,41,13,20.0,21.0,Y82E9BR.2,WBGene00022335,Public name for WBGene00022335. History: N.A.
Y17G7A.1,chrII,+,11916428,11917561,-35.5,-2.1,-33.9,1.7,47,107,63,20.0,21.0,Y17G7A.1,WBGene00001977,Sequence name for WBGene00001977(hmg-12). History: N.A.
Y46G5A.5,chrII,-,12736958,12738241,-35.5,-2.1,-29.1,2.0,52,119,60,20.0,21.0,Y46G5A.5,WBGene00012897,Sequence name for WBGene00012897(pisy-1). History: N.A.
C52E2.6,chrII,-,1846593,1848156,-35.5,-2.1,-29.1,2.5,32,73,29,19.0,21.0,C52E2.6,WBGene00016885,Sequence name for WBGene00016885(fbxb-97). History: N.A.
K10G6.3,chrII,+,3961683,3972128,-35.5,-2.1,-33.9,2.7,20,46,16,21.0,20.0,K10G6.3,WBGene00004751,Sequence name for WBGene00004751(sea-2). History: N.A.
Y105C5A.14,chrIV,-,15646113,15648072,-35.0,-1.6,-28.8,5.7,12,27,4,21.0,20.0,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
Y49F6C.5,chrII,+,3371305,3372140,-34.6,-1.3,-33.1,3.1,17,39,12,20.0,20.0,Y49F6C.5,WBGene00021727,Sequence name for WBGene00021727(bath-23). History: N.A.
F21G4.2,chrX,+,9884257,9889638,-34.4,-1.0,-32.9,1.7,47,107,64,20.0,21.0,F21G4.2,WBGene00003410,Sequence name for WBGene00003410(mrp-4). History: N.A.
T12F5.3,chrI,+,3726013,3731220,-34.4,-1.0,-32.9,2.8,19,43,15,21.0,21.0,T12F5.3,WBGene00001601,Sequence name for WBGene00001601(glh-4). History: N.A.
F18A11.2,chrII,+,13032762,13036332,-33.4,0.0,-31.9,2.6,20,46,17,19.0,20.0,F18A11.2,WBGene00008929,Public name for WBGene00008929. History: N.A.
C04F5.1,chrV,+,5119955,5126898,-33.1,0.0,-31.7,1.8,39,89,50,21.0,21.0,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
R06A4.2,chrII,+,14361913,14365079,-32.9,0.0,-31.5,2.3,23,52,22,20.0,21.0,R06A4.2,WBGene00011047,Sequence name for WBGene00011047(tebp-1). History: Renamed on 2021-04-19
F54C9.1,chrII,-,8559325,8561283,-32.6,0.0,-26.5,3.7,16,36,9,19.0,20.0,F54C9.1,WBGene00002065,Sequence name for WBGene00002065(iff-2). History: N.A.
Y110A7A.18,chrI,-,5158518,5162207,-32.4,0.0,-26.4,2.5,28,64,25,21.0,21.0,Y110A7A.18,WBGene00004094,Sequence name for WBGene00004094(ppw-2). History: Renamed on 2011-10-14
R06A4.9,chrII,+,14358295,14361529,-32.3,0.0,-31.0,2.8,17,39,13,20.0,21.0,R06A4.9,WBGene00011051,Sequence name for WBGene00011051(pfs-2). History: N.A.
Y18D10A.17,chrI,+,12904459,12906217,-32.2,0.0,-31.0,1.6,50,114,72,20.0,21.0,Y18D10A.17,WBGene00012484,Sequence name for WBGene00012484(car-1). History: Renamed on 2005-12-05
C36A4.5,chrIII,+,3844254,3848241,-32.1,0.0,-30.9,1.8,38,87,49,20.0,21.0,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
