ProbeName,Fold change([1] vs Zero),Regulation([1] vs Zero),[1](normalized),Common name,gene,Description,GenbankAccession,ControlType,fold change,Input,Suggested Match,History,Input,Suggested Match,History
A_12_P115895,3.0289664,up,1.5988256,B0403.4,B0403.4,protein disulfide-isomerase [B0403.4],,FALSE,1.5988256,,,,,,
A_12_P118664,2.4633596,up,1.3006272,B0412.2,B0412.2,transforming growth factor beta proteins [B0412.2],,FALSE,1.3006272,,,,,,
A_12_P100214,2.102598,up,1.072173,B0432.11,B0432.11,,,FALSE,1.072173,,,,,,
A_12_P114771,7.402389,up,2.887991,B0454.8,B0454.8,,,FALSE,2.887991,,,,,,
A_12_P108435,2.6033437,up,1.3803658,B0457.6,B0457.6,,,FALSE,1.3803658,,,,,,
A_12_P101524,8.905065,up,3.1546261,B0491.2.1,B0491.2.1,cuticle collagen SQT-1 [B0491.2.1],,FALSE,3.1546261,,,,,,
A_12_P115735,2.3910499,up,1.2576442,B0495.10a,B0495.10a,,,FALSE,1.2576442,,,,,,
A_12_P107931,2.1726394,up,1.1194488,B0495.10c,B0495.10c,,,FALSE,1.1194488,,,,,,
A_12_P108885,2.833082,up,1.5023724,B0495.10c,B0495.10c,,,FALSE,1.5023724,,,,,,
A_12_P112653,2.343483,up,1.2286543,B0496.3a,B0496.3a,ser/thr protein kinase [B0496.3a],,FALSE,1.2286543,,,,,,
A_12_P104274,2.3391256,up,1.2259693,B0496.7,B0496.7,,,FALSE,1.2259693,,,,,,
A_12_P113325,3.0261626,up,1.5974895,B0507.1,B0507.1,,,FALSE,1.5974895,,,,,,
A_12_P112638,11.32069,up,3.50089,B0511.1,B0511.1,,,FALSE,3.50089,,,,,,
A_12_P111163,2.0885208,up,1.0624815,B0511.3,B0511.3,,,FALSE,1.0624815,,,,,,
A_12_P104785,6.1979427,up,2.6317894,B0511.5,B0511.5,,,FALSE,2.6317894,,,,,,
A_12_P110784,2.722156,up,1.4447497,B0524.4,B0524.4,,,FALSE,1.4447497,,,,,,
A_12_P101920,5.5565157,up,2.4741805,B0554.1,B0554.1,,,FALSE,2.4741805,,,,,,
A_12_P119688,3.0411382,up,1.6046114,B0554.4,B0554.4,,,FALSE,1.6046114,,,,,,
A_12_P108506,4.6759253,up,2.225252,B0554.5,B0554.5,,,FALSE,2.225252,,,,,,
A_12_P108338,4.522926,up,2.1772563,BE0003N10.3,BE0003N10.3,,,FALSE,2.1772563,,,,,,
A_12_P116483,8.141708,up,3.0253315,BE10.2,BE10.2,,,FALSE,3.0253315,,,,,,
A_12_P113965,3.5380409,up,1.8229507,C01A2.2,C01A2.2,,,FALSE,1.8229507,,,,,,
A_12_P103511,10.775664,up,3.429705,C01B12.1,C01B12.1,cuticular collagen [C01B12.1],,FALSE,3.429705,,,,,,
A_12_P118042,2.228297,up,1.1559415,C01B12.7,C01B12.7,,,FALSE,1.1559415,,,,,,
A_12_P107947,2.5160887,up,1.3311828,C01B7.5,C01B7.5,,,FALSE,1.3311828,,,,,,
A_12_P108265,2.1713126,up,1.1185675,C01C10.2,C01C10.2,,,FALSE,1.1185675,,,,,,
A_12_P110754,5.2855926,up,2.4020653,C01F1.3.2,C01F1.3.2,,,FALSE,2.4020653,,,,,,
A_12_P120185,7.582685,up,2.9227087,C01F1.5,C01F1.5,,,FALSE,2.9227087,,,,,,
A_12_P114079,4.3446774,up,2.119249,C01G10.4,C01G10.4,,,FALSE,2.119249,,,,,,
A_12_P119667,2.142815,up,1.0995075,C01G12.1,C01G12.1,,,FALSE,1.0995075,,,,,,
A_12_P101867,2.2551978,up,1.173254,C01G12.10,C01G12.10,,,FALSE,1.173254,,,,,,
A_12_P116113,3.420357,up,1.7741469,C01H6.1,C01H6.1,collagen [C01H6.1],,FALSE,1.7741469,,,,,,
A_12_P105094,2.7495663,up,1.4592041,C01H6.2,C01H6.2,Ank repeat (2 domains) [C01H6.2],,FALSE,1.4592041,,,,,,
A_12_P100442,2.4708498,up,1.3050072,C01H6.8,C01H6.8,,,FALSE,1.3050072,,,,,,
A_12_P114388,2.1754353,up,1.1213042,C02B10.6,C02B10.6,,,FALSE,1.1213042,,,,,,
A_12_P118823,4.709823,up,2.235673,C02D4.1,C02D4.1,,,FALSE,2.235673,,,,,,
A_12_P100461,9.374829,up,3.2287924,C02D5.1,C02D5.1,Isovaleryl-CoA dehydrogenase [C02D5.1],,FALSE,3.2287924,,,,,,
A_12_P101576,2.9496708,up,1.5605539,C02D5.2,C02D5.2,,,FALSE,1.5605539,,,,,,
A_12_P116174,4.485935,up,2.1654088,C02E7.6.1,C02E7.6.1,,,FALSE,2.1654088,,,,,,
A_12_P106040,4.3531985,up,2.1220758,C02E7.7,C02E7.7,,,FALSE,2.1220758,,,,,,
A_12_P108532,2.199273,up,1.1370268,C02F12.3.2,C02F12.3.2,,,FALSE,1.1370268,,,,,,
A_12_P114583,2.8796198,up,1.5258783,C02F12.7,C02F12.7,,,FALSE,1.5258783,,,,,,
A_12_P103567,11.117227,up,3.474725,C02F4.4,C02F4.4,,,FALSE,3.474725,,,,,,
A_12_P109065,2.3063533,up,1.2056135,C02F5.7a.3,C02F5.7a.3,Glucose-induced repressor [C02F5.7a.3],,FALSE,1.2056135,,,,,,
A_12_P107316,3.451946,up,1.7874099,C02H6.1,C02H6.1,,,FALSE,1.7874099,,,,,,
A_12_P104940,3.2207913,up,1.6874152,C03A7.4,C03A7.4,,,FALSE,1.6874152,,,,,,
A_12_P110169,3.4372022,up,1.7812347,C03A7.7,C03A7.7,,,FALSE,1.7812347,,,,,,
A_12_P111879,3.0750353,up,1.620603,C03A7.8,C03A7.8,,,FALSE,1.620603,,,,,,
A_12_P106313,4.5967917,up,2.2006273,C03F11.2,C03F11.2,,,FALSE,2.2006273,,,,,,
A_12_P119395,2.7240415,up,1.4457487,C03G5.7,C03G5.7,,,FALSE,1.4457487,,,,,,
A_12_P103766,4.937011,up,2.3036377,C03G6.13,C03G6.13,,,FALSE,2.3036377,,,,,,
A_12_P113944,6.026789,up,2.5913897,C03G6.6,C03G6.6,,,FALSE,2.5913897,,,,,,
A_12_P115619,2.4011714,up,1.2637384,C04E6.4,C04E6.4,,,FALSE,1.2637384,,,,,,
A_12_P119837,4.507401,up,2.1722958,C04E6.6,C04E6.6,,,FALSE,2.1722958,,,,,,
A_12_P100062,2.821999,up,1.4967176,C04F1.1,C04F1.1,,,FALSE,1.4967176,,,,,,
A_12_P112939,2.2730875,up,1.1846533,C04F12.3.2,C04F12.3.2,Ank repeat [C04F12.3.2],,FALSE,1.1846533,,,,,,
A_12_P109692,2.5414233,up,1.3456367,C04F6.2,C04F6.2,,,FALSE,1.3456367,,,,,,
A_12_P116237,2.6711013,up,1.4174347,C04F6.5,C04F6.5,alcohol/ribitol dehydrogenase [C04F6.5],,FALSE,1.4174347,,,,,,
A_12_P109879,5.06,up,2.3391373,C04G6.10,C04G6.10,,,FALSE,2.3391373,,,,,,
A_12_P117353,3.7163262,up,1.8938771,C04G6.1c,C04G6.1c,Ser/Thr protein kinase [C04G6.1a],,FALSE,1.8938771,,,,,,
A_12_P101312,2.3750482,up,1.2479568,C04G6.2,C04G6.2,,,FALSE,1.2479568,,,,,,
A_12_P106892,5.7848315,up,2.532275,C05A9.1,C05A9.1,p-glycoprotein [C05A9.1],,FALSE,2.532275,,,,,,
A_12_P114546,3.2805426,up,1.7139344,C05A9.2,C05A9.2,,,FALSE,1.7139344,,,,,,
A_12_P108189,3.6118512,up,1.8527385,C05B5.5,C05B5.5,EGF repeats [C05B5.5],,FALSE,1.8527385,,,,,,
A_12_P100538,2.4680007,up,1.3033428,C05B5.6,C05B5.6,,,FALSE,1.3033428,,,,,,
A_12_P100831,3.0176747,up,1.5934373,C05B5.8,C05B5.8,,,FALSE,1.5934373,,,,,,
A_12_P103346,7.045405,up,2.8166826,C05C8.3,C05C8.3,FKBP-binding protein [C05C8.3],,FALSE,2.8166826,,,,,,
A_12_P110193,2.8551896,up,1.5135865,C05C8.7.1,C05C8.7.1,mannose-6-phosphate isomerase [C05C8.7.1],,FALSE,1.5135865,,,,,,
A_12_P100946,7.0818605,up,2.8241284,C05C9.1,C05C9.1,LBP / BPI / CETP family [C05C9.1],,FALSE,2.8241284,,,,,,
A_12_P109666,3.1801634,up,1.6691009,C05D10.4b,C05D10.4b,,,FALSE,1.6691009,,,,,,
A_12_P114917,6.458361,up,2.691168,C05D11.6,C05D11.6,zinc metalloprotease [C05D11.6],,FALSE,2.691168,,,,,,
A_12_P117765,4.9267297,up,2.3006303,C05E11.7,C05E11.7,,,FALSE,2.3006303,,,,,,
A_12_P115021,2.3649595,up,1.2418154,C05E11.8,C05E11.8,,,FALSE,1.2418154,,,,,,
A_12_P112207,6.5113444,up,2.7029555,C05E7.1,C05E7.1,,,FALSE,2.7029555,,,,,,
A_12_P104344,4.15214,up,2.0538552,C05E7.2,C05E7.2,,,FALSE,2.0538552,,,,,,
A_12_P118752,3.5891378,up,1.8436373,C06A1.6,C06A1.6,,,FALSE,1.8436373,,,,,,
A_12_P108057,3.8838744,up,1.9574965,C06A6.5,C06A6.5,,,FALSE,1.9574965,,,,,,
A_12_P100285,2.708666,up,1.4375826,C06B3.7,C06B3.7,,,FALSE,1.4375826,,,,,,
A_12_P109309,2.1630516,up,1.1130681,C06C6.4,C06C6.4,"Zinc finger, C4 type (two domains) [C06C6.4]",,FALSE,1.1130681,,,,,,
A_12_P120262,5.219963,up,2.3840396,C06E1.8,C06E1.8,,,FALSE,2.3840396,,,,,,
A_12_P107133,2.7523506,up,1.4606643,C06E2.1,C06E2.1,,,FALSE,1.4606643,,,,,,
A_12_P103448,5.1396065,up,2.3616579,C06E7.4.1,C06E7.4.1,,,FALSE,2.3616579,,,,,,
A_12_P107825,3.7555964,up,1.909042,C06E8.5,C06E8.5,bacterial permeability-increasing protein [C06E8.5],,FALSE,1.909042,,,,,,
A_12_P119008,3.3747704,up,1.7547894,C06G1.1,C06G1.1,,,FALSE,1.7547894,,,,,,
A_12_P100878,5.4601507,up,2.4489408,C06G1.2,C06G1.2,,,FALSE,2.4489408,,,,,,
A_12_P113519,3.7898993,up,1.9221596,C06G8.4,C06G8.4,7TM chemoreceptor (srd-family) [C06G8.4],,FALSE,1.9221596,,,,,,
A_12_P106246,2.3506968,up,1.2330885,C06H5.7,C06H5.7,,,FALSE,1.2330885,,,,,,
A_12_P113400,4.026332,up,2.0094662,C07A12.4a.2,C07A12.4a.2,protein disulfide isomerase [C07A12.4a.2],,FALSE,2.0094662,,,,,,
A_12_P112353,3.7788422,up,1.9179443,C07A12.4b,C07A12.4b,protein disulfide isomerase [C07A12.4a.3],,FALSE,1.9179443,,,,,,
A_12_P107707,2.2735596,up,1.1849527,C07A4.2,C07A4.2,extracellular protein [C07A4.2],,FALSE,1.1849527,,,,,,
A_12_P102662,6.8711743,up,2.7805567,C07B5.2,C07B5.2,,,FALSE,2.7805567,,,,,,
A_12_P114884,3.7903194,up,1.9223194,C07D10.4,C07D10.4,Zinc metalloprotease [C07D10.4],,FALSE,1.9223194,,,,,,
A_12_P111482,8.313175,up,3.0553997,C07E3.10,C07E3.10,,,FALSE,3.0553997,,,,,,
A_12_P118340,2.3115628,up,1.2088685,C07E3.3,C07E3.3,,,FALSE,1.2088685,,,,,,
A_12_P102650,3.7699165,up,1.9145325,C07G1.1,C07G1.1,peptidase [C07G1.1],,FALSE,1.9145325,,,,,,
A_12_P117369,3.2242475,up,1.6889625,C07G1.2,C07G1.2,LDL-receptor domain protein [C07G1.2],,FALSE,1.6889625,,,,,,
A_12_P112107,2.5392077,up,1.3443785,C07G3.10,C07G3.10,,,FALSE,1.3443785,,,,,,
A_12_P101325,6.9653387,up,2.8001935,C07G3.2,C07G3.2,,,FALSE,2.8001935,,,,,,
A_12_P104613,2.4118435,up,1.2701364,C08A9.3,C08A9.3,,,FALSE,1.2701364,,,,,,
A_12_P119874,4.622942,up,2.2088113,C08B6.4,C08B6.4,chitinase [C08B6.4],,FALSE,2.2088113,,,,,,
A_12_P108852,3.5733142,up,1.8372627,C08F8.7,C08F8.7,RAS-related protein [C08F8.7],,FALSE,1.8372627,,,,,,
A_12_P107268,2.501683,up,1.322899,C08G9.2,C08G9.2,,,FALSE,1.322899,,,,,,
A_12_P117147,6.900724,up,2.7867477,C09B8.3,C09B8.3,,,FALSE,2.7867477,,,,,,
A_12_P104529,6.253825,up,2.644739,C09B8.4,C09B8.4,,,FALSE,2.644739,,,,,,
A_12_P111083,2.7764387,up,1.4732356,C09B9.3,C09B9.3,,,FALSE,1.4732356,,,,,,
A_12_P108235,2.4923754,up,1.3175213,C09B9.7,C09B9.7,,,FALSE,1.3175213,,,,,,
A_12_P110848,4.8159633,up,2.2678244,C09E8.2a,C09E8.2a,,,FALSE,2.2678244,,,,,,
A_12_P109146,5.0580335,up,2.3385766,C09E8.2b,C09E8.2b,,,FALSE,2.3385766,,,,,,
A_12_P102588,7.9899006,up,2.9981775,C09E8.3.1,C09E8.3.1,,,FALSE,2.9981775,,,,,,
A_12_P118669,3.491516,up,1.8038536,C09F12.2,C09F12.2,,,FALSE,1.8038536,,,,,,
A_12_P105196,2.6894522,up,1.4273124,C09F5.1.2,C09F5.1.2,,,FALSE,1.4273124,,,,,,
A_12_P119332,8.585316,up,3.1018713,C09G12.5,C09G12.5,,,FALSE,3.1018713,,,,,,
A_12_P108267,7.15407,up,2.8387642,C09G5.3,C09G5.3,collagen [C09G5.3],,FALSE,2.8387642,,,,,,
A_12_P105686,2.6710374,up,1.4174002,C09G5.4,C09G5.4,collagen [C09G5.4],,FALSE,1.4174002,,,,,,
A_12_P113006,14.52132,up,3.8601007,C09G5.6,C09G5.6,collagen [C09G5.6],,FALSE,3.8601007,,,,,,
A_12_P102550,3.165392,up,1.6623842,C10C5.2,C10C5.2,,,FALSE,1.6623842,,,,,,
A_12_P112402,6.0972595,up,2.608161,C10C5.3,C10C5.3,aminoacylase-1 [C10C5.3],,FALSE,2.608161,,,,,,
A_12_P111740,2.1221323,up,1.0855145,C10E2.1,C10E2.1,,,FALSE,1.0855145,,,,,,
A_12_P112577,5.3339534,up,2.4152052,C10F3.2,C10F3.2,alcohol/ribitol dehydrogenase [C10F3.2],,FALSE,2.4152052,,,,,,
A_12_P120077,11.547391,up,3.529495,C10F3.7,C10F3.7,,,FALSE,3.529495,,,,,,
A_12_P100578,2.2665021,up,1.1804675,C10G6.1.1,C10G6.1.1,,,FALSE,1.1804675,,,,,,
A_12_P107717,3.685162,up,1.881728,C10G8.3,C10G8.3,,,FALSE,1.881728,,,,,,
A_12_P104364,2.1286504,up,1.089939,C10H11.3,C10H11.3,,,FALSE,1.089939,,,,,,
A_12_P110676,2.372768,up,1.246571,C10H11.4,C10H11.4,,,FALSE,1.246571,,,,,,
A_12_P114877,2.679978,up,1.4222211,C10H11.6,C10H11.6,,,FALSE,1.4222211,,,,,,
A_12_P117174,8.095281,up,3.017081,C11D2.2,C11D2.2,protease [C11D2.2],,FALSE,3.017081,,,,,,
A_12_P109691,2.043499,up,1.0310415,C11D9.1.1,C11D9.1.1,,,FALSE,1.0310415,,,,,,
A_12_P100715,2.7839353,up,1.4771256,C11G10.1,C11G10.1,,,FALSE,1.4771256,,,,,,
A_12_P113564,8.968613,up,3.1648848,C11H1.1,C11H1.1,,,FALSE,3.1648848,,,,,,
A_12_P106858,3.3652802,up,1.7507266,C11H1.5,C11H1.5,,,FALSE,1.7507266,,,,,,
A_12_P111273,2.8191564,up,1.4952636,C12D5.8b,C12D5.8b,,,FALSE,1.4952636,,,,,,
A_12_P115592,2.1726778,up,1.1194743,C12D8.16,C12D8.16,,,FALSE,1.1194743,,,,,,
A_12_P107914,2.7606142,up,1.4649893,C13A2.1,C13A2.1,,,FALSE,1.4649893,,,,,,
A_12_P113534,4.5177035,up,2.1755896,C13A2.3,C13A2.3,,,FALSE,2.1755896,,,,,,
A_12_P118957,3.626007,up,1.8583817,C13A2.4,C13A2.4,,,FALSE,1.8583817,,,,,,
A_12_P118701,7.9662437,up,2.9938996,C13A2.9,C13A2.9,,,FALSE,2.9938996,,,,,,
A_12_P107362,8.738727,up,3.127423,C13C12.2,C13C12.2,,,FALSE,3.127423,,,,,,
A_12_P103840,2.144787,up,1.1008345,C13C4.3,C13C4.3,"Ligand-binding domain of nuclear hormone receptors, Zinc finger, C4 type (two domains) [C13C4.3]",,FALSE,1.1008345,,,,,,
A_12_P116279,19.281668,up,4.269158,C14A4.9,C14A4.9,,,FALSE,4.269158,,,,,,
A_12_P101273,2.3076658,up,1.2064344,C14B1.3,C14B1.3,,,FALSE,1.2064344,,,,,,
A_12_P118554,2.27241,up,1.1842232,C14B9.2.1,C14B9.2.1,erp72 [C14B9.2.1],,FALSE,1.1842232,,,,,,
A_12_P104453,3.9151413,up,1.9690644,C14B9.3.2,C14B9.3.2,,,FALSE,1.9690644,,,,,,
A_12_P110197,5.110069,up,2.3533428,C14C11.8.1,C14C11.8.1,,,FALSE,2.3533428,,,,,,
A_12_P103382,8.4350815,up,3.076402,C14C6.3,C14C6.3,,,FALSE,3.076402,,,,,,
A_12_P102027,11.60868,up,3.537132,C14C6.4,C14C6.4,zinc finger protein [C14C6.4],,FALSE,3.537132,,,,,,
A_12_P113154,9.519726,up,3.25092,C14C6.6,C14C6.6,,,FALSE,3.25092,,,,,,
A_12_P117957,3.6793737,up,1.8794602,C14C6.7,C14C6.7,,,FALSE,1.8794602,,,,,,
A_12_P108316,9.985494,up,3.3198338,C14C6.8,C14C6.8,,,FALSE,3.3198338,,,,,,
A_12_P112300,16.464693,up,4.0413036,C14F11.6,C14F11.6,"DTDP-4-dehydrorhamnose 3,5-epimerase (RFBC gene) [C14F11.6]",,FALSE,4.0413036,,,,,,
A_12_P104714,3.4504147,up,1.7867697,C14F5.2,C14F5.2,IG-like C2-type domain [C14F5.2],,FALSE,1.7867697,,,,,,
A_12_P114198,2.1094778,up,1.0768858,C14H10.1.2,C14H10.1.2,Yeast YIL023C-like protein [C14H10.1.2],,FALSE,1.0768858,,,,,,
A_12_P117111,2.2044716,up,1.1404328,C14H10.2.1,C14H10.2.1,,,FALSE,1.1404328,,,,,,
A_12_P115064,8.902679,up,3.1542397,C15A11.1,C15A11.1,collagen [C15A11.1],,FALSE,3.1542397,,,,,,
A_12_P111152,4.080807,up,2.0288546,C15C6.1,C15C6.1,,,FALSE,2.0288546,,,,,,
A_12_P101894,2.7905765,up,1.4805632,C15C7.5,C15C7.5,,,FALSE,1.4805632,,,,,,
A_12_P108159,16.613955,up,4.0543237,C15F1.2,C15F1.2,,,FALSE,4.0543237,,,,,,
A_12_P116091,2.6902504,up,1.4277405,C15H7.4,C15H7.4,,,FALSE,1.4277405,,,,,,
A_12_P114082,2.6692755,up,1.4164482,C15H9.6.3,C15H9.6.3,heat shock protein [C15H9.6.3],,FALSE,1.4164482,,,,,,
A_12_P114372,2.125441,up,1.0877622,C16B8.4.2,C16B8.4.2,,,FALSE,1.0877622,,,,,,
A_12_P103647,3.3769329,up,1.7557135,C16C8.10,C16C8.10,,,FALSE,1.7557135,,,,,,
A_12_P106980,6.4891286,up,2.6980247,C16C8.19,C16C8.19,,,FALSE,2.6980247,,,,,,
A_12_P115341,3.8789873,up,1.95568,C16C8.2,C16C8.2,peroxidase precursor [C16C8.2],,FALSE,1.95568,,,,,,
A_12_P113247,2.8488867,up,1.5103983,C16C8.7,C16C8.7,,,FALSE,1.5103983,,,,,,
A_12_P117696,2.2566693,up,1.174195,C16C8.8,C16C8.8,,,FALSE,1.174195,,,,,,
A_12_P110011,4.526432,up,2.1783743,C16C8.9,C16C8.9,,,FALSE,2.1783743,,,,,,
A_12_P106575,2.14468,up,1.1007624,C16D9.1,C16D9.1,,,FALSE,1.1007624,,,,,,
A_12_P115889,5.868001,up,2.552869,C17C3.12a,C17C3.12a,acyl-CoA dehydrogenase [C17C3.12a],,FALSE,2.552869,,,,,,
A_12_P101751,6.644156,up,2.732086,C17C3.12c.1,C17C3.12c.1,acyl-CoA dehydrogenase [C17C3.12a],,FALSE,2.732086,,,,,,
A_12_P117324,2.219115,up,1.1499845,C17C3.1b,C17C3.1b,,,FALSE,1.1499845,,,,,,
A_12_P118742,3.9083974,up,1.9665772,C17C3.3,C17C3.3,,,FALSE,1.9665772,,,,,,
A_12_P120002,2.314377,up,1.2106239,C17D12.6,C17D12.6,EGF-like domain (2 domains) [C17D12.6],,FALSE,1.2106239,,,,,,
