# Analysis of coding loci targeted by 26G-RNAs in eri-5 and rrf-3 embryos,,,,,,,,,,,,,,,,,
# Coding 26G-RNA loci were defined in Vasale et al. (2010). The number of normalized antisense reads targeting the indicated 26G-RNA loci are presented as reads per million (rpm) for each sample. Enrichment values were calculated by dividing the mutant rpm value by the sum of mutant plus N2 wild-type (wt) rpm values. Highlighted rows indicate 45 coding loci with at least 10 rpm (total reads) in N2 or mutant sample; the corresponding enrichment values for 26nt reads (in bold) were used to generate the box and whisker plots in Figure 3C.,,,,,,,,,,,,,,,,,
Gene,Locus ID,26nt reads_N2 rpm_26nt...3,26nt reads_rrf-3 rpm_26nt,26nt reads_rrf-3 enrichment_m/(m+wt),26nt reads_N2 rpm_26nt...6,26nt reads_eri-5 rpm_26nt,26nt reads_eri-5 enrichment_m/(m+wt),Total reads_N2 rpm_total...9,Total reads_rrf-3 rpm_total,Total reads_rrf-3 enrichment_m/(m+wt),Total reads_N2 rpm_total...12,Total reads_eri-5 rpm_total,Total reads_eri-5 enrichment_m/(m+wt),Highlighted,Input,Suggested Match,History
ZK402.5,ZK402.5,39.4544,0.0616,0.001558862,39.4544,12.9444,0.247036192,78.6436,1.6208,0.020193261,78.6436,22.8929,0.225464734,Yes,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
F55A4.4,F55A4.4,29.9433,0.2773,0.00917586,29.9433,15.0354,0.334278225,62.3581,0.5545,0.008813815,62.3581,35.2153,0.360910863,Yes,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
ZC132.4,ZC132.4,19.5503,0,0,19.5503,2.9872,0.132543539,56.6229,0.647,0.011297383,56.6229,7.1526,0.112152786,Yes,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK380.5,ZK380.5,43.8323,0.3235,0.007326331,43.8323,30.4525,0.409942545,53.0053,0.4621,0.00864265,53.0053,39.4802,0.426879889,Yes,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
ZK402.2,ZK402.2,24.319,0.0308,0.001264897,24.319,6.6547,0.214850018,51.6534,0.7317,0.013967712,51.6534,12.5769,0.195809454,Yes,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
C11G6.2,C11G6.2,36.5023,0.1386,0.003782658,36.5023,5.1778,0.124227149,50.5286,0.1386,0.002735498,50.5286,11.5504,0.186059698,Yes,C11G6.2,WBGene00007523,Public name for WBGene00007523. History: N.A.
C35D6.3,C35D6.3,35.9319,0.0924,0.002564935,35.9319,11.1521,0.236855407,50.0005,0.2773,0.005515357,50.0005,13.6414,0.214346209,Yes,C35D6.3,WBGene00007960,Public name for WBGene00007960. History: N.A.
Y43F8B.9,Y43F8B.9,37.5162,0.0924,0.002456885,37.5162,10.1564,0.21304481,48.8743,0.1848,0.003766885,48.8743,15.8928,0.245383845,Yes,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
Y17D7C.1,Y17D7C.1,31.084,0.0924,0.00296378,31.084,7.8662,0.201955317,48.4004,0.3697,0.007580464,48.4004,15.7822,0.245895305,Yes,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
H16D19.4,H16D19.4,30.5453,0.3697,0.011958596,30.5453,16.0311,0.344189332,40.4313,5.5779,0.121234449,40.4313,28.5924,0.414240326,Yes,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
Y82E9BR.20,Y82E9BR.20,23.9546,0.0924,0.003842475,23.9546,22.0552,0.479358745,31.0347,0.0988,0.003173431,31.0347,31.7386,0.505606683,Yes,Y82E9BR.20,WBGene00022352,Public name for WBGene00022352. History: N.A.
T08B6.2,T08B6.2,24.018,0.1848,0.00763548,24.018,6.273,0.207091215,30.3341,0.2311,0.007560886,30.3341,10.1564,0.250834146,Yes,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
fbxa-52,F07G6.6,17.9343,0,0,17.9343,3.5348,0.164645933,28.1051,0.0539,0.00191413,28.1051,6.9153,0.197464906,Yes,fbxa-52,WBGene00017225,Public name for WBGene00017225. History: N.A.
Y71A12B.3,Y71A12B.3,6.1154,0.0462,0.007498052,6.1154,1.2447,0.16911455,20.9628,11.1765,0.347751818,20.9628,13.055,0.383769674,Yes,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
Y82E9BR.6,Y82E9BR.6,16.7619,0,0,16.7619,4.1322,0.197768748,18.9799,0.3697,0.019106338,18.9799,6.3726,0.251359826,Yes,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
Y71A12B.2,Y71A12B.2,5.5767,0.0462,0.008216401,5.5767,0.9957,0.15149717,17.8238,9.208,0.340635844,17.8238,9.8272,0.355401251,Yes,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
K06B9.6,K06B9.6,10.7732,0.0924,0.008503902,10.7732,4.7795,0.307309985,13.625,0.1386,0.01007004,13.625,7.9243,0.367728882,Yes,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
C36A4.11,C36A4.11,7.7631,0.1386,0.017540529,7.7631,2.091,0.212195939,9.5533,0.1848,0.018977008,9.5533,3.5431,0.270539996,No,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
H09G03.1,H09G03.1,4.943,0,0,4.943,2.2404,0.311885737,6.3055,0,0,6.3055,3.5348,0.359216691,No,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
Y41C4A.17,Y41C4A.17,3.6756,0.0924,0.024522293,3.6756,0,0,3.8657,0.0924,0.023344534,3.8657,0,0,No,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
