WB.ID,GO.term,Input,Suggested Match,History
WBGene00004217,reproduction GO:0000003,WBGene00004217,WBGene00004217,History: Renamed on 2015-03-05
WBGene00006374,reproduction GO:0000003,WBGene00006374,WBGene00006374,History: Renamed on 2010-04-16
WBGene00001395,reproduction GO:0000003,WBGene00001395,WBGene00001395,History: N.A.
WBGene00014015,reproduction GO:0000003,WBGene00014015,WBGene00014015,History: N.A.
WBGene00003918,reproduction GO:0000003,WBGene00003918,WBGene00003918,History: N.A.
WBGene00004105,reproduction GO:0000003,WBGene00004105,WBGene00004105,History: Renamed on 2008-10-08
WBGene00004297,reproduction GO:0000003,WBGene00004297,WBGene00004297,History: N.A.
WBGene00003507,reproduction GO:0000003,WBGene00003507,WBGene00003507,History: N.A.
WBGene00006996,reproduction GO:0000003,WBGene00006996,WBGene00006996,History: N.A.
WBGene00004702,reproduction GO:0000003,WBGene00004702,WBGene00004702,History: N.A.
WBGene00001526,reproduction GO:0000003,WBGene00001526,WBGene00001526,History: N.A.
WBGene00000585,reproduction GO:0000003,WBGene00000585,WBGene00000585,History: Renamed on 2006-01-17
WBGene00004312,reproduction GO:0000003,WBGene00004312,WBGene00004312,History: N.A.
WBGene00002244,reproduction GO:0000003,WBGene00002244,WBGene00002244,History: N.A.
WBGene00007355,reproduction GO:0000003,WBGene00007355,WBGene00007355,History: N.A.
WBGene00011597,reproduction GO:0000003,WBGene00011597,WBGene00011597,History: N.A.
WBGene00004271,reproduction GO:0000003,WBGene00004271,WBGene00004271,History: N.A.
WBGene00000935,reproduction GO:0000003,WBGene00000935,WBGene00000935,History: N.A.
WBGene00001481,reproduction GO:0000003,WBGene00001481,WBGene00001481,History: N.A.
WBGene00017546,reproduction GO:0000003,WBGene00017546,WBGene00017546,History: N.A.
WBGene00008684,reproduction GO:0000003,WBGene00008684,WBGene00008684,History: N.A.
WBGene00001401,reproduction GO:0000003,WBGene00001401,WBGene00001401,History: N.A.
WBGene00010056,reproduction GO:0000003,WBGene00010056,WBGene00010056,History: N.A.
WBGene00000871,reproduction GO:0000003,WBGene00000871,WBGene00000871,History: Renamed on 2015-03-05
WBGene00002228,reproduction GO:0000003,WBGene00002228,WBGene00002228,History: N.A.
WBGene00019481,reproduction GO:0000003,WBGene00019481,WBGene00019481,History: N.A.
WBGene00004930,reproduction GO:0000003,WBGene00004930,WBGene00004930,History: N.A.
WBGene00006836,reproduction GO:0000003,WBGene00006836,WBGene00006836,History: N.A.
WBGene00002717,reproduction GO:0000003,WBGene00002717,WBGene00002717,History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04
WBGene00004274,reproduction GO:0000003,WBGene00004274,WBGene00004274,History: N.A.
WBGene00005021,reproduction GO:0000003,WBGene00005021,WBGene00005021,History: Renamed on 2019-09-11
WBGene00006976,reproduction GO:0000003,WBGene00006976,WBGene00006976,History: N.A.
WBGene00006963,reproduction GO:0000003,WBGene00006963,WBGene00006963,History: Renamed on 2008-03-07
WBGene00003036,reproduction GO:0000003,WBGene00003036,WBGene00003036,History: N.A.
WBGene00006910,reproduction GO:0000003,WBGene00006910,WBGene00006910,History: Renamed on 2005-11-29; Renamed on 2006-01-12
WBGene00000366,reproduction GO:0000003,WBGene00000366,WBGene00000366,History: N.A.
WBGene00020652,reproduction GO:0000003,WBGene00020652,WBGene00020652,History: N.A.
WBGene00022390,reproduction GO:0000003,WBGene00022390,WBGene00022390,History: N.A.
WBGene00003401,reproduction GO:0000003,WBGene00003401,WBGene00003401,History: N.A.
WBGene00000898,reproduction GO:0000003,WBGene00000898,WBGene00000898,History: N.A.
WBGene00000145,reproduction GO:0000003,WBGene00000145,WBGene00000145,History: N.A.
WBGene00001402,reproduction GO:0000003,WBGene00001402,WBGene00001402,History: N.A.
WBGene00004703,reproduction GO:0000003,WBGene00004703,WBGene00004703,History: N.A.
WBGene00006571,reproduction GO:0000003,WBGene00006571,WBGene00006571,History: N.A.
WBGene00001085,reproduction GO:0000003,WBGene00001085,WBGene00001085,History: N.A.
WBGene00000804,reproduction GO:0000003,WBGene00000804,WBGene00000804,History: N.A.
WBGene00004178,reproduction GO:0000003,WBGene00004178,WBGene00004178,History: N.A.
WBGene00012904,reproduction GO:0000003,WBGene00012904,WBGene00012904,History: N.A.
WBGene00003864,reproduction GO:0000003,WBGene00003864,WBGene00003864,History: N.A.
WBGene00010785,reproduction GO:0000003,WBGene00010785,WBGene00010785,History: Renamed on 2015-07-16
WBGene00019811,reproduction GO:0000003,WBGene00019811,WBGene00019811,History: N.A.
WBGene00000090,reproduction GO:0000003,WBGene00000090,WBGene00000090,History: N.A.
WBGene00022492,reproduction GO:0000003,WBGene00022492,WBGene00022492,History: N.A.
WBGene00004085,reproduction GO:0000003,WBGene00004085,WBGene00004085,History: N.A.
WBGene00001874,reproduction GO:0000003,WBGene00001874,WBGene00001874,History: N.A.
WBGene00006843,reproduction GO:0000003,WBGene00006843,WBGene00006843,History: N.A.
WBGene00013443,reproduction GO:0000003,WBGene00013443,WBGene00013443,History: Renamed on 2013-09-25
WBGene00015698,reproduction GO:0000003,WBGene00015698,WBGene00015698,History: N.A.
WBGene00001985,reproduction GO:0000003,WBGene00001985,WBGene00001985,History: N.A.
WBGene00007278,reproduction GO:0000003,WBGene00007278,WBGene00007278,History: N.A.
WBGene00004249,reproduction GO:0000003,WBGene00004249,WBGene00004249,History: N.A.
WBGene00018995,reproduction GO:0000003,WBGene00018995,WBGene00018995,History: N.A.
WBGene00004043,reproduction GO:0000003,WBGene00004043,WBGene00004043,History: N.A.
WBGene00002059,reproduction GO:0000003,WBGene00002059,WBGene00002059,History: N.A.
WBGene00000264,reproduction GO:0000003,WBGene00000264,WBGene00000264,History: N.A.
WBGene00001236,reproduction GO:0000003,WBGene00001236,WBGene00001236,History: N.A.
WBGene00001597,reproduction GO:0000003,WBGene00001597,WBGene00001597,History: N.A.
WBGene00003829,reproduction GO:0000003,WBGene00003829,WBGene00003829,History: N.A.
WBGene00002144,reproduction GO:0000003,WBGene00002144,WBGene00002144,History: N.A.
WBGene00011559,reproduction GO:0000003,WBGene00011559,WBGene00011559,History: Renamed on 2014-11-12
WBGene00010354,reproduction GO:0000003,WBGene00010354,WBGene00010354,History: N.A.
WBGene00018867,reproduction GO:0000003,WBGene00018867,WBGene00018867,History: N.A.
WBGene00000369,reproduction GO:0000003,WBGene00000369,WBGene00000369,History: N.A.
WBGene00010734,reproduction GO:0000003,WBGene00010734,WBGene00010734,History: N.A.
WBGene00007505,reproduction GO:0000003,WBGene00007505,WBGene00007505,History: N.A.
WBGene00020035,reproduction GO:0000003,WBGene00020035,WBGene00020035,History: N.A.
WBGene00011601,reproduction GO:0000003,WBGene00011601,WBGene00011601,History: N.A.
WBGene00006375,reproduction GO:0000003,WBGene00006375,WBGene00006375,History: N.A.
WBGene00007680,reproduction GO:0000003,WBGene00007680,WBGene00007680,History: N.A.
WBGene00000386,reproduction GO:0000003,WBGene00000386,WBGene00000386,History: N.A.
WBGene00021560,reproduction GO:0000003,WBGene00021560,WBGene00021560,History: N.A.
WBGene00021200,reproduction GO:0000003,WBGene00021200,WBGene00021200,History: N.A.
WBGene00006604,reproduction GO:0000003,WBGene00006604,WBGene00006604,History: N.A.
WBGene00004737,reproduction GO:0000003,WBGene00004737,WBGene00004737,History: N.A.
WBGene00001973,DNA replication GO:0006260,WBGene00001973,WBGene00001973,History: N.A.
WBGene00004297,DNA replication GO:0006260,WBGene00004297,WBGene00004297,History: N.A.
WBGene00017132,DNA replication GO:0006260,WBGene00017132,WBGene00017132,History: Renamed on 2006-10-16; Renamed on 2014-03-28; Renamed on 2014-09-02; Renamed on 2015-03-25; Renamed on 2015-03-25
WBGene00017546,DNA replication GO:0006260,WBGene00017546,WBGene00017546,History: N.A.
WBGene00019079,DNA replication GO:0006260,WBGene00019079,WBGene00019079,History: N.A.
WBGene00010056,DNA replication GO:0006260,WBGene00010056,WBGene00010056,History: N.A.
WBGene00004338,DNA replication GO:0006260,WBGene00004338,WBGene00004338,History: N.A.
WBGene00000871,DNA replication GO:0006260,WBGene00000871,WBGene00000871,History: Renamed on 2015-03-05
WBGene00002985,DNA replication GO:0006260,WBGene00002985,WBGene00002985,History: N.A.
WBGene00001974,DNA replication GO:0006260,WBGene00001974,WBGene00001974,History: N.A.
WBGene00006571,DNA replication GO:0006260,WBGene00006571,WBGene00006571,History: N.A.
WBGene00012650,DNA replication GO:0006260,WBGene00012650,WBGene00012650,History: N.A.
WBGene00022750,DNA replication GO:0006260,WBGene00022750,WBGene00022750,History: N.A.
WBGene00003955,DNA replication GO:0006260,WBGene00003955,WBGene00003955,History: N.A.
WBGene00020823,DNA replication GO:0006260,WBGene00020823,WBGene00020823,History: N.A.
WBGene00003592,DNA replication GO:0006260,WBGene00003592,WBGene00003592,History: N.A.
WBGene00077500,DNA replication GO:0006260,WBGene00077500,WBGene00077500,History: N.A.
WBGene00012315,envelope GO:0031975,WBGene00012315,WBGene00012315,History: N.A.
WBGene00021913,envelope GO:0031975,WBGene00021913,WBGene00021913,History: N.A.
WBGene00021921,envelope GO:0031975,WBGene00021921,WBGene00021921,History: N.A.
WBGene00001005,envelope GO:0031975,WBGene00001005,WBGene00001005,History: N.A.
WBGene00001867,envelope GO:0031975,WBGene00001867,WBGene00001867,History: N.A.
WBGene00001748,envelope GO:0031975,WBGene00001748,WBGene00001748,History: N.A.
WBGene00006311,envelope GO:0031975,WBGene00006311,WBGene00006311,History: N.A.
WBGene00019196,envelope GO:0031975,WBGene00019196,WBGene00019196,History: N.A.
WBGene00010419,envelope GO:0031975,WBGene00010419,WBGene00010419,History: Renamed on 2005-03-17
WBGene00008860,envelope GO:0031975,WBGene00008860,WBGene00008860,History: Renamed on 2017-02-02
WBGene00018784,envelope GO:0031975,WBGene00018784,WBGene00018784,History: N.A.
WBGene00000206,envelope GO:0031975,WBGene00000206,WBGene00000206,History: N.A.
WBGene00021024,envelope GO:0031975,WBGene00021024,WBGene00021024,History: N.A.
WBGene00013217,envelope GO:0031975,WBGene00013217,WBGene00013217,History: N.A.
WBGene00003799,envelope GO:0031975,WBGene00003799,WBGene00003799,History: N.A.
WBGene00020604,envelope GO:0031975,WBGene00020604,WBGene00020604,History: N.A.
WBGene00008505,envelope GO:0031975,WBGene00008505,WBGene00008505,History: N.A.
WBGene00003797,envelope GO:0031975,WBGene00003797,WBGene00003797,History: N.A.
WBGene00006463,envelope GO:0031975,WBGene00006463,WBGene00006463,History: Renamed on 2008-02-26
WBGene00019900,envelope GO:0031975,WBGene00019900,WBGene00019900,History: N.A.
WBGene00016392,envelope GO:0031975,WBGene00016392,WBGene00016392,History: N.A.
WBGene00004978,envelope GO:0031975,WBGene00004978,WBGene00004978,History: Renamed on 2005-03-17; Renamed on 2015-03-05
WBGene00015971,envelope GO:0031975,WBGene00015971,WBGene00015971,History: N.A.
WBGene00015755,envelope GO:0031975,WBGene00015755,WBGene00015755,History: N.A.
WBGene00013094,envelope GO:0031975,WBGene00013094,WBGene00013094,History: N.A.
WBGene00003789,envelope GO:0031975,WBGene00003789,WBGene00003789,History: N.A.
WBGene00006736,envelope GO:0031975,WBGene00006736,WBGene00006736,History: N.A.
WBGene00019296,envelope GO:0031975,WBGene00019296,WBGene00019296,History: N.A.
WBGene00013728,envelope GO:0031975,WBGene00013728,WBGene00013728,History: N.A.
WBGene00017121,envelope GO:0031975,WBGene00017121,WBGene00017121,History: N.A.
WBGene00001985,envelope GO:0031975,WBGene00001985,WBGene00001985,History: N.A.
WBGene00021925,envelope GO:0031975,WBGene00021925,WBGene00021925,History: N.A.
WBGene00020417,envelope GO:0031975,WBGene00020417,WBGene00020417,"History: Split into T10E9.14(WBGene00271694). History of WBGene00020417: Renamed on 2008-02-26; Renamed on 2015-03-02; Split into ""WBGene00271694"" on 2017-04-28"
WBGene00077771,envelope GO:0031975,WBGene00077771,WBGene00077771,History: N.A.
WBGene00012553,envelope GO:0031975,WBGene00012553,WBGene00012553,History: Renamed on 2017-09-05
WBGene00011662,envelope GO:0031975,WBGene00011662,WBGene00011662,"History: Split into T09F3.7(WBGene00303079). History of WBGene00011662: Split into ""WBGene00303079"" on 2018-03-02"
WBGene00011872,envelope GO:0031975,WBGene00011872,WBGene00011872,History: N.A.
WBGene00014004,envelope GO:0031975,WBGene00014004,WBGene00014004,History: N.A.
WBGene00022336,envelope GO:0031975,WBGene00022336,WBGene00022336,History: N.A.
WBGene00014015,P-body GO:0000932,WBGene00014015,WBGene00014015,History: N.A.
WBGene00003825,P-body GO:0000932,WBGene00003825,WBGene00003825,History: N.A.
WBGene00006499,P-body GO:0000932,WBGene00006499,WBGene00006499,History: N.A.
WBGene00018612,P-body GO:0000932,WBGene00018612,WBGene00018612,History: Renamed on 2017-03-13
WBGene00018391,P-body GO:0000932,WBGene00018391,WBGene00018391,History: N.A.
WBGene00011036,P-body GO:0000932,WBGene00011036,WBGene00011036,History: N.A.
WBGene00003076,P-body GO:0000932,WBGene00003076,WBGene00003076,History: N.A.
WBGene00000369,P-body GO:0000932,WBGene00000369,WBGene00000369,History: N.A.
WBGene00004436,peptide biosynthetic process GO:0043043,WBGene00004436,WBGene00004436,History: N.A.
WBGene00004498,peptide biosynthetic process GO:0043043,WBGene00004498,WBGene00004498,History: N.A.
WBGene00004417,peptide biosynthetic process GO:0043043,WBGene00004417,WBGene00004417,History: N.A.
WBGene00022830,peptide biosynthetic process GO:0043043,WBGene00022830,WBGene00022830,History: N.A.
WBGene00004492,peptide biosynthetic process GO:0043043,WBGene00004492,WBGene00004492,History: N.A.
WBGene00004432,peptide biosynthetic process GO:0043043,WBGene00004432,WBGene00004432,History: N.A.
WBGene00004132,peptide biosynthetic process GO:0043043,WBGene00004132,WBGene00004132,History: Renamed on 2011-08-12; Renamed on 2011-08-12
WBGene00010484,peptide biosynthetic process GO:0043043,WBGene00010484,WBGene00010484,History: N.A.
WBGene00016524,peptide biosynthetic process GO:0043043,WBGene00016524,WBGene00016524,History: N.A.
WBGene00004482,peptide biosynthetic process GO:0043043,WBGene00004482,WBGene00004482,History: N.A.
WBGene00003783,peptide biosynthetic process GO:0043043,WBGene00003783,WBGene00003783,History: N.A.
WBGene00003038,peptide biosynthetic process GO:0043043,WBGene00003038,WBGene00003038,History: N.A.
WBGene00001527,peptide biosynthetic process GO:0043043,WBGene00001527,WBGene00001527,History: N.A.
WBGene00002244,peptide biosynthetic process GO:0043043,WBGene00002244,WBGene00002244,History: N.A.
WBGene00011247,peptide biosynthetic process GO:0043043,WBGene00011247,WBGene00011247,History: N.A.
WBGene00004456,peptide biosynthetic process GO:0043043,WBGene00004456,WBGene00004456,History: N.A.
WBGene00004454,peptide biosynthetic process GO:0043043,WBGene00004454,WBGene00004454,History: Renamed on 2015-10-02
WBGene00000935,peptide biosynthetic process GO:0043043,WBGene00000935,WBGene00000935,History: N.A.
WBGene00001481,peptide biosynthetic process GO:0043043,WBGene00001481,WBGene00001481,History: N.A.
WBGene00004447,peptide biosynthetic process GO:0043043,WBGene00004447,WBGene00004447,History: N.A.
WBGene00001401,peptide biosynthetic process GO:0043043,WBGene00001401,WBGene00001401,History: N.A.
WBGene00021697,peptide biosynthetic process GO:0043043,WBGene00021697,WBGene00021697,History: N.A.
WBGene00003960,peptide biosynthetic process GO:0043043,WBGene00003960,WBGene00003960,History: N.A.
WBGene00004478,peptide biosynthetic process GO:0043043,WBGene00004478,WBGene00004478,History: N.A.
WBGene00007784,peptide biosynthetic process GO:0043043,WBGene00007784,WBGene00007784,History: N.A.
WBGene00004423,peptide biosynthetic process GO:0043043,WBGene00004423,WBGene00004423,History: N.A.
WBGene00001402,peptide biosynthetic process GO:0043043,WBGene00001402,WBGene00001402,History: N.A.
WBGene00004448,peptide biosynthetic process GO:0043043,WBGene00004448,WBGene00004448,History: N.A.
WBGene00003864,peptide biosynthetic process GO:0043043,WBGene00003864,WBGene00003864,History: N.A.
WBGene00012126,peptide biosynthetic process GO:0043043,WBGene00012126,WBGene00012126,History: N.A.
WBGene00004412,peptide biosynthetic process GO:0043043,WBGene00004412,WBGene00004412,History: Renamed on 2004-07-05
WBGene00004414,peptide biosynthetic process GO:0043043,WBGene00004414,WBGene00004414,History: N.A.
WBGene00018391,peptide biosynthetic process GO:0043043,WBGene00018391,WBGene00018391,History: N.A.
WBGene00004433,peptide biosynthetic process GO:0043043,WBGene00004433,WBGene00004433,History: N.A.
WBGene00021466,peptide biosynthetic process GO:0043043,WBGene00021466,WBGene00021466,History: N.A.
WBGene00004470,peptide biosynthetic process GO:0043043,WBGene00004470,WBGene00004470,History: N.A.
WBGene00017084,peptide biosynthetic process GO:0043043,WBGene00017084,WBGene00017084,History: N.A.
WBGene00000772,peptide biosynthetic process GO:0043043,WBGene00000772,WBGene00000772,History: N.A.
WBGene00002059,peptide biosynthetic process GO:0043043,WBGene00002059,WBGene00002059,History: N.A.
WBGene00019157,peptide biosynthetic process GO:0043043,WBGene00019157,WBGene00019157,History: N.A.
WBGene00012738,peptide biosynthetic process GO:0043043,WBGene00012738,WBGene00012738,History: N.A.
WBGene00004431,peptide biosynthetic process GO:0043043,WBGene00004431,WBGene00004431,History: N.A.
WBGene00004486,peptide biosynthetic process GO:0043043,WBGene00004486,WBGene00004486,History: N.A.
WBGene00015007,peptide biosynthetic process GO:0043043,WBGene00015007,WBGene00015007,History: N.A.
WBGene00000369,peptide biosynthetic process GO:0043043,WBGene00000369,WBGene00000369,History: N.A.
WBGene00014176,peptide biosynthetic process GO:0043043,WBGene00014176,WBGene00014176,History: N.A.
WBGene00016113,peptide biosynthetic process GO:0043043,WBGene00016113,WBGene00016113,History: N.A.
WBGene00010054,peptide biosynthetic process GO:0043043,WBGene00010054,WBGene00010054,History: N.A.
WBGene00006725,peptide biosynthetic process GO:0043043,WBGene00006725,WBGene00006725,History: N.A.
WBGene00006728,peptide biosynthetic process GO:0043043,WBGene00006728,WBGene00006728,History: N.A.
WBGene00017087,peptide biosynthetic process GO:0043043,WBGene00017087,WBGene00017087,History: N.A.
WBGene00014221,peptide biosynthetic process GO:0043043,WBGene00014221,WBGene00014221,History: N.A.
WBGene00010908,mRNA 3'-UTR binding GO:0003730,WBGene00010908,WBGene00010908,History: Renamed on 2018-03-19
WBGene00000411,mRNA 3'-UTR binding GO:0003730,WBGene00000411,WBGene00000411,History: N.A.
WBGene00000935,mRNA 3'-UTR binding GO:0003730,WBGene00000935,WBGene00000935,History: N.A.
WBGene00001481,mRNA 3'-UTR binding GO:0003730,WBGene00001481,WBGene00001481,History: N.A.
WBGene00003228,mRNA 3'-UTR binding GO:0003730,WBGene00003228,WBGene00003228,History: N.A.
WBGene00001401,mRNA 3'-UTR binding GO:0003730,WBGene00001401,WBGene00001401,History: N.A.
WBGene00001402,mRNA 3'-UTR binding GO:0003730,WBGene00001402,WBGene00001402,History: N.A.
WBGene00003864,mRNA 3'-UTR binding GO:0003730,WBGene00003864,WBGene00003864,History: N.A.
WBGene00003231,mRNA 3'-UTR binding GO:0003730,WBGene00003231,WBGene00003231,History: N.A.
WBGene00000772,mRNA 3'-UTR binding GO:0003730,WBGene00000772,WBGene00000772,History: N.A.
WBGene00003014,mRNA 3'-UTR binding GO:0003730,WBGene00003014,WBGene00003014,History: N.A.
WBGene00004027,mRNA 3'-UTR binding GO:0003730,WBGene00004027,WBGene00004027,History: N.A.
WBGene00006647,amide transport GO:0042886,WBGene00006647,WBGene00006647,History: N.A.
WBGene00001819,amide transport GO:0042886,WBGene00001819,WBGene00001819,History: N.A.
WBGene00013985,amide transport GO:0042886,WBGene00013985,WBGene00013985,History: Renamed on 2019-09-11
WBGene00010892,amide transport GO:0042886,WBGene00010892,WBGene00010892,History: N.A.
WBGene00003905,amide transport GO:0042886,WBGene00003905,WBGene00003905,History: N.A.
WBGene00020694,amide transport GO:0042886,WBGene00020694,WBGene00020694,History: N.A.
WBGene00006785,amide transport GO:0042886,WBGene00006785,WBGene00006785,History: N.A.
WBGene00021456,amide transport GO:0042886,WBGene00021456,WBGene00021456,History: N.A.
WBGene00004756,amide transport GO:0042886,WBGene00004756,WBGene00004756,History: N.A.
WBGene00008860,amide transport GO:0042886,WBGene00008860,WBGene00008860,History: Renamed on 2017-02-02
WBGene00010736,amide transport GO:0042886,WBGene00010736,WBGene00010736,History: N.A.
WBGene00006374,amide transport GO:0042886,WBGene00006374,WBGene00006374,History: Renamed on 2010-04-16
WBGene00044542,amide transport GO:0042886,WBGene00044542,WBGene00044542,History: N.A.
WBGene00000159,amide transport GO:0042886,WBGene00000159,WBGene00000159,History: N.A.
WBGene00013595,amide transport GO:0042886,WBGene00013595,WBGene00013595,History: N.A.
WBGene00021813,amide transport GO:0042886,WBGene00021813,WBGene00021813,History: N.A.
WBGene00003799,amide transport GO:0042886,WBGene00003799,WBGene00003799,History: N.A.
WBGene00000585,amide transport GO:0042886,WBGene00000585,WBGene00000585,History: Renamed on 2006-01-17
WBGene00017735,amide transport GO:0042886,WBGene00017735,WBGene00017735,History: N.A.
WBGene00270290,amide transport GO:0042886,WBGene00270290,WBGene00270290,History: N.A.
WBGene00009829,amide transport GO:0042886,WBGene00009829,WBGene00009829,History: N.A.
WBGene00014151,amide transport GO:0042886,WBGene00014151,WBGene00014151,History: N.A.
WBGene00004268,amide transport GO:0042886,WBGene00004268,WBGene00004268,History: N.A.
WBGene00003797,amide transport GO:0042886,WBGene00003797,WBGene00003797,History: N.A.
WBGene00019481,amide transport GO:0042886,WBGene00019481,WBGene00019481,History: N.A.
WBGene00004274,amide transport GO:0042886,WBGene00004274,WBGene00004274,History: N.A.
WBGene00003835,amide transport GO:0042886,WBGene00003835,WBGene00003835,History: N.A.
WBGene00006933,amide transport GO:0042886,WBGene00006933,WBGene00006933,History: N.A.
WBGene00020706,amide transport GO:0042886,WBGene00020706,WBGene00020706,History: Renamed on 2008-02-29
WBGene00021883,amide transport GO:0042886,WBGene00021883,WBGene00021883,History: N.A.
WBGene00007167,amide transport GO:0042886,WBGene00007167,WBGene00007167,History: Renamed on 2008-06-23
WBGene00000898,amide transport GO:0042886,WBGene00000898,WBGene00000898,History: N.A.
WBGene00019757,amide transport GO:0042886,WBGene00019757,WBGene00019757,History: Renamed on 2010-03-26
WBGene00003789,amide transport GO:0042886,WBGene00003789,WBGene00003789,History: N.A.
WBGene00022492,amide transport GO:0042886,WBGene00022492,WBGene00022492,History: N.A.
WBGene00000565,amide transport GO:0042886,WBGene00000565,WBGene00000565,History: Renamed on 2014-12-10
WBGene00016165,amide transport GO:0042886,WBGene00016165,WBGene00016165,History: N.A.
WBGene00002076,amide transport GO:0042886,WBGene00002076,WBGene00002076,History: N.A.
WBGene00002632,amide transport GO:0042886,WBGene00002632,WBGene00002632,History: N.A.
WBGene00018391,amide transport GO:0042886,WBGene00018391,WBGene00018391,History: N.A.
WBGene00016120,amide transport GO:0042886,WBGene00016120,WBGene00016120,History: N.A.
WBGene00011054,amide transport GO:0042886,WBGene00011054,WBGene00011054,History: N.A.
WBGene00006843,amide transport GO:0042886,WBGene00006843,WBGene00006843,History: N.A.
WBGene00010459,amide transport GO:0042886,WBGene00010459,WBGene00010459,History: N.A.
WBGene00016171,amide transport GO:0042886,WBGene00016171,WBGene00016171,History: N.A.
WBGene00010040,amide transport GO:0042886,WBGene00010040,WBGene00010040,History: N.A.
WBGene00006373,amide transport GO:0042886,WBGene00006373,WBGene00006373,History: Renamed on 2010-04-16
WBGene00021925,amide transport GO:0042886,WBGene00021925,WBGene00021925,History: N.A.
WBGene00011629,amide transport GO:0042886,WBGene00011629,WBGene00011629,History: N.A.
WBGene00011488,amide transport GO:0042886,WBGene00011488,WBGene00011488,History: N.A.
WBGene00003421,meiotic cell cycle GO:0051321,WBGene00003421,WBGene00003421,History: N.A.
WBGene00008140,meiotic cell cycle GO:0051321,WBGene00008140,WBGene00008140,History: Renamed on 2013-10-11; Renamed on 2015-07-01
WBGene00000867,meiotic cell cycle GO:0051321,WBGene00000867,WBGene00000867,History: N.A.
WBGene00019712,meiotic cell cycle GO:0051321,WBGene00019712,WBGene00019712,History: N.A.
WBGene00011280,meiotic cell cycle GO:0051321,WBGene00011280,WBGene00011280,History: N.A.
WBGene00001005,meiotic cell cycle GO:0051321,WBGene00001005,WBGene00001005,History: N.A.
WBGene00001867,meiotic cell cycle GO:0051321,WBGene00001867,WBGene00001867,History: N.A.
WBGene00019822,meiotic cell cycle GO:0051321,WBGene00019822,WBGene00019822,History: N.A.
WBGene00001748,meiotic cell cycle GO:0051321,WBGene00001748,WBGene00001748,History: N.A.
WBGene00000592,meiotic cell cycle GO:0051321,WBGene00000592,WBGene00000592,History: N.A.
WBGene00019630,meiotic cell cycle GO:0051321,WBGene00019630,WBGene00019630,History: Renamed on 2010-11-24
WBGene00002276,meiotic cell cycle GO:0051321,WBGene00002276,WBGene00002276,History: N.A.
WBGene00011062,meiotic cell cycle GO:0051321,WBGene00011062,WBGene00011062,History: N.A.
WBGene00020068,meiotic cell cycle GO:0051321,WBGene00020068,WBGene00020068,History: N.A.
WBGene00004105,meiotic cell cycle GO:0051321,WBGene00004105,WBGene00004105,History: Renamed on 2008-10-08
WBGene00004297,meiotic cell cycle GO:0051321,WBGene00004297,WBGene00004297,History: N.A.
WBGene00006996,meiotic cell cycle GO:0051321,WBGene00006996,WBGene00006996,History: N.A.
WBGene00001526,meiotic cell cycle GO:0051321,WBGene00001526,WBGene00001526,History: N.A.
WBGene00011597,meiotic cell cycle GO:0051321,WBGene00011597,WBGene00011597,History: N.A.
WBGene00017546,meiotic cell cycle GO:0051321,WBGene00017546,WBGene00017546,History: N.A.
WBGene00001401,meiotic cell cycle GO:0051321,WBGene00001401,WBGene00001401,History: N.A.
