cosmid,gene,fL3mSUM,eL3mSUM,fL4mSUM,eL4mSUM,fADmSUM,eADmSUM,description,KOG,Mountain,fL4s660,eL4s408,FC,fL4s1165,eL4s377,FC.1,fADs1711,eADs2131,FC.2,fADs226,eADs271,FC.3,fADs547,eADs598,FC.4,fL4m1857,eL4m1318,FC.5,fL4m3713,eL4m3494,FC.6,fADm2498,eADm2449,FC.7,fADm2040,eADm2527,FC.8,fADm981,eADm599,FC.9,fADm631,eADm765,FC.10,Input,Suggested Match,History
C02B10.4,C02B10.4,219,50,319,263,1096,825,,RRM motif-containing protein ,Mountain 11,81,5,8.62,127,6,6.15,119,3,37.26,101,5,20.08,63,0,69.65,138,53,1.84,181,210,0.81,425,322,1.29,344,273,1.56,201,86,1.44,126,144,1.06,C02B10.4,WBGene00015329,Public name for WBGene00015329. History: N.A.
C06A5.6,C06A5.6,26,61,152,288,582,775,,Unnamed protein ,Mountain 0,271,26,6.36,916,34,8.81,457,117,4.82,28,5,5.71,264,26,10.68,63,60,0.75,89,228,0.37,238,331,0.71,165,276,0.74,106,58,1.12,73,110,0.8,C06A5.6,WBGene00015504,Sequence name for WBGene00015504(simr-1). History: N.A.
C06B8.7,C06B8.7,52,54,185,154,70,55,, ,Mountain 1,908,38,14.71,1536,41,12.3,1992,83,29.47,44,1,26.58,614,16,39.37,77,41,1.32,108,113,0.9,29,27,1.05,21,22,1.18,9,4,1.24,11,2,4.83,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
C08B11.3,C08B11.3,407,172,571,611,1496,3109,,"Predicted transcriptional regulator, contains ARID domain ",Mountain 2,131,9,8.33,256,10,7.86,218,2,90.66,33,4,8.03,97,3,26.66,118,112,0.75,453,499,0.85,638,1242,0.5,487,1381,0.44,216,205,0.65,155,281,0.67,C08B11.3,WBGene00007433,Sequence name for WBGene00007433(swsn-7). History: N.A.
C08B11.6,C08B11.6,189,47,382,178,690,651,,Actin-related protein - Arp6p ,Mountain 2,61,9,3.91,58,5,3.31,199,42,5.78,23,4,5.67,67,10,6.73,72,48,1.06,310,130,2.23,243,261,0.91,197,283,0.86,134,43,1.9,116,64,2.17,C08B11.6,WBGene00007434,Sequence name for WBGene00007434(arp-6). History: N.A.
C08B11.9,C08B11.9,319,64,474,263,844,820,, ,Mountain 2,67,11,3.58,66,5,3.75,212,47,5.51,23,4,5.67,97,10,9.7,109,70,1.1,365,193,1.78,306,325,0.92,235,359,0.81,170,54,1.92,133,82,1.95,C08B11.9,WBGene00007436,Public name for WBGene00007436. History: N.A.
C09D4.4c,C09D4.4,129,68,224,356,627,1196,,Uncharacterized conserved protein ,Mountain 2,92,12,4.51,269,7,11.35,194,15,15.14,18,1,11.22,58,6,9.17,51,66,0.55,173,290,0.56,275,499,0.54,251,483,0.64,51,96,0.33,50,118,0.52,C09D4.4c,WBGene00015635,Molecule name for WBGene00015635(C09D4.4). History: N.A.
C09G9.2,C09G9.2,63,13,126,121,311,504,,Nucleoporin ,Mountain 9,37,6,3.43,84,0,28.58,75,4,18.88,10,0,13.0,16,0,18.5,41,21,1.36,85,100,0.8,135,219,0.61,97,215,0.56,29,36,0.5,50,34,1.76,C09G9.2,WBGene00007493,Sequence name for WBGene00007493(npp-23). History: N.A.
C10C5.1,C10C5.1,59,31,136,124,85,443,,,Mountain 5,156,10,9.01,365,5,20.51,301,4,75.01,28,0,34.26,76,0,83.8,32,33,0.69,104,91,1.07,41,202,0.2,33,178,0.23,6,23,0.18,5,40,0.18,C10C5.1,WBGene00007505,Sequence name for WBGene00007505(pezo-1). History: N.A.
C10G11.7,C10G11.7,1522,524,1570,1112,5479,4572,,,Mountain ,33,3,5.36,76,6,3.7,361,4,89.92,22,0,27.17,38,0,42.45,574,353,1.16,996,759,1.23,2345,1604,1.43,1911,1720,1.37,799,705,0.7,424,543,0.94,C10G11.7,WBGene00015687,Sequence name for WBGene00015687(chdp-1). History: N.A.
C16A11.3,C16A11.3,16,7,76,48,137,166,,,Mountain 2,106,9,6.75,139,2,15.69,343,2,142.41,44,3,13.29,87,3,23.94,13,7,1.25,63,41,1.43,65,76,0.84,45,69,0.81,14,6,1.33,13,15,1.06,C16A11.3,WBGene00015816,"Public name for WBGene00015816. History: Split into C16A11.10(WBGene00185089). History of WBGene00015816: Split into ""WBGene00185089"" on 2009-03-13"
C16A3.1a,C16A3.1,39,14,94,70,230,467,"C16A3.1 is orthologous to the human gene SMARCAL1 (SMARCAL1; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=606622"">OMIM:606622</a>), which when mutated leads to disease ","Chromatin remodeling protein HARP/SMARCAL1, DEAD-box superfamily ",Mountain 2,80,3,12.78,146,1,24.71,144,5,30.01,16,0,20.08,73,0,80.54,9,20,0.34,85,50,1.59,88,201,0.43,68,210,0.4,38,24,0.96,36,32,1.35,C16A3.1a,WBGene00015806,Molecule name for WBGene00015806(smrc-1). History: N.A.
C16C10.3,C16C10.3,209,234,600,817,4557,5560,,Translation initiation factor 2C (eIF-2C) and related proteins ,Mountain 7,376,52,4.49,638,56,3.77,825,257,3.98,67,12,6.18,315,79,4.3,139,215,0.46,461,602,0.72,2135,2281,0.92,1685,2310,0.9,401,461,0.54,336,508,0.8,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
C17E4.6,C17E4.6,140,38,226,144,832,737,,DNA-binding protein YL1 and related proteins ,Mountain 11,41,6,3.79,123,0,41.69,115,6,20.58,29,0,35.44,44,0,48.98,53,33,1.13,173,111,1.46,301,312,0.95,252,258,1.21,174,77,1.39,105,90,1.41,C17E4.6,WBGene00007645,Public name for WBGene00007645. History: N.A.
C17E4.9,C17E4.9,728,269,669,499,476,592,,"Na+/K+ ATPase, beta subunit ",Mountain 2,52,8,3.72,92,8,3.47,137,5,28.56,26,2,10.63,54,7,7.48,85,140,0.44,584,359,1.53,169,240,0.69,162,251,0.8,70,39,1.1,75,62,1.46,C17E4.9,WBGene00007646,Sequence name for WBGene00007646(nkb-1). History: N.A.
C23G10.8,C23G10.8,200,89,367,284,666,1159,,Unnamed protein ,Mountain 5,84,8,5.96,104,5,5.88,180,4,44.96,15,0,18.9,65,2,23.94,79,88,0.64,288,196,1.38,298,397,0.74,215,401,0.66,94,249,0.24,59,112,0.64,C23G10.8,WBGene00016015,Sequence name for WBGene00016015(sna-3). History: N.A.
C26E6.3,C26E6.3,75,22,101,61,177,316,,Protein involved in cell differentiation/sexual development ,Mountain 2,85,7,6.78,200,4,13.52,148,3,46.26,64,2,25.6,46,0,51.15,13,20,0.48,88,41,1.99,61,124,0.49,63,123,0.64,24,38,0.4,29,31,1.13,C26E6.3,WBGene00016139,Sequence name for WBGene00016139(ntl-9). History: N.A.
C28A5.1,C28A5.1,6,26,92,329,560,2382,,Unnamed protein ,Mountain 11,569,24,14.39,1298,8,48.53,834,7,129.63,21,2,8.66,269,10,26.71,32,56,0.41,60,273,0.21,248,1025,0.24,206,1059,0.24,62,143,0.27,44,155,0.35,C28A5.1,WBGene00007788,Public name for WBGene00007788. History: N.A.
C28A5.2,C28A5.2,14,40,80,397,487,2439,,Unnamed protein ,Mountain 7,614,30,12.52,1366,10,41.79,959,10,108.39,36,2,14.57,306,10,30.38,17,78,0.16,63,319,0.19,223,1014,0.22,179,1102,0.2,57,139,0.26,28,184,0.19,C28A5.2,WBGene00007789,Public name for WBGene00007789. History: N.A.
C28C12.2,C28C12.2,0,0,42,40,1378,1735,,,Mountain 7,57,7,4.58,88,5,4.99,261,5,54.23,24,0,29.54,92,0,101.22,15,9,1.14,27,31,0.82,577,711,0.8,507,743,0.84,135,131,0.64,159,150,1.28,C28C12.2,WBGene00016178,Sequence name for WBGene00016178(mesp-1). History: N.A.
C28H8.4,C28H8.4,126,52,204,101,210,473,,ER lumen protein retaining receptor ,Mountain 20,85,5,9.05,247,9,8.34,152,8,21.11,144,15,10.71,64,1,35.37,38,45,0.6,166,56,2.76,80,220,0.36,72,197,0.46,31,27,0.71,27,29,1.13,C28H8.4,WBGene00016195,Sequence name for WBGene00016195(erd-2.2). History: N.A.
C30C11.1,C30C11.1,191,25,147,133,176,194,,Mitochondrial ribosomal protein L32 ,Mountain 2,50,2,10.73,70,0,23.87,75,10,8.58,21,0,25.99,17,1,9.8,23,20,0.82,124,113,1.03,77,89,0.85,61,92,0.82,17,6,1.59,21,7,3.32,C30C11.1,WBGene00016249,Sequence name for WBGene00016249(mrpl-32). History: N.A.
C32D5.10,C32D5.10,275,91,261,318,816,1273,,Predicted E3 ubiquitin ligase ,Mountain 2,73,4,9.34,95,1,16.14,181,1,113.02,12,0,15.36,29,0,32.65,63,58,0.77,198,260,0.72,355,480,0.73,272,496,0.68,112,106,0.65,77,191,0.49,C32D5.10,WBGene00016317,Public name for WBGene00016317. History: N.A.
