# Dataset S5.  Annotated features with ten or more siRNA  reads per million total small RNA reads and elevated by 3 fold or more in mut-16(mg461), relative to wild type (N2).
gene,Reads Per Million Total_wt,Reads Per Million Total_mg461,Reads Per Million Total_mg461/wt,Annotation,Input,Suggested Match,History
C40A11.10,81.08,279.68,3.45,Gene,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F28F5.3,6.66,22.93,3.44,Gene,F28F5.3,WBGene00017904,Sequence name for WBGene00017904(lim-8). History: Renamed on 2007-02-02
C27A2.4,4.13,14.06,3.4,Gene,C27A2.4,WBGene00016152,"Sequence name for WBGene00016152(pho-12). History: Split into C27A2.12(WBGene00206373). History of WBGene00016152: Split into ""WBGene00206373"" on 2010-12-09"
Y105C5B.9,11.5,38.94,3.39,Gene,Y105C5B.9,WBGene00013650,Public name for WBGene00013650. History: N.A.
B0244.2,25.68,86.21,3.36,Gene,B0244.2,WBGene00002048,Sequence name for WBGene00002048(ida-1). History: N.A.
F10C1.5,6.74,22.46,3.33,Gene,F10C1.5,WBGene00017326,Sequence name for WBGene00017326(dmd-5). History: N.A.
ZK1010.9,4.57,15.1,3.3,Gene,ZK1010.9,WBGene00004906,Sequence name for WBGene00004906(snf-7). History: N.A.
K08E7.9,20.08,64.75,3.22,Gene,K08E7.9,WBGene00003995,Sequence name for WBGene00003995(pgp-1). History: N.A.
B0344.2,12.77,41.05,3.21,Gene,B0344.2,WBGene00006955,Sequence name for WBGene00006955(wrt-9). History: N.A.
T21B4.2,4.12,13.15,3.19,Gene,T21B4.2,WBGene00000660,Sequence name for WBGene00000660(col-85). History: N.A.
F47E1.2,4.35,13.72,3.15,Gene,F47E1.2,WBGene00018566,Public name for WBGene00018566. History: N.A.
F43C9.2,5.82,18.32,3.15,Gene,F43C9.2,WBGene00018376,Public name for WBGene00018376. History: N.A.
T16A1.9,102.05,319.71,3.13,Transposon,T16A1.9,,Sequence name for Suppressed gene WBGene00020538. Molecular name for Suppressed gene WBGene00020538. Public name for Suppressed gene WBGene00020538. History of WBGene00020538: Suppressed on 2005-12-12. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C09B9.1,5.68,17.69,3.12,Gene,C09B9.1,WBGene00015626,Public name for WBGene00015626. History: N.A.
C17D12.6,44.28,136.05,3.07,Gene,C17D12.6,WBGene00004963,Sequence name for WBGene00004963(spe-9). History: N.A.
F42H10.5,21.01,63.97,3.04,Gene,F42H10.5,WBGene00018369,Sequence name for WBGene00018369(mig-39). History: N.A.
C14B9.3,6.3,18.98,3.01,Gene,C14B9.3,WBGene00015753,Public name for WBGene00015753. History: N.A.
