# Table S3. Peptide counts for proteins identified by MudPIT analyses of GFP IP from N2 and gfp::rde-8 lysates. Related to Figure 3
Accession,Peptide counts in N2,Peptide counts in GFP::RDE-8(+),Description,Input,Suggested Match,History
ZK546.3,0.0,46.0,CE02917 WBGene00022760 Major sperm protein status:Predicted TR:Q23524 protein_id:AAA68736.1,ZK546.3,WBGene00022760,Public name for WBGene00022760. History: N.A.
W05G11.6b,0.0,39.0,CE14634 WBGene00021043 status:Confirmed TR:Q8ITY2 protein_id:AAN65286.1,,,
W05G11.6d,0.0,39.0,CE32741 WBGene00021043 status:Confirmed TR:Q8ITY0 protein_id:AAN65288.1,,,
F26G1.7,0.0,39.0,CE02699 WBGene00003424 locus:msp-3 Major sperm protein status:Confirmed SW:Q19832 protein_id:AAK31504.1,F26G1.7,WBGene00003424,Sequence name for WBGene00003424(msp-3). History: N.A.
C47E12.5b,0.0,29.0,CE39093 WBGene00006699 locus:uba-1 status:Confirmed TR:Q3S1J5 protein_id:CAJ30225.1,C47E12.5b,WBGene00006699,Molecule name for WBGene00006699(uba-1). History: N.A.
C18A3.5b,0.0,24.0,CE27709 WBGene00015943 status:Confirmed TR:Q95QV7 protein_id:AAK68192.1,C18A3.5b,WBGene00015943,Molecule name for WBGene00015943(tiar-1). History: N.A.
Y57G11C.10a,0.0,22.0,CE14944 WBGene00001558 locus:gdi-1 GDI-1 GDP dissociation inhibitor status:Confirmed TR:Q21449 protein_id:CAB16511.1,Y57G11C.10a,WBGene00001558,Molecule name for WBGene00001558(gdi-1). History: N.A.
Y71H2AM.23,0.0,21.0,CE27322 WBGene00007000 locus:tufm-1 status:Confirmed TR:Q19072 protein_id:AAK29979.1,Y71H2AM.23,WBGene00007000,"Sequence name for WBGene00007000(tufm-1). History: N.A.. Public name for Dead gene WBGene00022187. History of WBGene00022187: Merged into ""WBGene00007000"" on 2004-05-28"
R03D7.6,0.0,20.0,CE01613 WBGene00001753 locus:gst-5 glutathione S-transferase status:Confirmed SW:Q09596 protein_id:CAA86859.1,R03D7.6,WBGene00001753,Sequence name for WBGene00001753(gst-5). History: N.A.
ZK1010.1,0.0,19.0,CE15495 WBGene00006728 locus:ubq-2 UBQ-2 ubiquitin\; 60S Ribosomal protein L40 status:Confirmed,ZK1010.1,WBGene00006728,Sequence name for WBGene00006728(ubq-2). History: N.A.
F41E7.5,0.0,18.0,CE03305 WBGene00009621 locus:fipr-21 collagen-like repeats status:Confirmed TR:Q20277 protein_id:CAA92128.1,F41E7.5,WBGene00009621,Sequence name for WBGene00009621(fipr-21). History: N.A.
C26E6.7b,0.0,15.0,CE32145 WBGene00016143 status:Partially_confirmed TR:Q95QU4 protein_id:AAN63444.1,C26E6.7b,WBGene00016143,Molecule name for WBGene00016143(eri-9). History: N.A.
C06E7.1a,0.0,14.0,CE03957 WBGene00015538 S-adenosylmethionine synthetase status:Confirmed SW:P50305 protein_id:AAA82280.1,C06E7.1a,WBGene00015538,Molecule name for WBGene00015538(sams-3). History: N.A.
F11C3.3,0.0,14.0,CE09349 WBGene00006789 locus:unc-54 myosin heavy chain status:Partially_confirmed SW:P02566 protein_id:CAB05505.1,F11C3.3,WBGene00006789,Sequence name for WBGene00006789(unc-54). History: N.A.
ZK520.5,0.0,13.0,CE16730 WBGene00000878 locus:cyn-2 Peptidyl-prolyl cis-trans isomerases status:Confirmed SW:P52010 protein_id:CAB07303.1,ZK520.5,WBGene00000878,Sequence name for WBGene00000878(cyn-2). History: N.A.
ZC247.1,0.0,13.0,CE39535 WBGene00013859 status:Partially_confirmed,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
Y48G8AL.5,0.0,13.0,CE30462 WBGene00021686 status:Partially_confirmed TR:Q9BL15 protein_id:AAK29904.3,Y48G8AL.5,WBGene00021686,Sequence name for WBGene00021686(nsun-2). History: N.A.
B0001.2,0.0,12.0,CE36776 WBGene00007087 status:Partially_confirmed TR:Q17411 protein_id:CAA93451.2,B0001.2,WBGene00007087,Public name for WBGene00007087. History: N.A.
K08F4.9,0.0,11.0,CE06157 WBGene00000975 locus:dhs-12 alcohol dehydrogenase status:Confirmed TR:Q21359 protein_id:CAA93099.1,K08F4.9,WBGene00000975,Sequence name for WBGene00000975(dhs-12). History: N.A.
F25H5.1a,0.0,11.0,CE37827 WBGene00006407 locus:lim-9 LIM domain containing proteins (6 domains) status:Confirmed TR:O17832 protein_id:CAB02980.2,,,
F25H5.1c,0.0,11.0,CE37829 WBGene00006407 locus:lim-9 LIM domain containing proteins (6 domains) status:Confirmed TR:Q5FC26 protein_id:CAJ30228.1,F25H5.1c,WBGene00006407,Molecule name for WBGene00006407(lim-9). History: Renamed on 2007-02-02
F26F12.7,0.0,11.0,CE17716 WBGene00002637 locus:let-418 DNA helicase status:Confirmed TR:Q19815 protein_id:AAC25894.1,F26F12.7,WBGene00002637,Sequence name for WBGene00002637(let-418). History: N.A.
R02D3.1,0.0,11.0,CE18095 WBGene00019819 dehydrogenase status:Confirmed TR:O44503 protein_id:AAB94142.1,R02D3.1,WBGene00019819,Sequence name for WBGene00019819(aass-1). History: N.A.
C37C3.6c,0.0,11.0,CE30735 WBGene00016498 locus:ppn-1 status:Partially_confirmed SW:O76840 protein_id:AAM29666.1,C37C3.6c,WBGene00003242,Molecule name for WBGene00003242(mig-6). History: N.A.
T10F2.1a,0.0,11.0,CE29472 WBGene00001744 locus:grs-1 Glycyl-tRNA synthetase status:Confirmed SW:Q10039 protein_id:AAK21465.2,T10F2.1a,WBGene00001744,Molecule name for WBGene00001744(gars-1). History: Renamed on 2010-01-29
F25H5.1b,0.0,10.0,CE37828 WBGene00006407 locus:lim-9 LIM domain containing proteins (5 domains) status:Confirmed TR:Q5FC23 protein_id:CAJ30230.1,F25H5.1b,WBGene00006407,Molecule name for WBGene00006407(lim-9). History: Renamed on 2007-02-02
Y65B4BR.5a,0.0,9.0,CE22740 WBGene00022042 status:Confirmed SW:Q86S66 protein_id:AAF60854.1,,,
R12E2.3,0.0,9.0,CE18135 WBGene00004464 locus:rpn-8 status:Confirmed TR:O61792 protein_id:AAC17024.1,R12E2.3,WBGene00004464,Sequence name for WBGene00004464(rpn-8). History: N.A.
M7.1,0.0,9.0,CE03482 WBGene00002344 locus:let-70 ubiquitin-conjugating enzyme E2-17 KD status:Confirmed SW:P35129 protein_id:CAA92745.1,M7.1,WBGene00002344,Sequence name for WBGene00002344(let-70). History: N.A.
F02E9.9a,0.0,8.0,"CE41216 WBGene00008532 WD domain, G-beta repeat status:Partially_confirmed TR:Q9U3K7 protein_id:CAB54212.3",F02E9.9a,WBGene00008532,Molecule name for WBGene00008532(dpt-1). History: N.A.
R12E2.11,0.0,8.0,CE18143 WBGene00020036 purine\/pyrimidine phosphoribosyl transferase status:Confirmed TR:O61790 protein_id:AAC17032.1,R12E2.11,WBGene00020036,Public name for WBGene00020036. History: N.A.
F56D12.1a,0.0,8.0,CE29047 WBGene00000112 locus:alh-6 aldehyde dehydrogenase status:Confirmed TR:O16648 protein_id:AAB66116.3,F56D12.1a,WBGene00000112,Molecule name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
F20G2.2,0.0,8.0,CE09505 WBGene00008986 dehydrogenase status:Confirmed TR:Q93545 protein_id:CAB02087.1,F20G2.2,WBGene00008986,Public name for WBGene00008986. History: N.A.
F01F1.8b,0.0,8.0,CE30647 WBGene00000381 locus:cct-6 status:Partially_confirmed TR:Q8MYQ9 protein_id:AAM22058.1,F01F1.8b,WBGene00000381,Molecule name for WBGene00000381(cct-6). History: N.A.
F25D7.4,0.0,8.0,CE09632 WBGene00009113 claustrin like status:Partially_confirmed TR:Q93562 protein_id:CAB01697.1,F25D7.4,WBGene00009113,Sequence name for WBGene00009113(maph-1.2). History: N.A.
F15E11.15a,0.0,8.0,CE35276 WBGene00017501 status:Confirmed TR:Q7KPV3 protein_id:AAO38660.2,,,
F52B10.1,0.0,8.0,CE31177 WBGene00003776 locus:nmy-1 myosin status:Partially_confirmed TR:Q20641 protein_id:AAA83339.2,F52B10.1,WBGene00003776,Sequence name for WBGene00003776(nmy-1). History: N.A.
R07B1.4,0.0,7.0,CE30562 WBGene00001784 locus:gst-36 glutathione S-transferase status:Confirmed SW:Q09607 protein_id:CAA88541.2,R07B1.4,WBGene00001784,Sequence name for WBGene00001784(gst-36). History: N.A.
C06E7.1d,0.0,7.0,CE33515 WBGene00015538 status:Confirmed TR:Q86NI3 protein_id:AAO44915.1,C06E7.1d,WBGene00015538,Molecule name for WBGene00015538(sams-3). History: N.A.
Y105C5B.12a,0.0,7.0,CE32228 WBGene00013652 status:Partially_confirmed TR:Q8I4F1 protein_id:CAD56249.1,,,
W03G9.4,0.0,7.0,CE14560 WBGene00000155 locus:app-1 aminopeptidase status:Partially_confirmed TR:O44750 protein_id:AAB96739.1,W03G9.4,WBGene00000155,Sequence name for WBGene00000155(app-1). History: N.A.
F56D12.1d,0.0,7.0,CE40074 WBGene00000112 locus:alh-6 status:Confirmed,F56D12.1d,WBGene00000112,Molecule name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
F56D12.1b,0.0,7.0,CE33403 WBGene00000112 locus:alh-6 status:Partially_confirmed TR:Q86N72 protein_id:AAO38633.1,F56D12.1b,WBGene00000112,Molecule name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
H39E23.1b,0.0,7.0,CE27768 WBGene00003916 locus:par-1 status:Partially_confirmed TR:Q17368 protein_id:CAB54262.2,H39E23.1b,WBGene00003916,Molecule name for WBGene00003916(par-1). History: N.A.
R10E12.1b,0.0,7.0,CE00310 WBGene00007010 locus:alx-1 status:Confirmed SW:P34552 protein_id:CAD54152.1,R10E12.1b,WBGene00007010,Molecule name for WBGene00007010(alx-1). History: N.A.
Y54E10A.9b,0.0,7.0,CE28369 WBGene00006888 locus:vbh-1 status:Confirmed TR:Q95XY1 protein_id:AAK68520.1,Y54E10A.9b,WBGene00006888,Molecule name for WBGene00006888(vbh-1). History: N.A.
M110.5b,0.0,7.0,CE37844 WBGene00000894 locus:dab-1 status:Confirmed TR:Q9U3A6 protein_id:CAB54271.3,M110.5b,WBGene00000894,Molecule name for WBGene00000894(dab-1). History: N.A.
Y54G11A.5,0.0,7.0,CE22476 WBGene00000831 locus:ctl-2 Catalase status:Confirmed SW:Q27487 protein_id:CAA22451.1,Y54G11A.5,WBGene00000831,Sequence name for WBGene00000831(ctl-2). History: N.A.
R08E5.2a,0.0,7.0,CE12574 WBGene00019962 cysteine synthase status:Confirmed TR:O01592 protein_id:AAB52276.1,,,
C37H5.6a,0.0,7.0,CE08630 WBGene00016509 status:Confirmed TR:Q8MNS2 protein_id:AAM29668.1,C37H5.6a,WBGene00016509,Molecule name for WBGene00016509(adss-1). History: N.A.
F09F7.2a,0.0,7.0,CE01236 WBGene00003371 locus:mlc-3 status:Confirmed SW:P53014 protein_id:AAA50701.1,F09F7.2a,WBGene00003371,Molecule name for WBGene00003371(mlc-3). History: N.A.
F35G12.2,0.0,6.0,CE31500 WBGene00009440 isocitrate dehydrogenase status:Confirmed TR:Q20049 protein_id:CAA86325.2,F35G12.2,WBGene00009440,Sequence name for WBGene00009440(idhg-1). History: N.A.
F32A7.5a,0.0,6.0,CE09846 WBGene00009306 claustrin like status:Partially_confirmed TR:P91859 protein_id:CAB05498.1,F32A7.5a,WBGene00009306,Molecule name for WBGene00009306(maph-1.1). History: N.A.
ZK546.5,0.0,6.0,CE02919 WBGene00022762 Zinc finger protein status:Partially_confirmed TR:Q23521 protein_id:AAA68738.1,ZK546.5,WBGene00022762,Public name for WBGene00022762. History: N.A.
Y62H9A.4,0.0,6.0,CE19240 WBGene00013392 status:Confirmed TR:Q9XWT4 protein_id:CAA21561.1,Y62H9A.4,WBGene00013392,Public name for WBGene00013392. History: N.A.
F53H4.2,0.0,6.0,CE41403 WBGene00010007 status:Confirmed TR:Q93778 protein_id:CAB03134.1,F53H4.2,WBGene00010007,Public name for WBGene00010007. History: N.A.
T12D8.2,0.0,6.0,"CE16399 WBGene00011730 locus:drr-2 RNA recognition motif. (aka RRM, RBD, or RNP domain) status:Confirmed TR:O45781 protein_id:CAB03342.1",T12D8.2,WBGene00011730,Sequence name for WBGene00011730(drr-2). History: N.A.
F44C4.3,0.0,6.0,CE07251 WBGene00000784 locus:cpr-4 cathepsin B-like cysteine proteinase 4 precursor status:Confirmed SW:P43508 protein_id:AAA92327.1,F44C4.3,WBGene00000784,Sequence name for WBGene00000784(cpr-4). History: N.A.
Y71F9AL.16,0.0,6.0,CE25554 WBGene00000199 locus:arx-1 actin status:Partially_confirmed SW:Q9N4I0 protein_id:AAF36012.1,Y71F9AL.16,WBGene00000199,Sequence name for WBGene00000199(arx-1). History: N.A.
Y53F4B.30,0.0,6.0,CE22417 WBGene00001775 locus:gst-27 glutathione S-transferase status:Confirmed TR:Q9NAB3 protein_id:CAB61104.1,Y53F4B.30,WBGene00001775,Sequence name for WBGene00001775(gst-27). History: N.A.
C47B2.6b,0.0,6.0,CE38295 WBGene00008132 locus:gale-1 NAD dependant epimerase\/dehydratase family status:Confirmed TR:Q564Q1 protein_id:CAI79146.1,C47B2.6b,WBGene00008132,Molecule name for WBGene00008132(gale-1). History: N.A.
K08F9.2,0.0,6.0,CE11944 WBGene00010685 locus:tag-216 beta-transducin like protein status:Confirmed TR:O17939 protein_id:CAB03187.1,K08F9.2,WBGene00010685,Sequence name for WBGene00010685(aipl-1). History: Renamed on 2009-02-16
R10E12.1d,0.0,6.0,CE34084 WBGene00007010 locus:alx-1 status:Confirmed SW:P34552 protein_id:CAD91697.1,R10E12.1d,WBGene00007010,Molecule name for WBGene00007010(alx-1). History: N.A.
M02D8.1,0.0,6.0,CE04757 WBGene00019727 status:Partially_confirmed TR:Q21465 protein_id:AAA82383.1,M02D8.1,WBGene00019727,Sequence name for WBGene00019727(zig-12). History: N.A.
Y45F10C.2,0.0,6.0,CE16636 WBGene00012878 status:Confirmed SW:O45941 protein_id:CAB16475.1,Y45F10C.2,WBGene00012878,Public name for WBGene00012878. History: N.A.
C36A4.5,0.0,6.0,CE03073 WBGene00007966 claustrin like status:Partially_confirmed TR:Q18494 protein_id:CAA91271.1,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
VF13D12L.3,0.0,6.0,CE21229 WBGene00012149 status:Confirmed TR:Q9XTB4 protein_id:CAA22133.1,VF13D12L.3,WBGene00012149,Public name for WBGene00012149. History: N.A.
F22B8.6,0.0,6.0,CE15884 WBGene00009048 cystathione gamma-lyase like status:Confirmed TR:O45391 protein_id:CAB05492.1,F22B8.6,WBGene00009048,Sequence name for WBGene00009048(cth-1). History: N.A.
C36E6.5,0.0,5.0,CE20542 WBGene00003370 locus:mlc-2 status:Confirmed SW:P19626 protein_id:AAK09069.1,C36E6.5,WBGene00003370,Sequence name for WBGene00003370(mlc-2). History: N.A.
F57B9.10a,0.0,5.0,CE25011 WBGene00004462 locus:rpn-6 status:Confirmed TR:Q20938 protein_id:AAA21173.2,F57B9.10a,WBGene00004462,Molecule name for WBGene00004462(rpn-6.1). History: N.A.
T08A9.9,0.0,5.0,CE33825 WBGene00004990 locus:spp-5 status:Confirmed TR:Q86FL8 protein_id:AAP13768.1,T08A9.9,WBGene00004990,Sequence name for WBGene00004990(spp-5). History: N.A.
T12F5.3,0.0,5.0,CE29052 WBGene00001601 locus:glh-4 helicase status:Confirmed SW:O76743 protein_id:AAB96745.2,T12F5.3,WBGene00001601,Sequence name for WBGene00001601(glh-4). History: N.A.
Y37E3.10,0.0,5.0,CE29373 WBGene00021351 status:Confirmed TR:Q9BKU3 protein_id:AAK27873.2,Y37E3.10,WBGene00021351,Sequence name for WBGene00021351(eif-2alpha). History: N.A.
Y54G2A.31,0.0,5.0,CE31652 WBGene00006708 locus:ubc-13 status:Confirmed TR:Q95XX0 protein_id:AAK93865.2,Y54G2A.31,WBGene00006708,Sequence name for WBGene00006708(ubc-13). History: N.A.
H27A22.1b,0.0,5.0,CE40259 WBGene00010418 status:Confirmed TR:Q18LB4 protein_id:CAK55191.1,H27A22.1b,WBGene00010418,Molecule name for WBGene00010418(H27A22.1). History: N.A.
C01G10.8,0.0,5.0,CE07817 WBGene00007235 status:Confirmed TR:Q93168 protein_id:CAB02710.1,C01G10.8,WBGene00007235,Sequence name for WBGene00007235(ahsa-1). History: N.A.
C36B1.4,0.0,5.0,CE05371 WBGene00003925 locus:pas-4 proteasome A-type submit status:Confirmed SW:Q95005 protein_id:CAB02269.1,C36B1.4,WBGene00003925,Sequence name for WBGene00003925(pas-4). History: N.A.
W08F4.8b,0.0,5.0,CE39286 WBGene00021097 locus:cdc-37 status:Partially_confirmed TR:Q336L8 protein_id:ABB51177.1,W08F4.8b,WBGene00021097,Molecule name for WBGene00021097(cdc-37). History: N.A.
Y71H2AM.11,0.0,5.0,CE41075 WBGene00022176 status:Partially_confirmed TR:Q9BL46 protein_id:AAK29983.4,Y71H2AM.11,WBGene00022176,Public name for WBGene00022176. History: N.A.
M110.4a,0.0,5.0,CE02277 WBGene00002066 locus:ifg-1 eukaryotic initiation factor status:Partially_confirmed TR:Q21531 protein_id:CAA90261.1,M110.4a,WBGene00002066,Molecule name for WBGene00002066(ifg-1). History: N.A.
C06G3.5a,0.0,5.0,CE26867 WBGene00015551 adeonsine deaminase status:Confirmed TR:Q17747 protein_id:AAB03130.2,C06G3.5a,WBGene00015551,Molecule name for WBGene00015551(adah-1). History: N.A.
ZK418.9a,0.0,5.0,CE28190 WBGene00022738 possible RNA binding protein status:Confirmed TR:Q23487 protein_id:AAA50693.2,ZK418.9a,WBGene00022738,Molecule name for WBGene00022738(fubl-2). History: Renamed on 2017-12-07
C28C12.7b,0.0,5.0,"CE31323 WBGene00004995 locus:spp-10 7TM chemoreceptor, spp family status:Confirmed TR:Q18276 protein_id:AAB37549.2",C28C12.7b,WBGene00004995,Molecule name for WBGene00004995(spp-10). History: N.A.
F02A9.4a,0.0,5.0,CE00136 WBGene00008514 Propionyl-CoA carboxylase status:Confirmed SW:P34385 protein_id:CAA79618.1,,,
T04A8.7a,0.0,5.0,"CE01076 WBGene00011409 1,4-Alpha-glucan branching enzyme status:Confirmed TR:Q22137 protein_id:CAA84727.1",T04A8.7a,WBGene00011409,Molecule name for WBGene00011409(T04A8.7). History: N.A.
ZK353.6,0.0,5.0,CE00390 WBGene00002249 locus:lap-1 Leucine aminopeptidase status:Confirmed SW:P34629 protein_id:AAA28198.1,ZK353.6,WBGene00002249,Sequence name for WBGene00002249(lap-1). History: N.A.
Y54G11A.13,0.0,5.0,CE22478 WBGene00013220 locus:ctl-3 catalase status:Partially_confirmed TR:Q8MYL7 protein_id:CAD31698.1,Y54G11A.13,WBGene00013220,Sequence name for WBGene00013220(ctl-3). History: N.A.
F56H1.4,0.0,5.0,CE17915 WBGene00004505 locus:rpt-5 ATPase status:Confirmed TR:O76371 protein_id:AAC19196.1,F56H1.4,WBGene00004505,Sequence name for WBGene00004505(rpt-5). History: N.A.
B0285.4,0.0,4.0,CE00643 WBGene00007137 status:Partially_confirmed SW:P46554 protein_id:CAA84295.1,B0285.4,WBGene00007137,Sequence name for WBGene00007137(lcmt-1). History: N.A.
T01G9.6b,0.0,4.0,CE06343 WBGene00002196 locus:kin-10 KIN-10 casein kinase status:Confirmed SW:P28548 protein_id:CAB00053.1,T01G9.6b,WBGene00002196,Molecule name for WBGene00002196(kin-10). History: N.A.
D1054.2,0.0,4.0,CE05521 WBGene00003923 locus:pas-2 proteasome component C3 status:Confirmed SW:Q27488 protein_id:CAA98441.1,D1054.2,WBGene00003923,Sequence name for WBGene00003923(pas-2). History: N.A.
ZK1320.2,0.0,4.0,CE01700 WBGene00014252 status:Confirmed SW:Q09364 protein_id:CAA87040.1,ZK1320.2,WBGene00014252,Public name for WBGene00014252. History: N.A.
T11G6.1b,0.0,4.0,CE33829 WBGene00002001 locus:hrs-1 histidyl-tRNA synthetase (mitochondrial) status:Confirmed SW:P34183 protein_id:CAD89746.1,T11G6.1b,WBGene00002001,Molecule name for WBGene00002001(hars-1). History: Renamed on 2010-01-29
ZC395.10,0.0,4.0,CE01436 WBGene00022599 status:Confirmed SW:Q23280 protein_id:AAG00038.1,ZC395.10,WBGene00022599,Sequence name for WBGene00022599(daf-41). History: N.A.
W02F12.5,0.0,4.0,CE31083 WBGene00020950 dihydrolipoamide succinyltransferase status:Confirmed TR:O45148 protein_id:AAC04462.2,W02F12.5,WBGene00020950,Sequence name for WBGene00020950(dlst-1). History: N.A.
ZK1127.10,0.0,4.0,CE07648 WBGene00022856 cystathionine gamma-lyase status:Confirmed SW:P55216 protein_id:AAB93432.1,ZK1127.10,WBGene00022856,Sequence name for WBGene00022856(cth-2). History: N.A.
C56G7.1,0.0,4.0,CE01531 WBGene00003372 locus:mlc-4 myosin regulatory light chain 2 status:Confirmed SW:Q09510 protein_id:CAA84331.1,C56G7.1,WBGene00003372,Sequence name for WBGene00003372(mlc-4). History: N.A.
C29F7.2,0.0,4.0,CE35414 WBGene00007811 status:Confirmed TR:O17621 protein_id:CAB07327.2,C29F7.2,WBGene00007811,Public name for WBGene00007811. History: N.A.
Y57G11B.5,0.0,4.0,CE14924 WBGene00013297 status:Confirmed TR:O18224 protein_id:CAB16499.1,Y57G11B.5,WBGene00013297,Public name for WBGene00013297. History: N.A.
F21C10.9,0.0,4.0,CE37636 WBGene00017658 status:Confirmed TR:Q19661 protein_id:AAN84822.2,F21C10.9,WBGene00017658,Public name for WBGene00017658. History: N.A.
Y59E9AL.3,0.0,4.0,CE22659 WBGene00021993 status:Partially_confirmed TR:Q9N2L4 protein_id:AAF60821.1,Y59E9AL.3,WBGene00021993,Sequence name for WBGene00021993(nsph-4.2). History: N.A.
F36H1.1,0.0,4.0,CE05813 WBGene00001426 locus:fkb-1 FK506-binding protein status:Confirmed TR:Q20107 protein_id:CAA92994.1,F36H1.1,WBGene00001426,Sequence name for WBGene00001426(fkb-1). History: N.A.
F36H1.6,0.0,4.0,CE40358 WBGene00000109 locus:alh-3 formyltetrahydrofolate dehydrogenase status:Confirmed TR:Q19428 protein_id:CAA92998.2,F36H1.6,WBGene00000109,Sequence name for WBGene00000109(alh-3). History: N.A.
T22G5.2,0.0,4.0,CE13984 WBGene00002259 locus:lbp-7 fatty-acid binding protein status:Partially_confirmed SW:O02323 protein_id:CAB03387.1,T22G5.2,WBGene00002259,Sequence name for WBGene00002259(lbp-7). History: N.A.
C28D4.3,0.0,4.0,CE08432 WBGene00001607 locus:gln-6 glutamine synthase status:Confirmed TR:O02225 protein_id:CAB05127.1,C28D4.3,WBGene00001607,Sequence name for WBGene00001607(gln-6). History: N.A.
T09B4.8,0.0,4.0,CE33176 WBGene00020382 aminotransferase status:Partially_confirmed TR:O02158 protein_id:AAB53010.3,T09B4.8,WBGene00020382,Public name for WBGene00020382. History: N.A.
T27A3.2,0.0,4.0,CE30696 WBGene00020839 ubiquitin carboxyl-terminal hydrolase status:Partially_confirmed TR:P91502 protein_id:AAB42297.2,T27A3.2,WBGene00020839,Sequence name for WBGene00020839(usp-5). History: N.A.
F58B4.5,0.0,4.0,CE06015 WBGene00010238 status:Confirmed TR:Q20974 protein_id:CAA98496.1,F58B4.5,WBGene00010238,Public name for WBGene00010238. History: N.A.
M03A1.7,0.0,4.0,CE33427 WBGene00000928 locus:dao-2 status:Confirmed TR:Q86LS4 protein_id:AAO38616.1,M03A1.7,WBGene00000928,Sequence name for WBGene00000928(dao-2). History: N.A.
T05F1.6,0.0,4.0,CE36405 WBGene00002027 locus:hsr-9 BRCA1 C Terminus (BRCT) domain status:Partially_confirmed TR:Q7JKP6 protein_id:CAF31485.1,T05F1.6,WBGene00002027,Sequence name for WBGene00002027(hsr-9). History: N.A.
Y69E1A.5,0.0,4.0,CE22812 WBGene00013477 Phosphatidylethanolamine-binding protein status:Confirmed TR:Q9XW37 protein_id:CAA22258.1,Y69E1A.5,WBGene00013477,Public name for WBGene00013477. History: N.A.
T04A8.7b,0.0,4.0,CE33539 WBGene00011409 status:Partially_confirmed TR:Q86G92 protein_id:CAD82917.1,T04A8.7b,WBGene00011409,Molecule name for WBGene00011409(T04A8.7). History: N.A.
F25E2.2,0.0,4.0,CE37106 WBGene00017780 status:Partially_confirmed TR:Q19780 protein_id:AAA91255.2,F25E2.2,WBGene00017780,Public name for WBGene00017780. History: N.A.
Y71H10A.1a,0.0,4.0,CE28266 WBGene00022199 phosphofructokinase status:Confirmed TR:Q9TZL8 protein_id:AAC67416.2,Y71H10A.1a,WBGene00022199,Molecule name for WBGene00022199(pfk-1.1). History: Renamed on 2014-03-03
F55H12.4,0.0,4.0,CE11212 WBGene00010135 status:Confirmed TR:P90889 protein_id:CAB03140.1,F55H12.4,WBGene00010135,Public name for WBGene00010135. History: N.A.
F56D2.1,0.0,3.0,CE11226 WBGene00018963 locus:ucr-1 Mitochondrial processing protease enhancing protein status:Confirmed SW:P98080 protein_id:AAB52679.1,F56D2.1,WBGene00018963,Sequence name for WBGene00018963(ucr-1). History: N.A.
F53A2.4,0.0,3.0,CE16096 WBGene00003829 locus:nud-1 status:Confirmed TR:O45549 protein_id:CAB04452.1,F53A2.4,WBGene00003829,Sequence name for WBGene00003829(nud-1). History: N.A.
