# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Embryo Targets > 150 RPM (249),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00002226,,,,WBGene00002226,WBGene00002226,History: N.A.
WBGene00002229,,,,WBGene00002229,WBGene00002229,History: N.A.
WBGene00002250,,,,WBGene00002250,WBGene00002250,History: N.A.
WBGene00002297,,,,WBGene00002297,WBGene00002297,History: Renamed on 2005-09-28
WBGene00002717,,,,WBGene00002717,WBGene00002717,History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04
WBGene00002845,,,,WBGene00002845,WBGene00002845,History: Renamed on 2007-04-12
WBGene00002998,,,,WBGene00002998,WBGene00002998,History: N.A.
WBGene00003009,,,,WBGene00003009,WBGene00003009,History: N.A.
WBGene00003026,,,,WBGene00003026,WBGene00003026,History: Renamed on 2005-08-24
WBGene00003132,,,,WBGene00003132,WBGene00003132,History: Renamed on 2015-03-03
WBGene00003150,,,,WBGene00003150,WBGene00003150,History: N.A.
WBGene00003159,,,,WBGene00003159,WBGene00003159,History: N.A.
WBGene00003160,,,,WBGene00003160,WBGene00003160,History: Renamed on 2013-11-19
WBGene00003162,,,,WBGene00003162,WBGene00003162,History: Renamed on 2010-08-18
WBGene00003184,,,,WBGene00003184,WBGene00003184,History: N.A.
WBGene00003210,,,,WBGene00003210,WBGene00003210,History: N.A.
WBGene00003218,,,,WBGene00003218,WBGene00003218,History: N.A.
WBGene00003229,,,,WBGene00003229,WBGene00003229,History: N.A.
WBGene00003241,,,,WBGene00003241,WBGene00003241,History: N.A.
WBGene00003410,,,,WBGene00003410,WBGene00003410,History: N.A.
WBGene00003415,,,,WBGene00003415,WBGene00003415,History: Renamed on 2010-01-29; Renamed on 2015-03-25
WBGene00003598,,,,WBGene00003598,WBGene00003598,History: N.A.
WBGene00003777,,,,WBGene00003777,WBGene00003777,History: N.A.
WBGene00003785,,,,WBGene00003785,WBGene00003785,History: N.A.
WBGene00003905,,,,WBGene00003905,WBGene00003905,History: N.A.
WBGene00003918,,,,WBGene00003918,WBGene00003918,History: N.A.
WBGene00003920,,,,WBGene00003920,WBGene00003920,History: N.A.
WBGene00003922,,,,WBGene00003922,WBGene00003922,History: N.A.
WBGene00003927,,,,WBGene00003927,WBGene00003927,History: N.A.
WBGene00003928,,,,WBGene00003928,WBGene00003928,History: N.A.
WBGene00003962,,,,WBGene00003962,WBGene00003962,History: N.A.
WBGene00003989,,,,WBGene00003989,WBGene00003989,History: N.A.
WBGene00003994,,,,WBGene00003994,WBGene00003994,History: Renamed on 2005-10-06
WBGene00004075,,,,WBGene00004075,WBGene00004075,History: N.A.
WBGene00004078,,,,WBGene00004078,WBGene00004078,History: N.A.
WBGene00004095,,,,WBGene00004095,WBGene00004095,History: N.A.
WBGene00004110,,,,WBGene00004110,WBGene00004110,History: N.A.
WBGene00004143,,,,WBGene00004143,WBGene00004143,History: N.A.
WBGene00004208,,,,WBGene00004208,WBGene00004208,History: N.A.
WBGene00004217,,,,WBGene00004217,WBGene00004217,History: Renamed on 2015-03-05
WBGene00004239,,,,WBGene00004239,WBGene00004239,History: N.A.
WBGene00004241,,,,WBGene00004241,WBGene00004241,History: N.A.
WBGene00004244,,,,WBGene00004244,WBGene00004244,History: Renamed on 2012-08-14
WBGene00004254,,,,WBGene00004254,WBGene00004254,History: N.A.
WBGene00004266,,,,WBGene00004266,WBGene00004266,History: N.A.
WBGene00004323,,,,WBGene00004323,WBGene00004323,History: N.A.
WBGene00004374,,,,WBGene00004374,WBGene00004374,History: N.A.
WBGene00004378,,,,WBGene00004378,WBGene00004378,History: N.A.
WBGene00004458,,,,WBGene00004458,WBGene00004458,History: N.A.
WBGene00004460,,,,WBGene00004460,WBGene00004460,History: N.A.
WBGene00004461,,,,WBGene00004461,WBGene00004461,History: N.A.
WBGene00004738,,,,WBGene00004738,WBGene00004738,History: N.A.
WBGene00004798,,,,WBGene00004798,WBGene00004798,History: N.A.
WBGene00004804,,,,WBGene00004804,WBGene00004804,History: Renamed on 2016-01-12; Renamed on 2017-05-16
WBGene00004874,,,,WBGene00004874,WBGene00004874,History: N.A.
WBGene00004980,,,,WBGene00004980,WBGene00004980,History: N.A.
WBGene00004984,,,,WBGene00004984,WBGene00004984,History: N.A.
WBGene00006439,,,,WBGene00006439,WBGene00006439,History: Renamed on 2008-06-04; Renamed on 2014-03-03
WBGene00006440,,,,WBGene00006440,WBGene00006440,History: Renamed on 2021-04-19
WBGene00006626,,,,WBGene00006626,WBGene00006626,History: N.A.
WBGene00006699,,,,WBGene00006699,WBGene00006699,History: N.A.
WBGene00006727,,,,WBGene00006727,WBGene00006727,History: N.A.
WBGene00006734,,,,WBGene00006734,WBGene00006734,History: N.A.
WBGene00006793,,,,WBGene00006793,WBGene00006793,History: N.A.
WBGene00006794,,,,WBGene00006794,WBGene00006794,"History: Split into F53E2.2(WBGene00302980). History of WBGene00006794: Split into ""WBGene00302980"" on 2018-03-06"
WBGene00006840,,,,WBGene00006840,WBGene00006840,History: N.A.
WBGene00006924,,,,WBGene00006924,WBGene00006924,History: N.A.
WBGene00006944,,,,WBGene00006944,WBGene00006944,History: N.A.
WBGene00006993,,,,WBGene00006993,WBGene00006993,History: N.A.
WBGene00006994,,,,WBGene00006994,WBGene00006994,History: N.A.
WBGene00006996,,,,WBGene00006996,WBGene00006996,History: N.A.
WBGene00007000,,,,WBGene00007000,WBGene00007000,History: N.A.
WBGene00007028,,,,WBGene00007028,WBGene00007028,History: N.A.
WBGene00007048,,,,WBGene00007048,WBGene00007048,History: Renamed on 2011-09-23
WBGene00007150,,,,WBGene00007150,WBGene00007150,History: N.A.
WBGene00007352,,,,WBGene00007352,WBGene00007352,History: Renamed on 2005-03-17
WBGene00007433,,,,WBGene00007433,WBGene00007433,History: N.A.
WBGene00007645,,,,WBGene00007645,WBGene00007645,History: N.A.
WBGene00007969,,,,WBGene00007969,WBGene00007969,History: N.A.
WBGene00008053,,,,WBGene00008053,WBGene00008053,History: N.A.
WBGene00008166,,,,WBGene00008166,WBGene00008166,History: N.A.
WBGene00008274,,,,WBGene00008274,WBGene00008274,History: Renamed on 2020-01-28
WBGene00008385,,,,WBGene00008385,WBGene00008385,History: N.A.
WBGene00008506,,,,WBGene00008506,WBGene00008506,History: N.A.
WBGene00008546,,,,WBGene00008546,WBGene00008546,History: N.A.
WBGene00008682,,,,WBGene00008682,WBGene00008682,History: N.A.
WBGene00008920,,,,WBGene00008920,WBGene00008920,History: N.A.
WBGene00009119,,,,WBGene00009119,WBGene00009119,History: N.A.
WBGene00009267,,,,WBGene00009267,WBGene00009267,History: N.A.
WBGene00009385,,,,WBGene00009385,WBGene00009385,History: N.A.
WBGene00009542,,,,WBGene00009542,WBGene00009542,History: N.A.
WBGene00009587,,,,WBGene00009587,WBGene00009587,History: N.A.
WBGene00010056,,,,WBGene00010056,WBGene00010056,History: N.A.
WBGene00010061,,,,WBGene00010061,WBGene00010061,History: N.A.
WBGene00010263,,,,WBGene00010263,WBGene00010263,History: N.A.
WBGene00010280,,,,WBGene00010280,WBGene00010280,History: N.A.
WBGene00010351,,,,WBGene00010351,WBGene00010351,History: N.A.
WBGene00010353,,,,WBGene00010353,WBGene00010353,History: N.A.
WBGene00010367,,,,WBGene00010367,WBGene00010367,"History: Split into H05L14.3(WBGene00271605). History of WBGene00010367: Split into ""WBGene00271605"" on 2017-03-02"
WBGene00010419,,,,WBGene00010419,WBGene00010419,History: Renamed on 2005-03-17
WBGene00010621,,,,WBGene00010621,WBGene00010621,History: N.A.
WBGene00010627,,,,WBGene00010627,WBGene00010627,History: N.A.
WBGene00010631,,,,WBGene00010631,WBGene00010631,History: N.A.
WBGene00010664,,,,WBGene00010664,WBGene00010664,History: N.A.
WBGene00010794,,,,WBGene00010794,WBGene00010794,History: N.A.
WBGene00010892,,,,WBGene00010892,WBGene00010892,History: N.A.
WBGene00011047,,,,WBGene00011047,WBGene00011047,History: Renamed on 2021-04-19
WBGene00011061,,,,WBGene00011061,WBGene00011061,History: N.A.
WBGene00011063,,,,WBGene00011063,WBGene00011063,History: N.A.
WBGene00011071,,,,WBGene00011071,WBGene00011071,"History: Split into R06F6.12(WBGene00023418). History of WBGene00011071: Split into ""WBGene00023418"" on 2004-07-05"
WBGene00011146,,,,WBGene00011146,WBGene00011146,History: N.A.
WBGene00011230,,,,WBGene00011230,WBGene00011230,History: N.A.
WBGene00011240,,,,WBGene00011240,WBGene00011240,History: N.A.
WBGene00011270,,,,WBGene00011270,WBGene00011270,History: N.A.
WBGene00011300,,,,WBGene00011300,WBGene00011300,History: N.A.
WBGene00011318,,,,WBGene00011318,WBGene00011318,History: N.A.
WBGene00011320,,,,WBGene00011320,WBGene00011320,History: N.A.
WBGene00011352,,,,WBGene00011352,WBGene00011352,History: N.A.
WBGene00011480,,,,WBGene00011480,WBGene00011480,History: N.A.
WBGene00011501,,,,WBGene00011501,WBGene00011501,History: N.A.
WBGene00011560,,,,WBGene00011560,WBGene00011560,History: N.A.
WBGene00011629,,,,WBGene00011629,WBGene00011629,History: N.A.
WBGene00011729,,,,WBGene00011729,WBGene00011729,History: Renamed on 2007-05-03
WBGene00011734,,,,WBGene00011734,WBGene00011734,History: N.A.
WBGene00011867,,,,WBGene00011867,WBGene00011867,History: Renamed on 2008-04-30
WBGene00011884,,,,WBGene00011884,WBGene00011884,History: N.A.
WBGene00011986,,,,WBGene00011986,WBGene00011986,History: N.A.
WBGene00012151,,,,WBGene00012151,WBGene00012151,History: N.A.
WBGene00012484,,,,WBGene00012484,WBGene00012484,History: Renamed on 2005-12-05
WBGene00012524,,,,WBGene00012524,WBGene00012524,History: N.A.
WBGene00012714,,,,WBGene00012714,WBGene00012714,History: N.A.
WBGene00012802,,,,WBGene00012802,WBGene00012802,History: N.A.
WBGene00012868,,,,WBGene00012868,WBGene00012868,History: N.A.
WBGene00013168,,,,WBGene00013168,WBGene00013168,History: N.A.
WBGene00013223,,,,WBGene00013223,WBGene00013223,History: N.A.
WBGene00013270,,,,WBGene00013270,WBGene00013270,History: N.A.
WBGene00013311,,,,WBGene00013311,WBGene00013311,History: Renamed on 2019-05-20
WBGene00013340,,,,WBGene00013340,WBGene00013340,History: N.A.
WBGene00013380,,,,WBGene00013380,WBGene00013380,History: N.A.
WBGene00013553,,,,WBGene00013553,WBGene00013553,History: N.A.
WBGene00013557,,,,WBGene00013557,WBGene00013557,History: N.A.
WBGene00013606,,,,WBGene00013606,WBGene00013606,History: N.A.
WBGene00013689,,,,WBGene00013689,WBGene00013689,History: N.A.
WBGene00014243,,,,WBGene00014243,WBGene00014243,History: N.A.
WBGene00015083,,,,WBGene00015083,WBGene00015083,History: N.A.
WBGene00015102,,,,WBGene00015102,WBGene00015102,History: N.A.
WBGene00015145,,,,WBGene00015145,WBGene00015145,History: N.A.
WBGene00015283,,,,WBGene00015283,WBGene00015283,History: N.A.
WBGene00015565,,,,WBGene00015565,WBGene00015565,History: N.A.
WBGene00015677,,,,WBGene00015677,WBGene00015677,History: N.A.
WBGene00015754,,,,WBGene00015754,WBGene00015754,History: N.A.
WBGene00016170,,,,WBGene00016170,WBGene00016170,History: N.A.
WBGene00016194,,,,WBGene00016194,WBGene00016194,History: N.A.
WBGene00016236,,,,WBGene00016236,WBGene00016236,History: Renamed on 2018-06-11
WBGene00016317,,,,WBGene00016317,WBGene00016317,History: N.A.
WBGene00016331,,,,WBGene00016331,WBGene00016331,History: N.A.
WBGene00016405,,,,WBGene00016405,WBGene00016405,History: N.A.
WBGene00016971,,,,WBGene00016971,WBGene00016971,History: N.A.
WBGene00017079,,,,WBGene00017079,WBGene00017079,History: N.A.
WBGene00017166,,,,WBGene00017166,WBGene00017166,History: N.A.
WBGene00017641,,,,WBGene00017641,WBGene00017641,History: N.A.
WBGene00017686,,,,WBGene00017686,WBGene00017686,History: N.A.
WBGene00017774,,,,WBGene00017774,WBGene00017774,History: N.A.
WBGene00017816,,,,WBGene00017816,WBGene00017816,History: N.A.
WBGene00018152,,,,WBGene00018152,WBGene00018152,History: N.A.
WBGene00018294,,,,WBGene00018294,WBGene00018294,History: Renamed on 2006-04-27; Renamed on 2007-10-19; Renamed on 2008-02-29
WBGene00018316,,,,WBGene00018316,WBGene00018316,History: N.A.
WBGene00018612,,,,WBGene00018612,WBGene00018612,History: Renamed on 2017-03-13
WBGene00018812,,,,WBGene00018812,WBGene00018812,"History: Merged into ""WBGene00018814"" on 2012-01-23; Resurrected on 2012-06-29"
WBGene00018849,,,,WBGene00018849,WBGene00018849,History: N.A.
WBGene00018953,,,,WBGene00018953,WBGene00018953,History: N.A.
WBGene00018998,,,,WBGene00018998,WBGene00018998,History: N.A.
WBGene00019510,,,,WBGene00019510,WBGene00019510,History: N.A.
WBGene00019628,,,,WBGene00019628,WBGene00019628,History: N.A.
WBGene00019771,,,,WBGene00019771,WBGene00019771,History: N.A.
WBGene00019983,,,,WBGene00019983,WBGene00019983,History: N.A.
WBGene00020035,,,,WBGene00020035,WBGene00020035,History: N.A.
WBGene00020391,,,,WBGene00020391,WBGene00020391,History: N.A.
WBGene00020462,,,,WBGene00020462,WBGene00020462,History: N.A.
WBGene00020481,,,,WBGene00020481,WBGene00020481,History: N.A.
WBGene00020652,,,,WBGene00020652,WBGene00020652,History: N.A.
WBGene00020679,,,,WBGene00020679,WBGene00020679,History: N.A.
WBGene00020684,,,,WBGene00020684,WBGene00020684,History: N.A.
WBGene00020696,,,,WBGene00020696,WBGene00020696,History: N.A.
WBGene00021206,,,,WBGene00021206,WBGene00003216,"History: Merged into ""WBGene00003216"" on 2016-10-14. Remark: All name identifiers for this gene were either transferred or lost when the gene was merged."
WBGene00021248,,,,WBGene00021248,WBGene00021248,History: N.A.
WBGene00021292,,,,WBGene00021292,WBGene00021292,History: N.A.
WBGene00021486,,,,WBGene00021486,WBGene00021486,History: N.A.
WBGene00021562,,,,WBGene00021562,WBGene00021562,History: Renamed on 2008-02-26
WBGene00021857,,,,WBGene00021857,WBGene00021857,History: N.A.
WBGene00022037,,,,WBGene00022037,WBGene00022037,History: N.A.
WBGene00022119,,,,WBGene00022119,WBGene00022119,History: N.A.
WBGene00022257,,,,WBGene00022257,WBGene00022257,History: N.A.
WBGene00022599,,,,WBGene00022599,WBGene00022599,History: N.A.
WBGene00022765,,,,WBGene00022765,WBGene00022765,History: N.A.
WBGene00022831,,,,WBGene00022831,WBGene00022831,History: N.A.
WBGene00044077,,,,WBGene00044077,WBGene00044077,History: Renamed on 2019-07-15
WBGene00045419,,,,WBGene00045419,WBGene00045419,History: Renamed on 2010-05-21
