gene_id,description,wt rep 1,wt rep 2,wt rep 3,henn-1 rep 1,henn-1 rep 2,henn-1 rep 3,fold_change*,pvalue_adj,Direction of change,Predicted piRNA targets,CLASH counts,Input,Suggested Match,History
ZK131.9,his-15,3383.13,2951.71,3433.38,5495.21,5924.22,6296.75,1.81,7.33e-09,upregulated,0,39,ZK131.9,WBGene00001889,Sequence name for WBGene00001889(his-15). History: N.A.
ZK131.5,his-11,3383.13,2951.71,3433.38,5495.21,5924.22,6296.75,1.81,7.33e-09,upregulated,0,43,ZK131.5,WBGene00001885,Sequence name for WBGene00001885(his-11). History: N.A.
C07G1.7,Coding_gene,53.47,56.2,89.65,186.88,241.94,337.31,3.86,1.68e-08,upregulated,8,1,C07G1.7,WBGene00015573,Public name for WBGene00015573. History: N.A.
F07B7.2,Coding_gene,97.22,107.04,126.37,170.08,239.78,303.67,2.17,5.65e-08,upregulated,3,18,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
W09B7.2,Coding_gene,97.22,107.04,126.37,170.08,239.78,303.67,2.17,5.65e-08,upregulated,3,18,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
Y55F3C.11,Transposon,5.83,12.49,5.4,41.99,41.04,42.28,5.17,1.23e-07,upregulated,ND,ND,Y55F3C.11,,Sequence name for Suppressed gene WBGene00044766. Molecular name for Suppressed gene WBGene00044766. Public name for Suppressed gene WBGene00044766. History of WBGene00044766: Killed on 2009-04-15; Suppressed on 2012-11-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
W03G1.3,Transposon,5.83,12.49,5.4,41.99,41.04,42.28,5.17,1.23e-07,upregulated,ND,ND,W03G1.3,,Sequence name for Suppressed gene WBGene00043537. Molecular name for Suppressed gene WBGene00043537. Public name for Suppressed gene WBGene00043537. History of WBGene00043537: Killed on 2004-10-04; Resurrected on 2005-09-09; Killed on 2011-01-21; Suppressed on 2013-07-30. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....[050610 pad] Automatic assignment of Sequence_name connection using info taken from Public_name tags....This gene has been resurrected because it may be a member of a small gene family and should not have been removed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F33H2.3,Coding_gene,496.78,491.49,499.0,632.03,682.61,671.74,1.34,3.69e-07,upregulated,8,8,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
Y54F10AM.11,Coding_gene,1235.64,1098.94,1090.91,1703.95,1617.95,1383.84,1.37,6.64e-07,upregulated,3,8,Y54F10AM.11,WBGene00021853,Public name for WBGene00021853. History: N.A.
C26D10.3,Coding_gene,277.07,288.11,307.84,398.95,423.39,447.82,1.46,1.13e-06,upregulated,17,3,C26D10.3,WBGene00007744,Public name for WBGene00007744. History: N.A.
H11L12.1,Coding_gene,19.44,33.0,28.08,68.24,95.05,100.91,3.28,1.24e-06,upregulated,2,46,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
C09E7.4,Coding_gene,398.6,443.32,381.29,560.63,541.11,539.11,1.34,1.28e-06,upregulated,45,9,C09E7.4,WBGene00015638,Public name for WBGene00015638. History: N.A.
F45F2.13,his-6,724.26,598.54,641.54,961.71,954.79,1041.76,1.51,1.46e-06,upregulated,1,24,F45F2.13,WBGene00001880,Sequence name for WBGene00001880(his-6). History: N.A.
C50F4.7,his-37,338.31,315.78,284.04,450.41,444.99,455.54,1.44,5.44e-06,upregulated,4,30,C50F4.7,WBGene00001911,Sequence name for WBGene00001911(his-37). History: N.A.
D2096.1,timm-17B.2,472.47,331.83,403.93,552.25,754.97,641.97,1.61,5.92e-06,upregulated,4,65,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
F07B7.10,his-51,295.54,243.52,261.37,415.76,373.71,407.48,1.5,6.31e-06,upregulated,2,39,F07B7.10,WBGene00001925,Sequence name for WBGene00001925(his-51). History: N.A.
F07B7.3,his-53,295.54,243.52,261.37,415.76,373.71,407.48,1.5,6.31e-06,upregulated,2,39,F07B7.3,WBGene00001927,Sequence name for WBGene00001927(his-53). History: N.A.
K06C4.11,his-19,295.54,243.52,261.37,415.76,373.71,407.48,1.5,6.31e-06,upregulated,2,39,K06C4.11,WBGene00001893,Sequence name for WBGene00001893(his-19). History: N.A.
K06C4.3,his-21,295.54,243.52,261.37,415.76,373.71,407.48,1.5,6.31e-06,upregulated,2,39,K06C4.3,WBGene00001895,Sequence name for WBGene00001895(his-21). History: N.A.
Y47G6A.5,Coding_gene,42.85,47.36,42.2,125.17,88.73,96.28,2.34,7.35e-06,upregulated,24,0,Y47G6A.5,WBGene00021635,Public name for WBGene00021635. History: N.A.
C41A3.1,pks-1,184.72,199.8,194.43,299.21,295.94,261.38,1.48,7.38e-06,upregulated,262,19,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
Y53F4B.5,Coding_gene,4.86,2.68,4.32,21.0,25.92,15.38,5.28,1.35e-05,upregulated,10,0,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
JC8.8,ttr-51,268.32,334.51,289.45,518.65,394.23,430.54,1.5,1.45e-05,upregulated,6,0,JC8.8,WBGene00010440,Sequence name for WBGene00010440(ttr-51). History: N.A.
F08C6.3,vps-52,225.55,223.89,224.67,337.01,320.78,332.5,1.47,1.47e-05,upregulated,14,4,F08C6.3,WBGene00007059,"Sequence name for WBGene00007059(vps-52). History: N.A.. Public name for Dead gene WBGene00017242. History of WBGene00017242: Merged into ""WBGene00007059"" on 2005-10-05"
F31E3.6,Coding_gene,850.64,824.23,862.95,1259.88,1312.29,1074.44,1.44,1.48e-05,upregulated,3,13,F31E3.6,WBGene00017952,Public name for WBGene00017952. History: N.A.
Y20C6A.2,fbxb-7,188.6,202.48,204.14,312.86,302.42,298.87,1.54,1.79e-05,upregulated,13,26,Y20C6A.2,WBGene00012492,Sequence name for WBGene00012492(fbxb-7). History: N.A.
B0393.8,Coding_gene,548.3,470.99,486.01,767.48,772.25,655.43,1.46,2.78e-05,upregulated,3,9,B0393.8,WBGene00007173,Public name for WBGene00007173. History: N.A.
VB0393L.2,Coding_gene,548.3,470.99,486.01,767.48,772.25,655.43,1.46,2.78e-05,upregulated,3,9,VB0393L.2,WBGene00012146,Public name for WBGene00012146. History: N.A.
B0212.4,nstp-6,17.72,29.02,21.87,60.68,75.46,70.17,2.99,3.9e-05,upregulated,21,4,B0212.4,WBGene00015038,Sequence name for WBGene00015038(nstp-6). History: N.A.
Y23H5A.8,Coding_gene,18.47,21.41,20.52,40.95,55.08,42.29,2.28,4.02e-05,upregulated,3,2,Y23H5A.8,WBGene00023172,Public name for WBGene00023172. History: N.A.
C50F2.6,fkb-5,239.31,245.45,210.76,322.52,302.62,348.11,1.4,4.3e-05,upregulated,10,2,C50F2.6,WBGene00001430,Sequence name for WBGene00001430(fkb-5). History: N.A.
F20D1.2,tbc-1,314.99,317.55,283.0,454.59,413.67,435.32,1.42,5.15e-05,upregulated,21,6,F20D1.2,WBGene00008974,Sequence name for WBGene00008974(tbc-1). History: N.A.
F37H8.2,Coding_gene,125.41,87.42,105.85,129.13,176.05,197.96,1.59,5.29e-05,upregulated,29,7,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
T27A3.1,Coding_gene,258.22,233.79,235.1,327.27,321.43,385.8,1.42,5.69e-05,upregulated,17,3,T27A3.1,WBGene00020838,Sequence name for WBGene00020838(trak-1). History: N.A.
C01B10.1,Pseudogene,53.47,49.06,39.97,87.14,97.21,98.02,1.97,5.69e-05,upregulated,ND,ND,C01B10.1,WBGene00001091,Sequence name for WBGene00001091(drh-2). History: N.A.
F14H12.8,Coding_gene,15.55,16.95,15.12,39.9,43.2,46.13,2.71,6.26e-05,upregulated,7,0,F14H12.8,WBGene00017475,"Public name for WBGene00017475. History: Split into F14H12.17(WBGene00219368). History of WBGene00017475: Split into ""WBGene00219368"" on 2012-02-13"
F07D10.1,rpl-11.2,247.9,267.6,254.9,423.1,448.23,416.12,1.67,6.56e-05,upregulated,7,9,F07D10.1,WBGene00004423,Sequence name for WBGene00004423(rpl-11.2). History: N.A.
C34C12.5,rsu-1,196.38,209.62,183.62,275.07,311.06,277.73,1.46,6.65e-05,upregulated,6,4,C34C12.5,WBGene00007924,Sequence name for WBGene00007924(rsu-1). History: N.A.
C16C8.14,Coding_gene,161.38,180.18,145.81,255.12,271.1,239.29,1.57,6.65e-05,upregulated,13,3,C16C8.14,WBGene00015852,Public name for WBGene00015852. History: N.A.
ZK637.1,svop-1,7.78,7.14,12.96,31.5,25.92,39.4,3.54,7.16e-05,upregulated,17,1,ZK637.1,WBGene00014021,Sequence name for WBGene00014021(svop-1). History: N.A.
F38A3.1,col-81,7.78,6.24,2.16,35.7,27.0,31.71,5.75,8.68e-05,upregulated,2,15,F38A3.1,WBGene00000657,Sequence name for WBGene00000657(col-81). History: N.A.
F17E9.10,his-32,91.38,107.04,96.12,179.53,160.93,179.71,1.76,0.000138,upregulated,1,39,F17E9.10,WBGene00001906,Sequence name for WBGene00001906(his-32). History: N.A.
F07B7.4,his-52,145.82,123.1,128.52,199.48,211.7,227.77,1.61,0.00014,upregulated,0,29,F07B7.4,WBGene00001926,Sequence name for WBGene00001926(his-52). History: N.A.
K06C4.12,his-22,145.82,123.1,128.52,199.48,211.7,227.77,1.61,0.00014,upregulated,0,29,K06C4.12,WBGene00001896,Sequence name for WBGene00001896(his-22). History: N.A.
K06C4.4,his-20,145.82,123.1,128.52,199.48,211.7,227.77,1.61,0.00014,upregulated,0,29,K06C4.4,WBGene00001894,Sequence name for WBGene00001894(his-20). History: N.A.
W08E3.2,Coding_gene,356.79,314.87,285.15,437.8,434.19,445.9,1.38,0.000155,upregulated,22,16,W08E3.2,WBGene00012343,Sequence name for WBGene00012343(casc-3). History: N.A.
T19D12.6,Coding_gene,384.01,429.94,401.81,550.13,519.51,620.79,1.39,0.000181,upregulated,42,0,T19D12.6,WBGene00020581,Public name for WBGene00020581. History: N.A.
Y71G12A.3,tub-2,200.27,189.99,158.78,250.92,287.3,258.5,1.45,0.000194,upregulated,24,30,Y71G12A.3,WBGene00022139,"Sequence name for WBGene00022139(tub-2). History: Split into Y71G12A.5(WBGene00303094). History of WBGene00022139: Renamed on 2008-05-02; Split into ""WBGene00303094"" on 2018-03-02"
M117.1,Coding_gene,35.0,35.68,34.56,70.34,66.96,74.0,2.01,0.000195,upregulated,17,0,M117.1,WBGene00010918,Public name for WBGene00010918. History: N.A.
ZK54.2,tps-1,134.64,158.19,162.5,211.3,220.02,211.94,1.41,0.000201,upregulated,40,2,ZK54.2,WBGene00006602,Sequence name for WBGene00006602(tps-1). History: N.A.
C05D10.1,attf-4,101.96,112.98,98.38,173.55,151.45,163.31,1.56,0.000261,upregulated,21,2,C05D10.1,WBGene00015477,Sequence name for WBGene00015477(attf-4). History: N.A.
M18.1,col-129,24.3,23.19,23.76,61.94,71.28,75.92,2.94,0.000281,upregulated,10,8,M18.1,WBGene00000703,Sequence name for WBGene00000703(col-129). History: N.A.
R09E12.6,Transposon,0.0,0.0,0.0,23.1,0.0,24.02,87.5,0.000286,upregulated,ND,ND,R09E12.6,,Sequence name for Suppressed gene WBGene00019985. Molecular name for Suppressed gene WBGene00019985. Public name for Suppressed gene WBGene00019985. History of WBGene00019985: Killed on 2009-04-15; Suppressed on 2012-11-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K12F2.1,myo-3,51.53,53.52,69.13,133.33,142.57,188.35,2.67,0.000317,upregulated,53,5,K12F2.1,WBGene00003515,Sequence name for WBGene00003515(myo-3). History: N.A.
WBTransposon00000001,"Transposon, MIRAGE1",0.0,0.0,0.0,7.35,113.41,180.66,558.29,0.000342,upregulated,ND,ND,,,
Y54G2A.36,Coding_gene,130.27,121.31,179.28,218.38,213.86,236.42,1.56,0.000348,upregulated,3,68,Y54G2A.36,WBGene00021898,Public name for WBGene00021898. History: N.A.
Y38E10A.24,Coding_gene,267.34,239.97,251.61,326.54,346.71,327.75,1.32,0.00039,upregulated,2,6,Y38E10A.24,WBGene00012602,Public name for WBGene00012602. History: N.A.
F54C1.7,pat-10,283.87,201.59,163.09,421.01,330.5,483.39,1.9,0.000395,upregulated,7,2,F54C1.7,WBGene00003934,Sequence name for WBGene00003934(pat-10). History: Renamed on 2015-03-05
T04D3.8,Coding_gene,103.05,77.61,97.2,136.49,139.33,158.58,1.57,0.000396,upregulated,2,1,T04D3.8,WBGene00011435,Public name for WBGene00011435. History: N.A.
Y71G12B.14,lsm-6,597.87,626.22,518.35,858.85,811.14,656.43,1.33,0.000425,upregulated,5,3,Y71G12B.14,WBGene00003080,Sequence name for WBGene00003080(lsm-6). History: N.A.
C43E11.6,nab-1,17.68,28.36,26.8,107.98,58.82,53.86,2.99,0.000461,upregulated,47,0,C43E11.6,WBGene00003516,Sequence name for WBGene00003516(nab-1). History: N.A.
T05A12.4,Coding_gene,450.04,433.78,454.05,494.19,617.02,635.56,1.31,0.000488,upregulated,62,5,T05A12.4,WBGene00020235,Public name for WBGene00020235. History: N.A.
T28F4.4,Coding_gene,170.13,198.02,191.18,238.32,272.18,270.04,1.4,0.000492,upregulated,30,5,T28F4.4,WBGene00012139,Public name for WBGene00012139. History: N.A.
K09H9.7,Coding_gene,88.47,84.74,86.4,124.94,135.01,123.01,1.47,0.000499,upregulated,19,13,K09H9.7,WBGene00019598,Public name for WBGene00019598. History: N.A.
R05D11.1,daf-8,126.38,114.18,115.57,185.83,180.37,173.94,1.52,0.000583,upregulated,32,4,R05D11.1,WBGene00000904,"Sequence name for WBGene00000904(daf-8). History: N.A.. Public name for Dead gene WBGene00011031. History of WBGene00011031: Merged into ""WBGene00000904"" on 2005-08-19. Remark: [140610 pad] Gene history inconsistency in this object, some of the history has been altered."
F13H8.8,Coding_gene,54.44,43.71,39.96,151.18,146.89,142.23,3.19,0.000593,upregulated,34,12,F13H8.8,WBGene00017441,Public name for WBGene00017441. History: N.A.
F54C9.4,col-38,68.05,82.96,56.17,124.94,126.37,101.87,1.69,0.000669,upregulated,4,31,F54C9.4,WBGene00000615,Sequence name for WBGene00000615(col-38). History: N.A.
Y73B6BL.12,Coding_gene,21.39,19.62,30.24,49.34,56.16,73.04,2.53,0.000697,upregulated,8,0,Y73B6BL.12,WBGene00022236,Public name for WBGene00022236. History: N.A.
F13H8.9,Coding_gene,62.22,56.2,60.49,112.34,106.93,95.14,1.76,0.000764,upregulated,16,0,F13H8.9,WBGene00017442,Public name for WBGene00017442. History: N.A.
F33E11.1,nhr-15,46.66,41.92,44.28,81.89,82.09,96.1,1.96,0.000881,upregulated,11,25,F33E11.1,WBGene00003614,Sequence name for WBGene00003614(nhr-15). History: N.A.
F40B1.1,bath-13,26.25,28.54,33.48,47.24,52.92,61.5,1.85,0.000902,upregulated,10,11,F40B1.1,WBGene00018223,Sequence name for WBGene00018223(bath-13). History: N.A.
T04C9.6,frm-2,59.3,54.41,55.09,95.54,109.09,88.41,1.73,0.000975,upregulated,27,3,T04C9.6,WBGene00001489,Sequence name for WBGene00001489(frm-2). History: N.A.
MTCE.26,ctc-1,95899.03,97573.33,105327.71,130145.21,131836.5,136526.04,1.33,0.00103,upregulated,37,1,MTCE.26,WBGene00010964,Sequence name for WBGene00010964(ctc-1). History: N.A.
Y73B6BL.31,Coding_gene,59.62,57.21,63.81,100.49,95.22,106.02,1.68,0.00106,upregulated,18,1,Y73B6BL.31,WBGene00022252,Public name for WBGene00022252. History: N.A.
C45G9.7,Coding_gene,97.22,105.26,113.4,182.68,165.25,140.31,1.55,0.00117,upregulated,3,5,C45G9.7,WBGene00016678,Sequence name for WBGene00016678(txbp-3). History: N.A.
K04A8.6,dre-1,162.35,189.1,163.1,270.87,252.74,230.63,1.46,0.00126,upregulated,45,2,K04A8.6,WBGene00001089,"Sequence name for WBGene00001089(dre-1). History: N.A.. Public name for Dead gene WBGene00019377. History of WBGene00019377: Merged into ""WBGene00001089"" on 2007-03-14"
F25H8.3,gon-1,55.48,51.8,55.15,103.01,87.59,108.18,1.84,0.00128,upregulated,82,3,F25H8.3,WBGene00001650,Sequence name for WBGene00001650(gon-1). History: N.A.
C36E6.5,mlc-2,118.6,99.91,78.84,167.98,152.29,197.01,1.74,0.00135,upregulated,5,9,C36E6.5,WBGene00003370,Sequence name for WBGene00003370(mlc-2). History: N.A.
Y55F3BR.2,Coding_gene,130.27,140.04,149.06,194.23,206.29,208.53,1.45,0.00136,upregulated,34,26,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
F07B7.9,his-50,1291.02,1089.17,1078.91,1597.98,1542.35,1544.42,1.35,0.00138,upregulated,2,37,F07B7.9,WBGene00001924,Sequence name for WBGene00001924(his-50). History: N.A.
K06C4.2,his-28,1291.02,1089.17,1078.91,1597.98,1542.35,1544.42,1.35,0.00138,upregulated,2,37,K06C4.2,WBGene00001902,Sequence name for WBGene00001902(his-28). History: N.A.
K10E9.2,Transposon,43.75,75.82,70.21,90.29,139.33,188.35,2.2,0.00143,upregulated,ND,ND,K10E9.2,,Sequence name for Suppressed gene WBGene00019635. Molecular name for Suppressed gene WBGene00019635. Public name for Suppressed gene WBGene00019635. History of WBGene00019635: Killed on 2005-11-22; Suppressed on 2012-11-22. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F26D10.9,atgp-1,71.88,91.63,91.86,116.65,154.59,134.73,1.59,0.0015,upregulated,12,18,F26D10.9,WBGene00000224,Sequence name for WBGene00000224(atgp-1). History: Renamed on 2008-02-28
ZK637.14,Coding_gene,80.69,87.42,57.24,118.64,118.81,122.05,1.58,0.00186,upregulated,14,0,ZK637.14,WBGene00014031,Public name for WBGene00014031. History: N.A.
WBTransposon00000010,"Transposon, MIRAGE1",88.47,82.06,103.69,188.98,129.61,132.62,1.65,0.00196,upregulated,ND,ND,,,
B0001.6,eri-12,190.55,157.88,178.22,225.72,227.89,269.07,1.38,0.00221,upregulated,28,3,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
T22E5.5,mup-2,119.58,132.91,126.37,222.57,190.09,301.75,1.89,0.00244,upregulated,11,1,T22E5.5,WBGene00003495,Sequence name for WBGene00003495(mup-2). History: N.A.
Y5H2B.2,nhr-13,176.86,176.17,164.88,232.43,263.85,222.07,1.38,0.00245,upregulated,18,4,Y5H2B.2,WBGene00003612,Sequence name for WBGene00003612(nhr-13). History: N.A.
F25C8.3,unc-80,70.65,54.24,51.08,99.86,99.48,106.35,1.74,0.00257,upregulated,85,11,F25C8.3,WBGene00006812,"Sequence name for WBGene00006812(unc-80). History: N.A.. Public name for Dead gene WBGene00009105. History of WBGene00009105: Merged into ""WBGene00006812"" on 2007-11-13"
Y71F9AL.5,gst-43,127.35,150.75,133.93,204.73,207.37,175.86,1.42,0.00267,upregulated,2,0,Y71F9AL.5,WBGene00001791,Sequence name for WBGene00001791(gst-43). History: N.A.
T12B5.11,fbxa-67,38.89,47.28,59.41,77.69,74.52,98.02,1.73,0.00271,upregulated,17,1,T12B5.11,WBGene00020457,Sequence name for WBGene00020457(fbxa-67). History: N.A.
C16A11.9,fbxc-43,140.97,125.77,109.09,166.93,193.33,182.59,1.44,0.00287,upregulated,15,48,C16A11.9,WBGene00045297,Sequence name for WBGene00045297(fbxc-43). History: N.A.
AC8.10,Coding_gene,43.75,39.25,32.4,60.89,62.64,72.07,1.69,0.00299,upregulated,19,10,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
AC8.3,Coding_gene,43.75,39.25,32.4,60.89,62.64,72.07,1.69,0.00299,upregulated,19,10,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
Y48G1BM.6,Coding_gene,174.99,230.13,236.55,301.31,281.9,322.89,1.41,0.00309,upregulated,37,78,Y48G1BM.6,WBGene00021671,"Public name for WBGene00021671. History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
F13H6.3,Coding_gene,114.72,111.5,110.17,151.18,176.05,171.06,1.48,0.00328,upregulated,29,1,F13H6.3,WBGene00017431,Sequence name for WBGene00017431(cest-33). History: N.A.
K09A9.3,ent-2,281.93,239.95,282.99,348.56,327.26,398.81,1.34,0.00329,upregulated,9,5,K09A9.3,WBGene00010701,Sequence name for WBGene00010701(ent-2). History: N.A.
