Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00002204,3.507162117,1.75e-27,WBGene00002204,WBGene00002204,History: N.A.
WBGene00019986,3.505595416,5.48e-65,WBGene00019986,WBGene00019986,History: N.A.
WBGene00255426,3.503200384,9.08e-56,WBGene00255426,WBGene00255426,History: N.A.
WBGene00219640,3.500862491,1.9799999999999997e-52,WBGene00219640,WBGene00219640,History: N.A.
WBGene00006464,3.491133785,3.76e-25,WBGene00006464,WBGene00006464,History: N.A.
WBGene00011114,3.481055245,3.1100000000000004e-35,WBGene00011114,WBGene00011114,History: N.A.
WBGene00001892,3.472398238,3.1e-51,WBGene00001892,WBGene00001892,History: N.A.
WBGene00019020,3.471861623,5.24e-40,WBGene00019020,WBGene00019020,History: N.A.
WBGene00022868,3.463990414,9.97e-32,WBGene00022868,WBGene00022868,History: N.A.
WBGene00008854,3.462539609,1.2600000000000002e-31,WBGene00008854,WBGene00008854,History: N.A.
WBGene00019073,3.448318143,5.19e-11,WBGene00019073,WBGene00019073,History: N.A.
WBGene00017380,3.446106825,7.820000000000002e-66,WBGene00017380,WBGene00017380,History: N.A.
WBGene00019825,3.433212099,1.45e-18,WBGene00019825,WBGene00019825,History: N.A.
WBGene00196671,3.427993138,6.28e-15,WBGene00196671,WBGene00196671,History: N.A.
WBGene00017302,3.419655257,5.199999999999999e-24,WBGene00017302,WBGene00017302,History: N.A.
WBGene00008425,3.419435093,1.22e-17,WBGene00008425,WBGene00008425,History: N.A.
WBGene00016440,3.414257878,2.55e-51,WBGene00016440,WBGene00016440,History: N.A.
WBGene00004195,3.413837525,1.0300000000000001e-21,WBGene00004195,WBGene00004195,History: N.A.
WBGene00013560,3.412857002,2.2e-34,WBGene00013560,WBGene00013560,"History: Split into Y75B8A.63(WBGene00303096). History of WBGene00013560: Split into ""WBGene00303096"" on 2018-03-02"
WBGene00196827,3.405367483,3.68e-23,WBGene00196827,WBGene00196827,History: N.A.
WBGene00006803,3.405344975,3.45e-110,WBGene00006803,WBGene00006803,History: N.A.
WBGene00001885,3.40524343,3.6e-79,WBGene00001885,WBGene00001885,History: N.A.
WBGene00021721,3.402882185,8.66e-28,WBGene00021721,WBGene00021721,History: N.A.
WBGene00016398,3.3964761,9.46e-71,WBGene00016398,WBGene00016398,History: N.A.
WBGene00012008,3.39108934,6.37e-22,WBGene00012008,WBGene00012008,History: N.A.
WBGene00219587,3.390298739,1.07e-10,WBGene00219587,WBGene00219587,History: N.A.
WBGene00012414,3.3900771,4.57e-18,WBGene00012414,WBGene00012414,History: N.A.
WBGene00199607,3.381090402,9.81e-15,WBGene00199607,WBGene00199607,History: N.A.
WBGene00007415,3.380427478,9.85e-31,WBGene00007415,WBGene00007415,"History: Split into emc-5(WBGene00195248). History of WBGene00007415: Split into ""WBGene00195248"" on 2010-08-24"
WBGene00001895,3.375323402,7.3e-40,WBGene00001895,WBGene00001895,History: N.A.
WBGene00001875,3.363699191,1.46e-34,WBGene00001875,WBGene00001875,History: N.A.
WBGene00010851,3.361427363,1.83e-16,WBGene00010851,WBGene00010851,History: N.A.
WBGene00013227,3.359084828,2.05e-57,WBGene00013227,WBGene00013227,History: N.A.
WBGene00022196,3.353657624,1.51e-19,WBGene00022196,WBGene00022196,History: N.A.
WBGene00019747,3.35281745,1.22e-80,WBGene00019747,WBGene00019747,History: N.A.
WBGene00022389,3.345749422,8.25e-55,WBGene00022389,WBGene00022389,History: N.A.
WBGene00019165,3.343443787,1.42e-29,WBGene00019165,WBGene00019165,History: N.A.
WBGene00016212,3.343371552,6.62e-38,WBGene00016212,WBGene00016212,History: N.A.
WBGene00008565,3.34272813,4.27e-60,WBGene00008565,WBGene00008565,History: Renamed on 2015-04-29; Renamed on 2017-01-05
WBGene00007716,3.340926764,3.31e-10,WBGene00007716,WBGene00007716,History: N.A.
WBGene00013978,3.333596137,7.1e-41,WBGene00013978,WBGene00013978,History: N.A.
WBGene00004835,3.327642282,7.3e-23,WBGene00004835,WBGene00004835,History: N.A.
WBGene00012358,3.326747085,3.3500000000000007e-56,WBGene00012358,WBGene00012358,History: N.A.
WBGene00001900,3.323984153,1.42e-53,WBGene00001900,WBGene00001900,History: N.A.
WBGene00018138,3.315258617,1.64e-65,WBGene00018138,WBGene00018138,History: N.A.
WBGene00004833,3.308732815,8.23e-35,WBGene00004833,WBGene00004833,History: N.A.
WBGene00199757,3.304617967,1.09e-13,WBGene00199757,WBGene00199757,History: N.A.
WBGene00012930,3.301774558,1.25e-60,WBGene00012930,WBGene00012930,History: N.A.
WBGene00022486,3.301239649,1.13e-125,WBGene00022486,WBGene00022486,History: N.A.
WBGene00003238,3.299164654,4.29e-19,WBGene00003238,WBGene00003238,History: N.A.
WBGene00007244,3.294135691,1.9399999999999993e-34,WBGene00007244,WBGene00007244,History: N.A.
WBGene00015220,3.287017074,3.08e-09,WBGene00015220,WBGene00015220,History: N.A.
WBGene00044478,3.283381068,2.2e-98,WBGene00044478,WBGene00044478,History: N.A.
WBGene00195185,3.279762788,1.99e-70,WBGene00195185,WBGene00195185,History: N.A.
WBGene00001888,3.278556827,1.14e-49,WBGene00001888,WBGene00001888,History: N.A.
WBGene00001774,3.277848832,1.35e-38,WBGene00001774,WBGene00001774,History: N.A.
WBGene00009946,3.270581165,1.69e-38,WBGene00009946,WBGene00009946,History: N.A.
WBGene00198205,3.270363754,1.15e-13,WBGene00198205,WBGene00198205,History: N.A.
WBGene00219307,3.269676119,1.7299999999999998e-89,WBGene00219307,WBGene00219307,History: N.A.
WBGene00000522,3.269415531,3.74e-15,WBGene00000522,WBGene00000522,History: N.A.
WBGene00016728,3.269162727,3.89e-12,WBGene00016728,WBGene00016728,History: N.A.
WBGene00001925,3.265811922,2.98e-38,WBGene00001925,WBGene00001925,History: N.A.
WBGene00004037,3.243380852,1.02e-50,WBGene00004037,WBGene00004037,History: N.A.
WBGene00219661,3.241842835,2.98e-96,WBGene00219661,WBGene00219661,History: N.A.
WBGene00022818,3.234534617,1.39e-20,WBGene00022818,WBGene00022818,History: N.A.
WBGene00016040,3.231749579,1.44e-55,WBGene00016040,WBGene00016040,History: N.A.
WBGene00007049,3.226064863,2.9e-50,WBGene00007049,WBGene00007049,History: N.A.
WBGene00021858,3.220120748,2.43e-32,WBGene00021858,WBGene00021858,"History: Split into Y54F10BM.22(WBGene00306013), Y54F10BM.21(WBGene00306012). History of WBGene00021858: Split into ""WBGene00306013"" on 2020-01-20; Split into ""WBGene00306012"" on 2020-01-21"
WBGene00009501,3.219774718,2.5600000000000004e-32,WBGene00009501,WBGene00009501,History: N.A.
WBGene00013424,3.218033282,2.47e-27,WBGene00013424,WBGene00013424,History: N.A.
WBGene00001927,3.217598206,2.3e-37,WBGene00001927,WBGene00001927,History: N.A.
WBGene00010786,3.212378788,1.07e-21,WBGene00010786,WBGene00010786,History: N.A.
WBGene00015713,3.209803443,2.32e-93,WBGene00015713,WBGene00015713,History: N.A.
WBGene00199188,3.201425161,4.85e-12,WBGene00199188,WBGene00199188,History: N.A.
WBGene00022467,3.186775957,4.31e-45,WBGene00022467,WBGene00022467,History: N.A.
WBGene00219905,3.185853368,2.01e-19,WBGene00219905,WBGene00219905,History: N.A.
WBGene00008092,3.178265159,9.7e-21,WBGene00008092,WBGene00008092,History: Renamed on 2014-11-12
WBGene00007082,3.17663105,1.86e-51,WBGene00007082,WBGene00007082,History: N.A.
WBGene00007579,3.175557751,7.54e-28,WBGene00007579,WBGene00007579,History: N.A.
WBGene00020307,3.17325536,1.33e-09,WBGene00020307,WBGene00020307,History: N.A.
WBGene00016260,3.16950103,7.12e-34,WBGene00016260,WBGene00016260,History: N.A.
WBGene00015987,3.160390843,1.28e-33,WBGene00015987,WBGene00015987,History: N.A.
WBGene00012177,3.14843686,1.8000000000000002e-28,WBGene00012177,WBGene00012177,History: N.A.
WBGene00001489,3.145167862,4.38e-53,WBGene00001489,WBGene00001489,History: N.A.
WBGene00012728,3.137746818,3.3e-32,WBGene00012728,WBGene00012728,History: N.A.
WBGene00018529,3.135752748,1.56e-11,WBGene00018529,WBGene00018529,History: N.A.
WBGene00007536,3.127174054,4.220000000000001e-33,WBGene00007536,WBGene00007536,History: N.A.
WBGene00001923,3.126605105,1.13e-36,WBGene00001923,WBGene00001923,History: N.A.
WBGene00008199,3.125469377,4.27e-22,WBGene00008199,WBGene00008199,History: N.A.
WBGene00011039,3.125056757,4.66e-28,WBGene00011039,WBGene00011039,History: N.A.
WBGene00010850,3.123007623,5.93e-50,WBGene00010850,WBGene00010850,History: N.A.
WBGene00009518,3.120213103,3.6299999999999996e-67,WBGene00009518,WBGene00009518,History: N.A.
WBGene00008661,3.119347196,5.21e-41,WBGene00008661,WBGene00008661,History: N.A.
WBGene00001934,3.108700056,1.29e-64,WBGene00001934,WBGene00001934,History: N.A.
WBGene00001919,3.106837276,2.05e-57,WBGene00001919,WBGene00001919,History: N.A.
WBGene00021590,3.101033988,7.19e-21,WBGene00021590,WBGene00021590,"History: Split into ""WBGene00195076"" on 2010-04-22"
WBGene00001893,3.100390364,1.98e-31,WBGene00001893,WBGene00001893,History: N.A.
WBGene00016800,3.099579331,1.33e-59,WBGene00016800,WBGene00016800,History: N.A.
WBGene00018885,3.096249764,1.15e-17,WBGene00018885,WBGene00018885,History: N.A.
WBGene00004003,3.092207034,3.1600000000000004e-31,WBGene00004003,WBGene00004003,History: N.A.
WBGene00008923,3.090198631,8.92e-24,WBGene00008923,WBGene00008923,History: N.A.
WBGene00184990,3.088758433,9.16e-38,WBGene00184990,WBGene00184990,History: N.A.
WBGene00018823,3.086879986,2.53e-64,WBGene00018823,WBGene00018823,History: N.A.
WBGene00021151,3.084563871,7.46e-14,WBGene00021151,WBGene00021151,History: N.A.
WBGene00012465,3.080718654,1.66e-31,WBGene00012465,WBGene00012465,History: N.A.
WBGene00017703,3.080553916,2e-24,WBGene00017703,WBGene00017703,History: N.A.
WBGene00004962,3.080291723,1.48e-23,WBGene00004962,WBGene00004962,History: N.A.
WBGene00018124,3.079201032,7.91e-58,WBGene00018124,WBGene00018124,History: N.A.
WBGene00007053,3.075062078,2.23e-70,WBGene00007053,WBGene00007053,History: N.A.
WBGene00010583,3.07055804,8.35e-59,WBGene00010583,WBGene00010583,History: N.A.
WBGene00016225,3.070086553,6.3799999999999996e-24,WBGene00016225,WBGene00016225,History: N.A.
WBGene00007694,3.061259988,1.41e-16,WBGene00007694,WBGene00007694,History: N.A.
WBGene00010682,3.059291498,4.600000000000001e-28,WBGene00010682,WBGene00010682,"History: Split into K08F8.15(WBGene00303068). History of WBGene00010682: Split into ""WBGene00303068"" on 2018-03-02"
WBGene00016648,3.058101744,8.01e-10,WBGene00016648,WBGene00016648,"History: Split into fbxc-10(WBGene00045300). History of WBGene00016648: Split into ""WBGene00045300"" on 2007-02-28"
WBGene00017443,3.047294722,2.32e-14,WBGene00017443,WBGene00017443,History: N.A.
WBGene00007725,3.045977458,1.88e-23,WBGene00007725,WBGene00007725,History: N.A.
WBGene00001929,3.044097595,1.16e-68,WBGene00001929,WBGene00001929,History: N.A.
WBGene00017957,3.043800325,6.08e-10,WBGene00017957,WBGene00017957,History: N.A.
WBGene00195350,3.042945445,2.82e-13,WBGene00195350,WBGene00195350,History: N.A.
WBGene00012660,3.039722713,3.71e-36,WBGene00012660,WBGene00012660,History: N.A.
WBGene00001914,3.039537937,7.96e-30,WBGene00001914,WBGene00001914,History: N.A.
WBGene00021768,3.029705302,9.09e-46,WBGene00021768,WBGene00021768,History: N.A.
WBGene00022108,3.028548807,2.26e-48,WBGene00022108,WBGene00022108,History: N.A.
WBGene00008312,3.02585705,8.019999999999999e-34,WBGene00008312,WBGene00008312,History: N.A.
WBGene00019724,3.022637384,8.9e-14,WBGene00019724,WBGene00019724,History: N.A.
WBGene00013643,3.02072229,9.01e-31,WBGene00013643,WBGene00013643,History: N.A.
WBGene00011191,3.019279145,4.63e-35,WBGene00011191,WBGene00011191,History: N.A.
WBGene00016646,3.017494242,1.06e-10,WBGene00016646,WBGene00016646,"History: Split into fbxc-12(WBGene00045298). History of WBGene00016646: Split into ""WBGene00045298"" on 2007-02-28"
WBGene00011212,3.017445599,3.0399999999999993e-46,WBGene00011212,WBGene00011212,History: N.A.
WBGene00013532,3.016385619,2.14e-47,WBGene00013532,WBGene00013532,History: N.A.
WBGene00018123,3.014971629,4.04e-48,WBGene00018123,WBGene00018123,History: N.A.
WBGene00013150,3.011343832,3.75e-35,WBGene00013150,WBGene00013150,History: N.A.
WBGene00018194,3.00934238,6.35e-15,WBGene00018194,WBGene00018194,"History: Split into ""WBGene00195075"" on 2010-04-22"
WBGene00194708,3.008273131,5.89e-71,WBGene00194708,WBGene00194708,History: N.A.
WBGene00007563,2.994824336,4.33e-48,WBGene00007563,WBGene00007563,History: N.A.
WBGene00044167,2.994495781,3.49e-80,WBGene00044167,WBGene00044167,History: N.A.
WBGene00002058,2.992803555,1.61e-23,WBGene00002058,WBGene00002058,History: N.A.
WBGene00009210,2.991482841,5.12e-09,WBGene00009210,WBGene00009210,History: N.A.
WBGene00019094,2.989059631,1.02e-19,WBGene00019094,WBGene00019094,History: N.A.
WBGene00010259,2.98031605,5.6e-57,WBGene00010259,WBGene00010259,History: N.A.
WBGene00012680,2.974593884,4.24e-11,WBGene00012680,WBGene00012680,History: N.A.
WBGene00020425,2.969074815,1.02e-30,WBGene00020425,WBGene00020425,History: N.A.
WBGene00013190,2.968157094,6.25e-11,WBGene00013190,WBGene00013190,History: N.A.
WBGene00011294,2.96560359,8.329999999999999e-23,WBGene00011294,WBGene00011294,History: N.A.
WBGene00016085,2.964435989,4.94e-26,WBGene00016085,WBGene00016085,History: N.A.
WBGene00015331,2.962914315,3.03e-50,WBGene00015331,WBGene00015331,History: N.A.
WBGene00003621,2.961065092,3.78e-25,WBGene00003621,WBGene00003621,History: N.A.
WBGene00001862,2.951268506,2.78e-63,WBGene00001862,WBGene00001862,History: N.A.
WBGene00010719,2.948852052,4.72e-21,WBGene00010719,WBGene00010719,History: N.A.
WBGene00009683,2.94537335,1.28e-27,WBGene00009683,WBGene00009683,History: N.A.
WBGene00001937,2.941785867,2.4099999999999997e-61,WBGene00001937,WBGene00001937,History: N.A.
WBGene00018781,2.940322601,4.23e-68,WBGene00018781,WBGene00018781,History: N.A.
WBGene00016649,2.937859322,3.64e-10,WBGene00016649,WBGene00016649,"History: Split into fbxc-9(WBGene00045301). History of WBGene00016649: Split into ""WBGene00045301"" on 2007-02-28"
WBGene00019744,2.930368097,1.85e-17,WBGene00019744,WBGene00019744,History: N.A.
WBGene00018745,2.928230723,2.45e-25,WBGene00018745,WBGene00018745,History: N.A.
WBGene00219688,2.927213461,2.61e-71,WBGene00219688,WBGene00219688,History: N.A.
WBGene00019229,2.925109661,3.99e-16,WBGene00019229,WBGene00019229,History: N.A.
WBGene00016356,2.924538658,8.85e-45,WBGene00016356,WBGene00016356,History: N.A.
WBGene00002055,2.918254433,1.69e-33,WBGene00002055,WBGene00002055,History: N.A.
WBGene00013073,2.909134346,3.37e-14,WBGene00013073,WBGene00013073,History: N.A.
WBGene00008486,2.908754058,4.4099999999999996e-48,WBGene00008486,WBGene00008486,History: N.A.
WBGene00012911,2.907106522,1.8400000000000002e-29,WBGene00012911,WBGene00012911,History: N.A.
WBGene00006648,2.904515629,1.6e-29,WBGene00006648,WBGene00006648,History: N.A.
WBGene00017736,2.901635159,8.859999999999999e-42,WBGene00017736,WBGene00017736,History: N.A.
WBGene00009708,2.90139672,2.3e-25,WBGene00009708,WBGene00009708,History: N.A.
WBGene00023485,2.900085602,1.95e-14,WBGene00023485,WBGene00023485,History: N.A.
WBGene00018580,2.898950346,8.92e-16,WBGene00018580,WBGene00018580,History: N.A.
WBGene00008423,2.89390403,5.8e-15,WBGene00008423,WBGene00008423,History: N.A.
WBGene00077437,2.88697356,2.93e-69,WBGene00077437,WBGene00077437,History: N.A.
WBGene00015116,2.885051046,1.64e-32,WBGene00015116,WBGene00015116,History: Renamed on 2019-07-15
WBGene00011559,2.881451634,7.999999999999999e-42,WBGene00011559,WBGene00011559,History: Renamed on 2014-11-12
WBGene00020280,2.881350708,5.34e-23,WBGene00020280,WBGene00020280,History: N.A.
WBGene00021109,2.876584145,1.18e-19,WBGene00021109,WBGene00021109,History: N.A.
WBGene00021178,2.871660356,1.35e-09,WBGene00021178,WBGene00021178,"History: Split into Y9C9A.112(WBGene00235376). History of WBGene00021178: Split into ""WBGene00235376"" on 2013-10-17"
WBGene00019190,2.871378143,1.37e-17,WBGene00019190,WBGene00019190,History: N.A.
WBGene00012551,2.871108843,4.14e-43,WBGene00012551,WBGene00012551,History: N.A.
WBGene00012788,2.871055308,1.35e-13,WBGene00012788,WBGene00012788,History: N.A.
WBGene00008994,2.870372584,4.49e-14,WBGene00008994,WBGene00008994,History: N.A.
WBGene00001839,2.865394305,3.31e-16,WBGene00001839,WBGene00001839,History: N.A.
WBGene00023014,2.863275897,2.35e-14,WBGene00023014,WBGene00023014,History: N.A.
WBGene00016030,2.862907026,1.57e-42,WBGene00016030,WBGene00016030,History: N.A.
WBGene00018894,2.859957146,2.0299999999999998e-24,WBGene00018894,WBGene00018894,History: N.A.
WBGene00018839,2.857647172,5.7e-20,WBGene00018839,WBGene00018839,History: N.A.
WBGene00195254,2.855648102,2.86e-49,WBGene00195254,WBGene00195254,History: N.A.
WBGene00008659,2.849893007,2.6999999999999993e-24,WBGene00008659,WBGene00008659,History: N.A.
WBGene00022079,2.846643874,6.03e-29,WBGene00022079,WBGene00022079,History: N.A.
WBGene00020072,2.841296846,1.0699999999999999e-41,WBGene00020072,WBGene00020072,History: N.A.
WBGene00001891,2.84012275,3.76e-36,WBGene00001891,WBGene00001891,History: N.A.
WBGene00017605,2.836943311,1.0699999999999999e-60,WBGene00017605,WBGene00017605,History: Renamed on 2021-04-19
WBGene00013142,2.834911344,9.94e-26,WBGene00013142,WBGene00013142,History: N.A.
WBGene00001876,2.821959151,3.35e-24,WBGene00001876,WBGene00001876,History: N.A.
WBGene00009160,2.821125497,3.07e-11,WBGene00009160,WBGene00009160,History: N.A.
WBGene00012720,2.821051389,3.63e-29,WBGene00012720,WBGene00012720,History: N.A.
WBGene00017742,2.817383629,1.7e-12,WBGene00017742,WBGene00017742,History: N.A.
WBGene00219352,2.815154224,4.74e-20,WBGene00219352,WBGene00219352,History: N.A.
WBGene00011808,2.813534577,6.94e-33,WBGene00011808,WBGene00011808,History: N.A.
WBGene00008556,2.808402925,1.41e-28,WBGene00008556,WBGene00008556,History: N.A.
WBGene00011076,2.799694542,1.18e-14,WBGene00011076,WBGene00011076,History: N.A.
WBGene00013476,2.799678152,5.58e-20,WBGene00013476,WBGene00013476,History: N.A.
WBGene00001907,2.790092949,4.65e-16,WBGene00001907,WBGene00001907,History: N.A.
WBGene00003218,2.790030559,1.41e-85,WBGene00003218,WBGene00003218,History: N.A.
WBGene00019562,2.788423596,1.11e-14,WBGene00019562,WBGene00019562,History: N.A.
