# 211 Genes without CSR-1-bound 22G RNA Homology,,,,,,,,,,,,,,,
gene ID,gene name,cosmid ID,Description (from Wormbase),log2FoldChange (SIN vs WT),Padj,gene length,N2 rep1 counts,N2 rep2 counts,N2 rpkm,WT rep1 counts,WT rep2 counts,WT rpkm,SIN rep1 counts,SIN rep2 counts,SIN rpkm,Input,Suggested Match,History
WBGene00009518,clec-166,F38A1.5,clec-166 encodes a C-type lectin,2.095670965,1.04e-10,1805,192,93,1.789961261,84,61,1.053174534,489,385,6.475310789,WBGene00009518,WBGene00009518,History: N.A.
WBGene00010953,clec-190,M199.4,clec-190 encodes a C-type lectin,1.972949932,1.79e-09,762,952,351,19.32049966,687,566,21.70839041,4162,2711,119.8360369,WBGene00010953,WBGene00010953,History: N.A.
WBGene00018971,clec-67,F56D6.2,clec-67 encodes a C-type lectin; clec-67 expression is upregulated in response to bacterial infection; clec-67 is expressed in the intestine and its expression is regulated by the ELT-2 GATA transcription factor.,1.23426822,1.27e-05,2056,228,272,2.791973541,160,118,1.774188005,454,321,5.022160468,WBGene00018971,WBGene00018971,History: N.A.
WBGene00000556,cnc-2,R09B5.3,"cnc-2 encodes one of eleven C. elegans caenacin peptides; cnc-2 functions as a secreted antimicrobial peptide in the innate immune response: cnc-2 expression is strongly induced in the epidermis upon infection by the fungal pathogen and overexpression of cnc-2 promotes survival after D. coniospora infection; cnc-2 expression is positively regulated by the DBL-1 TGF-beta homolog, the SMA-6/DAF-4 TGF-beta receptor, and the SMA-3, but not SMA-2 and SMA-4, SMAD protein.",2.55578699,2.84e-14,358,383,165,17.32738854,171,108,10.13992823,1701,915,96.46907926,WBGene00000556,WBGene00000556,History: N.A.
WBGene00000615,col-38,F54C9.4,col-38 encodes a member of the collagen superfamily containing collagen triple helix repeats (20 copies) required for normal body morphology.,1.185509644,7.62e-06,928,111,87,2.434741527,137,124,3.732393779,386,304,9.94333743,WBGene00000615,WBGene00000615,History: N.A.
WBGene00000620,col-43,ZC513.8,col-43 encodes a collagen that is individually dispensable for viability and gross morphology in mass RNAi screens.,1.555276123,6.53e-05,1022,86,140,2.549814904,78,41,1.500368731,317,198,6.68554733,WBGene00000620,WBGene00000620,History: N.A.
WBGene00021491,comt-4,Y40B10A.6,"comt-4 is an ortholog of human COMTD1 (catechol-O-methyltransferase domain containing 1); comt-4 is predicted to have O-methyltransferase activity, based on protein domain information.",2.086496653,3.69e-06,796,105,11,1.629698712,16,10,0.424746234,492,182,11.05107835,WBGene00021491,WBGene00021491,History: N.A.
WBGene00021492,comt-5,Y40B10A.7,"comt-5 is an ortholog of human COMTD1 (catechol-O-methyltransferase domain containing 1); comt-5 is predicted to have O-methyltransferase activity, based on protein domain information.",1.396706209,0.001572817,684,44,81,2.110649703,22,33,1.096724579,123,132,5.039759,WBGene00021492,WBGene00021492,History: N.A.
WBGene00000535,cpi-1,K08B4.6,cpi-1 encodes a homolog of cysteine protease inhibitors (cystatins); cpi-1 is at least superficially dispensable for viability and gross morphology.,1.477802362,5.85e-12,528,7742,5394,283.4256562,3385,2693,151.6766135,12284,7324,491.9305515,WBGene00000535,WBGene00000535,History: Renamed on 2006-01-04
WBGene00016147,cyp-32A1,C26F1.2,"cyp-32A1 is predicted to have iron ion binding activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, and heme binding activity, based on protein domain information.",1.039536943,0.000276687,1688,309,208,3.487532596,201,136,2.60729158,475,328,6.33290524,WBGene00016147,WBGene00016147,History: N.A.
WBGene00020386,cyp-34A4,T09H2.1,"cyp-34A4 is an ortholog of human CYP2D6 (cytochrome P450 2D6), CYP2J2 (cytochrome P450 2J2), CYP2R1 (cytochrome P450 2R1), CYP2E1 (cytochrome P450 2E1) and CYP2C8 (cytochrome P450 2C8); cyp-34A4 is predicted to have iron ion binding activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, and heme binding activity, based on protein domain information.",1.058771116,0.000171212,1647,296,194,3.386420533,176,185,2.932931702,452,427,7.182669151,WBGene00020386,WBGene00020386,History: Renamed on 2019-05-20
WBGene00008829,cyp-35D1,F14H3.10,"cyp-35D1 is an ortholog of human CYP2D6 (cytochrome P450 2D6), CYP2J2 (cytochrome P450 2J2), CYP2R1 (cytochrome P450 2R1), CYP2E1 (cytochrome P450 2E1) and CYP2C8 (cytochrome P450 2C8); cyp-35D1 is predicted to have iron ion binding activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, and heme binding activity, based on protein domain information.",1.24208768,0.00017676,1517,125,122,1.863886352,52,43,0.826910333,156,126,2.488146309,WBGene00008829,WBGene00008829,History: N.A.
WBGene00000932,dao-6,T05G5.12,"dao-6 encodes a small (92-residue) and probably non-globular protein; dao-6 is negatively regulated by DAF-2 but positively regulated by DAF-16, and thus might be involved in the extended lifespan caused by daf-2(m41).",1.055164946,0.024165768,368,49,25,2.281140984,18,16,1.224871603,63,51,4.146710157,WBGene00000932,WBGene00000932,History: N.A.
WBGene00000966,dhs-2,F55A12.4,dhs-2 encodes a short-chain dehydrogenase predicted to be mitochondrial.,1.060752098,0.017028556,2776,1101,271,5.560712118,205,196,1.922821468,831,441,6.04658839,WBGene00000966,WBGene00000966,History: N.A.
WBGene00043067,dlc-5,Y73B6BL.43,"dlc-5 encodes a putative dynein light chain 1; DLC-5 is orthologous to  human DYNLL1 (OMIM:601562) and DYNLL2 (OMIM:608942), but much more  divergent from them than its paralog DLC-1; its other paralogs are  DLC-2/-4 and DLC-6.",1.361124629,0.001560405,683,54,32,1.431243973,33,18,0.964020516,128,78,3.998226392,WBGene00043067,WBGene00043067,History: N.A.
WBGene00010125,dod-22,F55G11.5,"dod-22 is an ortholog of human EPHX1 (epoxide hydrolase 1, microsomal (xenobiotic)); dod-22 is involved in innate immune response and defense response to Gram-negative bacterium.",1.294934035,0.00544907,1381,166,31,1.601180753,92,67,1.509665827,494,232,6.910316903,WBGene00010125,WBGene00010125,History: N.A.
WBGene00011869,dod-6,T20G5.7,,1.255492854,4.99e-06,581,997,1464,48.77224833,497,477,22.31972297,1594,1186,63.86219231,WBGene00011869,WBGene00011869,History: N.A.
WBGene00008003,enu-3.2,C38D4.1,,1.667154356,2.32e-19,2012,471,508,5.578144052,645,430,6.972091976,2041,1780,25.4873616,WBGene00008003,WBGene00008003,History: N.A.
WBGene00012552,enu-3.5,Y37D8A.12,,3.091753745,1.57e-65,2121,104,92,1.05634657,162,133,1.835813553,1516,1445,18.79421152,WBGene00012552,WBGene00012552,History: N.A.
WBGene00010477,enu-3.6,K01G5.3,,2.994021228,9.999999999999999e-31,1172,68,95,1.600279948,86,80,1.882498236,1000,794,20.47617229,WBGene00010477,WBGene00010477,History: N.A.
WBGene00012492,fbxb-7,Y20C6A.2,fbxb-7 encodes a F-box B protein,1.354212187,5.33e-06,1048,777,370,12.40461621,468,367,10.48990202,1517,1085,33.09250874,WBGene00012492,WBGene00012492,History: N.A.
WBGene00009620,fip-5,F41E7.4,,1.396342726,2.22e-07,417,227,202,11.76113857,160,173,10.70216202,636,425,33.8339519,WBGene00009620,WBGene00009620,History: N.A.
WBGene00001478,fmo-3,Y39A1A.19,"fmo-3 encodes a flavin-containing monoxygenase homologous to human FMO1, FMO2, and FMO3 (OMIM:602079, mutated in trimethylaminuria).",1.106858439,0.002776032,1663,273,422,4.815455327,240,107,2.666405704,515,414,7.475915269,WBGene00001478,WBGene00001478,History: N.A.
WBGene00001481,fog-1,Y54E10A.4,The fog-1 gene encodes a cytoplasmic polyadenylation element binding (CPEB) protein that is required for specification of the sperm fate.,1.713964864,5.84e-15,2429,1196,1061,10.6221594,1218,913,11.52184663,5252,2967,44.7425325,WBGene00001481,WBGene00001481,History: N.A.
WBGene00001483,fog-3,C03C11.2,"fog-3 encodes a protein that has similarity, in its N-terminus, to the vertebrate Tob, BTG1, and BTG2 proteins that function in growth control and/or differentiation; in C. elegans, FOG-3 activity is required in the germ line throughout development for initiation and maintenance of spermatogenesis; fog-3 mRNA is expressed at highest levels in the L3, L4, and young adult stages of development, when spermatogenesis occurs; fog-3 transcription appears to be under the control of TRA-1A, which interacts with predicted TRA-1A binding sites in the fog-3 promoter in vitro.",3.793996574,6.560000000000001e-43,979,40,56,1.128333005,106,69,2.329573867,2332,1329,49.46196978,WBGene00001483,WBGene00001483,History: N.A.
WBGene00001494,frm-8,H09G03.2,"frm-8 encodes a protein containing a WW domain, a PDZ domain, and a FERM domain and has homology to the human predicted protein KIAA0316.",1.080698177,2.96e-05,3126,351,246,2.175862668,297,240,2.265436027,798,513,5.569501315,WBGene00001494,WBGene00001494,History: N.A.
WBGene00007887,gadr-2,C33A12.12,,1.36271525,0.000416048,2285,304,131,2.154964005,146,88,1.329094522,542,297,4.850327316,WBGene00007887,WBGene00007887,History: N.A.
WBGene00001601,glh-4,T12F5.3.1,"glh-4 encodes a putative germline RNA helicase that affects germline proliferation, oogenesis, spermatogenesis, and hence fertility in combination with glh-1, and is partially redundant with glh-1; glh-4 is a constituent of P granules and expression is most abundant in newly fertilized embryos.",1.672065176,3.07e-45,3832,3053,2978,18.01640933,3912,3139,24.25617848,12599,11840,85.81612937,WBGene00001601,WBGene00001601,History: N.A.
WBGene00009824,gpdh-1,F47G4.3,"gpdh-1 encodes one of two C. elegans glycerol 3-phosphate dehydrogenases; gpdh-1 mRNA expression is upregulated in response to hypertonicity, suggesting that GPDH-1 does play a role in osmotic stress adaptation in C. elegans via glycerol biosynthesis; regulation of gpdh-1 expression is controlled, in part, by a pathway that includes the OSM-8 mucin and the PTR-23 Patched-like receptor.",1.087682889,0.005140822,1312,504,952,12.82139742,283,452,7.665637174,1061,1038,21.55762351,WBGene00009824,WBGene00009824,History: N.A.
WBGene00001693,grd-4,T01B10.1,"grd-4 encodes a hedgehog-like protein, with an N-terminal signal sequence and a C-terminal Ground domain; the Ground domain is predicted to form a cysteine-crosslinked protein involved in intercellular signalling, and it has subtle similarity to the N-terminal Hedge domain of HEDGEHOG proteins; GRD-4 is weakly required for normal molting; GRD-4 is also required for normal adult alae formation, growth to full size, and locomotion; all of these requirements may reflect common defects in cholesterol-dependent hedgehog-like signalling or in vesicle trafficking.",1.045468394,0.018483672,643,59,120,3.219301065,52,38,1.835654136,124,141,5.582566423,WBGene00001693,WBGene00001693,History: N.A.
WBGene00001841,hen-1,C36B7.7,"hen-1 encodes a secreted protein that contains a low-density lipoprotein (LDL) receptor motif A; HEN-1 activity is required for integration of sensory stimuli and behavioral plasticity; a hen-1::GFP reporter is expressed in pharyngeal muscles, the vulva, and weakly in a subset of neurons; antibodies to HEN-1 protein detect expression exclusively in the AIY and ASE neurons, where HEN-1 appears to localize to cell bodies and in a punctate pattern in nerve ring axons at sites of synapse formation; HEN-1 expression in AIY appears to be under the control of the TTX-3 LIM domain transcription factor.",1.304867528,0.004037853,583,41,26,1.307513019,13,13,0.595110735,67,49,2.65403395,WBGene00001841,WBGene00001841,History: N.A.
WBGene00001842,her-1,ZK287.8,"her-1 generates two transcripts, the larger of which encodes a small, secreted, cysteine-rich protein (HER-1A) required for normal sex determination in wild-type XO male animals, while being dispensable for sex determination in XX hermaphrodites; transcription of her-1 in XX animals is repressed by SDC-2; HER-1A protein has two all-helical domains, with fourteen conserved cysteine residues forming seven disulfide bonds, at least eight of which residues are critical for function in vivo; HER-1A has no known homologs except in other nematodes (e.g., Brugia malayi), and does not structurally resemble other well-known secreted proteins; HER-1A inhibits the receptor TRA-2A in vivo, and binds it in vitro; HER-1A functions nonautonomously and requires a signal sequence for biological activity; the her-1(n695gf) mutation alters a site in the her-1 promoter bound by SDC-2, partially transforms XX animals into phenotypic males, and requires sup-26 and sup-27 to do so.",1.630763077,0.000170733,610,39,38,1.44496849,23,12,0.739048573,137,67,4.401572142,WBGene00001842,WBGene00001842,History: N.A.
WBGene00013073,hmit-1.1,Y51A2D.4,"hmit-1.1 encodes one of three C. elegans proton (H+)-dependent myo-inositol transporters; loss of hmit-1.1 activity via large-scale RNAi result in no obvious abnormalities but by homology, HMIT-1.1 is predicted to function as a plasma membrane protein required for the regulated uptake of myo-inositol and thus potentially for regulation of cell signaling and intracellular osmolarity.",1.244739874,0.000115272,2100,331,183,2.779541159,198,254,2.911523409,745,601,8.57866627,WBGene00013073,WBGene00013073,History: N.A.
WBGene00021353,iglr-3,Y37E3.13,"iglr-3 is an ortholog of human TPBG (trophoblast glycoprotein), ISLR (immunoglobulin superfamily containing leucine-rich repeat), LRRC24 (leucine rich repeat containing 24), ISLR2 (immunoglobulin superfamily containing leucine-rich repeat 2) and LRFN3 (leucine rich repeat and fibronectin type III domain containing 3).",1.045975847,0.000276259,1649,232,141,2.572017726,213,149,2.872158151,487,377,7.00268457,WBGene00021353,WBGene00021353,History: N.A.
WBGene00016670,ilys-3,C45G7.3,"ilys-3 is predicted to have lysozyme activity, based on protein domain information.",1.875216346,2.75e-05,476,71,6,1.807220462,1,0,0.024934778,148,124,7.658244635,WBGene00016670,WBGene00016670,History: N.A.
WBGene00219609,linc-7,T22E6.2,,1.115429273,0.004401133,1130,674,1688,24.23373757,559,566,13.29430737,1498,1728,38.6901909,WBGene00219609,WBGene00219609,History: N.A.
WBGene00003170,mec-6,W02D3.3,"mec-6 is homologous to the human PARAOXONASE 1 gene (PON1, OMIM:168820), which in some allelic forms is associated with susceptibility to coronary artery disease; MEC-6 protein interacts physically with the MEC-4 degenerin ion channel, is colocalized with it in vivo, and is required for MEC-4 punctate expression along touch-receptor neural processes.",1.322055756,0.000135358,1503,79,59,1.047024306,69,41,0.949139224,188,159,3.095139351,WBGene00003170,WBGene00003170,History: N.A.
WBGene00003414,mrp-8,Y75B8A.26,"mrp-8 encodes a predicted ATP-binding cassette (ABC) transporter that is a member of the ABCC subfamily of ABC transporters that includes the multidrug resistance-associated proteins and the cystic fibrosis transmembrane conductance regulator; by homology, MRP-8 is predicted to function as an ATP-dependent organic anion transporter that transports molecules across the plasma membrane into the extracellular space; at present, the precise role of MRP-8 in C. elegans development and/or behavior is not yet known.",1.693151593,5.31e-31,4424,640,610,3.233359511,520,404,2.748400419,1787,1513,10.00057858,WBGene00003414,WBGene00003414,History: N.A.
WBGene00003610,nhr-11,ZC410.1,"nhr-11 encodes a member of the superfamily of nuclear receptors, which is one of the most abundant class of transcriptional regulators; nuclear receptors have a well conserved DNA binding domain and a less conserved C-terminal ligand binding domain.",2.023890291,3.19e-10,3204,291,165,1.616772005,127,90,0.886738388,805,434,5.105566926,WBGene00003610,WBGene00003610,History: N.A.
WBGene00015497,nhr-76,C05G6.1,"nhr-76 is predicted to have sequence-specific DNA binding transcription factor activity, steroid hormone receptor activity, zinc ion binding activity, and sequence-specific DNA binding activity, based on protein domain information.",1.013868732,7.56e-06,1577,528,384,6.59228891,263,195,3.811878426,525,504,8.786555254,WBGene00015497,WBGene00015497,History: N.A.
WBGene00003764,nlp-26,Y43F8C.2,nlp-26 encodes a predicted neuropeptide not found in multigene families within C. elegans and is not clearly related to other well-characterized neuropeptides.,1.029413497,0.002619091,310,124,151,10.18739003,88,101,8.197531543,241,232,20.54832364,WBGene00003764,WBGene00003764,History: N.A.
WBGene00008295,nlp-39,C54C8.9,,1.205869802,0.005399914,453,76,2,1.917677727,1,0,0.026200782,190,57,7.075966162,WBGene00008295,WBGene00008295,History: N.A.
WBGene00003778,nnt-1,C15H9.1,nnt-1 encodes a proton-pumping nicotinamide nucleotide transhydrogenase predicted to be mitochondrial.,1.132951244,0.002184622,3224,366,156,1.832542349,120,100,0.901433575,335,286,2.583145479,WBGene00003778,WBGene00003778,History: N.A.
WBGene00012084,npr-15,T27D1.3,"npr-15 is an ortholog of human APLNR (apelin receptor), GPR15 (G protein-coupled receptor 15), GPR25 (G protein-coupled receptor 25), AGTR1 (angiotensin II receptor, type 1) and BDKRB1 (bradykinin receptor B1); npr-15 is predicted to have G-protein coupled receptor activity, based on protein domain information.",1.03172781,0.009177724,1241,56,55,1.023996941,43,39,0.876973806,132,87,2.345535995,WBGene00012084,WBGene00012084,History: N.A.
WBGene00015559,npr-17,C06G4.5,"npr-17 is predicted to have G-protein coupled receptor activity, based on protein domain information.",1.157410242,0.000599517,1423,136,114,2.006730876,98,73,1.57763814,302,172,4.405738825,WBGene00015559,WBGene00015559,History: N.A.
WBGene00009637,nspc-13,F42F12.6,,1.216545952,3.84e-06,367,504,337,26.09092606,217,143,12.79222825,558,412,35.26676816,WBGene00009637,WBGene00009637,History: N.A.
WBGene00007833,oac-6,C31A11.5,"oac-6 is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups, based on protein domain information.",1.320738021,0.000153053,2184,337,135,2.4442276,276,208,2.911301207,908,644,9.468855331,WBGene00007833,WBGene00007833,History: N.A.
WBGene00003845,odd-1,B0280.4,odd-1 encodes a C2H2-type zinc finger-containing transcription factor similar to Drosophila odd skipped which is required for embryonic patterning; ODD-1 is expressed in the gut during embryogenesis and appears to be essential for larval development.,1.421431904,0.00050016,729,39,39,1.225258418,33,25,1.045490157,149,84,4.22598443,WBGene00003845,WBGene00003845,History: N.A.
WBGene00003879,ora-1,F57H12.3,,1.337508508,0.001921263,827,399,29,5.778349807,35,44,1.290774152,2163,1275,55.04779379,WBGene00003879,WBGene00003879,History: N.A.
WBGene00011638,ostb-1,T09A5.11.2,"ostb-1 is an ortholog of human DDOST (dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)); ostb-1 is predicted to have dolichyl-diphosphooligosaccharide-protein glycotransferase activity, based on protein domain information.",1.264887923,1.8900000000000001e-31,1661,13937,13178,186.7879715,15932,12341,223.9514148,40692,32793,592.1170139,WBGene00011638,WBGene00011638,History: N.A.
WBGene00004003,pgp-9,C47A10.1,"pgp-9 encodes an ATP-binding protein that is a member of the P-glycoprotein subclass of the ATP-binding cassette (ABC) transporter superfamily; PGP-9 is predicted to function as a transmembrane protein that couples energy to transport of various molecules across membranes, and loss of pgp-9 activity via RNAi can result in embryonic lethality; pgp-9 promoter-gfp fusion proteins are expressed in the pharynx (first and second bulbs) and in the intestine.",1.147784188,6.1e-05,3986,556,363,2.624177936,252,195,1.475357195,507,640,3.911906714,WBGene00004003,WBGene00004003,History: N.A.
WBGene00007331,pho-11,C05C10.4,"pho-11 is an ortholog of human ACPT (acid phosphatase, testicular), ACPP (acid phosphatase, prostate) and ACP2 (acid phosphatase 2, lysosomal); pho-11 is predicted to have acid phosphatase activity, based on protein domain information.",1.094902149,3.66e-15,1511,6722,5401,91.5873718,3099,2304,46.93974579,7148,5411,111.0005474,WBGene00007331,WBGene00007331,History: N.A.
WBGene00004228,ptr-14,R09H10.4,"ptr-14 encodes a nematode-specific member of the sterol sensing domain (SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) and human PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-14 is weakly required for normal molting from L4 to adult stages; PTR-14 is also required for normal growth to full size and locomotion.",1.031303849,0.000210306,2871,229,262,1.962240274,136,126,1.212619791,342,281,2.906205389,WBGene00004228,WBGene00004228,History: N.A.
WBGene00017501,pud-3,F15E11.15,,2.951104383,1.46e-34,778,1230,1055,33.55863719,715,699,24.22251176,5730,8396,248.078297,WBGene00017501,WBGene00017501,History: N.A.
WBGene00017498,pud-4,F15E11.12,,3.122385562,2.79e-21,761,633,255,13.19804829,147,170,5.603215161,2081,2741,86.26499504,WBGene00017498,WBGene00017498,History: N.A.
WBGene00004353,rgs-10,F45B8.2,"rgs-10 is an ortholog of human RGS13 (regulator of G-protein signaling 13), RGS1 (regulator of G-protein signaling 1), RGS18 (regulator of G-protein signaling 18), RGS21 (regulator of G-protein signaling 21) and RGS16 (regulator of G-protein signaling 16).",1.202161197,0.000342233,1038,179,97,3.018734689,103,95,2.534058049,323,246,7.322187961,WBGene00004353,WBGene00004353,History: N.A.
WBGene00006513,rimb-1,Y39A3CL.2,rimb-1 encodes the C. elegans ortholog of the vertebrate RIM-BP2 RIM (Rab3-interacting protein) binding proteins; tag-168 is expressed pan-neuronally.,1.336601448,3.41e-07,3882,163,180,1.013260748,166,122,0.973266913,491,361,2.928064381,WBGene00006513,WBGene00006513,History: N.A.
WBGene00004779,ser-4,Y22D7AR.13,"ser-4 encodes an ortholog of mammalian 5-HT1 metabotropic serotonin receptors; SER-4 is required for normal inhibition of movement by 5-HT, with ser-4 mutants being hyperactive; SER-4 is partly required for male tail curling, with ser-4 mutants showing reduced curling in exogenous 5-HT; SER-4 is dispensable for the stimulation of egg-laying by 5-HT and by the uptake inhibitor fluoxetine; SER-4 may actually inhibit egg-laying, since egg-laying ser-4 mutants are moderately hypersensitive to 5-HT, and mutant ser-4 hermaphrodites are partly depleted of eggs, suggesting that their egg-laying is weakly constitutive; however, SER-4 is required for stimulation of egg-laying by the tricyclic antidepressant imipramine, suggesting that imipramine drives HSNs to secrete some non-5-HT neurotransmitter which then activates SER-4; SER-4 is expressed in neurons (RIB and RIS, other head, pharyngeal, sublateral, retrovesicular ganglion, PVT, and either DVA or DVC); SER-4 has a low affinity for serotonin (5-HT), and overall pharmacological similarities to mammalian 5-HT1 receptors; SER-4 is probably antagonized by mianserin; heterologously expressed SER-4, when challenged with 5-HT, diminishes intracellular adenylate cyclase activity; LIM-6 is required for normal expression of SER-4 in RIS interneurons.",2.015302998,6.58e-08,1522,174,77,1.867406675,114,53,1.405054455,652,402,9.183696634,WBGene00004779,WBGene00004779,History: Renamed on 2005-12-15; Renamed on 2005-12-15
WBGene00004969,spe-15,F47G6.4,"spe-15 encodes an unconventional myosin, and is homologous to Drosophila and mouse myosin VI as well as the human gene MYOSIN VI (MYO6; OMIM:600970), which when mutated leads to a disease that affects hearing; spe-15 is required during spermiogenesis or sperm activation for the asymmetric partitioning of organelles like the mitochondria and specialized structures called the fibrous-body membranous organelles into the spermatid; mutant spe-15 spermatids contain actin filaments in contrast to wild-type which lack them.",1.634632659,4.84e-17,4126,416,307,1.997892692,583,562,3.695623932,2373,1720,13.22803777,WBGene00004969,WBGene00004969,History: N.A.
WBGene00011190,swt-6,R10D12.9,,1.112551094,5.34e-06,1187,485,290,7.422326553,481,369,9.416472341,1183,908,23.53672543,WBGene00011190,WBGene00011190,History: N.A.
WBGene00044073,tag-244,C34H4.3,tag-244 is involved in innate immune response.,1.081189292,0.001665911,1712,100,103,1.358433736,80,48,0.970123285,177,151,2.569279121,WBGene00044073,WBGene00044073,History: N.A.
WBGene00009215,thn-2,F28D1.5,,1.134600065,0.017188075,793,9153,1275,147.2975155,420,389,13.55578299,6997,3831,180.3676721,WBGene00009215,WBGene00009215,History: N.A.
WBGene00013079,ttr-26,Y51A2D.11,,1.003493984,0.006124639,1042,1260,572,19.91480745,545,383,11.65493126,1580,758,29.51354805,WBGene00013079,WBGene00013079,History: N.A.
WBGene00008341,ttr-44,C56A3.2,,1.961877545,2.53e-11,651,1240,571,31.51619163,380,365,15.23703592,2266,1591,78.91804543,WBGene00008341,WBGene00008341,History: N.A.
WBGene00044737,ttr-45,JC8.14,,1.467630215,1.74e-09,475,4242,2404,158.9425275,2234,1908,115.3490504,8254,5307,379.143026,WBGene00044737,WBGene00044737,History: N.A.
WBGene00022515,ttr-48,ZC64.2,,1.061310945,7.28e-09,727,1572,1090,41.71135292,997,811,32.80872116,2361,1817,76.79216433,WBGene00022515,WBGene00022515,History: N.A.
WBGene00010440,ttr-51,JC8.8,,1.482975668,4.03e-19,483,8823,6246,355.5042903,5944,4975,298.7079586,19892,14303,943.7967135,WBGene00010440,WBGene00010440,History: N.A.
