# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≤ -1,Unnamed: 1,Input,Suggested Match,History
WBGene00018785,,WBGene00018785,WBGene00018785,History: N.A.
WBGene00010141,,WBGene00010141,WBGene00010141,History: N.A.
WBGene00012121,,WBGene00012121,WBGene00012121,"History: Split into ""WBGene00044793"" on 2006-03-22"
WBGene00017801,,WBGene00017801,WBGene00017801,History: N.A.
WBGene00011576,,WBGene00011576,WBGene00011576,History: N.A.
WBGene00002783,,WBGene00002783,WBGene00002783,History: N.A.
WBGene00012385,,WBGene00012385,WBGene00012385,History: N.A.
WBGene00012466,,WBGene00012466,WBGene00012466,History: N.A.
WBGene00007167,,WBGene00007167,WBGene00007167,History: Renamed on 2008-06-23
WBGene00020208,,WBGene00020208,WBGene00020208,History: Renamed on 2020-01-28
WBGene00020314,,WBGene00020314,WBGene00020314,History: N.A.
WBGene00010427,,WBGene00010427,WBGene00010427,History: N.A.
WBGene00017696,,WBGene00017696,WBGene00017696,History: N.A.
WBGene00011802,,WBGene00011802,WBGene00011802,History: N.A.
WBGene00018364,,WBGene00018364,WBGene00018364,History: Renamed on 2016-01-06
WBGene00009701,,WBGene00009701,WBGene00009701,History: N.A.
WBGene00009290,,WBGene00009290,WBGene00009290,History: N.A.
WBGene00008440,,WBGene00008440,WBGene00008440,History: N.A.
WBGene00020904,,WBGene00020904,WBGene00020904,History: N.A.
WBGene00015009,,WBGene00015009,WBGene00015009,"History: Split into B0041.12(WBGene00303032). History of WBGene00015009: Split into ""WBGene00303032"" on 2018-03-02"
WBGene00013701,,WBGene00013701,WBGene00013701,History: N.A.
WBGene00006056,,WBGene00006056,WBGene00006056,History: N.A.
WBGene00010770,,WBGene00010770,WBGene00010770,History: N.A.
WBGene00001647,,WBGene00001647,WBGene00001647,History: N.A.
WBGene00020948,,WBGene00020948,WBGene00020948,History: N.A.
WBGene00008165,,WBGene00008165,WBGene00008165,History: N.A.
WBGene00010096,,WBGene00010096,WBGene00010096,History: N.A.
WBGene00007145,,WBGene00007145,WBGene00007145,History: N.A.
WBGene00018563,,WBGene00018563,WBGene00018563,History: N.A.
WBGene00021721,,WBGene00021721,WBGene00021721,History: N.A.
WBGene00019079,,WBGene00019079,WBGene00019079,History: N.A.
WBGene00016501,,WBGene00016501,WBGene00016501,History: N.A.
WBGene00001396,,WBGene00001396,WBGene00001396,History: N.A.
WBGene00013978,,WBGene00013978,WBGene00013978,History: N.A.
WBGene00011834,,WBGene00011834,WBGene00011834,History: N.A.
WBGene00007912,,WBGene00007912,WBGene00007912,History: N.A.
WBGene00005020,,WBGene00005020,WBGene00005020,History: N.A.
WBGene00005023,,WBGene00005023,WBGene00005023,"History: Split into T24D1.7(WBGene00303082). History of WBGene00005023: Split into ""WBGene00303082"" on 2018-03-02"
WBGene00015462,,WBGene00015462,WBGene00015462,History: N.A.
WBGene00003395,,WBGene00003395,WBGene00003395,History: N.A.
WBGene00022124,,WBGene00022124,WBGene00022124,History: N.A.
WBGene00014201,,WBGene00014201,WBGene00014201,"History: Split into ZK1053.7(WBGene00044786). History of WBGene00014201: Split into ""WBGene00044786"" on 2006-03-16"
WBGene00012795,,WBGene00012795,WBGene00012795,History: N.A.
WBGene00018009,,WBGene00018009,WBGene00018009,"History: Split into F33D11.17(WBGene00303057). History of WBGene00018009: Split into ""WBGene00303057"" on 2018-03-02"
WBGene00013718,,WBGene00013718,WBGene00013718,History: N.A.
WBGene00011318,,WBGene00011318,WBGene00011318,History: N.A.
WBGene00012353,,WBGene00012353,WBGene00012353,History: N.A.
WBGene00018848,,WBGene00018848,WBGene00018848,History: N.A.
WBGene00003478,,WBGene00003478,WBGene00003478,History: N.A.
WBGene00003870,,WBGene00003870,WBGene00003870,History: N.A.
WBGene00004163,,WBGene00004163,WBGene00004163,History: N.A.
WBGene00015745,,WBGene00015745,WBGene00015745,"History: Split into C13F10.8(WBGene00303039). History of WBGene00015745: Split into ""WBGene00303039"" on 2018-03-02"
WBGene00012734,,WBGene00012734,WBGene00012734,History: N.A.
WBGene00019254,,WBGene00019254,WBGene00019254,History: N.A.
WBGene00019971,,WBGene00019971,WBGene00019971,History: N.A.
WBGene00007332,,WBGene00007332,WBGene00007332,History: N.A.
WBGene00015553,,WBGene00015553,WBGene00015553,History: N.A.
WBGene00020933,,WBGene00020933,WBGene00020933,"History: Split into W02D3.13(WBGene00303103). History of WBGene00020933: Split into ""WBGene00303103"" on 2018-03-06"
WBGene00016169,,WBGene00016169,WBGene00016169,History: N.A.
WBGene00001239,,WBGene00001239,WBGene00001239,History: N.A.
WBGene00017992,,WBGene00017992,WBGene00017992,History: N.A.
WBGene00020264,,WBGene00020264,WBGene00020264,History: N.A.
WBGene00011348,,WBGene00011348,WBGene00011348,History: N.A.
WBGene00010498,,WBGene00010498,WBGene00010498,History: N.A.
WBGene00014117,,WBGene00014117,WBGene00014117,History: N.A.
WBGene00004110,,WBGene00004110,WBGene00004110,History: N.A.
WBGene00020970,,WBGene00020970,WBGene00020970,History: N.A.
WBGene00019833,,WBGene00019833,WBGene00019833,History: N.A.
WBGene00008019,,WBGene00008019,WBGene00008019,History: N.A.
WBGene00000168,,WBGene00000168,WBGene00000168,History: N.A.
WBGene00017886,,WBGene00017886,WBGene00017886,History: N.A.
WBGene00009594,,WBGene00009594,WBGene00009594,History: N.A.
WBGene00013465,,WBGene00013465,WBGene00013465,History: N.A.
WBGene00009245,,WBGene00009245,WBGene00009245,History: Renamed on 2009-04-22
WBGene00003044,,WBGene00003044,WBGene00003044,History: Renamed on 2017-04-20; Renamed on 2017-05-11
WBGene00003221,,WBGene00003221,WBGene00003221,History: N.A.
WBGene00001499,,WBGene00001499,WBGene00001499,History: N.A.
WBGene00017284,,WBGene00017284,WBGene00017284,History: N.A.
WBGene00010815,,WBGene00010815,WBGene00010815,History: N.A.
WBGene00045484,,WBGene00045484,WBGene00045484,History: N.A.
WBGene00021561,,WBGene00021561,WBGene00021561,History: N.A.
WBGene00015146,,WBGene00015146,WBGene00015146,History: N.A.
WBGene00017352,,WBGene00017352,WBGene00017352,History: N.A.
WBGene00012347,,WBGene00012347,WBGene00012347,History: N.A.
WBGene00020320,,WBGene00020320,WBGene00020320,History: N.A.
WBGene00020442,,WBGene00020442,WBGene00020442,History: N.A.
WBGene00013034,,WBGene00013034,WBGene00013034,History: N.A.
WBGene00021535,,WBGene00021535,WBGene00021535,History: N.A.
WBGene00016020,,WBGene00016020,WBGene00016020,History: N.A.
WBGene00012733,,WBGene00012733,WBGene00012734,"History: Merged into ""WBGene00012734"" on 2019-10-21"
WBGene00011276,,WBGene00011276,WBGene00011276,History: N.A.
WBGene00007915,,WBGene00007915,WBGene00008430,"History: Merged into ""WBGene00008430"" on 2016-10-28"
WBGene00012716,,WBGene00012716,WBGene00012716,History: N.A.
WBGene00006386,,WBGene00006386,WBGene00006386,History: N.A.
WBGene00006868,,WBGene00006868,WBGene00006868,History: N.A.
WBGene00000421,,WBGene00000421,WBGene00000421,History: N.A.
WBGene00009115,,WBGene00009115,WBGene00009115,History: N.A.
WBGene00015237,,WBGene00015237,WBGene00015237,History: N.A.
WBGene00019628,,WBGene00019628,WBGene00019628,History: N.A.
WBGene00015130,,WBGene00015130,WBGene00015130,History: N.A.
WBGene00016311,,WBGene00016311,WBGene00016311,History: N.A.
WBGene00016792,,WBGene00016792,WBGene00016792,History: N.A.
WBGene00010840,,WBGene00010840,WBGene00010840,History: N.A.
WBGene00001038,,WBGene00001038,WBGene00001038,History: N.A.
WBGene00020259,,WBGene00020259,WBGene00020259,History: N.A.
WBGene00002072,,WBGene00002072,WBGene00002072,History: N.A.
WBGene00004147,,WBGene00004147,WBGene00004147,History: Renamed on 2006-12-05; Renamed on 2008-04-18
WBGene00001565,,WBGene00001565,WBGene00001565,History: N.A.
WBGene00022452,,WBGene00022452,WBGene00022452,History: N.A.
WBGene00011625,,WBGene00011625,WBGene00011625,History: N.A.
WBGene00010712,,WBGene00010712,WBGene00010712,History: N.A.
WBGene00007914,,WBGene00007914,WBGene00007914,History: N.A.
WBGene00009404,,WBGene00009404,WBGene00009404,History: N.A.
WBGene00021056,,WBGene00021056,WBGene00021056,History: N.A.
WBGene00018908,,WBGene00018908,WBGene00018908,History: N.A.
WBGene00016421,,WBGene00016421,WBGene00016421,History: N.A.
WBGene00001538,,WBGene00001538,WBGene00001538,History: N.A.
WBGene00022888,,WBGene00022888,WBGene00022888,History: N.A.
WBGene00020553,,WBGene00020553,WBGene00020553,History: N.A.
WBGene00020761,,WBGene00020761,WBGene00020761,History: Renamed on 2005-03-17
WBGene00011044,,WBGene00011044,WBGene00011044,History: N.A.
WBGene00021539,,WBGene00021539,WBGene00021539,History: N.A.
WBGene00015641,,WBGene00015641,WBGene00015641,History: N.A.
WBGene00013668,,WBGene00013668,WBGene00013668,History: N.A.
WBGene00000866,,WBGene00000866,WBGene00000866,History: N.A.
WBGene00007720,,WBGene00007720,WBGene00007720,History: N.A.
WBGene00003864,,WBGene00003864,WBGene00003864,History: N.A.
WBGene00016381,,WBGene00016381,WBGene00016381,History: N.A.
WBGene00008140,,WBGene00008140,WBGene00008140,History: Renamed on 2013-10-11; Renamed on 2015-07-01
WBGene00021035,,WBGene00021035,WBGene00021035,History: N.A.
WBGene00013742,,WBGene00013742,WBGene00013742,History: N.A.
WBGene00018509,,WBGene00018509,WBGene00018509,History: N.A.
WBGene00018902,,WBGene00018902,WBGene00018902,History: N.A.
WBGene00012020,,WBGene00012020,WBGene00012020,History: N.A.
WBGene00008339,,WBGene00008339,WBGene00008339,History: N.A.
WBGene00006946,,WBGene00006946,WBGene00006946,History: Renamed on 2010-01-29; Renamed on 2010-07-26
WBGene00011143,,WBGene00011143,WBGene00011143,History: N.A.
WBGene00013011,,WBGene00013011,WBGene00013011,History: N.A.
WBGene00008546,,WBGene00008546,WBGene00008546,History: N.A.
WBGene00007637,,WBGene00007637,WBGene00007637,History: N.A.
WBGene00018678,,WBGene00018678,WBGene00018678,History: N.A.
WBGene00007980,,WBGene00007980,WBGene00007980,History: N.A.
WBGene00001056,,WBGene00001056,WBGene00001056,History: N.A.
WBGene00011489,,WBGene00011489,WBGene00011489,History: N.A.
WBGene00012369,,WBGene00012369,WBGene00012369,History: N.A.
WBGene00021200,,WBGene00021200,WBGene00021200,History: N.A.
WBGene00001574,,WBGene00001574,WBGene00001574,History: N.A.
WBGene00000254,,WBGene00000254,WBGene00000254,History: N.A.
WBGene00015807,,WBGene00015807,WBGene00015807,History: N.A.
WBGene00007698,,WBGene00007698,WBGene00007698,History: N.A.
WBGene00014098,,WBGene00014098,WBGene00014098,History: N.A.
WBGene00006562,,WBGene00006562,WBGene00006562,History: N.A.
WBGene00010036,,WBGene00010036,WBGene00010036,History: N.A.
WBGene00006483,,WBGene00006483,WBGene00006483,History: Renamed on 2007-08-01
WBGene00022393,,WBGene00022393,WBGene00022393,History: N.A.
WBGene00006804,,WBGene00006804,WBGene00006804,"History: Split into Y37D8A.29(WBGene00303086). History of WBGene00006804: Split into ""WBGene00303086"" on 2018-03-02"
WBGene00006443,,WBGene00006443,WBGene00006443,History: Renamed on 2005-09-08; Renamed on 2006-12-04
WBGene00008686,,WBGene00008686,WBGene00008686,History: N.A.
WBGene00022580,,WBGene00022580,WBGene00022580,History: N.A.
WBGene00006406,,WBGene00006406,WBGene00006406,History: N.A.
WBGene00003562,,WBGene00003562,WBGene00003562,History: N.A.
WBGene00004086,,WBGene00004086,WBGene00004086,History: N.A.
WBGene00010354,,WBGene00010354,WBGene00010354,History: N.A.
WBGene00045357,,WBGene00045357,WBGene00045357,History: N.A.
WBGene00001648,,WBGene00001648,WBGene00001648,History: Renamed on 2017-04-06
WBGene00010080,,WBGene00010080,WBGene00010080,History: N.A.
WBGene00013687,,WBGene00013687,WBGene00013687,History: N.A.
WBGene00004752,,WBGene00004752,WBGene00004752,History: N.A.
WBGene00000101,,WBGene00000101,WBGene00000101,History: N.A.
WBGene00005019,,WBGene00005019,WBGene00005019,History: N.A.
WBGene00010284,,WBGene00010284,WBGene00010284,History: N.A.
WBGene00011511,,WBGene00011511,WBGene00011511,History: N.A.
WBGene00003026,,WBGene00003026,WBGene00003026,History: Renamed on 2005-08-24
WBGene00018974,,WBGene00018974,WBGene00018974,History: N.A.
WBGene00002186,,WBGene00002186,WBGene00002186,History: N.A.
WBGene00011304,,WBGene00011304,WBGene00011304,History: N.A.
WBGene00009441,,WBGene00009441,WBGene00009441,History: N.A.
WBGene00017372,,WBGene00017372,WBGene00017372,History: N.A.
WBGene00012934,,WBGene00012934,WBGene00012934,History: Renamed on 2005-09-28
WBGene00006349,,WBGene00006349,WBGene00006349,History: N.A.
WBGene00022880,,WBGene00022880,WBGene00022880,History: N.A.
WBGene00016409,,WBGene00016409,WBGene00016409,History: N.A.
WBGene00021756,,WBGene00021756,WBGene00021756,History: N.A.
WBGene00021924,,WBGene00021924,WBGene00002278,"History: Merged into ""WBGene00002278"" on 2017-01-27. Remark: All name identifiers for this gene were either transferred or lost when the gene was merged."
WBGene00008136,,WBGene00008136,WBGene00008136,History: N.A.
WBGene00001324,,WBGene00001324,WBGene00001324,History: N.A.
WBGene00000090,,WBGene00000090,WBGene00000090,History: N.A.
WBGene00019842,,WBGene00019842,WBGene00019842,History: N.A.
WBGene00003231,,WBGene00003231,WBGene00003231,History: N.A.
WBGene00021474,,WBGene00021474,WBGene00021474,History: N.A.
WBGene00021316,,WBGene00021316,WBGene00021316,History: N.A.
WBGene00011030,,WBGene00011030,WBGene00011030,History: N.A.
WBGene00000537,,WBGene00000537,WBGene00000537,History: N.A.
WBGene00011503,,WBGene00011503,WBGene00011503,History: N.A.
WBGene00013681,,WBGene00013681,WBGene00013682,"History: Merged into ""WBGene00013682"" on 2014-10-09"
WBGene00020022,,WBGene00020022,WBGene00020022,History: N.A.
WBGene00006916,,WBGene00006916,WBGene00006916,History: N.A.
WBGene00021689,,WBGene00021689,WBGene00021689,History: N.A.
WBGene00003196,,WBGene00003196,WBGene00003196,History: N.A.
WBGene00022750,,WBGene00022750,WBGene00022750,History: N.A.
WBGene00004978,,WBGene00004978,WBGene00004978,History: Renamed on 2005-03-17; Renamed on 2015-03-05
WBGene00021444,,WBGene00021444,WBGene00021444,History: N.A.
WBGene00019831,,WBGene00019831,WBGene00019831,History: N.A.
WBGene00018319,,WBGene00018319,WBGene00018319,History: Renamed on 2012-04-12
WBGene00018721,,WBGene00018721,WBGene00018721,History: N.A.
WBGene00018948,,WBGene00018948,WBGene00018948,History: N.A.
WBGene00000867,,WBGene00000867,WBGene00000867,History: N.A.
WBGene00008172,,WBGene00008172,WBGene00008172,History: N.A.
WBGene00004063,,WBGene00004063,WBGene00004063,History: N.A.
WBGene00005077,,WBGene00005077,WBGene00005077,History: N.A.
WBGene00005006,,WBGene00005006,WBGene00005006,History: Renamed on 2007-02-07
WBGene00022589,,WBGene00022589,WBGene00022589,History: N.A.
WBGene00008684,,WBGene00008684,WBGene00008684,History: N.A.
WBGene00000913,,WBGene00000913,WBGene00000913,History: N.A.
WBGene00020274,,WBGene00020274,WBGene00020274,History: N.A.
WBGene00015765,,WBGene00015765,WBGene00015765,History: N.A.
WBGene00014015,,WBGene00014015,WBGene00014015,History: N.A.
WBGene00007797,,WBGene00007797,WBGene00007797,History: N.A.
WBGene00015513,,WBGene00015513,WBGene00015513,History: N.A.
WBGene00010641,,WBGene00010641,WBGene00010641,History: N.A.
WBGene00021443,,WBGene00021443,WBGene00021443,History: N.A.
WBGene00009456,,WBGene00009456,WBGene00009456,History: N.A.
WBGene00021652,,WBGene00021652,WBGene00003060,"History: Merged into ""WBGene00003060"" on 2014-09-03"
WBGene00019334,,WBGene00019334,WBGene00019334,History: N.A.
WBGene00007622,,WBGene00007622,WBGene00007622,History: N.A.
WBGene00006934,,WBGene00006934,WBGene00006934,History: N.A.
WBGene00044689,,WBGene00044689,WBGene00044689,History: N.A.
WBGene00013545,,WBGene00013545,WBGene00013545,History: N.A.
WBGene00011807,,WBGene00011807,WBGene00011807,History: N.A.
WBGene00013196,,WBGene00013196,WBGene00013196,History: N.A.
WBGene00008218,,WBGene00008218,WBGene00008218,History: N.A.
WBGene00002212,,WBGene00002212,WBGene00002212,History: N.A.
WBGene00010687,,WBGene00010687,WBGene00010687,History: N.A.
WBGene00004117,,WBGene00004117,WBGene00004117,History: Renamed on 2007-06-21
WBGene00007586,,WBGene00007586,WBGene00007586,"History: Split into C14C10.10(WBGene00303041). History of WBGene00007586: Split into ""WBGene00303041"" on 2018-03-02"
WBGene00017328,,WBGene00017328,WBGene00017328,History: N.A.
WBGene00022296,,WBGene00022296,WBGene00022296,History: N.A.
WBGene00015312,,WBGene00015312,WBGene00015312,History: N.A.
WBGene00001607,,WBGene00001607,WBGene00001607,History: N.A.
WBGene00011994,,WBGene00011994,WBGene00011994,History: N.A.
WBGene00002240,,WBGene00002240,WBGene00002240,History: N.A.
WBGene00016632,,WBGene00016632,WBGene00016632,History: N.A.
WBGene00015310,,WBGene00015310,WBGene00015310,History: N.A.
WBGene00004028,,WBGene00004028,WBGene00004028,History: N.A.
WBGene00004064,,WBGene00004064,WBGene00004064,"History: Split into H12C20.7(WBGene00305173). History of WBGene00004064: Split into ""WBGene00305173"" on 2019-11-21"
WBGene00021363,,WBGene00021363,WBGene00021363,History: N.A.
WBGene00004975,,WBGene00004975,WBGene00004975,History: N.A.
WBGene00002717,,WBGene00002717,WBGene00002717,History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04
WBGene00011988,,WBGene00011988,WBGene00011988,History: N.A.
WBGene00022882,,WBGene00022882,WBGene00022882,History: N.A.
WBGene00004078,,WBGene00004078,WBGene00004078,History: N.A.
WBGene00007428,,WBGene00007428,WBGene00007428,"History: Split into C08B6.18(WBGene00303036). History of WBGene00007428: Renamed on 2013-07-04; Split into ""WBGene00303036"" on 2018-03-02"
WBGene00004767,,WBGene00004767,WBGene00004767,History: N.A.
WBGene00021914,,WBGene00021914,WBGene00021914,History: Renamed on 2012-02-07; Renamed on 2021-09-06
WBGene00015581,,WBGene00015581,WBGene00015581,History: N.A.
WBGene00000419,,WBGene00000419,WBGene00000419,History: N.A.
WBGene00006450,,WBGene00006450,WBGene00006450,History: N.A.
WBGene00000548,,WBGene00000548,WBGene00000548,History: N.A.
WBGene00004047,,WBGene00004047,WBGene00004047,History: N.A.
WBGene00004319,,WBGene00004319,WBGene00004319,History: N.A.
WBGene00006638,,WBGene00006638,WBGene00006638,History: N.A.
WBGene00010198,,WBGene00010198,WBGene00010198,History: N.A.
WBGene00013193,,WBGene00013193,WBGene00013193,History: N.A.
WBGene00016739,,WBGene00016739,WBGene00016739,History: Renamed on 2016-08-03
WBGene00009203,,WBGene00009203,WBGene00009203,History: N.A.
WBGene00008274,,WBGene00008274,WBGene00008274,History: Renamed on 2020-01-28
WBGene00008480,,WBGene00008480,WBGene00008480,History: N.A.
WBGene00007556,,WBGene00007556,WBGene00007556,History: N.A.
