gene_id,class,description,hrde-1 input,wago-1 input,HRDE-1 IP,WAGO-1 IP,HRDE-1 IP/input,WAGO-1 IP/input,IP Enrichment,Input,Suggested Match,History
F46C3.4,wago,,8.99,24.51,27.7,16.99,3.08,0.69,HRDE-1,F46C3.4,WBGene00044702,Public name for WBGene00044702. History: N.A.
F12A10.2,wago,,43.72,118.02,132.84,48.86,3.04,0.41,HRDE-1,F12A10.2,WBGene00017391,Public name for WBGene00017391. History: N.A.
F19B6.3,wago,,59.15,143.83,177.19,37.04,3.0,0.26,HRDE-1,F19B6.3,WBGene00008949,Public name for WBGene00008949. History: N.A.
K09E3.7,wago,,33.19,84.83,99.15,132.37,2.99,1.56,HRDE-1/WAGO-1,K09E3.7,WBGene00019578,Public name for WBGene00019578. History: N.A.
B0457.3,wago,,41.57,99.86,124.47,36.87,2.99,0.37,HRDE-1,B0457.3,WBGene00014660,Public name for WBGene00014660. History: N.A.
C15F1.8,wago,,50.21,130.28,149.67,96.73,2.98,0.74,HRDE-1,C15F1.8,WBGene00015797,Public name for WBGene00015797. History: N.A.
C31H5.4,wago,,8.27,19.09,24.46,7.65,2.96,0.4,HRDE-1,C31H5.4,WBGene00007855,Public name for WBGene00007855. History: N.A.
C33A12.7,wago,ethe-1,14.16,35.5,41.7,32.12,2.95,0.9,HRDE-1,C33A12.7,WBGene00007886,Sequence name for WBGene00007886(ethe-1). History: N.A.
C06H2.7,wago,,9.93,26.81,29.19,30.31,2.94,1.13,HRDE-1,C06H2.7,WBGene00007391,Public name for WBGene00007391. History: N.A.
ZC204.14,wago,,13.22,40.47,38.44,98.26,2.91,2.43,HRDE-1/WAGO-1,ZC204.14,WBGene00022564,Public name for WBGene00022564. History: N.A.
C16A11.6,wago,fbxc-44,56.95,145.28,164.75,146.54,2.89,1.01,HRDE-1,C16A11.6,WBGene00015819,"Sequence name for WBGene00015819(fbxc-44). History: Split into fbxc-43(WBGene00045297). History of WBGene00015819: Split into ""WBGene00045297"" on 2007-02-28"
C33D9.13,wago,,6.72,17.38,19.33,18.43,2.88,1.06,HRDE-1,C33D9.13,WBGene00194651,Public name for WBGene00194651. History: N.A.
C43H6.1,wago,,4.46,12.53,12.81,18.34,2.87,1.46,HRDE-1/WAGO-1,C43H6.1,WBGene00016614,"Sequence name for WBGene00016614(trpp-12). History: Split into C43H6.12(WBGene00303045). History of WBGene00016614: Split into ""WBGene00303045"" on 2018-03-02"
C07D10.5,wago,,20.73,47.51,59.48,43.81,2.87,0.92,HRDE-1,C07D10.5,WBGene00015569,Public name for WBGene00015569. History: N.A.
R05G9.3,wago,,16.95,41.24,48.61,12.23,2.87,0.3,HRDE-1,R05G9.3,WBGene00019905,Public name for WBGene00019905. History: N.A.
F17E9.12,wago,his-31,16.11,36.44,45.76,29.47,2.84,0.81,HRDE-1,F17E9.12,WBGene00001905,Sequence name for WBGene00001905(his-31). History: N.A.
B0212.3,wago,,90.32,227.74,256.82,106.76,2.84,0.47,HRDE-1,B0212.3,WBGene00015037,Public name for WBGene00015037. History: N.A.
C33D9.5,wago,,5.41,12.98,15.3,23.07,2.83,1.78,HRDE-1/WAGO-1,C33D9.5,WBGene00007899,Public name for WBGene00007899. History: N.A.
K01G12.3,wago,,32.27,76.71,91.16,40.42,2.83,0.53,HRDE-1,K01G12.3,WBGene00010483,Public name for WBGene00010483. History: N.A.
ZK637.6,wago,,109.23,279.79,306.7,294.06,2.81,1.05,HRDE-1,ZK637.6,WBGene00014987,Public name for WBGene00014987. History: N.A.
C04G6.6,wago,,65.54,204.39,182.85,472.66,2.79,2.31,HRDE-1/WAGO-1,C04G6.6,WBGene00015456,Public name for WBGene00015456. History: N.A.
2L52.1,wago,,10.91,27.97,30.34,38.26,2.78,1.37,HRDE-1/WAGO-1,2L52.1,WBGene00007063,Public name for WBGene00007063. History: N.A.
F40F4.7,wago,,48.53,127.76,135.03,148.78,2.78,1.16,HRDE-1,F40F4.7,WBGene00018238,Public name for WBGene00018238. History: N.A.
B0272.3,wago,,16.24,41.76,45.19,46.24,2.78,1.11,HRDE-1,B0272.3,WBGene00007129,Public name for WBGene00007129. History: N.A.
Y55H10B.1,wago,,30.58,98.8,84.65,236.48,2.77,2.39,HRDE-1/WAGO-1,Y55H10B.1,,Sequence name for Suppressed gene WBGene00021954. Molecular name for Suppressed gene WBGene00021954. Public name for Suppressed gene WBGene00021954. History of WBGene00021954: Suppressed on 2007-01-05. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F54D11.3,wago,,32.06,78.46,88.9,27.55,2.77,0.35,HRDE-1,F54D11.3,WBGene00018813,Public name for WBGene00018813. History: N.A.
C33D9.6,wago,,33.01,78.94,91.0,82.66,2.76,1.05,HRDE-1,C33D9.6,WBGene00007900,Public name for WBGene00007900. History: N.A.
B0564.11,wago,,229.57,563.52,633.97,523.6,2.76,0.93,HRDE-1,B0564.11,WBGene00023421,Sequence name for WBGene00023421(rde-11). History: N.A.
ZC53.1,wago,,37.65,92.07,103.66,78.25,2.75,0.85,HRDE-1,ZC53.1,WBGene00022508,Public name for WBGene00022508. History: N.A.
F12E12.1,wago,,16.68,38.86,45.81,22.88,2.75,0.59,HRDE-1,F12E12.1,WBGene00017402,Public name for WBGene00017402. History: N.A.
C18H2.2,wago,,173.75,447.39,476.43,355.93,2.74,0.8,HRDE-1,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
F18A12.7,wago,,46.39,117.46,126.48,139.55,2.73,1.19,HRDE-1,F18A12.7,WBGene00017556,Public name for WBGene00017556. History: N.A.
W02A11.8,wago,bath-35,10.41,27.78,28.34,104.23,2.72,3.75,HRDE-1/WAGO-1,W02A11.8,WBGene00012196,Sequence name for WBGene00012196(bath-35). History: N.A.
T16A9.1,wago,,36.25,116.53,98.47,280.17,2.72,2.4,HRDE-1/WAGO-1,T16A9.1,,Sequence name for Suppressed gene WBGene00011792. Molecular name for Suppressed gene WBGene00011792. Public name for Suppressed gene WBGene00011792. History of WBGene00011792: Killed on 2006-10-31; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK1053.4,wago,,17.49,40.91,47.5,31.63,2.72,0.77,HRDE-1,ZK1053.4,WBGene00014199,Public name for WBGene00014199. History: N.A.
Y20C6A.2,wago,fbxb-7,58.3,139.96,156.36,67.79,2.68,0.48,HRDE-1,Y20C6A.2,WBGene00012492,Sequence name for WBGene00012492(fbxb-7). History: N.A.
K10B4.6,wago,cwn-1,10.41,27.83,27.74,41.26,2.67,1.48,HRDE-1/WAGO-1,K10B4.6,WBGene00000857,Sequence name for WBGene00000857(cwn-1). History: N.A.
C34C12.12,wago,,46.15,112.83,122.65,103.25,2.66,0.92,HRDE-1,C34C12.12,WBGene00219295,Public name for WBGene00219295. History: N.A.
Y102A5C.3,wago,,35.94,106.91,94.97,265.08,2.64,2.48,HRDE-1/WAGO-1,Y102A5C.3,WBGene00013612,Sequence name for WBGene00013612(fbxa-207). History: N.A.
C46E10.4,wago,fbxc-52,17.07,40.8,45.03,45.08,2.64,1.1,HRDE-1,C46E10.4,WBGene00016710,Sequence name for WBGene00016710(fbxc-52). History: N.A.
D2005.3,wago,,52.69,121.04,138.36,91.35,2.63,0.75,HRDE-1,D2005.3,WBGene00008398,Public name for WBGene00008398. History: N.A.
T02C1.1,wago,,22.24,48.85,58.47,35.91,2.63,0.74,HRDE-1,T02C1.1,WBGene00011365,Public name for WBGene00011365. History: N.A.
B0391.8,wago,,8.61,24.18,22.57,64.31,2.62,2.66,HRDE-1/WAGO-1,B0391.8,WBGene00014643,Public name for WBGene00014643. History: N.A.
K06B9.2,csr,,294.72,715.88,771.95,669.09,2.62,0.93,HRDE-1,K06B9.2,WBGene00019439,Public name for WBGene00019439. History: N.A.
K06B9.2,wago,,294.72,715.88,771.95,669.09,2.62,0.93,HRDE-1,K06B9.2,WBGene00019439,Public name for WBGene00019439. History: N.A.
K07E3.2,wago,,109.64,259.67,286.82,240.28,2.62,0.93,HRDE-1,K07E3.2,WBGene00019491,Public name for WBGene00019491. History: N.A.
D2089.3,wago,,9.15,18.84,23.98,13.44,2.62,0.71,HRDE-1,D2089.3,WBGene00008434,"Public name for WBGene00008434. History: Split into D2089.8(WBGene00271706). History of WBGene00008434: Split into ""WBGene00271706"" on 2017-04-28"
C45H4.14,wago,,13.39,30.28,34.94,33.67,2.61,1.11,HRDE-1,C45H4.14,WBGene00016695,Public name for WBGene00016695. History: N.A.
W04A8.2,wago,,253.37,689.92,658.18,1786.09,2.6,2.59,HRDE-1/WAGO-1,W04A8.2,WBGene00012237,Public name for WBGene00012237. History: N.A.
ZK177.2,wago,,26.0,61.52,67.35,40.28,2.59,0.65,HRDE-1,ZK177.2,WBGene00022670,Public name for WBGene00022670. History: N.A.
T03D3.5,wago,,119.71,334.44,308.3,944.07,2.58,2.82,HRDE-1/WAGO-1,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
F37B1.5,wago,gst-16,25.59,59.8,66.12,49.04,2.58,0.82,HRDE-1,F37B1.5,WBGene00001764,Sequence name for WBGene00001764(gst-16). History: N.A.
Y53F4B.38,wago,,37.38,73.17,96.42,16.32,2.58,0.22,HRDE-1,Y53F4B.38,WBGene00014920,Public name for WBGene00014920. History: N.A.
T02G6.5,wago,,10.65,25.69,27.25,44.52,2.56,1.73,HRDE-1/WAGO-1,T02G6.5,WBGene00011388,Public name for WBGene00011388. History: N.A.
F59A3.9,wago,pup-3,40.62,102.51,104.04,96.99,2.56,0.95,HRDE-1,F59A3.9,WBGene00019082,Sequence name for WBGene00019082(pup-3). History: N.A.
F45D11.9,wago,fbxc-42,37.97,88.48,97.17,74.95,2.56,0.85,HRDE-1,F45D11.9,WBGene00018455,Sequence name for WBGene00018455(fbxc-42). History: N.A.
F19B2.1,wago,,16.38,40.35,41.7,64.03,2.55,1.59,HRDE-1/WAGO-1,F19B2.1,WBGene00008941,"Sequence name for WBGene00008941(srz-33). History: Split into F19B2.10(WBGene00043055). History of WBGene00008941: Split into ""WBGene00043055"" on 2004-09-13"
K09D9.12,wago,,17.66,39.01,45.11,21.25,2.55,0.54,HRDE-1,K09D9.12,WBGene00019569,Public name for WBGene00019569. History: N.A.
F57G4.3,wago,,18.74,55.79,47.63,130.35,2.54,2.34,HRDE-1/WAGO-1,F57G4.3,,Sequence name for Suppressed gene WBGene00010208. Molecular name for Suppressed gene WBGene00010208. Public name for Suppressed gene WBGene00010208. History of WBGene00010208: Killed on 2006-10-31; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C52A10.3,wago,,5.57,12.84,14.17,11.27,2.54,0.88,HRDE-1,C52A10.3,WBGene00016864,Public name for WBGene00016864. History: N.A.
C17G1.8,wago,tsp-21,10.74,21.93,27.25,17.38,2.54,0.79,HRDE-1,C17G1.8,WBGene00023491,Sequence name for WBGene00023491(tsp-21). History: N.A.
K09E3.6,wago,,16.89,35.72,42.78,35.4,2.53,0.99,HRDE-1,K09E3.6,WBGene00019577,Sequence name for WBGene00019577(lido-6). History: N.A.
Y22D7AR.11,wago,fbxa-13,27.58,61.54,69.92,54.92,2.53,0.89,HRDE-1,Y22D7AR.11,WBGene00021264,Sequence name for WBGene00021264(fbxa-13). History: N.A.
Y54G2A.51,wago,,69.13,200.06,174.47,503.89,2.52,2.52,HRDE-1/WAGO-1,Y54G2A.51,,Sequence name for Suppressed gene WBGene00045166. Molecular name for Suppressed gene WBGene00045166. Public name for Suppressed gene WBGene00045166. History of WBGene00045166: Suppressed on 2007-01-05. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y71A12B.7,wago,,64.0,183.58,161.24,453.16,2.52,2.47,HRDE-1/WAGO-1,Y71A12B.7,,Sequence name for Suppressed gene WBGene00013504. Molecular name for Suppressed gene WBGene00013504. Public name for Suppressed gene WBGene00013504. History of WBGene00013504: Killed on 2006-10-31; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T11F9.11,wago,dhs-19,7.4,13.13,18.63,19.91,2.52,1.52,HRDE-1/WAGO-1,T11F9.11,WBGene00000982,Sequence name for WBGene00000982(dhs-19). History: N.A.
T24E12.11,wago,,110.92,237.61,279.83,285.95,2.52,1.2,HRDE-1,T24E12.11,WBGene00020778,Public name for WBGene00020778. History: N.A.
R06C1.4,wago,,33.22,113.73,83.31,428.84,2.51,3.77,HRDE-1/WAGO-1,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
Y116A8C.22,wago,athp-3,108.62,231.61,270.37,283.71,2.49,1.22,HRDE-1,Y116A8C.22,WBGene00013799,Sequence name for WBGene00013799(athp-3). History: N.A.
C15C7.2,wago,klp-8,128.91,278.72,320.44,288.6,2.49,1.04,HRDE-1,C15C7.2,WBGene00002220,Sequence name for WBGene00002220(gcc-1). History: Renamed on 2015-03-25
T27E9.3,wago,cdk-5,37.47,78.53,93.41,66.41,2.49,0.85,HRDE-1,T27E9.3,WBGene00000407,Sequence name for WBGene00000407(cdk-5). History: N.A.
C09E7.4,wago,,43.0,92.48,107.03,66.81,2.49,0.72,HRDE-1,C09E7.4,WBGene00015638,Public name for WBGene00015638. History: N.A.
Y116A8C.38,wago,,113.81,248.48,283.78,154.96,2.49,0.62,HRDE-1,Y116A8C.38,WBGene00013811,Public name for WBGene00013811. History: N.A.
T11G6.7,wago,,40.15,92.7,99.85,41.83,2.49,0.45,HRDE-1,T11G6.7,WBGene00011721,Public name for WBGene00011721. History: N.A.
C11H1.4,wago,prx-1,61.48,124.88,153.06,48.7,2.49,0.39,HRDE-1,C11H1.4,WBGene00004191,Sequence name for WBGene00004191(prx-1). History: N.A.
Y37E11AR.5,wago,ugt-45,6.07,13.28,15.06,27.97,2.48,2.11,HRDE-1/WAGO-1,Y37E11AR.5,WBGene00021372,Sequence name for WBGene00021372(ugt-45). History: N.A.
ZC504.3,wago,,47.46,112.84,117.48,178.61,2.48,1.58,HRDE-1/WAGO-1,ZC504.3,WBGene00013917,Sequence name for WBGene00013917(cdk-11.2). History: N.A.
F53H8.4,wago,sms-2,8.27,18.2,20.42,43.68,2.47,2.4,HRDE-1/WAGO-1,F53H8.4,WBGene00004893,Sequence name for WBGene00004893(sms-2). History: N.A.
F13C5.1,wago,,74.34,166.28,183.55,297.76,2.47,1.79,HRDE-1/WAGO-1,F13C5.1,WBGene00017422,Public name for WBGene00017422. History: N.A.
C47D12.4,wago,,7.88,16.78,19.46,15.24,2.47,0.91,HRDE-1,C47D12.4,WBGene00008138,Public name for WBGene00008138. History: N.A.
C10F3.5,wago,pcm-1,12.97,27.86,32.01,21.2,2.47,0.76,HRDE-1,C10F3.5,WBGene00003954,Sequence name for WBGene00003954(pcm-1). History: N.A.
T27A1.2,wago,,6.63,14.23,16.36,10.86,2.47,0.76,HRDE-1,T27A1.2,WBGene00020834,Public name for WBGene00020834. History: N.A.
Y56A3A.18,wago,,167.3,371.33,411.79,441.59,2.46,1.19,HRDE-1,Y56A3A.18,WBGene00013236,Sequence name for WBGene00013236(znf-593). History: N.A.
T22B7.4,wago,,62.89,135.24,154.46,156.48,2.46,1.16,HRDE-1,T22B7.4,WBGene00020673,Public name for WBGene00020673. History: N.A.
M01D1.3,wago,btb-11,10.76,25.02,26.52,23.87,2.46,0.95,HRDE-1,M01D1.3,WBGene00019700,Sequence name for WBGene00019700(btb-11). History: N.A.
Y116A8C.48,wago,,14.16,32.74,34.86,11.23,2.46,0.34,HRDE-1,Y116A8C.48,WBGene00045043,Public name for WBGene00045043. History: N.A.
C18B12.5,wago,fbxa-97,61.31,136.89,150.18,133.91,2.45,0.98,HRDE-1,C18B12.5,WBGene00007667,Sequence name for WBGene00007667(fbxa-97). History: N.A.
T10C6.8,wago,,9.83,21.63,24.13,18.31,2.45,0.85,HRDE-1,T10C6.8,WBGene00014516,Sequence name for WBGene00014516(hpo-42). History: N.A.
ZK945.4,wago,,44.9,95.92,110.21,35.13,2.45,0.37,HRDE-1,ZK945.4,WBGene00014166,Public name for WBGene00014166. History: N.A.
F22H10.1,wago,,73.81,149.98,180.45,56.13,2.44,0.37,HRDE-1,F22H10.1,WBGene00017725,Public name for WBGene00017725. History: N.A.
C27C12.1,wago,,34.73,76.22,84.4,92.33,2.43,1.21,HRDE-1,C27C12.1,WBGene00007771,Public name for WBGene00007771. History: N.A.
F11C3.1,wago,,47.1,105.74,114.6,100.16,2.43,0.95,HRDE-1,F11C3.1,WBGene00008695,Public name for WBGene00008695. History: N.A.
F34H10.3,wago,,76.48,165.19,184.95,254.04,2.42,1.54,HRDE-1/WAGO-1,F34H10.3,WBGene00009380,Public name for WBGene00009380. History: N.A.
Y73B6BL.14,wago,,10.59,22.75,25.62,12.13,2.42,0.53,HRDE-1,Y73B6BL.14,WBGene00022237,Public name for WBGene00022237. History: N.A.
R11A8.1,wago,,310.88,694.86,747.8,863.62,2.41,1.24,HRDE-1,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
C48D1.1,wago,,9.41,17.99,22.64,20.67,2.41,1.15,HRDE-1,C48D1.1,WBGene00008177,Public name for WBGene00008177. History: N.A.
F35C8.8,wago,,13.03,30.58,31.41,31.12,2.41,1.02,HRDE-1,F35C8.8,WBGene00018038,Public name for WBGene00018038. History: N.A.
Y116A8A.2,wago,,10.12,19.81,24.43,16.04,2.41,0.81,HRDE-1,Y116A8A.2,WBGene00013773,Public name for WBGene00013773. History: N.A.
Y71H2B.11,wago,,128.17,274.53,309.11,221.45,2.41,0.81,HRDE-1,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
M57.1,wago,,32.37,72.28,78.08,49.21,2.41,0.68,HRDE-1,M57.1,WBGene00019777,Public name for WBGene00019777. History: N.A.
F55A12.1,wago,wago-2,198.09,410.01,475.17,376.36,2.4,0.92,HRDE-1,F55A12.1,WBGene00018862,Sequence name for WBGene00018862(wago-2). History: N.A.
Y37B11A.3,wago,,41.98,91.57,100.93,77.8,2.4,0.85,HRDE-1,Y37B11A.3,WBGene00021345,"Public name for WBGene00021345. History: Split into Y37B11A.8(WBGene00255596). History of WBGene00021345: Split into ""WBGene00255596"" on 2014-09-18"
C49A9.9,wago,,12.89,32.04,30.83,65.38,2.39,2.04,HRDE-1/WAGO-1,C49A9.9,WBGene00016763,Public name for WBGene00016763. History: N.A.
Y34B4A.2,wago,,21.35,43.7,51.09,36.13,2.39,0.83,HRDE-1,Y34B4A.2,WBGene00021319,Public name for WBGene00021319. History: N.A.
C07A9.13,wago,,39.02,83.43,93.31,34.35,2.39,0.41,HRDE-1,C07A9.13,WBGene00044227,Public name for WBGene00044227. History: N.A.
F57G4.2,wago,,37.93,100.99,89.86,277.38,2.37,2.75,HRDE-1/WAGO-1,F57G4.2,,Sequence name for Suppressed gene WBGene00010207. Molecular name for Suppressed gene WBGene00010207. Public name for Suppressed gene WBGene00010207. History of WBGene00010207: Killed on 2006-10-31; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K09H9.7,wago,,153.85,331.91,364.1,695.72,2.37,2.1,HRDE-1/WAGO-1,K09H9.7,WBGene00019598,Public name for WBGene00019598. History: N.A.
C34F6.7,wago,,94.92,203.9,224.78,248.17,2.37,1.22,HRDE-1,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
F44F1.5,wago,,14.36,27.0,34.09,32.29,2.37,1.2,HRDE-1,F44F1.5,WBGene00009697,Public name for WBGene00009697. History: N.A.
M04D5.1,wago,,15.74,29.06,36.97,31.4,2.35,1.08,HRDE-1,M04D5.1,WBGene00014807,Public name for WBGene00014807. History: N.A.
C07E3.6,wago,ceh-58,10.35,22.3,24.3,23.81,2.35,1.07,HRDE-1,C07E3.6,WBGene00007417,Sequence name for WBGene00007417(ceh-58). History: N.A.
K02B7.3,wago,,36.7,69.88,86.19,46.4,2.35,0.66,HRDE-1,K02B7.3,WBGene00010491,Public name for WBGene00010491. History: N.A.
C32B5.1,wago,fbxc-40,10.69,23.53,25.07,38.27,2.34,1.63,HRDE-1/WAGO-1,C32B5.1,WBGene00016295,Sequence name for WBGene00016295(fbxc-40). History: N.A.
C05E11.1,wago,lnp-1,70.3,150.73,164.76,182.99,2.34,1.21,HRDE-1,C05E11.1,WBGene00015492,Sequence name for WBGene00015492(lnp-1). History: N.A.
C10F3.4,wago,mcp-1,13.92,28.05,32.53,20.8,2.34,0.74,HRDE-1,C10F3.4,WBGene00015678,Sequence name for WBGene00015678(mcp-1). History: N.A.
K08F11.6,wago,,92.49,184.95,216.56,130.4,2.34,0.71,HRDE-1,K08F11.6,WBGene00023323,Public name for WBGene00023323. History: N.A.
Y47H9C.15,wago,,37.1,73.28,86.79,40.3,2.34,0.55,HRDE-1,Y47H9C.15,WBGene00000821,"Public name for Dead gene WBGene00012957. History of WBGene00012957: Merged into ""WBGene00000821"" on 2016-04-19"
T02G5.4,wago,,457.48,1044.08,1063.85,1549.16,2.33,1.48,HRDE-1/WAGO-1,T02G5.4,WBGene00020164,Public name for WBGene00020164. History: N.A.
C34C12.5,wago,rsu-1,48.0,93.15,111.81,124.15,2.33,1.33,HRDE-1/WAGO-1,C34C12.5,WBGene00007924,Sequence name for WBGene00007924(rsu-1). History: N.A.
K03A1.5,wago,sur-5,32.65,73.95,76.01,74.25,2.33,1.0,HRDE-1,K03A1.5,WBGene00006351,Sequence name for WBGene00006351(sur-5). History: N.A.
T28H11.4,wago,pes-1,69.15,137.93,161.39,77.66,2.33,0.56,HRDE-1,T28H11.4,WBGene00003976,Sequence name for WBGene00003976(pes-1). History: N.A.
F41H10.12,wago,,48.56,99.68,113.36,42.12,2.33,0.42,HRDE-1,F41H10.12,WBGene00018322,Public name for WBGene00018322. History: N.A.
Y41D4B.12,wago,set-23,102.43,224.92,237.43,323.74,2.32,1.44,HRDE-1/WAGO-1,Y41D4B.12,WBGene00021515,Sequence name for WBGene00021515(set-23). History: N.A.
T27E7.10,wago,,242.6,487.08,563.47,620.09,2.32,1.27,HRDE-1,T27E7.10,WBGene00044268,Public name for WBGene00044268. History: N.A.
Y59A8B.11,wago,fbxa-106,21.77,62.24,50.39,132.06,2.31,2.12,HRDE-1/WAGO-1,Y59A8B.11,WBGene00013348,Sequence name for WBGene00013348(fbxa-106). History: N.A.
F18H3.3,wago,pab-2,121.86,275.8,281.46,571.62,2.31,2.07,HRDE-1/WAGO-1,F18H3.3,WBGene00003903,Sequence name for WBGene00003903(pab-2). History: N.A.
K09E9.3,wago,,226.51,484.32,523.41,281.76,2.31,0.58,HRDE-1,K09E9.3,WBGene00010726,Public name for WBGene00010726. History: N.A.
C04E7.3,wago,,43.01,92.72,99.01,172.84,2.3,1.86,HRDE-1/WAGO-1,C04E7.3,WBGene00015430,Public name for WBGene00015430. History: N.A.
T22B11.3,wago,,16.77,30.06,38.51,46.05,2.3,1.53,HRDE-1/WAGO-1,T22B11.3,WBGene00020678,"Public name for Dead gene WBGene00020677. History of WBGene00020677: Merged into ""WBGene00020678"" on 2016-10-20"
M02D8.3,wago,,131.02,297.39,301.61,406.3,2.3,1.37,HRDE-1/WAGO-1,M02D8.3,WBGene00019729,Public name for WBGene00019729. History: N.A.
Y55B1BL.1,wago,,10.36,20.73,23.87,13.35,2.3,0.64,HRDE-1,Y55B1BL.1,WBGene00021909,"Public name for WBGene00021909. History: Split into Y55B1BL.2(WBGene00303093). History of WBGene00021909: Split into ""WBGene00303093"" on 2018-03-02"
W06A11.4,wago,,104.35,249.66,239.28,833.12,2.29,3.34,HRDE-1/WAGO-1,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
F30B5.7,wago,,6.92,16.04,15.87,13.16,2.29,0.82,HRDE-1,F30B5.7,WBGene00017936,Sequence name for WBGene00017936(zipt-2.2). History: N.A.
Y105C5B.13,wago,skr-10,15.93,32.75,36.55,25.16,2.29,0.77,HRDE-1,Y105C5B.13,WBGene00004816,Sequence name for WBGene00004816(skr-10). History: N.A.
C16C8.20,wago,,30.7,76.02,69.9,232.38,2.28,3.06,HRDE-1/WAGO-1,C16C8.20,WBGene00195070,Public name for WBGene00195070. History: N.A.
C26B9.1,wago,,8.92,17.97,20.3,40.72,2.28,2.27,HRDE-1/WAGO-1,C26B9.1,WBGene00016131,Public name for WBGene00016131. History: N.A.
C24H10.1,wago,,16.89,33.78,38.43,51.72,2.28,1.53,HRDE-1/WAGO-1,C24H10.1,WBGene00016067,Sequence name for WBGene00016067(clc-7). History: N.A.
C46C2.2,wago,,27.91,55.95,63.73,83.84,2.28,1.5,HRDE-1/WAGO-1,C46C2.2,WBGene00008110,Public name for WBGene00008110. History: N.A.
Y38C1AA.13,wago,gfrp-1,8.06,16.74,18.4,14.54,2.28,0.87,HRDE-1,Y38C1AA.13,WBGene00044736,"Sequence name for WBGene00044736(gfrp-1). History: Split into coa-1(WBGene00195063). History of WBGene00044736: Split into ""WBGene00195063"" on 2010-03-24"
