# Table S2.
# Ratio WT = Number of peptides from WT sperm / number of peptides from the wild-type heavy protein standard
# Ratio alg-3/4 = Number of peptides from alg-3/4 sperm / number of peptides from the wild-type heavy protein standard
# alg-3/4 Relative Expression = (Ratio alg-3/4) / (Ratio alg-3/4 + Ratio WT)
Cosmid ID,Ratio WT,Ratio alg-3/4,alg-3/4 Relative Expression,Positively or Negatively Regulated,Input,Suggested Match,History
E04F6.5,2.09,0.81,0.279310344827586,Positively-regulated targets,E04F6.5,WBGene00017125,Sequence name for WBGene00017125(acdh-12). History: N.A.
F09C12.8,2.94,1.1,0.272277227722772,Positively-regulated targets,F09C12.8,WBGene00017279,Public name for WBGene00017279. History: N.A.
F11G11.8,1.88,0.63,0.250996015936255,Positively-regulated targets,F11G11.8,WBGene00017386,Sequence name for WBGene00017386(nspd-5). History: N.A.
F13A7.1,2.49,0.91,0.267647058823529,Positively-regulated targets,F13A7.1,WBGene00008724,Public name for WBGene00008724. History: N.A.
F17E9.5,2.2,1.09,0.331306990881459,Positively-regulated targets,F17E9.5,WBGene00017542,Public name for WBGene00017542. History: N.A.
F19B6.2,1.86,1.14,0.38,Positively-regulated targets,F19B6.2,WBGene00006733,Sequence name for WBGene00006733(ufd-1). History: N.A.
F25H5.3,1.14,0.72,0.387096774193548,Positively-regulated targets,F25H5.3,WBGene00009126,Sequence name for WBGene00009126(pyk-1). History: N.A.
F26G1.7,1.5,0.56,0.271844660194175,Positively-regulated targets,F26G1.7,WBGene00003424,Sequence name for WBGene00003424(msp-3). History: N.A.
F32B6.6,1.54,0.56,0.266666666666667,Positively-regulated targets,F32B6.6,WBGene00003464,Sequence name for WBGene00003464(msp-77). History: N.A.
F32H2.7,2.28,1.17,0.339130434782609,Positively-regulated targets,F32H2.7,WBGene00009344,Public name for WBGene00009344. History: N.A.
F36H12.7,1.5,0.56,0.271844660194175,Positively-regulated targets,F36H12.7,WBGene00003426,Sequence name for WBGene00003426(msp-19). History: N.A.
F36H12.8,1.18,0.44,0.271604938271605,Positively-regulated targets,F36H12.8,WBGene00018122,Sequence name for WBGene00018122(ttbk-2). History: N.A.
F37A4.4,0.9,0.4,0.307692307692308,Positively-regulated targets,F37A4.4,WBGene00018134,Public name for WBGene00018134. History: N.A.
F39H11.5,1.5,0.92,0.380165289256198,Positively-regulated targets,F39H11.5,WBGene00003953,Sequence name for WBGene00003953(pbs-7). History: N.A.
F40F9.3,1.75,0.78,0.308300395256917,Positively-regulated targets,F40F9.3,WBGene00009581,Public name for WBGene00009581. History: N.A.
F43D9.4,4.0,2.26,0.361022364217252,Positively-regulated targets,F43D9.4,WBGene00004798,Sequence name for WBGene00004798(sip-1). History: N.A.
F44D12.3,1.52,0.62,0.289719626168224,Positively-regulated targets,F44D12.3,WBGene00009680,Sequence name for WBGene00009680(msd-1). History: N.A.
F44D12.5,1.52,0.62,0.289719626168224,Positively-regulated targets,F44D12.5,WBGene00009682,Sequence name for WBGene00009682(msd-2). History: N.A.
F44D12.7,1.52,0.62,0.289719626168224,Positively-regulated targets,F44D12.7,WBGene00009684,Sequence name for WBGene00009684(msd-3). History: N.A.
F47B3.7,2.08,0.75,0.265017667844523,Positively-regulated targets,F47B3.7,WBGene00018531,Public name for WBGene00018531. History: N.A.
F47C12.4,1.66,0.89,0.349019607843137,Positively-regulated targets,F47C12.4,WBGene00018548,Sequence name for WBGene00018548(clec-79). History: N.A.
F58A6.8,1.5,0.56,0.271844660194175,Positively-regulated targets,F58A6.8,WBGene00003438,Sequence name for WBGene00003438(msp-45). History: N.A.
F58A6.9,1.48,0.56,0.274509803921569,Positively-regulated targets,F58A6.9,WBGene00019026,Public name for WBGene00019026. History: N.A.
F58E6.5,2.38,1.29,0.35149863760218,Positively-regulated targets,F58E6.5,WBGene00010254,Public name for WBGene00010254. History: N.A.
F59C6.6,1.21,0.72,0.373056994818653,Positively-regulated targets,F59C6.6,WBGene00003742,"Sequence name for WBGene00003742(nlp-4). History: Split into F59C6.18(WBGene00206464). History of WBGene00003742: Split into ""WBGene00206464"" on 2011-03-28"
K03H1.1,2.44,0.88,0.265060240963855,Positively-regulated targets,K03H1.1,WBGene00001603,Sequence name for WBGene00001603(gln-2). History: N.A.
K05F1.2,1.5,0.56,0.271844660194175,Positively-regulated targets,K05F1.2,WBGene00003469,Sequence name for WBGene00003469(msp-142). History: N.A.
K07A1.4,1.42,0.76,0.348623853211009,Positively-regulated targets,K07A1.4,WBGene00010611,"Public name for WBGene00010611. History: Split into K07A1.21(WBGene00305018). History of WBGene00010611: Split into ""WBGene00305018"" on 2019-09-26"
K07F5.1,1.5,0.56,0.271844660194175,Positively-regulated targets,K07F5.1,WBGene00003467,Sequence name for WBGene00003467(msp-81). History: N.A.
K07F5.11,2.09,1.28,0.379821958456973,Positively-regulated targets,K07F5.11,WBGene00006050,Sequence name for WBGene00006050(ssq-1). History: N.A.
K07F5.2,1.5,0.56,0.271844660194175,Positively-regulated targets,K07F5.2,WBGene00003425,Sequence name for WBGene00003425(msp-10). History: N.A.
K07F5.3,1.5,0.56,0.271844660194175,Positively-regulated targets,K07F5.3,WBGene00003449,Sequence name for WBGene00003449(msp-56). History: N.A.
K07F5.5,1.9,0.58,0.233870967741935,Positively-regulated targets,K07F5.5,WBGene00010633,Sequence name for WBGene00010633(nspd-2). History: N.A.
K07F5.9,1.84,0.91,0.330909090909091,Positively-regulated targets,K07F5.9,WBGene00006039,Sequence name for WBGene00006039(ssp-10). History: N.A.
K08F4.8,1.42,0.57,0.28643216080402,Positively-regulated targets,K08F4.8,WBGene00003434,Sequence name for WBGene00003434(msp-38). History: N.A.
K08H10.1,2.67,1.32,0.330827067669173,Positively-regulated targets,K08H10.1,WBGene00002263,Sequence name for WBGene00002263(lea-1). History: N.A.
K12C11.1,1.4,0.88,0.385964912280702,Positively-regulated targets,K12C11.1,WBGene00019673,Public name for WBGene00019673. History: N.A.
M28.9,1.16,0.7,0.376344086021505,Positively-regulated targets,M28.9,WBGene00010900,Public name for WBGene00010900. History: N.A.
M70.1,1.26,0.69,0.353846153846154,Positively-regulated targets,M70.1,WBGene00019783,Public name for WBGene00019783. History: N.A.
M70.3,1.39,0.76,0.353488372093023,Positively-regulated targets,M70.3,WBGene00019785,Public name for WBGene00019785. History: N.A.
R05F9.8,1.5,0.56,0.271844660194175,Positively-regulated targets,R05F9.8,WBGene00003431,Sequence name for WBGene00003431(msp-33). History: N.A.
R08A2.3,1.46,0.86,0.370689655172414,Positively-regulated targets,R08A2.3,WBGene00011134,Sequence name for WBGene00011134(ssp-33). History: N.A.
R13H9.1,1.67,0.99,0.37218045112782,Positively-regulated targets,R13H9.1,WBGene00020070,Sequence name for WBGene00020070(rmd-6). History: N.A.
R13H9.2,1.46,0.55,0.27363184079602,Positively-regulated targets,R13H9.2,WBGene00003450,Sequence name for WBGene00003450(msp-57). History: N.A.
R13H9.4,1.5,0.56,0.271844660194175,Positively-regulated targets,R13H9.4,WBGene00003446,Sequence name for WBGene00003446(msp-53). History: N.A.
T03F1.5,1.84,0.84,0.313432835820895,Positively-regulated targets,T03F1.5,WBGene00020187,Sequence name for WBGene00020187(gsp-4). History: N.A.
T03F6.6,1.66,1.0,0.37593984962406,Positively-regulated targets,T03F6.6,WBGene00011401,"Public name for WBGene00011401. History: Split into T03F6.10(WBGene00185005). History of WBGene00011401: Split into ""WBGene00185005"" on 2009-02-27"
T05A7.6,1.9,1.1,0.366666666666667,Positively-regulated targets,T05A7.6,WBGene00020223,Public name for WBGene00020223. History: N.A.
T07F10.1,1.08,0.52,0.325,Positively-regulated targets,T07F10.1,WBGene00011587,Sequence name for WBGene00011587(anp-1). History: N.A.
T08B6.4,1.45,0.77,0.346846846846847,Positively-regulated targets,T08B6.4,WBGene00020353,Public name for WBGene00020353. History: N.A.
T13F2.11,1.52,0.56,0.269230769230769,Positively-regulated targets,T13F2.11,WBGene00003465,Sequence name for WBGene00003465(msp-78). History: N.A.
T21G5.4,1.88,0.83,0.306273062730627,Positively-regulated targets,T21G5.4,WBGene00020661,Sequence name for WBGene00020661(smz-2). History: N.A.
T22D1.9,1.36,0.83,0.378995433789954,Positively-regulated targets,T22D1.9,WBGene00004458,Sequence name for WBGene00004458(rpn-1). History: N.A.
T23B7.1,1.88,0.63,0.250996015936255,Positively-regulated targets,T23B7.1,WBGene00020715,Sequence name for WBGene00020715(nspd-4). History: N.A.
T23G11.1,1.58,0.66,0.294642857142857,Positively-regulated targets,T23G11.1,WBGene00011968,Public name for WBGene00011968. History: N.A.
T27C10.7,1.68,0.35,0.172413793103448,Positively-regulated targets,T27C10.7,WBGene00020860,Sequence name for WBGene00020860(nspd-10). History: N.A.
T28H11.1,2.0,0.66,0.24812030075188,Positively-regulated targets,T28H11.1,WBGene00006053,Sequence name for WBGene00006053(ssq-4). History: N.A.
T28H11.5,2.32,1.02,0.305389221556886,Positively-regulated targets,T28H11.5,WBGene00006051,Sequence name for WBGene00006051(ssq-2). History: N.A.
T28H11.6,1.81,0.9,0.33210332103321,Positively-regulated targets,T28H11.6,WBGene00006040,Sequence name for WBGene00006040(ssp-11). History: N.A.
W09C3.6,1.84,0.83,0.310861423220974,Positively-regulated targets,W09C3.6,WBGene00021113,Sequence name for WBGene00021113(gsp-3). History: N.A.
Y105C5B.18,0.76,0.42,0.35593220338983,Positively-regulated targets,Y105C5B.18,WBGene00013657,Public name for WBGene00013657. History: N.A.
Y106G6A.4,1.57,0.53,0.252380952380952,Positively-regulated targets,Y106G6A.4,WBGene00013696,Public name for WBGene00013696. History: N.A.
Y113G7C.1,1.52,0.68,0.309090909090909,Positively-regulated targets,Y113G7C.1,WBGene00013771,Public name for WBGene00013771. History: N.A.
Y37E11AL.2,1.31,0.6,0.31413612565445,Positively-regulated targets,Y37E11AL.2,WBGene00021358,Public name for WBGene00021358. History: N.A.
Y37E11B.10,3.08,1.21,0.282051282051282,Positively-regulated targets,Y37E11B.10,WBGene00021381,Public name for WBGene00021381. History: N.A.
Y38E10A.17,3.5,0.84,0.193548387096774,Positively-regulated targets,Y38E10A.17,WBGene00012595,Public name for WBGene00012595. History: N.A.
Y38H8A.3,1.79,0.82,0.314176245210728,Positively-regulated targets,Y38H8A.3,WBGene00012637,Public name for WBGene00012637. History: N.A.
Y43C5A.1,1.79,0.44,0.197309417040359,Positively-regulated targets,Y43C5A.1,WBGene00012781,Sequence name for WBGene00012781(nspd-7). History: N.A.
Y43C5B.3,1.91,0.71,0.270992366412214,Positively-regulated targets,Y43C5B.3,WBGene00012786,Public name for WBGene00012786. History: N.A.
Y45F10B.3,2.06,1.26,0.379518072289157,Positively-regulated targets,Y45F10B.3,WBGene00012871,Public name for WBGene00012871. History: N.A.
Y45F10D.3,4.04,0.79,0.163561076604555,Positively-regulated targets,Y45F10D.3,WBGene00001635,"Sequence name for WBGene00001635(gly-10). History: N.A.. Public name for Dead gene WBGene00012884. History of WBGene00012884: Merged into ""WBGene00001635"" on 2005-09-27"
Y45G12B.2,1.6,0.66,0.292035398230089,Positively-regulated targets,Y45G12B.2,WBGene00021563,Public name for WBGene00021563. History: N.A.
Y46C8AL.1,1.16,0.6,0.340909090909091,Positively-regulated targets,Y46C8AL.1,WBGene00021579,Sequence name for WBGene00021579(clec-73). History: N.A.
Y46G5A.30,1.46,0.8,0.353982300884956,Positively-regulated targets,Y46G5A.30,WBGene00004904,Sequence name for WBGene00004904(snf-5). History: N.A.
Y47D3A.31,1.51,0.79,0.343478260869565,Positively-regulated targets,Y47D3A.31,WBGene00012937,Public name for WBGene00012937. History: N.A.
Y53C10A.10,0.56,0.34,0.377777777777778,Positively-regulated targets,Y53C10A.10,WBGene00013138,"Public name for WBGene00013138. History: Split into Y53C10A.24(WBGene00305049). History of WBGene00013138: Split into ""WBGene00305049"" on 2019-10-21"
Y54G2A.15,2.05,1.27,0.382530120481928,Positively-regulated targets,Y54G2A.15,WBGene00021880,Public name for WBGene00021880. History: N.A.
Y57G11A.2,0.99,0.34,0.255639097744361,Positively-regulated targets,Y57G11A.2,WBGene00013290,Public name for WBGene00013290. History: N.A.
Y57G7A.6,1.08,0.56,0.341463414634146,Positively-regulated targets,Y57G7A.6,WBGene00021969,Public name for WBGene00021969. History: N.A.
Y59E9AL.6,0.92,0.4,0.303030303030303,Positively-regulated targets,Y59E9AL.6,WBGene00021996,Sequence name for WBGene00021996(cylc-1). History: N.A.
Y65B4A.9,2.03,1.26,0.382978723404255,Positively-regulated targets,Y65B4A.9,WBGene00022032,Public name for WBGene00022032. History: N.A.
Y69A2AR.19,1.04,0.49,0.320261437908497,Positively-regulated targets,Y69A2AR.19,WBGene00022090,Public name for WBGene00022090. History: N.A.
Y69E1A.2,1.76,0.73,0.293172690763052,Positively-regulated targets,Y69E1A.2,WBGene00013474,Sequence name for WBGene00013474(nsph-3.1). History: N.A.
Y73F8A.12,0.78,0.42,0.35,Positively-regulated targets,Y73F8A.12,WBGene00013521,Public name for WBGene00013521. History: N.A.
Y73F8A.14,0.78,0.42,0.35,Positively-regulated targets,Y73F8A.14,WBGene00013523,Public name for WBGene00013523. History: N.A.
ZC168.6,2.2,1.29,0.369627507163324,Positively-regulated targets,ZC168.6,WBGene00013858,Sequence name for WBGene00013858(ssp-34). History: N.A.
ZC434.8,1.87,0.88,0.32,Positively-regulated targets,ZC434.8,WBGene00013894,Public name for WBGene00013894. History: N.A.
ZC581.6,1.5,0.74,0.330357142857143,Positively-regulated targets,ZC581.6,WBGene00006625,"Sequence name for WBGene00006625(try-7). History: Split into ZC581.10(WBGene00195178). History of WBGene00006625: Split into ""WBGene00195178"" on 2010-06-23"
ZK1251.6,1.5,0.56,0.271844660194175,Positively-regulated targets,ZK1251.6,WBGene00003463,Sequence name for WBGene00003463(msp-76). History: N.A.
ZK265.3,1.68,0.52,0.236363636363636,Positively-regulated targets,ZK265.3,WBGene00013956,Sequence name for WBGene00013956(nsph-2). History: N.A.
ZK354.1,1.5,0.56,0.271844660194175,Positively-regulated targets,ZK354.1,WBGene00003458,Sequence name for WBGene00003458(msp-65). History: N.A.
ZK354.11,1.5,0.56,0.271844660194175,Positively-regulated targets,ZK354.11,WBGene00003452,Sequence name for WBGene00003452(msp-59). History: N.A.
ZK354.5,1.5,0.56,0.271844660194175,Positively-regulated targets,ZK354.5,WBGene00003444,Sequence name for WBGene00003444(msp-51). History: N.A.
ZK370.5,2.45,1.27,0.341397849462366,Positively-regulated targets,ZK370.5,WBGene00022719,Sequence name for WBGene00022719(pdhk-2). History: N.A.
ZK546.6,1.48,0.56,0.274509803921569,Positively-regulated targets,ZK546.6,WBGene00003470,Sequence name for WBGene00003470(msp-152). History: N.A.
ZK849.6,1.46,0.84,0.365217391304348,Positively-regulated targets,ZK849.6,WBGene00014104,Public name for WBGene00014104. History: N.A.
ZK945.2,1.41,0.88,0.384279475982533,Positively-regulated targets,ZK945.2,WBGene00003928,Sequence name for WBGene00003928(pas-7). History: N.A.
B0205.7,0.66,1.18,0.641304347826087,Negatively-regulated targets,B0205.7,WBGene00002191,Sequence name for WBGene00002191(kin-3). History: N.A.
B0495.7,0.54,1.13,0.676646706586826,Negatively-regulated targets,B0495.7,WBGene00015206,Public name for WBGene00015206. History: N.A.
C08F11.10,1.86,2.96,0.614107883817427,Negatively-regulated targets,C08F11.10,WBGene00007457,Public name for WBGene00007457. History: N.A.
C15F1.6,0.78,1.32,0.628571428571429,Negatively-regulated targets,C15F1.6,WBGene00000198,Sequence name for WBGene00000198(art-1). History: N.A.
C34F11.3,0.8,1.44,0.642857142857143,Negatively-regulated targets,C34F11.3,WBGene00016415,Sequence name for WBGene00016415(ampd-1). History: N.A.
C35E7.9,1.56,2.92,0.651785714285714,Negatively-regulated targets,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
C36E8.5,1.02,1.9,0.650684931506849,Negatively-regulated targets,C36E8.5,WBGene00006537,Sequence name for WBGene00006537(tbb-2). History: N.A.
C38H2.2,0.64,1.1,0.632183908045977,Negatively-regulated targets,C38H2.2,WBGene00008019,Public name for WBGene00008019. History: N.A.
C47B2.3,1.1,1.99,0.644012944983819,Negatively-regulated targets,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
C47D12.3,1.16,3.28,0.738738738738739,Negatively-regulated targets,C47D12.3,WBGene00008137,Sequence name for WBGene00008137(sfxn-1.4). History: N.A.
C56G2.1,0.98,1.66,0.628787878787879,Negatively-regulated targets,C56G2.1,WBGene00016977,Sequence name for WBGene00016977(akap-1). History: N.A.
F10G7.2,0.54,0.96,0.64,Negatively-regulated targets,F10G7.2,WBGene00006626,Sequence name for WBGene00006626(tsn-1). History: N.A.
F33A8.5,1.21,6.9,0.850801479654747,Negatively-regulated targets,F33A8.5,WBGene00009353,Sequence name for WBGene00009353(sdhd-1). History: N.A.
F35H10.2,1.36,2.46,0.643979057591623,Negatively-regulated targets,F35H10.2,WBGene00018068,Public name for WBGene00018068. History: N.A.
F43E2.7,1.07,1.74,0.619217081850534,Negatively-regulated targets,F43E2.7,WBGene00018395,Sequence name for WBGene00018395(mtch-1). History: N.A.
F52B5.6,0.56,1.1,0.662650602409639,Negatively-regulated targets,F52B5.6,WBGene00004439,Sequence name for WBGene00004439(rpl-25.2). History: N.A.
F55F8.7,1.0,2.02,0.66887417218543,Negatively-regulated targets,F55F8.7,WBGene00018895,Public name for WBGene00018895. History: N.A.
F56D12.5,0.58,1.03,0.639751552795031,Negatively-regulated targets,F56D12.5,WBGene00006924,Sequence name for WBGene00006924(vig-1). History: N.A.
F59B8.2,1.14,1.87,0.621262458471761,Negatively-regulated targets,F59B8.2,WBGene00010317,Sequence name for WBGene00010317(idh-1). History: N.A.
H17B01.4,0.71,1.14,0.616216216216216,Negatively-regulated targets,H17B01.4,WBGene00019209,Sequence name for WBGene00019209(emc-1). History: N.A.
H20J04.1,1.1,2.8,0.717948717948718,Negatively-regulated targets,H20J04.1,WBGene00019216,Public name for WBGene00019216. History: N.A.
K01G5.7,1.02,1.91,0.651877133105802,Negatively-regulated targets,K01G5.7,WBGene00006536,Sequence name for WBGene00006536(tbb-1). History: N.A.
K08F4.3,0.59,1.37,0.698979591836735,Negatively-regulated targets,K08F4.3,WBGene00010678,Public name for WBGene00010678. History: N.A.
K08F4.5,1.64,2.64,0.616822429906542,Negatively-regulated targets,K08F4.5,WBGene00010679,Public name for WBGene00010679. History: N.A.
K11H12.8,0.88,1.64,0.650793650793651,Negatively-regulated targets,K11H12.8,WBGene00019664,Public name for WBGene00019664. History: N.A.
M01A10.3,0.62,1.18,0.655555555555556,Negatively-regulated targets,M01A10.3,WBGene00019693,Sequence name for WBGene00019693(ostd-1). History: N.A.
R10E11.2,0.56,0.92,0.621621621621622,Negatively-regulated targets,R10E11.2,WBGene00006911,Sequence name for WBGene00006911(vha-2). History: N.A.
T09A5.11,0.7,1.12,0.615384615384615,Negatively-regulated targets,T09A5.11,WBGene00011638,Sequence name for WBGene00011638(ostb-1). History: N.A.
T12A2.2,0.72,2.58,0.781818181818182,Negatively-regulated targets,T12A2.2,WBGene00020437,Sequence name for WBGene00020437(stt-3). History: N.A.
T22D1.4,0.71,1.14,0.616216216216216,Negatively-regulated targets,T22D1.4,WBGene00020683,Sequence name for WBGene00020683(ribo-1). History: N.A.
W02B12.15,0.8,1.84,0.696969696969697,Negatively-regulated targets,W02B12.15,WBGene00044026,Sequence name for WBGene00044026(cisd-1). History: N.A.
W06D4.2,0.65,1.56,0.705882352941177,Negatively-regulated targets,W06D4.2,WBGene00012296,Sequence name for WBGene00012296(spe-46). History: N.A.
W08F4.3,0.78,1.34,0.632075471698113,Negatively-regulated targets,W08F4.3,WBGene00021093,Public name for WBGene00021093. History: N.A.
Y25C1A.13,1.15,2.05,0.640625,Negatively-regulated targets,Y25C1A.13,WBGene00021296,Public name for WBGene00021296. History: N.A.
Y38F2AR.2,0.56,1.14,0.670588235294118,Negatively-regulated targets,Y38F2AR.2,WBGene00021420,Sequence name for WBGene00021420(trap-3). History: N.A.
Y39A1C.3,1.06,1.69,0.614545454545455,Negatively-regulated targets,Y39A1C.3,WBGene00000475,Sequence name for WBGene00000475(cey-4). History: N.A.
Y53F4A.2,2.46,4.8,0.661157024793388,Negatively-regulated targets,Y53F4A.2,WBGene00013148,Public name for WBGene00013148. History: N.A.
Y56A3A.21,0.64,1.19,0.650273224043716,Negatively-regulated targets,Y56A3A.21,WBGene00013238,Sequence name for WBGene00013238(trap-4). History: N.A.
Y57G11C.15,0.6,1.18,0.662921348314607,Negatively-regulated targets,Y57G11C.15,WBGene00013311,Sequence name for WBGene00013311(sec-61.A). History: Renamed on 2019-05-20
Y57G11C.16,0.66,1.31,0.66497461928934,Negatively-regulated targets,Y57G11C.16,WBGene00004487,Sequence name for WBGene00004487(rps-18). History: N.A.
Y57G7A.10,0.67,1.21,0.643617021276596,Negatively-regulated targets,Y57G7A.10,WBGene00021973,Sequence name for WBGene00021973(emc-2). History: Renamed on 2014-11-12
Y71F9AM.6,0.58,1.44,0.712871287128713,Negatively-regulated targets,Y71F9AM.6,WBGene00022122,Sequence name for WBGene00022122(trap-1). History: N.A.
Y76A2A.1,1.32,2.68,0.67,Negatively-regulated targets,Y76A2A.1,WBGene00006509,Sequence name for WBGene00006509(tag-164). History: N.A.
