Gene ID,Public Name,Ancestral hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,Fold change at gen 50,adjusted P value,Input,Suggested Match,History
C14C11.1,C14C11.1,yes,78.19,49.88,149.82,2067.46,2035.19,2337.74,23.2,9.41e-34,C14C11.1,WBGene00015765,Public name for WBGene00015765. History: N.A.
C16A3.9,rps-13,yes,18.37,17.22,25.79,604.32,1736.89,1634.61,64.92,3.2299999999999996e-45,C16A3.9,WBGene00004482,Sequence name for WBGene00004482(rps-13). History: N.A.
C17D12.6,spe-9,yes,1.41,4.16,0.61,38.99,8.21,3.81,8.25,0.0265,C17D12.6,WBGene00004963,Sequence name for WBGene00004963(spe-9). History: N.A.
C18D4.6,C18D4.6,yes,460.65,435.83,467.27,4952.59,4447.13,6117.91,11.38,2.71e-92,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
C18G1.9,C18G1.9,yes,11.3,5.34,19.03,306.49,322.93,434.82,29.94,2.82e-32,C18G1.9,WBGene00015987,Public name for WBGene00015987. History: N.A.
C26D10.3,C26D10.3,yes,44.75,39.19,44.82,3.25,7.3,9.51,-6.33,8.86e-08,C26D10.3,WBGene00007744,Public name for WBGene00007744. History: N.A.
C27C7.1,C27C7.1,yes,119.64,112.22,130.79,8665.14,7601.63,8171.16,67.42,0,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
C27D8.1,C27D8.1,yes,0,0,0,6.5,4.56,0.95,38.98,0.00733,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
C28A5.4,ceh-43,yes,154.49,141.91,160.88,1905.01,2148.31,9.51,8.88,0.025,C28A5.4,WBGene00000463,Sequence name for WBGene00000463(ceh-43). History: Renamed on 2013-07-26
C30G4.6,irld-23,yes,215.25,230.98,234.56,2187.67,2668.28,948.61,8.53,5.08e-17,C30G4.6,WBGene00016271,Sequence name for WBGene00016271(irld-23). History: N.A.
C31C9.4,fbxa-168,yes,52.75,63.53,64.47,1339.68,1401.19,1549.93,23.84,1.92e-173,C31C9.4,WBGene00007838,"Sequence name for WBGene00007838(fbxa-168). History: Split into fbxa-169(WBGene00045289). History of WBGene00007838: Split into ""WBGene00045289"" on 2007-02-26"
C33C12.3,gba-1,yes,0.94,0,0.61,211.19,13.68,109.42,206.67,5.69e-09,C33C12.3,WBGene00016335,Sequence name for WBGene00016335(gba-1). History: N.A.
C33C12.8,gba-2,yes,67.83,48.1,55.88,6206.71,1386.59,6231.13,80.42,1.94e-30,C33C12.8,WBGene00016340,Sequence name for WBGene00016340(gba-2). History: N.A.
C33C12.9,mtq-2,yes,8.95,6.53,12.28,2934.95,3291.33,4423.35,385.06,5.6499999999999985e-165,C33C12.9,WBGene00016341,Sequence name for WBGene00016341(mtq-2). History: N.A.
C34C12.9,C34C12.9,yes,123.88,181.69,160.26,2.17,3.65,0.95,-68.14,8.9e-22,C34C12.9,WBGene00007928,Public name for WBGene00007928. History: N.A.
C35B1.5,C35B1.5,yes,248.23,63.53,76.14,1.08,1.82,0,-132.76,1.33e-10,C35B1.5,WBGene00016435,Public name for WBGene00016435. History: N.A.
C39F7.5,C39F7.5,yes,64.06,73.63,65.09,409.38,4126.02,5525.14,49.62,8.05e-16,C39F7.5,WBGene00016540,Public name for WBGene00016540. History: N.A.
C45G9.7,txbp-3,yes,44.75,38,41.14,2.17,1.82,3.81,-15.87,6.03e-10,C45G9.7,WBGene00016678,Sequence name for WBGene00016678(txbp-3). History: N.A.
C46E1.2,gcy-36,yes,3.3,4.75,4.3,35.74,25.54,49.48,9.05,6.49e-10,C46E1.2,WBGene00001556,Sequence name for WBGene00001556(gcy-36). History: N.A.
C46G7.5,C46G7.5,yes,204.89,180.51,190.35,951.96,1385.68,1270.2,6.27,7.65e-41,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
C47D12.7,kel-1,yes,1032.94,1262.96,1153.76,8.66,1.82,1.9,-292.72,2.52e-70,C47D12.7,WBGene00002184,Sequence name for WBGene00002184(kel-1). History: N.A.
C49A9.9,C49A9.9,yes,23.08,27.91,23.33,1166.4,1007.1,635.58,37.84,1.6300000000000004e-59,C49A9.9,WBGene00016763,Public name for WBGene00016763. History: N.A.
C50F4.13,his-35,yes,146.49,153.19,160.26,4105.68,3451.89,2341.55,21.53,3.32e-77,C50F4.13,WBGene00001909,Sequence name for WBGene00001909(his-35). History: N.A.
C50F4.5,his-41,yes,17.43,13.06,16.58,144.04,235.36,333.96,15.13,1.16e-21,C50F4.5,WBGene00001915,Sequence name for WBGene00001915(his-41). History: N.A.
C52E4.2,mif-2,yes,220.44,129.44,166.4,9.75,2732.13,2169.34,9.51,0.0201,C52E4.2,WBGene00003235,Sequence name for WBGene00003235(mif-2). History: N.A.
C53D5.5,C53D5.5,yes,22.61,33.85,26.4,8323.99,6226.89,9737.27,294.52,5.58e-224,C53D5.5,WBGene00016906,Public name for WBGene00016906. History: N.A.
C55C3.3,C55C3.3,yes,327.83,435.24,566.75,10018.9,5753.45,10508.91,19.77,5.54e-44,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
C56G2.15,C56G2.15,yes,46.63,40.97,48.51,1.08,4.56,0,-23.35,4.05e-10,C56G2.15,WBGene00016983,Public name for WBGene00016983. History: N.A.
C56G7.3,C56G7.3,yes,95.62,59.97,69.39,4815.05,4619.54,4750.65,62.76,3.13e-180,C56G7.3,WBGene00008348,Public name for WBGene00008348. History: N.A.
D2023.7,col-158,yes,0.47,0.59,0,38.99,6.39,5.71,46.8,0.00164,D2023.7,WBGene00000731,Sequence name for WBGene00000731(col-158). History: N.A.
E02H9.3,E02H9.3,yes,71.59,96.19,76.75,4295.21,3840.5,2157.92,42.13,5.62e-81,E02H9.3,WBGene00017101,Public name for WBGene00017101. History: N.A.
F07B7.10,his-51,yes,9.89,11.28,10.44,940.05,679.61,547.09,68.69,1.11e-79,F07B7.10,WBGene00001925,Sequence name for WBGene00001925(his-51). History: N.A.
F07B7.11,his-54,yes,17.9,20.19,18.42,74.73,166.03,178.88,7.44,9.76e-12,F07B7.11,WBGene00001928,Sequence name for WBGene00001928(his-54). History: N.A.
F07B7.2,F07B7.2,yes,682.03,894.22,873.76,7133.77,7865.26,10330.98,10.34,2.28e-58,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
F07B7.3,his-53,yes,9.89,11.28,10.44,940.05,679.61,547.09,68.69,1.11e-79,F07B7.3,WBGene00001927,Sequence name for WBGene00001927(his-53). History: N.A.
F07B7.4,his-52,yes,16.49,17.81,16.58,71.48,161.47,175.07,8.04,4.58e-12,F07B7.4,WBGene00001926,Sequence name for WBGene00001926(his-52). History: N.A.
F07B7.5,his-49,yes,7.54,8.31,6.14,61.73,112.2,86.58,11.85,8.67e-20,F07B7.5,WBGene00001923,Sequence name for WBGene00001923(his-49). History: N.A.
F08B4.2,cdh-5,yes,15.54,40.38,39.91,5.42,2.74,3.81,-8.08,4.63e-05,F08B4.2,WBGene00000397,"Sequence name for WBGene00000397(cdh-5). History: Split into F08B4.8(WBGene00255375). History of WBGene00000397: Split into ""WBGene00255375"" on 2014-02-26"
F08G2.1,his-44,yes,9.89,11.88,9.21,214.44,448.82,444.33,35.81,1.19e-39,F08G2.1,WBGene00001918,Sequence name for WBGene00001918(his-44). History: N.A.
F08G2.2,his-43,yes,9.42,12.47,10.44,1373.25,1304.49,1072.3,116.78,7.91e-157,F08G2.2,WBGene00001917,Sequence name for WBGene00001917(his-43). History: N.A.
F08G2.3,his-42,yes,9.89,14.25,11.67,193.86,275.49,220.74,19.45,3.8199999999999998e-53,F08G2.3,WBGene00001916,Sequence name for WBGene00001916(his-42). History: N.A.
F08G2.4,F08G2.4,yes,3.3,6.53,4.3,38.99,47.44,96.1,13.05,1.64e-09,F08G2.4,WBGene00008576,Public name for WBGene00008576. History: N.A.
F09D1.1,usp-39,yes,229.38,146.66,157.19,2132.44,2453.9,2051.35,12.43,2.04e-45,F09D1.1,WBGene00017280,Sequence name for WBGene00017280(usp-39). History: N.A.
F10G8.5,ncs-2,yes,2.36,0.59,0.61,8.66,8.21,8.56,6.87,0.0176,F10G8.5,WBGene00003564,Sequence name for WBGene00003564(ncs-2). History: N.A.
F13A7.11,F13A7.11,yes,189.35,217.32,216.14,1297.44,1439.5,1683.14,7.1,8.03e-65,F13A7.11,WBGene00008726,Public name for WBGene00008726. History: N.A.
F15A4.12,tag-280,yes,4.24,1.78,3.07,19.49,27.37,56.14,11.23,7.01e-05,F15A4.12,WBGene00044322,"Sequence name for WBGene00044322(tag-280). History: N.A.. Public name for Dead gene WBGene00008846. History of WBGene00008846: Merged into ""WBGene00044322"" on 2006-06-29"
F15D3.2,clec-101,yes,0.94,1.19,1.23,11.91,13.68,6.66,9.68,0.00162,F15D3.2,WBGene00008853,Sequence name for WBGene00008853(clec-101). History: N.A.
F17E9.10,his-32,yes,6.12,9.5,6.75,266.42,439.7,292.1,45,1.0499999999999999e-54,F17E9.10,WBGene00001906,Sequence name for WBGene00001906(his-32). History: N.A.
F17E9.13,his-33,yes,11.3,12.47,12.89,1632.09,1521.6,866.78,109.96,3.13e-96,F17E9.13,WBGene00001907,Sequence name for WBGene00001907(his-33). History: N.A.
F17E9.9,his-34,yes,4.24,5.94,7.37,119.13,305.6,282.58,40.76,2.44e-25,F17E9.9,WBGene00001908,Sequence name for WBGene00001908(his-34). History: N.A.
F18F11.3,cdh-8,yes,18.84,16.63,14.74,110.47,160.55,93.24,7.24,4.75e-16,F18F11.3,WBGene00017576,Sequence name for WBGene00017576(cdh-8). History: N.A.
F21A3.3,F21A3.3,yes,0.47,0.59,1.23,14.08,19.16,2.85,16.03,0.00458,F21A3.3,WBGene00008993,Public name for WBGene00008993. History: N.A.
F22B3.1,his-64,yes,38.62,47.5,40.53,135.38,609.37,366.31,8.78,4.99e-11,F22B3.1,WBGene00001938,Sequence name for WBGene00001938(his-64). History: N.A.
F22B3.2,his-63,yes,16.96,23.16,19.65,492.77,587.48,409.13,25.08,2.38e-87,F22B3.2,WBGene00001937,Sequence name for WBGene00001937(his-63). History: N.A.
F23A7.4,F23A7.4,yes,68.77,76,73.68,629.23,706.98,268.31,7.35,3.93e-15,F23A7.4,WBGene00009069,Public name for WBGene00009069. History: N.A.
F23A7.5,F23A7.5,yes,406.49,134.79,362.28,1358.09,1479.64,1670.77,4.99,1.03e-08,F23A7.5,WBGene00009070,Public name for WBGene00009070. History: N.A.
F23A7.8,F23A7.8,yes,90.44,96.19,92.72,772.18,873.92,335.87,7.1,3.89e-13,F23A7.8,WBGene00044638,Public name for WBGene00044638. History: N.A.
F25G6.2,symk-1,yes,650,643.65,647.8,4664.51,5654.01,5865.77,8.34,1.93e-116,F25G6.2,WBGene00017797,Sequence name for WBGene00017797(symk-1). History: N.A.
F28D9.4,F28D9.4,yes,14.13,10.69,13.51,64.98,35.58,30.45,3.39,4.82e-05,F28D9.4,WBGene00009220,"Public name for WBGene00009220. History: Split into pigl-1(WBGene00013131). History of WBGene00009220: Split into ""WBGene00013131"" on 2010-03-11"
F28F8.1,acr-18,yes,22.61,29.69,25.79,11.91,8.21,6.66,-2.94,0.00185,F28F8.1,WBGene00000057,Sequence name for WBGene00000057(acr-18). History: N.A.
F29B9.9,col-111,yes,1136.09,1121.05,1234.2,7730.51,6835.35,7474.69,6.31,2.09e-125,F29B9.9,WBGene00000685,Sequence name for WBGene00000685(col-111). History: N.A.
F30B5.4,F30B5.4,yes,10.36,11.88,7.98,24.91,32.84,40.91,3.27,1.91e-05,F30B5.4,WBGene00017934,Public name for WBGene00017934. History: N.A.
F31E9.6,F31E9.6,yes,193.12,198.32,229.03,2153.02,1893.79,2383.41,10.37,4.93e-101,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
F32A11.3,F32A11.3,yes,0.47,0.59,0,16.25,26.45,4.76,43.32,5.25e-05,F32A11.3,WBGene00009308,Public name for WBGene00009308. History: Renamed on 2014-09-24
F32B5.8,cpz-1,yes,17.43,35.63,12.89,2799.57,2735.78,1259.74,103.22,3.06e-51,F32B5.8,WBGene00000788,Sequence name for WBGene00000788(cpz-1). History: N.A.
F32E10.9,F32E10.9,yes,8.95,8.91,8.6,2377.2,2253.21,3143.63,293.61,8.46e-171,F32E10.9,WBGene00043068,Public name for WBGene00043068. History: N.A.
F33H2.3,F33H2.3,yes,31.09,21.97,20.26,3969.22,5528.12,6704.96,219.58,1.7799999999999998e-138,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
F35F11.2,F35F11.2,yes,123.41,149.04,188.51,1428.49,1027.17,1568.01,8.74,2.67e-34,F35F11.2,WBGene00018065,Public name for WBGene00018065. History: N.A.
F35H10.1,his-30,yes,11.3,12.47,12.89,1632.09,1521.6,866.78,109.96,3.13e-96,F35H10.1,WBGene00001904,Sequence name for WBGene00001904(his-30). History: N.A.
F35H10.11,his-29,yes,4.24,5.94,7.37,119.13,305.6,282.58,40.76,2.44e-25,F35H10.11,WBGene00001903,Sequence name for WBGene00001903(his-29). History: N.A.
F36F12.8,ztf-28,yes,65.94,70.07,74.3,5624.06,6577.19,9012.26,100.92,4.57e-87,F36F12.8,WBGene00018099,Sequence name for WBGene00018099(ztf-28). History: N.A.
F36H12.10,F36H12.10,yes,2.36,0.59,0.61,22.74,28.28,8.56,15.91,1.19e-05,F36H12.10,WBGene00018124,Public name for WBGene00018124. History: N.A.
F39G3.4,F39G3.4,yes,1.41,4.75,2.46,6.5,17.33,10.47,4.04,0.0463,F39G3.4,WBGene00018209,Public name for WBGene00018209. History: N.A.
F40C5.1,F40C5.1,yes,9.89,19,11.67,358.48,113.12,23.79,12.22,0.000156,F40C5.1,WBGene00018228,Public name for WBGene00018228. History: N.A.
F40E3.7,F40E3.7,yes,6.12,2.38,4.91,24.91,31.02,39.01,6.99,1.28e-07,F40E3.7,WBGene00077781,Public name for WBGene00077781. History: N.A.
F42G8.5,islo-1,yes,12.25,13.66,12.28,3.25,7.3,0.95,-3.29,0.0337,F42G8.5,WBGene00018356,Sequence name for WBGene00018356(islo-1). History: N.A.
F42G9.7,snt-2,yes,19.31,13.66,21.49,49.82,85.75,36.16,3.16,0.00166,F42G9.7,WBGene00004922,Sequence name for WBGene00004922(snt-2). History: N.A.
F45E1.6,his-71,yes,5.65,6.53,6.14,42.24,90.31,42.82,9.63,8.57e-13,F45E1.6,WBGene00001945,Sequence name for WBGene00001945(his-71). History: N.A.
F45F2.12,his-8,yes,16.96,17.81,16.58,71.48,156.9,174.12,7.85,5.15e-12,F45F2.12,WBGene00001882,Sequence name for WBGene00001882(his-8). History: N.A.
F45F2.13,his-6,yes,4.71,6.53,7.98,42.24,110.38,89.44,12.74,4.18e-13,F45F2.13,WBGene00001880,Sequence name for WBGene00001880(his-6). History: N.A.
F45F2.2,his-39,yes,10.36,10.69,9.21,44.4,107.64,109.42,8.65,2.36e-10,F45F2.2,WBGene00001913,Sequence name for WBGene00001913(his-39). History: Renamed on 2008-01-18
F45F2.4,his-7,yes,8.95,10.09,8.6,822,552.81,442.43,65.77,3.49e-66,F45F2.4,WBGene00001881,Sequence name for WBGene00001881(his-7). History: N.A.
F45H10.1,alh-7,yes,17.43,33.85,37.46,23201.26,22814.92,20988.32,765.5,0,F45H10.1,WBGene00000113,Sequence name for WBGene00000113(alh-7). History: N.A.
F45H10.2,F45H10.2,yes,8.01,9.5,3.68,3091.99,812.8,4072.26,374.7,4.27e-50,F45H10.2,WBGene00009739,Public name for WBGene00009739. History: N.A.
F47H4.1,lsy-27,yes,30.62,24.34,30.09,138.62,210.73,215.03,6.63,1.9599999999999997e-23,F47H4.1,WBGene00009834,Sequence name for WBGene00009834(lsy-27). History: N.A.
F52C12.3,tsen-54,yes,29.67,23.16,27.63,116.96,134.1,97.05,4.31,1.32e-16,F52C12.3,WBGene00018680,Sequence name for WBGene00018680(tsen-54). History: N.A.
F52C6.13,F52C6.13,yes,2.36,4.16,3.07,151.62,394.08,343.48,94.09,3.89e-36,F52C6.13,WBGene00018670,Public name for WBGene00018670. History: N.A.
F52C6.6,math-31,yes,20.72,24.34,20.26,444.03,439.7,543.29,21.88,4.9800000000000005e-87,F52C6.6,WBGene00018663,Sequence name for WBGene00018663(math-31). History: N.A.
F53B6.4,F53B6.4,yes,6.12,8.31,13.51,5608.89,2565.2,2812.52,397.61,2.75e-85,F53B6.4,WBGene00009959,Public name for WBGene00009959. History: N.A.
F53G12.4,F53G12.4,yes,934.5,1056.92,1098.5,5196.27,3747.45,5580.33,4.7,2.0400000000000002e-29,F53G12.4,WBGene00018772,Public name for WBGene00018772. History: N.A.
F53G12.7,col-45,yes,112.1,185.85,162.72,3033.5,1192.29,2761.15,15.18,5.690000000000001e-21,F53G12.7,WBGene00000622,Sequence name for WBGene00000622(col-45). History: N.A.
F53G2.2,F53G2.2,yes,297.21,181.1,194.65,10.83,5.47,4.76,-32.54,1.96e-27,F53G2.2,WBGene00018767,"Public name for WBGene00018767. History: Split into F53G2.13(WBGene00304220). History of WBGene00018767: Split into ""WBGene00304220"" on 2018-11-14"
F53G2.3,F53G2.3,yes,154.49,83.72,77.98,2.17,0.91,0.95,-80.63,8.43e-13,F53G2.3,WBGene00018768,Public name for WBGene00018768. History: N.A.
F53H1.3,F53H1.3,yes,278.84,244.63,259.73,4489.06,4450.78,3341.54,15.67,2.47e-134,F53H1.3,WBGene00018777,Public name for WBGene00018777. History: N.A.
F54A3.4,cbs-2,yes,2.83,0,1.23,19.49,17.33,5.71,9.91,0.000102,F54A3.4,WBGene00018783,Sequence name for WBGene00018783(cbs-2). History: N.A.
F54C9.11,F54C9.11,yes,0,0,0,0,1753.31,1746.89,11410.39,1.41e-05,F54C9.11,WBGene00010045,Public name for WBGene00010045. History: N.A.
F54C9.4,col-38,yes,231.74,213.16,137.54,1739.31,2054.35,112.27,6.71,0.0172,F54C9.4,WBGene00000615,Sequence name for WBGene00000615(col-38). History: N.A.
F54D8.1,dpy-17,yes,1.88,1.78,0.61,49.82,206.16,71.36,75.24,2.81e-13,F54D8.1,WBGene00001076,"Sequence name for WBGene00001076(dpy-17). History: N.A.. Public name for Dead gene WBGene00018799. History of WBGene00018799: Merged into ""WBGene00001076"" on 2004-07-02"
F54D8.4,cah-1,yes,3.77,7.13,5.53,10.83,350.3,19.03,23.19,0.00801,F54D8.4,WBGene00000279,Sequence name for WBGene00000279(cah-1). History: N.A.
F54E12.1,his-55,yes,18.37,23.16,22.72,549.08,743.47,469.07,27.57,2.8400000000000005e-79,F54E12.1,WBGene00001929,Sequence name for WBGene00001929(his-55). History: N.A.
F54E12.3,his-56,yes,39.57,44.53,45.44,140.79,654.98,387.25,9.14,2.56e-11,F54E12.3,WBGene00001930,Sequence name for WBGene00001930(his-56). History: N.A.
F54E12.4,his-58,yes,16.01,17.81,18.42,385.55,542.78,393.91,25.41,7.43e-74,F54E12.4,WBGene00001932,Sequence name for WBGene00001932(his-58). History: N.A.
F54E12.5,his-57,yes,26.38,32.66,35.61,6891.17,5975.12,4077.02,179.78,7.61e-182,F54E12.5,WBGene00001931,Sequence name for WBGene00001931(his-57). History: N.A.
F54H12.2,F54H12.2,yes,3.77,5.94,4.3,219.85,371.28,199.81,56.99,3.44e-37,F54H12.2,WBGene00018842,Public name for WBGene00018842. History: N.A.
F55B11.1,xdh-1,yes,2.36,1.78,1.84,41.15,63.86,16.17,20.13,1.49e-07,F55B11.1,WBGene00010083,Sequence name for WBGene00010083(xdh-1). History: N.A.
F55G1.10,his-61,yes,12.25,14.25,14.12,2459.51,1808.04,1441.47,141.08,4.660000000000001e-129,F55G1.10,WBGene00001935,Sequence name for WBGene00001935(his-61). History: N.A.
F55G1.2,his-59,yes,15.07,20.19,14.12,454.86,589.3,370.12,28.71,8.21e-65,F55G1.2,WBGene00001933,Sequence name for WBGene00001933(his-59). History: N.A.
F55G1.3,his-62,yes,12.25,14.84,12.28,419.12,696.03,483.34,40.72,3.18e-71,F55G1.3,WBGene00001936,Sequence name for WBGene00001936(his-62). History: N.A.
F56D5.6,F56D5.6,yes,9.42,10.09,8.6,42.24,21.89,41.86,3.76,0.000141,F56D5.6,WBGene00010150,Public name for WBGene00010150. History: N.A.
F56F11.3,klf-1,yes,852.07,725.59,1083.14,5624.06,6665.68,5863.87,6.82,1.1500000000000002e-47,F56F11.3,WBGene00018990,Sequence name for WBGene00018990(klf-1). History: N.A.
F57A10.4,F57A10.4,yes,12.72,17.81,16.58,157.04,1177.69,192.2,32.46,4.77e-11,F57A10.4,WBGene00010185,Public name for WBGene00010185. History: N.A.
F57A8.10,F57A8.10,yes,6.59,5.94,7.37,42.24,44.7,104.66,9.64,2e-08,F57A8.10,,Public name for Dead gene WBGene00206465. History of WBGene00206465: Killed on 2014-09-18. Remark: [141009 gw3] This gene has been killed because it was a repetitive region of the 3'UTR of the gene F57A8.2.
F58F9.3,F58F9.3,yes,3.3,4.75,2.46,32.49,18.24,23.79,7.07,1.21e-05,F58F9.3,WBGene00019057,Public name for WBGene00019057. History: N.A.
F58G1.7,F58G1.7,yes,48.04,59.97,42.37,101.8,159.64,79.92,2.27,0.0013,F58G1.7,WBGene00010269,Public name for WBGene00010269. History: N.A.
F59A7.7,F59A7.7,yes,105.51,74.22,104.38,2083.71,1501.53,2579.42,21.68,7.129999999999999e-60,F59A7.7,WBGene00019094,Public name for WBGene00019094. History: N.A.
F59A7.9,cysl-4,yes,40.98,35.03,47.28,1232.46,873.01,1567.06,29.8,1.3800000000000002e-66,F59A7.9,WBGene00019096,Sequence name for WBGene00019096(cysl-4). History: N.A.
F59H6.5,F59H6.5,yes,4.71,4.75,4.91,64.98,47.44,55.18,11.65,1.6e-15,F59H6.5,,Sequence name for Suppressed gene WBGene00019136. Molecular name for Suppressed gene WBGene00019136. Public name for Suppressed gene WBGene00019136. History of WBGene00019136: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
H02I12.6,his-66,yes,16.01,17.81,18.42,385.55,542.78,393.91,25.41,7.43e-74,H02I12.6,WBGene00001940,Sequence name for WBGene00001940(his-66). History: N.A.
H02I12.7,his-65,yes,26.38,32.66,35.61,6891.17,5975.12,4077.02,179.78,7.61e-182,H02I12.7,WBGene00001939,Sequence name for WBGene00001939(his-65). History: N.A.
H11L12.1,H11L12.1,yes,104.57,132.41,130.79,6124.41,5537.25,6005.63,48.21,0,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
H12D21.10,H12D21.10,yes,297.68,316.48,322.98,2288.39,2869.88,2913.38,8.62,5.6e-92,H12D21.10,WBGene00010386,Public name for WBGene00010386. History: N.A.
H14A12.5,H14A12.5,yes,44.28,21.97,20.88,2919.79,2393.7,3019.94,94.64,3.2399999999999997e-101,H14A12.5,WBGene00019197,Public name for WBGene00019197. History: N.A.
H20J04.9,H20J04.9,yes,51.81,52.25,65.7,576.16,2504.08,1548.98,27.29,6.14e-26,H20J04.9,WBGene00044310,Public name for WBGene00044310. History: N.A.
K01A11.4,spe-41,yes,100.8,94.41,90.88,1284.45,1159.45,807.79,11.36,1.74e-52,K01A11.4,WBGene00004976,Sequence name for WBGene00004976(spe-41). History: N.A.
K03D10.1,kal-1,yes,32.5,63.53,45.44,543.67,1247.02,58.04,13.07,0.00163,K03D10.1,WBGene00002181,Sequence name for WBGene00002181(kal-1). History: N.A.
K03E5.1,neto-1,yes,205.83,213.16,232.72,5.42,0.91,0.95,-94.85,6.33e-28,K03E5.1,WBGene00019360,Sequence name for WBGene00019360(neto-1). History: N.A.
K05G3.2,K05G3.2,yes,2.83,2.97,3.07,37.91,27.37,48.52,12.86,4.28e-10,K05G3.2,WBGene00019423,Public name for WBGene00019423. History: N.A.
K06A5.8,nmtn-1,yes,501.16,507.08,524.99,2.17,0.91,1.9,-313.67,1.59e-34,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
K06C4.11,his-19,yes,9.89,11.28,10.44,940.05,679.61,547.09,68.69,1.11e-79,K06C4.11,WBGene00001893,Sequence name for WBGene00001893(his-19). History: N.A.
