Gene name,Chr,Transposon,Note,Input,Suggested Match,History
T10D4.4 (ins-31),II,Several repeats around the gene,"ins-31 encodes an insulin-like peptide of the insulin superfamily of proteins (OMIM: 176730, 147440); INS-31 is one of 38 insulin-like peptides in C. elegans, but is unique in that it contains three insulin repeats; although overexpression with INS-19 can result in low levels of larval lethality, the precise role of INS-31 in C. elegans development is not yet clear as INS-31/19 overexpression does not enhance dauer arrest in either a wild-type or daf-2 mutant background, and loss of INS-31 function does not result in a mutant phenotype",,,
T11F9.10,V,CER15,"Paralog of F40D.13, both overlaps with CER15",T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
T11F9.18 (srh-1),V,upstream to CER15,,,,
W08F4.9 (fbxb-14),II,No obvious transposable elements in the gene except some repeats around the gene,fbxb-14 (F-box B protein),,,
Y37H2A.4 (fbxa-107),V,CER3 ~ 500 bp upstream,"F-box A protein. This gene encodes a protein containing an F-box, a motif predicted to mediate protein–protein interactions either with homologs of yeast Skp-1p or with other proteins; this gene’s encoded protein also contains an FTH/DUF38 motif, which may also mediate protein–protein interaction",,,
Y38H6 C .5 (dct-10),V,"CER3-I in gene body, Tc4 right downstream","dct-10 (DAF-16/FOXO Controlled, germline Tumor affecting), dct-10 is predicted to have nucleic acid binding activity and zinc ion binding activity, based on protein domain information",,,
Y43F4A.3,III,CER9,,Y43F4A.3,WBGene00012798,Public name for WBGene00012798. History: N.A.
Y53F4B.10,II,Several repeats around the gene,"Y53F4B.10 is orthologous to the human gene INSULIN (IRF4; OMIM: 176730), which when mutated leads to disease",Y53F4B.10,WBGene00013157,Public name for WBGene00013157. History: N.A.
Y56A3A.5,III,Several repeats in and around the gene,"faah-5 is an ortholog of human FAAH (fatty acid amide hydrolase) and FAAH2 (fatty acid amide hydrolase 2); faah-5 is predicted to have carbon–nitrogen ligase activity, with glutamine as amido-N-donor, based on protein domain information",Y56A3A.5,WBGene00013226,"Sequence name for WBGene00013226(faah-5). History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
Y68A4A.13,V,Several repeats in and around the gene,,Y68A4A.13,WBGene00044212,Public name for WBGene00044212. History: N.A.
Y77E11A.3,IV,Several repeats around the gene,,Y77E11A.3,WBGene00022308,Public name for WBGene00022308. History: N.A.
Y79H2A.4,III,Several Repeat around the gene,"Y79H2A.4 is an ortholog of human NDUFAB1 (NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1); Y79H2A.4 is predicted to have nucleotide binding activity, based on protein domain information",Y79H2A.4,WBGene00013581,Public name for WBGene00013581. History: N.A.
ZC15.1,V,CER12-I downstream,,ZC15.1,WBGene00013830,Public name for WBGene00013830. History: N.A.
ZC15.10,V,CER12-I upstream,,ZC15.10,WBGene00045050,Public name for WBGene00045050. History: N.A.
ZC15.3,V,CER12,,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
ZK262.8,V,CER8,,ZK262.8,WBGene00013953,Public name for WBGene00013953. History: N.A.
ZK262.9,V,CER8,,ZK262.9,WBGene00013954,Public name for WBGene00013954. History: N.A.
